ax,ay,az,wx,wy,wz
0.906814,0.249069,-0.305283,-1.002239,-1.255349,1.023292
0.910416,0.2807,-0.288574,-0.936178,-1.230134,1.082828
0.913254,0.283112,-0.28364599999999995,-0.953818,-1.203561,1.1400880000000002
0.923844,0.311432,-0.302398,-1.008048,-1.20133,1.194676
0.9158480000000002,0.315796,-0.29180900000000004,-1.045394,-1.179,1.286789
0.898788,0.320679,-0.292588,-1.082573,-1.163024,1.35973
0.8852839999999998,0.357269,-0.300537,-1.1279340000000002,-1.159719,1.387827
0.88768,0.395279,-0.297958,-1.2887670000000002,-1.135749,1.382344
0.909149,0.399154,-0.298065,-1.368066,-1.093995,1.3908410000000002
0.905487,0.404556,-0.311279,-1.379366,-1.046039,1.366243
0.889664,0.430924,-0.325622,-1.145855,-0.987225,1.340927
0.837814,0.454895,-0.343537,-0.699146,-0.8652619999999999,1.284689
0.852157,0.439392,-0.381836,-0.34127,-0.751459,1.1994840000000002
0.9046630000000002,0.448715,-0.425736,-0.156195,-0.697655,1.081906
0.861954,0.353256,-0.438415,0.000165,-0.627924,1.049106
0.815414,0.281281,-0.4803460000000001,0.199267,-0.588294,1.12229
0.838226,0.290161,-0.528183,0.381892,-0.551693,1.127088
0.876648,0.258362,-0.495896,0.379373,-0.533509,1.069586
0.836868,0.255921,-0.480515,0.362206,-0.487576,0.989544
0.828003,0.275406,-0.475265,0.648753,-0.405492,0.934145
0.848572,0.273529,-0.50708,0.8823149999999998,-0.356238,0.899239
0.813828,0.193604,-0.501541,0.8374669999999999,-0.291198,0.909315
0.829208,0.134247,-0.5428470000000001,0.569127,-0.314722,0.895845
0.809738,0.023209000000000007,-0.5722039999999999,0.080377,-0.352421,0.908992
0.840515,-0.059708,-0.5499419999999999,-1.052384,-0.509403,1.061773
0.895919,-0.088623,-0.512481,-1.562465,-0.632217,1.121358
0.884536,-0.0072320000000000014,-0.502731,-0.8964229999999999,-0.508988,1.134282
0.868714,0.019471,-0.464431,0.163629,-0.278672,1.195595
0.8582299999999999,-0.08972199999999998,-0.45221,1.061438,-0.160667,1.317249
0.835556,-0.091125,-0.46576,1.25233,0.056746,1.34155
0.840103,-0.10962,-0.4740139999999999,0.324479,0.019646,1.258947
0.831848,-0.044861,-0.448654,-0.687611,-0.112921,1.177148
0.827469,0.05957,-0.501617,-0.842503,-0.121843,1.10038
0.809342,0.146454,-0.549499,-0.212746,-0.047207,0.966876
0.753723,0.08461,-0.5491640000000001,0.098751,0.093301,0.916167
0.784714,-0.027038999999999994,-0.5381619999999999,0.069904,0.095548,0.904038
0.7611239999999999,0.08412200000000002,-0.553909,0.280528,0.193883,0.829473
0.790054,0.051467999999999986,-0.562744,-0.120104,0.158177,0.732103
0.804534,-0.030914,-0.554886,-0.817343,-0.061698,0.677096
0.7831719999999999,0.044708,-0.5862729999999999,-0.379759,-0.007822,0.637675
0.758545,0.08863899999999998,-0.5992730000000001,0.319976,0.252651,0.57779
0.8074489999999999,0.025038999999999974,-0.526916,0.246134,0.244434,0.552231
0.834092,-0.026169,-0.51828,-0.184136,0.106674,0.466026
0.804719,-0.0011599999999999944,-0.56456,0.045043,0.132541,0.427834
0.771561,-0.00788899999999998,-0.591476,0.331466,0.224174,0.389487
0.743241,0.05888299999999999,-0.588882,0.962238,0.422122,0.323211
0.796279,0.04922500000000001,-0.636734,0.651155,0.401058,0.189885
0.811051,-0.030060000000000007,-0.698074,-0.050457,0.087631,0.09531
0.7360069999999999,0.0023040000000000005,-0.754394,-0.31673,-0.03372,0.040233
0.741013,0.037414,-0.761047,-0.068976,0.01233,-0.018961
0.7839209999999999,0.012940000000000007,-0.7345279999999998,0.11867200000000003,-0.044537,-0.13024
0.756942,0.04391499999999999,-0.6452340000000001,0.013005,-0.068535,-0.19993
0.82048,0.048203,-0.626556,-0.156863,-0.187966,-0.336655
0.8068849999999999,0.036941,-0.603424,-0.009126,-0.166052,-0.389858
0.776718,0.006195000000000006,-0.5806279999999999,0.215987,-0.085917,-0.422724
0.760818,-0.021591,-0.5648799999999999,0.258538,-0.043438,-0.466776
0.805084,0.026596000000000005,-0.558151,0.313437,-0.048764,-0.586293
0.8525849999999999,-0.121567,-0.569855,0.296087,-0.108265,-0.599388
0.810608,-0.208786,-0.568847,0.08038299999999998,-0.111922,-0.504554
0.803512,-0.214585,-0.581177,0.022182,-0.156408,-0.504378
0.73407,-0.024963,-0.5687709999999999,0.240561,-0.015538,-0.580917
0.82785,-0.044113,-0.5506139999999999,0.30782,-0.043308,-0.661957
0.826675,-0.119614,-0.566894,0.277157,-0.07624799999999998,-0.620921
0.825516,-0.159592,-0.5572659999999999,-0.014327,-0.152936,-0.603914
0.781815,-0.07911699999999999,-0.566116,-0.050231,-0.10063200000000001,-0.634181
0.832687,-0.155793,-0.522522,0.330497,0.044717,-0.528449
0.862579,-0.162628,-0.530288,0.541245,0.086567,-0.541337
0.8081819999999998,-0.195267,-0.5162049999999999,0.325912,0.031933,-0.50724
0.822449,-0.190812,-0.549591,0.003651,-0.029715,-0.516209
0.8200079999999998,-0.163375,-0.602204,-0.051989,-0.023118,-0.529776
0.824158,-0.195572,-0.5900259999999999,0.255121,0.027775,-0.412447
0.8658289999999998,-0.202896,-0.601501,0.570741,0.063744,-0.295011
0.8192439999999999,-0.215561,-0.588211,0.340301,0.005959,-0.254742
0.831497,-0.115097,-0.617004,0.25709,-0.048961,-0.331593
