ax,ay,az,wx,wy,wz
-1.252674,0.3385,-0.862493,-0.187951,3.696583,0.444287
-1.182138,0.351174,-0.86539,0.028939,3.666317,0.442424
-1.099643,0.340779,-0.907958,0.127082,3.628621,0.431843
-1.03508,0.328473,-0.92055,0.040205,3.612786,0.42561
-0.983393,0.327474,-0.887354,-0.07376399999999998,3.628496,0.448261
-0.925777,0.322054,-0.870089,-0.161889,3.620789,0.456567
-0.8530139999999999,0.328006,-0.860251,-0.288244,3.657469,0.543097
-0.762451,0.355515,-0.824342,-0.251428,3.629687,0.609581
-0.673543,0.354731,-0.82201,-0.175065,3.530885,0.631651
-0.608193,0.362909,-0.784257,-0.152938,3.501795,0.705358
-0.523848,0.371779,-0.74571,-0.130681,3.438784,0.799599
-0.422261,0.368347,-0.719228,-0.140051,3.338618,0.862525
-0.323472,0.381727,-0.696226,-0.061289,3.23526,0.987165
-0.240268,0.375266,-0.681162,0.10351,3.079202,0.998667
-0.16926100000000002,0.34934,-0.651929,0.181057,2.985417,1.042439
-0.10901700000000004,0.330096,-0.609626,0.243996,2.873451,1.06204
-0.05893000000000004,0.306162,-0.5815109999999999,0.270022,2.800254,1.106883
0.014795000000000003,0.27951499999999996,-0.5537080000000001,0.315613,2.731935,1.163841
0.09902299999999997,0.248707,-0.5297909999999999,0.399409,2.608998,1.2064450000000002
0.16222999999999999,0.219897,-0.5043139999999999,0.436564,2.518492,1.217581
0.23165,0.185704,-0.481851,0.40876,2.439065,1.223692
0.318773,0.14625,-0.45909,0.425009,2.368358,1.202104
0.389338,0.121481,-0.433448,0.488284,2.198543,1.131342
0.443985,0.08200600000000001,-0.41306300000000007,0.51452,2.094434,1.0821440000000002
0.5058799999999999,0.05017000000000001,-0.386054,0.479505,1.990655,1.031529
0.544678,0.02769,-0.36346,0.497212,1.881626,0.943694
0.553903,-0.011165,-0.354425,0.517221,1.797342,0.8919829999999999
0.56433,-0.046214,-0.34485499999999997,0.421649,1.817725,0.843485
0.5797129999999999,-0.056845,-0.331446,0.382577,1.798263,0.783049
0.5865340000000001,-0.054411,-0.314202,0.382458,1.827339,0.779416
0.623926,-0.061607,-0.280463,0.470642,1.825043,0.768752
0.681324,-0.080764,-0.224499,0.524898,1.748175,0.72555
0.715333,-0.077544,-0.180454,0.544755,1.691945,0.720877
0.717197,-0.053324,-0.128414,0.622396,1.587006,0.698301
0.71491,-0.089409,-0.06153699999999999,0.611795,1.49178,0.722577
0.734141,-0.107722,-0.023569999999999976,0.559292,1.449152,0.782858
0.73176,-0.11632,0.023206000000000008,0.623482,1.335653,0.797687
0.736908,-0.187016,0.089747,0.562691,1.241477,0.7916849999999999
0.7548189999999999,-0.244994,0.153856,0.418623,1.150653,0.786727
0.772995,-0.29577600000000004,0.241092,0.337379,0.985571,0.70717
0.8142769999999999,-0.378846,0.350702,0.141411,0.744297,0.588907
0.829569,-0.444022,0.43724299999999994,-0.069077,0.467532,0.452573
0.870264,-0.498456,0.517254,-0.2277,0.101553,0.282732
0.912541,-0.51163,0.537749,-0.256231,-0.329912,0.107217
0.896564,-0.464781,0.4845889999999999,-0.124405,-0.7441069999999999,-0.09572000000000003
0.837191,-0.418607,0.431149,0.043996,-1.124137,-0.279304
0.769104,-0.40164,0.394047,0.103143,-1.452831,-0.421007
0.708765,-0.385276,0.375515,0.039453,-1.702479,-0.511189
0.658542,-0.335082,0.33611500000000005,0.011173,-1.934758,-0.580835
0.596733,-0.265194,0.27759399999999995,0.032991,-2.148413,-0.627503
0.538963,-0.206251,0.218199,0.094982,-2.31681,-0.616216
0.5173289999999999,-0.170701,0.157903,0.093378,-2.50484,-0.591759
0.5006630000000001,-0.124547,0.09320499999999997,0.140779,-2.699948,-0.566003
0.473932,-0.093321,0.02018499999999995,0.203021,-2.923481,-0.534068
0.423801,-0.07533599999999999,-0.048815,0.12907900000000003,-3.096909,-0.473594
0.374078,-0.075761,-0.10699799999999998,-0.056387,-3.251,-0.407363
0.32043799999999995,-0.032940000000000004,-0.174525,-0.157664,-3.334228,-0.367606
0.24700999999999995,0.034123000000000014,-0.25563899999999995,-0.034342,-3.520964,-0.382687
0.16024399999999991,0.061492999999999985,-0.352602,0.002873,-3.634265,-0.326915
0.06711900000000004,0.07705500000000001,-0.458233,-0.174484,-3.688179,-0.256013
-0.025366,0.060368,-0.5777950000000001,-0.436513,-3.700706,-0.205894
-0.13969199999999998,0.10137800000000001,-0.605111,-0.771285,-3.59874,-0.194733
-0.25416999999999995,0.18582,-0.617001,-0.816874,-3.54394,-0.130936
-0.319858,0.185839,-0.6836260000000001,-0.8449459999999999,-3.578976,-0.044093
-0.320393,0.164379,-0.744161,-1.177109,-3.524544,0.067337
-0.374841,0.220788,-0.7,-1.50827,-3.663394,-0.011579
-0.521833,0.243574,-0.740726,-1.529485,-3.83086,-0.115134
-0.639492,0.308386,-0.889936,-1.221492,-3.720151,0.024138
-0.6097480000000001,0.361466,-1.015018,-0.783364,-3.952043,0.148539
-0.635222,0.318921,-1.035763,-0.636764,-4.125508,0.016424
-0.760011,0.30239,-0.957268,-0.702129,-4.280986,-0.051011
-0.894086,0.299867,-0.925262,-0.986215,-4.564637,0.053844
-1.033138,0.29153,-1.071453,-1.282307,-4.365698,0.140904
-1.104218,0.355874,-1.195624,-1.184014,-4.166736,0.13841
-1.120862,0.418721,-1.1262379999999999,-0.802687,-4.263892,0.058562
-1.2063640000000002,0.439619,-1.028528,-0.401659,-4.394971,0.04517
-1.322189,0.369,-1.177146,-0.170161,-4.150096,0.109204
-1.33123,0.328739,-1.220139,-0.267049,-3.866709,0.232802
-1.2974230000000002,0.306564,-1.002326,-0.634869,-3.757652,0.172684
-1.353218,0.25738,-0.8112809999999999,-1.215289,-3.749254,0.10505
-1.494531,0.261134,-0.94697,-1.415201,-3.414793,0.09555
-1.493358,0.322536,-1.1964880000000002,-0.965365,-2.986243,0.179048
-1.493358,0.322537,-1.1964880000000002,-0.399902,-2.926524,0.175349
-1.270309,0.253654,-0.950734,-0.260697,-2.82881,0.097061
-1.235619,0.17058299999999998,-0.795365,-0.518387,-2.691699,-0.035254
-1.272825,0.191463,-0.7935149999999999,-0.745114,-2.63981,-0.111859
-1.361538,0.270091,-0.916704,-0.631097,-2.400176,-0.131346
-1.356392,0.33956200000000003,-0.97744,-0.229627,-2.101382,-0.068217
-1.282837,0.358022,-0.932772,0.211597,-1.929304,-0.004819
-1.22709,0.323314,-0.8972049999999999,0.586236,-1.659662,0.08361699999999998
-1.185367,0.282133,-0.969578,0.977722,-1.325315,0.179231
-1.1423660000000002,0.204065,-1.048565,1.082373,-0.925418,0.246314
-1.121265,0.11786200000000002,-1.117863,0.840198,-0.445052,0.218457
-1.1007920000000002,0.027338000000000032,-1.1280249999999998,0.577758,0.194266,0.062283
-1.027742,0.03194,-1.04896,0.378211,0.444413,0.097602
-1.046476,0.072714,-0.953967,0.445455,0.7615739999999999,-0.084998
-1.073795,0.079319,-0.880885,0.575264,1.048478,-0.234842
-1.1134979999999999,0.049423,-0.861189,0.490656,1.367904,-0.431076
-1.176494,0.031235000000000006,-0.904715,0.365786,1.658913,-0.635757
-1.254252,0.009578000000000003,-0.972061,0.035328,1.902447,-0.734666
-1.329097,0.018155000000000004,-0.999986,-0.38993,2.24854,-0.771212
-1.363942,0.066711,-1.011713,-0.8075379999999999,2.521187,-0.726703
-1.399274,0.139274,-1.04268,-1.030466,2.783718,-0.602161
-1.469041,0.222401,-1.097519,-0.935094,3.057657,-0.406895
-1.539416,0.285752,-1.149604,-0.575648,3.420542,-0.225776
-1.560357,0.303069,-1.141241,-0.330731,3.668034,-0.101384
-1.553424,0.293042,-1.0894439999999999,-0.267009,3.9115,-0.011178
-1.536817,0.297227,-1.0796770000000002,-0.199266,4.081534,0.07556799999999998
-1.525866,0.314765,-1.0834800000000002,-0.111751,4.219543,0.128664
-1.5215429999999999,0.341751,-1.061961,0.033217,4.37298,0.173298
-1.461548,0.34702900000000003,-1.036995,0.196851,4.46634,0.201221
-1.3677530000000002,0.360195,-1.013891,0.408653,4.483475,0.17033
-1.280501,0.36372,-1.028687,0.579107,4.439798,0.09111
