epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613606208279,2021-02-17T23:58:45.918Z,34.224000000000004,99641.76171875
1613606208320,2021-02-17T23:58:45.933Z,34.265,99641.76171875
1613606208360,2021-02-17T23:58:45.947Z,34.305,99641.76171875
1613606208399,2021-02-17T23:58:45.962Z,34.344,99641.76171875
1613606208439,2021-02-17T23:58:45.976Z,34.384,99641.76171875
1613606208478,2021-02-17T23:58:45.991Z,34.423,99641.76171875
1613606208518,2021-02-17T23:58:45.993Z,34.463,99641.09765625
1613606208559,2021-02-17T23:58:46.007Z,34.504,99641.09765625
1613606208598,2021-02-17T23:58:46.022Z,34.543,99641.09765625
1613606208638,2021-02-17T23:58:46.037Z,34.583,99641.09765625
1613606208677,2021-02-17T23:58:46.051Z,34.622,99641.09765625
1613606208717,2021-02-17T23:58:46.055Z,34.662,99641.09765625
1613606208758,2021-02-17T23:58:46.068Z,34.703,99641.95703125
1613606208798,2021-02-17T23:58:46.082Z,34.743,99641.95703125
1613606208837,2021-02-17T23:58:46.097Z,34.782,99641.95703125
1613606208877,2021-02-17T23:58:46.111Z,34.821999999999996,99641.95703125
1613606208916,2021-02-17T23:58:46.127Z,34.861,99641.95703125
1613606208957,2021-02-17T23:58:46.129Z,34.902,99641.95703125
1613606208997,2021-02-17T23:58:46.172Z,34.942,99642.62109375
1613606209036,2021-02-17T23:58:46.187Z,34.981,99642.62109375
1613606209076,2021-02-17T23:58:46.201Z,35.021,99642.62109375
1613606209115,2021-02-17T23:58:46.203Z,35.06,99642.62109375
1613606209156,2021-02-17T23:58:46.218Z,35.101,99642.62109375
1613606209196,2021-02-17T23:58:46.232Z,35.141,99642.62109375
1613606209236,2021-02-17T23:58:46.247Z,35.181,99641.95703125
1613606209275,2021-02-17T23:58:46.263Z,35.22,99641.95703125
1613606209315,2021-02-17T23:58:46.277Z,35.26,99641.95703125
1613606209354,2021-02-17T23:58:46.292Z,35.299,99641.95703125
1613606209395,2021-02-17T23:58:46.306Z,35.34,99641.95703125
1613606209435,2021-02-17T23:58:46.308Z,35.38,99641.95703125
1613606209474,2021-02-17T23:58:46.323Z,35.419000000000004,99641.95703125
1613606209514,2021-02-17T23:58:46.339Z,35.459,99641.95703125
1613606209553,2021-02-17T23:58:46.352Z,35.498000000000005,99641.95703125
1613606209594,2021-02-17T23:58:46.366Z,35.539,99641.95703125
1613606209634,2021-02-17T23:58:46.381Z,35.579,99641.95703125
1613606209674,2021-02-17T23:58:46.384Z,35.619,99641.95703125
1613606209713,2021-02-17T23:58:46.398Z,35.658,99641.95703125
1613606209753,2021-02-17T23:58:46.412Z,35.698,99641.95703125
1613606209792,2021-02-17T23:58:46.427Z,35.736999999999995,99642.62109375
1613606209833,2021-02-17T23:58:46.441Z,35.778,99642.62109375
1613606209873,2021-02-17T23:58:46.449Z,35.818000000000005,99641.95703125
1613606209912,2021-02-17T23:58:46.458Z,35.857,99641.95703125
1613606209952,2021-02-17T23:58:46.473Z,35.897,99641.95703125
1613606209991,2021-02-17T23:58:46.489Z,35.936,99641.95703125
1613606210032,2021-02-17T23:58:46.501Z,35.977,99642.62109375
1613606210072,2021-02-17T23:58:46.516Z,36.016999999999996,99642.62109375
1613606210112,2021-02-17T23:58:46.518Z,36.056999999999995,99642.62109375
1613606210151,2021-02-17T23:58:46.535Z,36.096,99642.62109375
1613606210191,2021-02-17T23:58:46.547Z,36.135999999999996,99642.62109375
1613606210232,2021-02-17T23:58:46.562Z,36.177,99642.62109375
1613606210271,2021-02-17T23:58:46.576Z,36.216,99642.62109375
1613606210311,2021-02-17T23:58:46.578Z,36.256,99642.62109375
1613606210350,2021-02-17T23:58:46.593Z,36.295,99642.62109375
1613606210390,2021-02-17T23:58:46.608Z,36.335,99642.62109375
1613606210429,2021-02-17T23:58:46.623Z,36.374,99642.62109375
1613606210470,2021-02-17T23:58:46.636Z,36.415,99641.95703125
1613606210510,2021-02-17T23:58:46.638Z,36.455,99641.95703125
1613606210550,2021-02-17T23:58:46.653Z,36.495,99641.95703125
1613606210589,2021-02-17T23:58:46.667Z,36.534,99641.95703125
1613606210629,2021-02-17T23:58:46.684Z,36.574,99642.62109375
1613606210670,2021-02-17T23:58:46.696Z,36.615,99642.62109375
1613606210709,2021-02-17T23:58:46.712Z,36.654,99641.95703125
1613606210749,2021-02-17T23:58:46.714Z,36.694,99641.95703125
1613606210788,2021-02-17T23:58:46.730Z,36.733000000000004,99641.95703125
1613606210828,2021-02-17T23:58:46.745Z,36.773,99641.95703125
1613606210869,2021-02-17T23:58:46.757Z,36.814,99642.62109375
1613606210908,2021-02-17T23:58:46.771Z,36.853,99642.62109375
1613606210948,2021-02-17T23:58:46.786Z,36.893,99642.62109375
