epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1613606525039,2021-02-18T00:05:02.690Z,0.07,1.7154254913330078,-5.381649017333984,28.992021560668945
1613606525078,2021-02-18T00:05:02.692Z,0.109,2.090425491333008,-5.756649017333984,26.929521560668945
1613606525118,2021-02-18T00:05:02.704Z,0.149,2.090425491333008,-3.8816490173339844,28.179521560668945
1613606525157,2021-02-18T00:05:02.707Z,0.188,0.9654255509376526,-24.694149017333984,28.179521560668945
1613606525197,2021-02-18T00:05:02.720Z,0.228,2.465425491333008,-6.131649017333984,29.429521560668945
1613606525219,2021-02-18T00:05:02.750Z,0.25,2.090425491333008,-3.9441490173339844,27.742021560668945
1613606525259,2021-02-18T00:05:02.752Z,0.29,3.152925491333008,-5.381649017333984,28.179521560668945
1613606525298,2021-02-18T00:05:02.754Z,0.329,1.3404254913330078,-5.756649017333984,28.617021560668945
1613606525338,2021-02-18T00:05:02.766Z,0.369,2.777925491333008,-15.756649017333984,28.179521560668945
1613606525377,2021-02-18T00:05:02.768Z,0.408,3.152925491333008,-3.5691490173339844,26.929521560668945
1613606525417,2021-02-18T00:05:02.779Z,0.448,0.9654255509376526,-4.631649017333984,28.617021560668945
1613606525456,2021-02-18T00:05:02.781Z,0.487,2.465425491333008,-6.131649017333984,27.804521560668945
1613606525496,2021-02-18T00:05:02.784Z,0.527,1.3404254913330078,-5.006649017333984,26.992021560668945
1613606525535,2021-02-18T00:05:02.799Z,0.566,2.465425491333008,-5.381649017333984,29.429521560668945
1613606525575,2021-02-18T00:05:02.805Z,0.606,2.090425491333008,-3.9441490173339844,28.179521560668945
1613606525615,2021-02-18T00:05:02.806Z,0.646,2.777925491333008,-5.006649017333984,28.992021560668945
1613606525654,2021-02-18T00:05:02.811Z,0.685,3.152925491333008,-4.256649017333984,28.179521560668945
1613606525694,2021-02-18T00:05:02.814Z,0.725,1.7154254913330078,-5.756649017333984,27.367021560668945
1613606525733,2021-02-18T00:05:02.820Z,0.764,2.090425491333008,-5.006649017333984,28.992021560668945
1613606525773,2021-02-18T00:05:02.825Z,0.804,3.152925491333008,-6.881649017333984,27.367021560668945
1613606525812,2021-02-18T00:05:02.828Z,0.843,2.090425491333008,-5.756649017333984,26.992021560668945
1613606525852,2021-02-18T00:05:02.839Z,0.883,2.777925491333008,-6.131649017333984,28.992021560668945
1613606525891,2021-02-18T00:05:02.842Z,0.922,2.465425491333008,-5.006649017333984,26.554521560668945
1613606525931,2021-02-18T00:05:02.844Z,0.962,2.777925491333008,-6.881649017333984,27.367021560668945
1613606525970,2021-02-18T00:05:02.855Z,1.001,2.465425491333008,-4.631649017333984,29.429521560668945
1613606526010,2021-02-18T00:05:02.858Z,1.041,3.527925491333008,-5.006649017333984,28.179521560668945
1613606526050,2021-02-18T00:05:02.864Z,1.081,2.090425491333008,-6.506649017333984,28.992021560668945
1613606526089,2021-02-18T00:05:02.870Z,1.12,3.152925491333008,-4.631649017333984,30.679521560668945
1613606526129,2021-02-18T00:05:02.885Z,1.16,3.902925491333008,-5.756649017333984,30.242021560668945
1613606526168,2021-02-18T00:05:02.889Z,1.199,3.527925491333008,-7.631649017333984,31.492021560668945
1613606526209,2021-02-18T00:05:02.891Z,1.24,3.902925491333008,-6.881649017333984,31.867021560668945
1613606526247,2021-02-18T00:05:02.900Z,1.278,4.277925491333008,-6.131649017333984,31.929521560668945
1613606526288,2021-02-18T00:05:02.903Z,1.319,4.652925491333008,-6.506649017333984,32.74201965332031
1613606526328,2021-02-18T00:05:02.904Z,1.359,4.652925491333008,-13.194149017333984,35.17951965332031
1613606526367,2021-02-18T00:05:02.916Z,1.398,3.527925491333008,-6.506649017333984,33.99201965332031
1613606526407,2021-02-18T00:05:02.930Z,1.438,4.652925491333008,-7.256649017333984,36.80451965332031
1613606526447,2021-02-18T00:05:02.946Z,1.478,3.902925491333008,-7.256649017333984,37.24201965332031
1613606526486,2021-02-18T00:05:02.949Z,1.517,4.277925491333008,-6.131649017333984,40.11701965332031
1613606526526,2021-02-18T00:05:02.951Z,1.557,3.902925491333008,-7.256649017333984,40.55451965332031
1613606526565,2021-02-18T00:05:02.960Z,1.596,3.902925491333008,-8.006649017333984,40.92951965332031
1613606526605,2021-02-18T00:05:02.962Z,1.636,3.902925491333008,-7.631649017333984,42.61701965332031
1613606526644,2021-02-18T00:05:02.966Z,1.675,3.152925491333008,-6.506649017333984,43.80451965332031
1613606526684,2021-02-18T00:05:02.976Z,1.715,3.527925491333008,-6.131649017333984,43.05451965332031
1613606526723,2021-02-18T00:05:02.978Z,1.754,4.277925491333008,-8.006649017333984,45.49201965332031
1613606526763,2021-02-18T00:05:02.989Z,1.794,2.777925491333008,-19.881649017333984,45.49201965332031
1613606526803,2021-02-18T00:05:02.992Z,1.834,1.3404254913330078,-7.256649017333984,44.24201965332031
1613606526842,2021-02-18T00:05:02.998Z,1.873,1.3404254913330078,-8.756649017333984,45.05451965332031
1613606526882,2021-02-18T00:05:03.006Z,1.913,1.7154254913330078,-8.381649017333984,45.49201965332031
1613606526921,2021-02-18T00:05:03.008Z,1.952,2.090425491333008,-7.631649017333984,45.86701965332031
1613606526961,2021-02-18T00:05:03.011Z,1.992,0.9654255509376526,-7.256649017333984,47.55451965332031
1613606527000,2021-02-18T00:05:03.019Z,2.031,2.090425491333008,-8.006649017333984,46.30451965332031
1613606527040,2021-02-18T00:05:03.024Z,2.071,2.090425491333008,-7.631649017333984,47.49201965332031
1613606527079,2021-02-18T00:05:03.046Z,2.11,2.090425491333008,-8.006649017333984,47.11701965332031
1613606527119,2021-02-18T00:05:03.063Z,2.15,3.152925491333008,-9.506649017333984,46.67951965332031
1613606527158,2021-02-18T00:05:03.079Z,2.189,2.465425491333008,-8.756649017333984,47.92951965332031
1613606527198,2021-02-18T00:05:03.118Z,2.229,2.465425491333008,-9.506649017333984,47.92951965332031
1613606527238,2021-02-18T00:05:03.128Z,2.269,2.465425491333008,-10.194149017333984,45.05451965332031
1613606527277,2021-02-18T00:05:03.137Z,2.308,0.9654255509376526,-8.006649017333984,47.11701965332031
1613606527317,2021-02-18T00:05:03.145Z,2.348,2.090425491333008,-8.006649017333984,45.49201965332031
1613606527356,2021-02-18T00:05:03.156Z,2.387,1.7154254913330078,-8.381649017333984,47.55451965332031
1613606527396,2021-02-18T00:05:03.162Z,2.427,1.7154254913330078,-7.256649017333984,47.92951965332031
1613606527435,2021-02-18T00:05:03.163Z,2.466,2.777925491333008,-8.381649017333984,45.05451965332031
1613606527475,2021-02-18T00:05:03.165Z,2.506,2.777925491333008,-7.256649017333984,46.74201965332031
1613606527514,2021-02-18T00:05:03.184Z,2.545,3.527925491333008,-8.756649017333984,47.11701965332031
1613606527554,2021-02-18T00:05:03.186Z,2.585,3.527925491333008,-8.756649017333984,43.42951965332031
1613606527594,2021-02-18T00:05:03.190Z,2.625,3.527925491333008,-8.381649017333984,45.05451965332031
1613606527633,2021-02-18T00:05:03.191Z,2.664,2.777925491333008,-10.569149017333984,45.86701965332031
1613606527673,2021-02-18T00:05:03.193Z,2.704,2.777925491333008,-10.194149017333984,45.05451965332031
1613606527712,2021-02-18T00:05:03.195Z,2.743,3.527925491333008,-10.194149017333984,47.55451965332031
1613606527752,2021-02-18T00:05:03.210Z,2.783,3.152925491333008,-19.131649017333984,44.24201965332031
1613606527791,2021-02-18T00:05:03.221Z,2.822,2.465425491333008,-13.569149017333984,45.05451965332031
1613606527831,2021-02-18T00:05:03.224Z,2.862,2.777925491333008,-15.756649017333984,44.24201965332031
1613606527870,2021-02-18T00:05:03.235Z,2.901,2.777925491333008,-16.131649017333984,44.24201965332031
1613606527910,2021-02-18T00:05:03.238Z,2.941,2.777925491333008,-14.694149017333984,45.05451965332031
1613606527951,2021-02-18T00:05:03.259Z,2.982,4.277925491333008,-12.444149017333984,45.49201965332031
1613606527991,2021-02-18T00:05:03.275Z,3.022,2.777925491333008,-10.569149017333984,43.86701965332031
1613606528030,2021-02-18T00:05:03.277Z,3.061,2.465425491333008,-13.194149017333984,43.80451965332031
1613606528070,2021-02-18T00:05:03.302Z,3.101,2.090425491333008,-7.631649017333984,45.49201965332031
1613606528109,2021-02-18T00:05:03.304Z,3.14,3.152925491333008,-8.381649017333984,42.61701965332031
1613606528149,2021-02-18T00:05:03.306Z,3.18,3.152925491333008,-7.256649017333984,43.42951965332031
1613606528188,2021-02-18T00:05:03.313Z,3.219,1.7154254913330078,-25.819149017333984,42.99201965332031
1613606528228,2021-02-18T00:05:03.324Z,3.259,2.465425491333008,-8.381649017333984,42.61701965332031
1613606528267,2021-02-18T00:05:03.336Z,3.298,2.465425491333008,-9.131649017333984,43.42951965332031
1613606528307,2021-02-18T00:05:03.337Z,3.338,3.152925491333008,-8.006649017333984,42.61701965332031
1613606528346,2021-02-18T00:05:03.356Z,3.377,2.465425491333008,-8.756649017333984,40.92951965332031
1613606528386,2021-02-18T00:05:03.371Z,3.417,2.090425491333008,-9.506649017333984,43.42951965332031
1613606528426,2021-02-18T00:05:03.373Z,3.457,1.7154254913330078,-9.506649017333984,42.99201965332031
1613606528465,2021-02-18T00:05:03.375Z,3.496,2.090425491333008,-8.006649017333984,43.42951965332031
1613606528505,2021-02-18T00:05:03.376Z,3.536,0.9654255509376526,-9.506649017333984,43.42951965332031
1613606528544,2021-02-18T00:05:03.378Z,3.575,0.9654255509376526,-9.131649017333984,42.99201965332031
