epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613608809768,2021-02-18T00:42:09.295Z,64.23899999999999,99661.765625
1613608809808,2021-02-18T00:42:09.309Z,64.279,99661.765625
1613608809847,2021-02-18T00:42:09.312Z,64.318,99661.765625
1613608809885,2021-02-18T00:42:09.325Z,64.35600000000001,99661.765625
1613608809925,2021-02-18T00:42:09.340Z,64.396,99661.765625
1613608809964,2021-02-18T00:42:09.355Z,64.435,99661.765625
1613608810004,2021-02-18T00:42:09.369Z,64.475,99661.765625
1613608810043,2021-02-18T00:42:09.371Z,64.514,99661.765625
1613608810083,2021-02-18T00:42:09.386Z,64.554,99661.765625
1613608810122,2021-02-18T00:42:09.400Z,64.593,99661.0859375
1613608810162,2021-02-18T00:42:09.415Z,64.633,99661.0859375
1613608810202,2021-02-18T00:42:09.429Z,64.673,99661.765625
1613608810241,2021-02-18T00:42:09.444Z,64.712,99661.765625
1613608810281,2021-02-18T00:42:09.447Z,64.752,99661.0859375
1613608810319,2021-02-18T00:42:09.461Z,64.79,99661.0859375
1613608810358,2021-02-18T00:42:09.475Z,64.829,99661.0859375
1613608810398,2021-02-18T00:42:09.490Z,64.869,99661.0859375
1613608810437,2021-02-18T00:42:09.504Z,64.908,99661.0859375
1613608810477,2021-02-18T00:42:09.506Z,64.94800000000001,99661.0859375
1613608810517,2021-02-18T00:42:09.521Z,64.988,99661.0859375
1613608810556,2021-02-18T00:42:09.535Z,65.027,99661.0859375
1613608810596,2021-02-18T00:42:09.549Z,65.067,99661.0859375
1613608810635,2021-02-18T00:42:09.564Z,65.10600000000001,99661.0859375
1613608810675,2021-02-18T00:42:09.579Z,65.146,99661.0859375
1613608810714,2021-02-18T00:42:09.581Z,65.185,99661.0859375
1613608810752,2021-02-18T00:42:09.595Z,65.223,99661.0859375
1613608810792,2021-02-18T00:42:09.610Z,65.263,99661.0859375
1613608810831,2021-02-18T00:42:09.624Z,65.30199999999999,99661.0859375
1613608810871,2021-02-18T00:42:09.639Z,65.342,99661.0859375
1613608810911,2021-02-18T00:42:09.641Z,65.382,99661.0859375
1613608810950,2021-02-18T00:42:09.655Z,65.421,99661.0859375
1613608810990,2021-02-18T00:42:09.670Z,65.461,99661.0859375
1613608811029,2021-02-18T00:42:09.685Z,65.5,99661.0859375
1613608811069,2021-02-18T00:42:09.699Z,65.54,99661.0859375
1613608811108,2021-02-18T00:42:09.701Z,65.579,99661.0859375
1613608811148,2021-02-18T00:42:09.716Z,65.619,99661.0859375
1613608811186,2021-02-18T00:42:09.730Z,65.657,99661.0859375
1613608811225,2021-02-18T00:42:09.744Z,65.696,99661.0859375
1613608811265,2021-02-18T00:42:09.759Z,65.736,99661.0859375
1613608811305,2021-02-18T00:42:09.774Z,65.77600000000001,99661.0859375
1613608811344,2021-02-18T00:42:09.776Z,65.815,99661.0859375
1613608811384,2021-02-18T00:42:09.790Z,65.855,99661.0859375
1613608811423,2021-02-18T00:42:09.804Z,65.89399999999999,99661.0859375
1613608811463,2021-02-18T00:42:09.820Z,65.934,99661.0859375
1613608811502,2021-02-18T00:42:09.834Z,65.973,99661.0859375
1613608811542,2021-02-18T00:42:09.836Z,66.013,99661.0859375
1613608811581,2021-02-18T00:42:09.850Z,66.05199999999999,99661.0859375
1613608811620,2021-02-18T00:42:09.865Z,66.09100000000001,99661.0859375
1613608811659,2021-02-18T00:42:09.879Z,66.13,99661.0859375
1613608811699,2021-02-18T00:42:09.894Z,66.17,99661.0859375
1613608811738,2021-02-18T00:42:09.896Z,66.209,99661.0859375
1613608811778,2021-02-18T00:42:09.913Z,66.249,99661.0859375
1613608811817,2021-02-18T00:42:09.925Z,66.288,99661.0859375
1613608811857,2021-02-18T00:42:09.939Z,66.328,99660.4140625
1613608811896,2021-02-18T00:42:09.954Z,66.367,99660.4140625
1613608811936,2021-02-18T00:42:09.969Z,66.407,99660.4140625
1613608811975,2021-02-18T00:42:09.971Z,66.446,99660.4140625
1613608812015,2021-02-18T00:42:09.985Z,66.486,99660.4140625
1613608812053,2021-02-18T00:42:10.000Z,66.524,99660.4140625
1613608812093,2021-02-18T00:42:10.015Z,66.564,99660.4140625
