epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1613608135084,2021-02-18T00:28:55.084Z,0,0.6491485664968407,0.27293359704316184,0.04219836938264452,-0.7087543212154854
1613608135099,2021-02-18T00:28:55.099Z,0.015,0.6491485664968407,0.27293359704316184,0.04219836938264452,-0.7087543212154854
1613608135129,2021-02-18T00:28:55.129Z,0.045,0.649240196812601,0.272574692140631,0.04209367228429938,-0.7088147337639065
1613608135144,2021-02-18T00:28:55.144Z,0.06,0.6493814914285355,0.27224746152609314,0.04201197140535077,-0.7088159087811766
1613608135173,2021-02-18T00:28:55.174Z,0.089,0.649511736985727,0.27197695326838806,0.04194522008856615,-0.7088043728140725
1613608135174,2021-02-18T00:28:55.174Z,0.09,0.649624953197186,0.2717721025227077,0.041899631449483256,-0.708781888424315
1613608135203,2021-02-18T00:28:55.204Z,0.119,0.6535382872898745,0.26108575642154563,0.03229035378344889,-0.7097036479352116
1613608135219,2021-02-18T00:28:55.219Z,0.135,0.6609391429644652,0.23950174080539036,0.012893811523077274,-0.7110781357016913
1613608135249,2021-02-18T00:28:55.249Z,0.165,0.6677729483415611,0.217535339933367,-0.0066554379265008215,-0.711838022649324
1613608135264,2021-02-18T00:28:55.264Z,0.18,0.6739945031538652,0.19523499673268824,-0.02633569143336645,-0.7119839444298501
1613608135280,2021-02-18T00:28:55.280Z,0.196,0.6795760337225752,0.1727120621054028,-0.0460069070424321,-0.7114986454643338
1613608135294,2021-02-18T00:28:55.294Z,0.21,0.6844912920055901,0.15013482577888532,-0.06557663985247071,-0.7103737815844
1613608135324,2021-02-18T00:28:55.324Z,0.24,0.6887314819430884,0.1276452985774715,-0.084983253422451,-0.708613766567713
1613608135339,2021-02-18T00:28:55.339Z,0.255,0.6923055602620339,0.10545304813697515,-0.10409312793315749,-0.7062275034193892
1613608135369,2021-02-18T00:28:55.369Z,0.285,0.6952310339307128,0.08367934786357044,-0.1228327790663122,-0.7032522197530598
1613608135383,2021-02-18T00:28:55.384Z,0.299,0.6975536490034716,0.062329684100892555,-0.14103224476025683,-0.6997455417362141
1613608135398,2021-02-18T00:28:55.399Z,0.314,0.6993124224743228,0.0415023155905895,-0.1585983388087654,-0.6957630778510839
1613608135413,2021-02-18T00:28:55.414Z,0.329,0.7005320521873318,0.021205359359619577,-0.17554579715293925,-0.6913673767936798
1613608135443,2021-02-18T00:28:55.444Z,0.359,0.7012389434572618,0.0014649993520063657,-0.19185543647097478,-0.6866245622262386
1613608135458,2021-02-18T00:28:55.459Z,0.374,0.7014742356493211,-0.01764403500566872,-0.20749033592434082,-0.6815939738927594
1613608135473,2021-02-18T00:28:55.474Z,0.389,0.7012599606904308,-0.03612741079480475,-0.22251638065510498,-0.6763251718381266
1613608135503,2021-02-18T00:28:55.504Z,0.419,0.7006454910549925,-0.053991333527622344,-0.2369947309590334,-0.6708310735691012
1613608135518,2021-02-18T00:28:55.519Z,0.434,0.6997061208867066,-0.07126474311981303,-0.2509045908407711,-0.6651162056939899
1613608135533,2021-02-18T00:28:55.534Z,0.449,0.6984246041996699,-0.08799912678159937,-0.2641381299205176,-0.6593104536227999
1613608135563,2021-02-18T00:28:55.564Z,0.479,0.6968195541148409,-0.10413878609423294,-0.27683206660263265,-0.6534230093396846
1613608135578,2021-02-18T00:28:55.579Z,0.494,0.6949380125614736,-0.11968417961833959,-0.2889808049325889,-0.6474773742971311
1613608135593,2021-02-18T00:28:55.594Z,0.509,0.6928045523652855,-0.1346194439242651,-0.30057086904979585,-0.6415267805930697
1613608135624,2021-02-18T00:28:55.624Z,0.54,0.6904623400504751,-0.14896913383658597,-0.3115963646142838,-0.6355923691291157
1613608135639,2021-02-18T00:28:55.639Z,0.555,0.6879801687126659,-0.1626536572157289,-0.32202665755147347,-0.6297030308634904
1613608135653,2021-02-18T00:28:55.654Z,0.569,0.6854273716446171,-0.1756032594132223,-0.3318042257253693,-0.6239060580524863
1613608135684,2021-02-18T00:28:55.684Z,0.6,0.6828209308596022,-0.18782011044799612,-0.34099189626137194,-0.6182262605029026
1613608135698,2021-02-18T00:28:55.699Z,0.614,0.6801971337950475,-0.1992496634348941,-0.3496008576113781,-0.6127076555384898
1613608135714,2021-02-18T00:28:55.714Z,0.63,0.677578398970334,-0.2099846537511983,-0.3576449818222467,-0.6073582348294565
1613608135743,2021-02-18T00:28:55.744Z,0.659,0.6749842176365222,-0.22004112048200325,-0.36510229663283744,-0.6022279669959408
1613608135758,2021-02-18T00:28:55.759Z,0.674,0.6724363404061118,-0.22946252719744364,-0.3720285491138059,-0.5973031687155816
1613608135773,2021-02-18T00:28:55.774Z,0.689,0.6699530570142428,-0.23831613703773308,-0.37845989052357204,-0.5925676598411098
1613608135803,2021-02-18T00:28:55.804Z,0.719,0.6676033084450052,-0.24649521183729606,-0.3844503240109755,-0.5879998992027343
1613608135818,2021-02-18T00:28:55.819Z,0.734,0.6653075057027492,-0.25415204320936563,-0.39006394515880716,-0.5836289750134395
1613608135833,2021-02-18T00:28:55.834Z,0.749,0.6631302587204577,-0.2612654535106841,-0.395223386122213,-0.5794800236706072
1613608135878,2021-02-18T00:28:55.879Z,0.794,0.6610730635994019,-0.26787769100441094,-0.39995639951969897,-0.5755508889131223
1613608135879,2021-02-18T00:28:55.879Z,0.795,0.6590947244489015,-0.2740002208522442,-0.4043539604082659,-0.5718530387072351
1613608135893,2021-02-18T00:28:55.894Z,0.809,0.6572097316893181,-0.27969520731579056,-0.40841682505788385,-0.5683675365351804
1613608135923,2021-02-18T00:28:55.924Z,0.839,0.6553563097953603,-0.28508512344564585,-0.4122753405794163,-0.5650341787463081
1613608135938,2021-02-18T00:28:55.939Z,0.854,0.653472909298046,-0.29015152496882757,-0.4160124669822865,-0.5618886692994649
1613608135953,2021-02-18T00:28:55.954Z,0.869,0.6515800602362253,-0.294983165446232,-0.41967946416641383,-0.558835847600053
1613608135983,2021-02-18T00:28:55.989Z,0.899,0.6497054432583725,-0.2995732332274319,-0.4232061383830593,-0.5559094165140603
1613608135998,2021-02-18T00:28:55.999Z,0.914,0.6478522305793111,-0.3039733140242351,-0.4266031488158876,-0.5530799807576701
1613608136014,2021-02-18T00:28:56.014Z,0.93,0.6460835638173477,-0.3082774108338764,-0.42975443217457937,-0.5503200837339496
1613608136043,2021-02-18T00:28:56.044Z,0.959,0.6443972863413375,-0.3125137886371475,-0.43267513657156315,-0.5476125413651115
1613608136058,2021-02-18T00:28:56.059Z,0.974,0.6427631420868094,-0.31658404945142044,-0.43544888315735164,-0.5449902319901225
1613608136073,2021-02-18T00:28:56.074Z,0.989,0.641136586352243,-0.32048722410427627,-0.43811356074118846,-0.5424834787541507
