epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613608608096,2021-02-18T00:38:22.569Z,57.358000000000004,99684.31640625
1613608608135,2021-02-18T00:38:22.584Z,57.397,99684.31640625
1613608608175,2021-02-18T00:38:22.588Z,57.437,99684.31640625
1613608608214,2021-02-18T00:38:22.601Z,57.476000000000006,99684.97265625
1613608608255,2021-02-18T00:38:22.615Z,57.516999999999996,99684.97265625
1613608608295,2021-02-18T00:38:22.630Z,57.556999999999995,99685.83203125
1613608608334,2021-02-18T00:38:22.644Z,57.596000000000004,99685.83203125
1613608608374,2021-02-18T00:38:22.646Z,57.636,99685.17578125
1613608608414,2021-02-18T00:38:22.661Z,57.676,99685.17578125
1613608608455,2021-02-18T00:38:22.675Z,57.717,99685.17578125
1613608608494,2021-02-18T00:38:22.690Z,57.756,99685.17578125
1613608608534,2021-02-18T00:38:22.704Z,57.79600000000001,99685.17578125
1613608608573,2021-02-18T00:38:22.707Z,57.835,99685.17578125
1613608608613,2021-02-18T00:38:22.721Z,57.875,99685.17578125
1613608608654,2021-02-18T00:38:22.735Z,57.916000000000004,99685.17578125
1613608608693,2021-02-18T00:38:22.750Z,57.955,99685.83203125
1613608608733,2021-02-18T00:38:22.764Z,57.995,99685.83203125
1613608608772,2021-02-18T00:38:22.779Z,58.034,99685.83203125
1613608608812,2021-02-18T00:38:22.782Z,58.074,99685.83203125
1613608608852,2021-02-18T00:38:22.795Z,58.114,99685.83203125
1613608608893,2021-02-18T00:38:22.811Z,58.155,99685.83203125
1613608608932,2021-02-18T00:38:22.825Z,58.193999999999996,99685.83203125
1613608608972,2021-02-18T00:38:22.840Z,58.233999999999995,99685.83203125
1613608609011,2021-02-18T00:38:22.841Z,58.273,99685.83203125
1613608609051,2021-02-18T00:38:22.856Z,58.313,99685.83203125
1613608609092,2021-02-18T00:38:22.874Z,58.354,99685.83203125
1613608609131,2021-02-18T00:38:22.887Z,58.393,99685.83203125
1613608609171,2021-02-18T00:38:22.899Z,58.433,99685.83203125
1613608609210,2021-02-18T00:38:22.904Z,58.472,99685.83203125
1613608609250,2021-02-18T00:38:22.917Z,58.512,99685.83203125
1613608609291,2021-02-18T00:38:22.931Z,58.553000000000004,99684.97265625
1613608609331,2021-02-18T00:38:22.946Z,58.593,99684.97265625
1613608609370,2021-02-18T00:38:22.960Z,58.632,99684.97265625
1613608609410,2021-02-18T00:38:22.975Z,58.672,99684.97265625
1613608609449,2021-02-18T00:38:22.979Z,58.711000000000006,99684.97265625
1613608609490,2021-02-18T00:38:22.992Z,58.751999999999995,99684.97265625
1613608609530,2021-02-18T00:38:23.006Z,58.792,99684.97265625
1613608609569,2021-02-18T00:38:23.023Z,58.831,99684.97265625
1613608609609,2021-02-18T00:38:23.034Z,58.871,99684.97265625
1613608609648,2021-02-18T00:38:23.036Z,58.91,99684.97265625
1613608609688,2021-02-18T00:38:23.055Z,58.95,99684.97265625
1613608609729,2021-02-18T00:38:23.065Z,58.99100000000001,99684.97265625
1613608609769,2021-02-18T00:38:23.083Z,59.031000000000006,99684.97265625
1613608609808,2021-02-18T00:38:23.096Z,59.07,99684.97265625
1613608609848,2021-02-18T00:38:23.098Z,59.11,99684.97265625
1613608609887,2021-02-18T00:38:23.111Z,59.148999999999994,99684.97265625
1613608609928,2021-02-18T00:38:23.125Z,59.19,99684.97265625
1613608609968,2021-02-18T00:38:23.139Z,59.23,99684.97265625
1613608610007,2021-02-18T00:38:23.157Z,59.269,99684.97265625
1613608610047,2021-02-18T00:38:23.188Z,59.309,99684.97265625
1613608610086,2021-02-18T00:38:23.210Z,59.348,99684.97265625
1613608610126,2021-02-18T00:38:23.216Z,59.388000000000005,99684.97265625
1613608610167,2021-02-18T00:38:23.233Z,59.428999999999995,99684.97265625
1613608610206,2021-02-18T00:38:23.244Z,59.468,99684.97265625
1613608610246,2021-02-18T00:38:23.260Z,59.508,99684.97265625
1613608610286,2021-02-18T00:38:23.262Z,59.548,99684.97265625
1613608610325,2021-02-18T00:38:23.276Z,59.586999999999996,99684.97265625
1613608610366,2021-02-18T00:38:23.299Z,59.628,99684.97265625
1613608610406,2021-02-18T00:38:23.305Z,59.668,99684.97265625
1613608610445,2021-02-18T00:38:23.319Z,59.707,99684.97265625
1613608610485,2021-02-18T00:38:23.323Z,59.747,99684.97265625
1613608610524,2021-02-18T00:38:23.335Z,59.786,99684.97265625
1613608610565,2021-02-18T00:38:23.350Z,59.827,99684.97265625
1613608610605,2021-02-18T00:38:23.367Z,59.867,99684.97265625
1613608610644,2021-02-18T00:38:23.379Z,59.906000000000006,99684.97265625
1613608610684,2021-02-18T00:38:23.382Z,59.946000000000005,99684.97265625
1613608610724,2021-02-18T00:38:23.396Z,59.986000000000004,99684.97265625
1613608610765,2021-02-18T00:38:23.411Z,60.027,99684.97265625
1613608610804,2021-02-18T00:38:23.425Z,60.066,99684.97265625
1613608610844,2021-02-18T00:38:23.440Z,60.106,99684.97265625
1613608610883,2021-02-18T00:38:23.456Z,60.145,99684.97265625
1613608610923,2021-02-18T00:38:23.471Z,60.185,99684.97265625
1613608610962,2021-02-18T00:38:23.484Z,60.224,99684.97265625
1613608611003,2021-02-18T00:38:23.499Z,60.265,99684.31640625
1613608611043,2021-02-18T00:38:23.501Z,60.305,99684.31640625
1613608611082,2021-02-18T00:38:23.516Z,60.343999999999994,99684.31640625
1613608611122,2021-02-18T00:38:23.533Z,60.38399999999999,99684.31640625
