epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1613609022979,2021-02-18T00:46:31.387Z,0.013,-0.028450898826122284,-0.23579442501068115,0.9893713593482971
1613609023019,2021-02-18T00:46:31.389Z,0.053,-0.025765351951122284,-0.24458348751068115,0.9959631562232971
1613609023060,2021-02-18T00:46:31.391Z,0.094,-0.027962617576122284,-0.25117528438568115,0.9905920624732971
1613609023099,2021-02-18T00:46:31.402Z,0.133,-0.029427461326122284,-0.27046239376068115,0.9825354218482971
1613609023140,2021-02-18T00:46:31.416Z,0.174,-0.036995820701122284,-0.28828465938568115,0.9756994843482971
1613609023181,2021-02-18T00:46:31.428Z,0.215,-0.039681367576122284,-0.28389012813568115,0.9744787812232971
1613609023221,2021-02-18T00:46:31.429Z,0.255,-0.048470430076122284,-0.27998387813568115,0.9754553437232971
1613609023262,2021-02-18T00:46:31.432Z,0.296,-0.056527070701122284,-0.27949559688568115,0.9769201874732971
1613609023301,2021-02-18T00:46:31.435Z,0.335,-0.038460664451122284,-0.24140965938568115,0.9561682343482971
1613609023342,2021-02-18T00:46:31.438Z,0.376,-0.037239961326122284,-0.25459325313568115,0.9893713593482971
1613609023382,2021-02-18T00:46:31.448Z,0.416,-0.028939180076122284,-0.21919286251068115,0.9952307343482971
1613609023423,2021-02-18T00:46:31.450Z,0.457,-0.015023165382444859,-0.24458348751068115,0.9727697968482971
1613609023462,2021-02-18T00:46:31.462Z,0.496,-0.016732148826122284,-0.24726903438568115,0.9786291718482971
1613609023504,2021-02-18T00:46:31.463Z,0.538,-0.015755586326122284,-0.24556005001068115,0.9832678437232971
1613609023543,2021-02-18T00:46:31.466Z,0.577,-0.016976289451122284,-0.23017919063568115,1.002066731452942
1613609023584,2021-02-18T00:46:31.477Z,0.618,-0.011361056007444859,-0.22798192501068115,0.9966955780982971
1613609023624,2021-02-18T00:46:31.479Z,0.658,-0.010140352882444859,-0.22285497188568115,0.9783850312232971
1613609023665,2021-02-18T00:46:31.481Z,0.699,-0.009163790382444859,-0.22554051876068115,0.9832678437232971
1613609023706,2021-02-18T00:46:31.493Z,0.74,-0.021370820701122284,-0.21601903438568115,0.9732580780982971
1613609023745,2021-02-18T00:46:31.497Z,0.779,-0.022591523826122284,-0.22309911251068115,0.9781408905982971
1613609023786,2021-02-18T00:46:31.499Z,0.82,-0.037484101951122284,-0.23310887813568115,0.9847326874732971
1613609023826,2021-02-18T00:46:31.508Z,0.86,-0.044075898826122284,-0.24824559688568115,0.9849768280982971
1613609023867,2021-02-18T00:46:31.510Z,0.901,-0.055550508201122284,-0.25996434688568115,0.9903479218482971
1613609023906,2021-02-18T00:46:31.521Z,0.94,-0.058968476951122284,-0.26728856563568115,1.003043293952942
1613609023947,2021-02-18T00:46:31.525Z,0.981,-0.050179414451122284,-0.25410497188568115,0.9935217499732971
1613609023987,2021-02-18T00:46:31.528Z,1.021,-0.043343476951122284,-0.23432958126068115,0.9549475312232971
1613609024028,2021-02-18T00:46:31.537Z,1.062,-0.030892305076122284,-0.26557958126068115,0.9678869843482971
1613609024067,2021-02-18T00:46:31.541Z,1.101,-0.028939180076122284,-0.24238622188568115,0.9986487030982971
1613609024108,2021-02-18T00:46:31.552Z,1.142,-0.022103242576122284,-0.22773778438568115,0.9896154999732971
1613609024148,2021-02-18T00:46:31.557Z,1.182,-0.020394258201122284,-0.23921239376068115,0.9879065155982971
1613609024189,2021-02-18T00:46:31.560Z,1.223,-0.024544648826122284,-0.23847997188568115,0.9859533905982971
1613609024230,2021-02-18T00:46:31.564Z,1.264,-0.016243867576122284,-0.21089208126068115,0.9859533905982971
1613609024270,2021-02-18T00:46:31.573Z,1.304,-0.013070040382444859,-0.19477880001068115,0.9810705780982971
1613609024311,2021-02-18T00:46:31.591Z,1.345,-0.014046602882444859,-0.21308934688568115,0.9896154999732971
1613609024350,2021-02-18T00:46:31.600Z,1.384,-0.026253633201122284,-0.22920262813568115,0.9820471405982971
1613609024391,2021-02-18T00:46:31.603Z,1.425,-0.039193086326122284,-0.24385106563568115,0.9832678437232971
1613609024431,2021-02-18T00:46:31.607Z,1.465,-0.050179414451122284,-0.26948583126068115,0.9879065155982971
1613609024472,2021-02-18T00:46:31.613Z,1.506,-0.06629269570112228,-0.28730809688568115,0.9898596405982971
1613609024511,2021-02-18T00:46:31.616Z,1.545,-0.061165742576122284,-0.28462255001068115,0.9854651093482971
1613609024552,2021-02-18T00:46:31.618Z,1.586,-0.047738008201122284,-0.27021825313568115,0.9481115937232971
1613609024592,2021-02-18T00:46:31.630Z,1.626,-0.036751680076122284,-0.25679051876068115,0.9507971405982971
1613609024633,2021-02-18T00:46:31.634Z,1.667,-0.033821992576122284,-0.28218114376068115,0.9783850312232971
1613609024672,2021-02-18T00:46:31.641Z,1.706,-0.041146211326122284,-0.26557958126068115,0.9427404999732971
1613609024713,2021-02-18T00:46:31.646Z,1.747,-0.043587617576122284,-0.24116551876068115,0.9886389374732971
