epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613609719120,2021-02-18T01:05:49.351Z,0.316,99685.29231770833
1613609719197,2021-02-18T01:05:49.361Z,0.393,99684.92513020833
1613609719275,2021-02-18T01:05:49.370Z,0.471,99684.72981770833
1613609719353,2021-02-18T01:05:49.391Z,0.549,99684.55013020833
1613609719430,2021-02-18T01:05:49.399Z,0.626,99684.36263020833
1613609719508,2021-02-18T01:05:49.405Z,0.704,99684.17513020833
1613609719586,2021-02-18T01:05:49.417Z,0.782,99684.84700520833
1613609719663,2021-02-18T01:05:49.450Z,0.859,99684.65950520833
1613609719741,2021-02-18T01:05:49.477Z,0.937,99684.47200520833
1613609719818,2021-02-18T01:05:49.489Z,1.014,99683.58138020833
1613609719896,2021-02-18T01:05:49.599Z,1.092,99684.25325520833
1613609719974,2021-02-18T01:05:49.611Z,1.17,99683.39388020833
1613609720051,2021-02-18T01:05:49.622Z,1.247,99683.39388020833
1613609720129,2021-02-18T01:05:49.629Z,1.325,99684.06575520833
1613609720207,2021-02-18T01:05:49.636Z,1.403,99683.20638020833
1613609720284,2021-02-18T01:05:49.642Z,1.48,99683.87825520833
1613609720362,2021-02-18T01:05:49.653Z,1.558,99683.02669270833
1613609720440,2021-02-18T01:05:49.660Z,1.636,99683.02669270833
1613609720517,2021-02-18T01:05:49.675Z,1.713,99683.02669270833
1613609720595,2021-02-18T01:05:49.691Z,1.791,99683.02669270833
1613609720672,2021-02-18T01:05:49.704Z,1.868,99683.02669270833
1613609720750,2021-02-18T01:05:49.720Z,1.946,99682.17513020833
1613609720828,2021-02-18T01:05:49.736Z,2.024,99682.17513020833
1613609720905,2021-02-18T01:05:49.751Z,2.101,99682.17513020833
1613609720983,2021-02-18T01:05:49.759Z,2.179,99682.17513020833
1613609721061,2021-02-18T01:05:49.774Z,2.257,99681.31575520833
1613609721138,2021-02-18T01:05:49.789Z,2.334,99681.31575520833
1613609721216,2021-02-18T01:05:49.802Z,2.412,99681.31575520833
1613609721294,2021-02-18T01:05:49.809Z,2.49,99681.31575520833
1613609721371,2021-02-18T01:05:49.821Z,2.567,99681.31575520833
1613609721449,2021-02-18T01:05:49.835Z,2.645,99681.31575520833
1613609721526,2021-02-18T01:05:49.847Z,2.722,99681.31575520833
1613609721604,2021-02-18T01:05:49.856Z,2.8,99681.31575520833
1613609721683,2021-02-18T01:05:49.879Z,2.879,99681.31575520833
1613609721759,2021-02-18T01:05:49.886Z,2.955,99681.31575520833
1613609721837,2021-02-18T01:05:49.897Z,3.033,99681.31575520833
1613609721915,2021-02-18T01:05:49.910Z,3.111,99680.45638020833
1613609721992,2021-02-18T01:05:49.924Z,3.188,99681.12825520833
1613609722070,2021-02-18T01:05:49.937Z,3.266,99681.12825520833
1613609722148,2021-02-18T01:05:49.953Z,3.344,99681.12825520833
1613609722225,2021-02-18T01:05:49.961Z,3.421,99681.12825520833
1613609722303,2021-02-18T01:05:49.984Z,3.499,99681.80013020833
1613609722380,2021-02-18T01:05:49.991Z,3.576,99681.80013020833
1613609722458,2021-02-18T01:05:50.003Z,3.654,99681.12825520833
1613609722536,2021-02-18T01:05:50.016Z,3.732,99681.12825520833
1613609722615,2021-02-18T01:05:50.035Z,3.811,99681.12825520833
1613609722692,2021-02-18T01:05:50.044Z,3.888,99681.80013020833
1613609722770,2021-02-18T01:05:50.087Z,3.966,99681.12825520833
1613609722848,2021-02-18T01:05:50.101Z,4.044,99681.80013020833
1613609722925,2021-02-18T01:05:50.107Z,4.121,99681.12825520833
1613609723003,2021-02-18T01:05:50.132Z,4.199,99681.80013020833
1613609723081,2021-02-18T01:05:50.137Z,4.277,99681.80013020833
1613609723158,2021-02-18T01:05:50.150Z,4.354,99681.80013020833
1613609723236,2021-02-18T01:05:50.178Z,4.432,99681.12825520833
1613609723314,2021-02-18T01:05:50.191Z,4.51,99681.12825520833
1613609723391,2021-02-18T01:05:50.198Z,4.587,99681.12825520833
1613609723469,2021-02-18T01:05:50.236Z,4.665,99681.12825520833
1613609723546,2021-02-18T01:05:50.245Z,4.742,99681.12825520833
1613609723624,2021-02-18T01:05:50.266Z,4.82,99681.12825520833
1613609723702,2021-02-18T01:05:50.271Z,4.898,99681.12825520833
1613609723779,2021-02-18T01:05:50.277Z,4.975,99681.12825520833
1613609723857,2021-02-18T01:05:50.329Z,5.053,99681.12825520833
1613609723935,2021-02-18T01:05:50.348Z,5.131,99680.45638020833
1613609724012,2021-02-18T01:05:50.365Z,5.208,99680.45638020833
1613609724090,2021-02-18T01:05:50.397Z,5.286,99681.12825520833
1613609724168,2021-02-18T01:05:50.428Z,5.364,99681.12825520833
1613609724245,2021-02-18T01:05:50.458Z,5.441,99680.45638020833
1613609724323,2021-02-18T01:05:50.463Z,5.519,99681.12825520833
1613609724400,2021-02-18T01:05:50.469Z,5.596,99681.12825520833
1613609724478,2021-02-18T01:05:50.474Z,5.674,99681.98763020833
1613609724556,2021-02-18T01:05:50.478Z,5.752,99681.98763020833
1613609724633,2021-02-18T01:05:50.483Z,5.829,99681.98763020833
1613609724711,2021-02-18T01:05:50.492Z,5.907,99681.31575520833
1613609724789,2021-02-18T01:05:50.498Z,5.985,99681.31575520833
1613609724866,2021-02-18T01:05:50.507Z,6.062,99681.31575520833
1613609724944,2021-02-18T01:05:50.513Z,6.14,99681.31575520833
1613609725022,2021-02-18T01:05:50.522Z,6.218,99680.64388020833
1613609725099,2021-02-18T01:05:50.528Z,6.295,99680.64388020833
1613609725177,2021-02-18T01:05:50.537Z,6.373,99679.98763020833
1613609725254,2021-02-18T01:05:50.545Z,6.45,99679.98763020833
1613609725332,2021-02-18T01:05:50.554Z,6.528,99679.98763020833
1613609725410,2021-02-18T01:05:50.559Z,6.606,99679.98763020833
1613609725487,2021-02-18T01:05:50.572Z,6.683,99680.16731770833
1613609725565,2021-02-18T01:05:50.659Z,6.761,99680.16731770833
1613609725643,2021-02-18T01:05:50.683Z,6.839,99680.16731770833
1613609725720,2021-02-18T01:05:50.695Z,6.916,99680.16731770833
1613609725798,2021-02-18T01:05:50.703Z,6.994,99679.50325520833
1613609725876,2021-02-18T01:05:50.715Z,7.072,99679.50325520833
1613609725953,2021-02-18T01:05:50.761Z,7.149,99679.50325520833
1613609726031,2021-02-18T01:05:50.777Z,7.227,99679.50325520833
1613609726108,2021-02-18T01:05:50.792Z,7.304,99679.50325520833
1613609726186,2021-02-18T01:05:50.831Z,7.382,99679.50325520833
1613609726264,2021-02-18T01:05:50.844Z,7.46,99678.83138020833
1613609726341,2021-02-18T01:05:50.868Z,7.537,99678.83138020833
1613609726419,2021-02-18T01:05:50.876Z,7.615,99678.83138020833
1613609726497,2021-02-18T01:05:50.887Z,7.693,99678.83138020833
1613609726574,2021-02-18T01:05:50.896Z,7.77,99678.83138020833
1613609726652,2021-02-18T01:05:50.903Z,7.848,99678.83138020833
1613609726730,2021-02-18T01:05:50.913Z,7.926,99678.83138020833
1613609726807,2021-02-18T01:05:50.921Z,8.003,99678.15950520833
1613609726885,2021-02-18T01:05:50.930Z,8.081,99678.15950520833
1613609726962,2021-02-18T01:05:50.949Z,8.158,99677.49544270833
1613609727040,2021-02-18T01:05:50.960Z,8.236,99677.49544270833
1613609727118,2021-02-18T01:05:50.971Z,8.314,99677.49544270833
1613609727195,2021-02-18T01:05:50.976Z,8.391,99677.49544270833
1613609727273,2021-02-18T01:05:50.985Z,8.469,99677.49544270833
1613609727351,2021-02-18T01:05:50.993Z,8.547,99677.49544270833
1613609727428,2021-02-18T01:05:51.003Z,8.624,99677.49544270833
1613609727506,2021-02-18T01:05:51.010Z,8.702,99677.49544270833
1613609727584,2021-02-18T01:05:51.023Z,8.78,99677.49544270833
1613609727661,2021-02-18T01:05:51.037Z,8.857,99678.15950520833
1613609727739,2021-02-18T01:05:51.047Z,8.935,99678.15950520833
1613609727816,2021-02-18T01:05:51.054Z,9.012,99678.15950520833
1613609727894,2021-02-18T01:05:51.067Z,9.09,99678.15950520833
