epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1622734290950,2021-06-03T15:33:41.413Z,0.182,9.36548900604248,-27.521739959716797,-74.21875
1622734290990,2021-06-03T15:33:41.427Z,0.222,8.24048900604248,-28.959239959716797,-74.65625
1622734291029,2021-06-03T15:33:41.442Z,0.261,8.99048900604248,-27.896739959716797,-73.03125
1622734291069,2021-06-03T15:33:41.443Z,0.301,10.42798900604248,-30.459239959716797,-72.59375
1622734291109,2021-06-03T15:33:41.458Z,0.341,10.80298900604248,-30.459239959716797,-73.84375
1622734291130,2021-06-03T15:33:41.472Z,0.362,10.11548900604248,-28.209239959716797,-73.03125
1622734291170,2021-06-03T15:33:41.486Z,0.402,9.36548900604248,-35.2092399597168,-75.84375
1622734291210,2021-06-03T15:33:41.488Z,0.442,8.61548900604248,-41.1467399597168,-72.59375
1622734291249,2021-06-03T15:33:41.533Z,0.481,9.74048900604248,-32.6467399597168,-71.78125
1622734291289,2021-06-03T15:33:41.547Z,0.521,10.86548900604248,-28.584239959716797,-75.03125
1622734291330,2021-06-03T15:33:41.562Z,0.562,9.36548900604248,-27.896739959716797,-72.59375
1622734291369,2021-06-03T15:33:41.564Z,0.601,10.11548900604248,-46.2717399597168,-73.03125
1622734291409,2021-06-03T15:33:41.578Z,0.641,8.61548900604248,-28.959239959716797,-73.03125
1622734291448,2021-06-03T15:33:41.593Z,0.68,10.86548900604248,-27.896739959716797,-71.78125
1622734291488,2021-06-03T15:33:41.607Z,0.72,9.36548900604248,-28.584239959716797,-73.84375
1622734291527,2021-06-03T15:33:41.621Z,0.759,9.74048900604248,-29.334239959716797,-73.84375
1622734291567,2021-06-03T15:33:41.636Z,0.799,9.74048900604248,-28.209239959716797,-72.21875
1622734291607,2021-06-03T15:33:41.638Z,0.839,9.36548900604248,-28.584239959716797,-73.84375
1622734291648,2021-06-03T15:33:41.653Z,0.88,10.11548900604248,-28.959239959716797,-73.03125
1622734291687,2021-06-03T15:33:41.667Z,0.919,10.11548900604248,-29.709239959716797,-72.59375
1622734291727,2021-06-03T15:33:41.682Z,0.959,9.36548900604248,-29.709239959716797,-73.40625
1622734291766,2021-06-03T15:33:41.696Z,0.998,9.36548900604248,-29.334239959716797,-72.59375
1622734291806,2021-06-03T15:33:41.698Z,1.038,9.36548900604248,-27.521739959716797,-72.59375
1622734291845,2021-06-03T15:33:41.712Z,1.077,10.11548900604248,-29.334239959716797,-73.84375
1622734291885,2021-06-03T15:33:41.727Z,1.117,9.74048900604248,-27.521739959716797,-73.40625
1622734291926,2021-06-03T15:33:41.742Z,1.158,8.99048900604248,-27.521739959716797,-72.21875
1622734291965,2021-06-03T15:33:41.756Z,1.197,8.99048900604248,-28.209239959716797,-73.40625
1622734292005,2021-06-03T15:33:41.771Z,1.237,10.49048900604248,-26.396739959716797,-72.59375
1622734292045,2021-06-03T15:33:41.773Z,1.277,10.49048900604248,-27.521739959716797,-72.59375
