epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1622746667288,2021-06-03T18:59:29.606Z,-0.387,0.40254905819892883,0.8625044226646423,0.22915372252464294
1622746667329,2021-06-03T18:59:29.608Z,-0.346,0.40840843319892883,0.8617720007896423,0.22720059752464294
1622746667369,2021-06-03T18:59:29.610Z,-0.306,0.40547874569892883,0.8576216101646423,0.22939786314964294
1622746667408,2021-06-03T18:59:29.620Z,-0.267,0.40254905819892883,0.8644575476646423,0.22524747252464294
1622746667448,2021-06-03T18:59:29.622Z,-0.227,0.40547874569892883,0.8612837195396423,0.23110684752464294
1622746667487,2021-06-03T18:59:29.624Z,-0.188,0.41060569882392883,0.8556684851646423,0.23013028502464294
1622746667527,2021-06-03T18:59:29.635Z,-0.148,0.40865257382392883,0.8520063757896423,0.22939786314964294
1622746667566,2021-06-03T18:59:29.637Z,-0.109,0.40987327694892883,0.8534712195396423,0.22622403502464294
1622746667606,2021-06-03T18:59:29.649Z,-0.069,0.41890648007392883,0.8524946570396423,0.22182950377464294
1622746667645,2021-06-03T18:59:29.651Z,-0.03,0.41988304257392883,0.8483442664146423,0.21719083189964294
1622746667685,2021-06-03T18:59:29.654Z,0.01,0.42159202694892883,0.8539595007896423,0.21792325377464294
1622746667725,2021-06-03T18:59:29.664Z,0.05,0.42500999569892883,0.8559126257896423,0.21377286314964294
1622746667764,2021-06-03T18:59:29.667Z,0.089,0.43257835507392883,0.8542036414146423,0.21206387877464294
1622746667804,2021-06-03T18:59:29.669Z,0.129,0.42940452694892883,0.8595747351646423,0.20718106627464294
1622746667845,2021-06-03T18:59:29.679Z,0.17,0.43428733944892883,0.8573774695396423,0.20425137877464294
1622746667884,2021-06-03T18:59:29.682Z,0.209,0.43892601132392883,0.8551802039146423,0.20766934752464294
1622746667924,2021-06-03T18:59:29.684Z,0.249,0.45040062069892883,0.8437055945396423,0.20986661314964294
1622746667963,2021-06-03T18:59:29.702Z,0.288,0.44869163632392883,0.8456587195396423,0.20742520689964294
1622746668003,2021-06-03T18:59:29.703Z,0.328,0.44747093319892883,0.8441938757896423,0.20986661314964294
1622746668042,2021-06-03T18:59:29.703Z,0.367,0.45064476132392883,0.8412641882896423,0.20889005064964294
1622746668082,2021-06-03T18:59:29.711Z,0.407,0.45381858944892883,0.8373579382896423,0.20791348814964294
1622746668122,2021-06-03T18:59:29.713Z,0.447,0.45528343319892883,0.8376020789146423,0.20620450377464294
