epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1622746157323,2021-06-03T18:50:58.848Z,-0.401,-1.990514874458313,3.2750678062438965,0.7628726363182068
1622746157363,2021-06-03T18:50:58.849Z,-0.361,-5.283198356628418,6.811653137207031,0.3970189690589905
1622746157402,2021-06-03T18:50:58.851Z,-0.322,-7.3563690185546875,7.848238468170166,-2.7127370834350586
1622746157442,2021-06-03T18:50:58.865Z,-0.282,-0.039295393973588943,5.043360710144043,-1.6151762008666992
1622746157482,2021-06-03T18:50:58.865Z,-0.242,-0.8929539322853088,4.860433578491211,2.531165361404419
1622746157521,2021-06-03T18:50:58.866Z,-0.203,2.5216803550720215,1.8726286888122559,3.689702033996582
1622746157561,2021-06-03T18:50:58.877Z,-0.163,0.32655826210975647,2.726287364959717,3.6287262439727783
1622746157600,2021-06-03T18:50:58.880Z,-0.124,-1.4417344331741333,4.494580268859863,3.8116531372070312
1622746157640,2021-06-03T18:50:58.892Z,-0.084,-3.3319783210754395,6.567750930786133,3.9336042404174805
1622746157679,2021-06-03T18:50:58.894Z,-0.045,-1.502709984779358,4.128726482391357,2.836043357849121
1622746157720,2021-06-03T18:50:58.897Z,-0.004,-1.0149052143096924,3.031165361404419,2.348238468170166
1622746157750,2021-06-03T18:50:58.907Z,0.026,-0.46612468361854553,2.543360471725464,1.9214091300964355
1622746157789,2021-06-03T18:50:58.910Z,0.065,0.6924119591712952,0.16531166434288025,0.8238482475280762
1622746157829,2021-06-03T18:50:58.912Z,0.105,1.1802167892456055,-2.822493314743042,0.031165312975645065
1622746157868,2021-06-03T18:50:58.923Z,0.144,0.7533875703811646,-4.712737083435059,-1.1273713111877441
1622746157909,2021-06-03T18:50:58.925Z,0.185,0.9972900152206421,-2.334688425064087,-1.6761517524719238
1622746157947,2021-06-03T18:50:58.927Z,0.223,1.911924123764038,-1.3590785264968872,-0.7615176439285278
1622746157988,2021-06-03T18:50:58.953Z,0.264,0.38753387331962585,-1.9078590869903564,-0.5176151990890503
1622746158028,2021-06-03T18:50:58.955Z,0.304,-0.16124661266803741,-3.615176200866699,1.1897019147872925
1622746158067,2021-06-03T18:50:58.957Z,0.343,-1.3807587623596191,-0.5054200887680054,-0.1517615169286728
1622746158107,2021-06-03T18:50:58.968Z,0.383,-1.075880765914917,1.2628726959228516,-0.27371275424957275
1622746158147,2021-06-03T18:50:58.971Z,0.423,-0.40514907240867615,1.2018970251083374,-0.27371275424957275
1622746158186,2021-06-03T18:50:58.982Z,0.462,0.1436314433813095,0.3482384979724884,0.09214092046022415
1622746158226,2021-06-03T18:50:58.984Z,0.502,0.2655826508998871,0.4092141091823578,0.5189701914787292
1622746158265,2021-06-03T18:50:58.986Z,0.541,0.44850948452949524,0.4092141091823578,0.45799458026885986
1622746158305,2021-06-03T18:50:58.997Z,0.581,-0.2222222238779068,-0.5054200887680054,-0.33468836545944214
1622746158344,2021-06-03T18:50:59.000Z,0.62,-0.2831978499889374,-2.639566421508789,0.2750677466392517
1622746158385,2021-06-03T18:50:59.001Z,0.661,0.02168021723628044,-3.0663957595825195,-0.090785913169384
1622746158425,2021-06-03T18:50:59.012Z,0.701,2.277777910232544,-5.139566421508789,-1.1883468627929688
1622746158464,2021-06-03T18:50:59.015Z,0.74,2.948509454727173,-4.46883487701416,0.09214092046022415
1622746158504,2021-06-03T18:50:59.017Z,0.78,0.2046070545911789,-0.017615176737308502,0.45799458026885986
1622746158544,2021-06-03T18:50:59.042Z,0.82,-1.502709984779358,1.6897019147872925,-0.33468836545944214
1622746158583,2021-06-03T18:50:59.045Z,0.859,0.44850948452949524,-0.9322493672370911,0.640921413898468
1622746158623,2021-06-03T18:50:59.047Z,0.899,-1.990514874458313,-0.26151761412620544,0.3360433578491211
1622746158662,2021-06-03T18:50:59.058Z,0.938,-0.7710027098655701,0.8360432982444763,0.7018970251083374
1622746158702,2021-06-03T18:50:59.060Z,0.978,0.5704607367515564,0.8970189690589905,1.0677506923675537
1622746158741,2021-06-03T18:50:59.072Z,1.017,0.38753387331962585,0.10433604568243027,0.7018970251083374
