epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1622747442677,2021-06-03T19:13:36.019Z,0.002,-2.2350542545318604,-26.317934036254883,-75.45923614501953
1622747442716,2021-06-03T19:13:36.034Z,0.041,-3.3600542545318604,-27.380434036254883,-77.89673614501953
1622747442756,2021-06-03T19:13:36.048Z,0.081,-4.0475544929504395,-27.380434036254883,-76.70923614501953
1622747442797,2021-06-03T19:13:36.050Z,0.122,-4.7975544929504395,-27.380434036254883,-75.83423614501953
1622747442836,2021-06-03T19:13:36.064Z,0.161,-4.0475544929504395,-26.317934036254883,-78.27173614501953
1622747442857,2021-06-03T19:13:36.078Z,0.182,-4.4225544929504395,-26.317934036254883,-75.52173614501953
1622747442896,2021-06-03T19:13:36.080Z,0.221,-3.6725542545318604,-26.692934036254883,-77.52173614501953
1622747442936,2021-06-03T19:13:36.094Z,0.261,-4.4225544929504395,-27.067934036254883,-76.70923614501953
1622747442975,2021-06-03T19:13:36.109Z,0.3,-2.9850542545318604,-26.317934036254883,-75.89673614501953
1622747443016,2021-06-03T19:13:36.124Z,0.341,-2.9850542545318604,-27.067934036254883,-77.14673614501953
1622747443056,2021-06-03T19:13:36.138Z,0.381,-4.4225544929504395,-25.942934036254883,-76.33423614501953
1622747443095,2021-06-03T19:13:36.141Z,0.42,-4.0475544929504395,-26.317934036254883,-74.70923614501953
1622747443136,2021-06-03T19:13:36.155Z,0.461,-5.5475544929504395,-25.192934036254883,-76.70923614501953
1622747443176,2021-06-03T19:13:36.169Z,0.501,-4.0475544929504395,-26.317934036254883,-75.52173614501953
1622747443216,2021-06-03T19:13:36.184Z,0.541,-2.9850542545318604,-26.317934036254883,-74.33423614501953
1622747443255,2021-06-03T19:13:36.198Z,0.58,-4.4225544929504395,-25.942934036254883,-77.20923614501953
1622747443296,2021-06-03T19:13:36.200Z,0.621,-2.6100542545318604,-27.067934036254883,-76.33423614501953
1622747443336,2021-06-03T19:13:36.214Z,0.661,-2.6100542545318604,-27.067934036254883,-75.58423614501953
1622747443375,2021-06-03T19:13:36.229Z,0.7,-3.3600542545318604,-26.317934036254883,-76.83423614501953
1622747443416,2021-06-03T19:13:36.243Z,0.741,-2.2350542545318604,-27.442934036254883,-75.89673614501953
1622747443456,2021-06-03T19:13:36.258Z,0.781,-2.6100542545318604,-25.942934036254883,-75.95923614501953
1622747443495,2021-06-03T19:13:36.260Z,0.82,-5.5475544929504395,-25.942934036254883,-77.95923614501953
1622747443535,2021-06-03T19:13:36.274Z,0.86,-2.9850542545318604,-27.755434036254883,-76.39673614501953
1622747443576,2021-06-03T19:13:36.289Z,0.901,-2.6100542545318604,-28.505434036254883,-75.58423614501953
1622747443615,2021-06-03T19:13:36.304Z,0.94,-3.3600542545318604,-27.067934036254883,-77.20923614501953
1622747443655,2021-06-03T19:13:36.319Z,0.98,-4.7975544929504395,-27.067934036254883,-76.45923614501953
1622747443695,2021-06-03T19:13:36.333Z,1.02,-4.7975544929504395,-31.817934036254883,-76.39673614501953
1622747443736,2021-06-03T19:13:36.363Z,1.061,-2.9850542545318604,-27.442934036254883,-76.77173614501953
1622747443775,2021-06-03T19:13:36.365Z,1.1,-4.0475544929504395,-27.755434036254883,-76.77173614501953
1622747443815,2021-06-03T19:13:36.379Z,1.14,-5.1725544929504395,-36.630435943603516,-74.77173614501953
1622747443856,2021-06-03T19:13:36.394Z,1.181,-3.7350542545318604,-28.130434036254883,-76.39673614501953
1622747443895,2021-06-03T19:13:36.409Z,1.22,-2.9850542545318604,-26.692934036254883,-75.58423614501953
1622747443935,2021-06-03T19:13:36.438Z,1.26,-5.9225544929504395,-41.755435943603516,-76.77173614501953
1622747443974,2021-06-03T19:13:36.440Z,1.299,-5.1725544929504395,-26.692934036254883,-75.95923614501953
1622747444015,2021-06-03T19:13:36.454Z,1.34,-2.6100542545318604,-27.442934036254883,-75.52173614501953
1622747444055,2021-06-03T19:13:36.483Z,1.38,-4.0475544929504395,-44.317935943603516,-75.95923614501953
1622747444094,2021-06-03T19:13:36.485Z,1.419,-4.4225544929504395,-26.692934036254883,-76.77173614501953
1622747444134,2021-06-03T19:13:36.529Z,1.459,-4.7975544929504395,-28.880434036254883,-75.64673614501953
1622747444175,2021-06-03T19:13:36.559Z,1.5,-5.5475544929504395,-45.442935943603516,-75.58423614501953
1622747444215,2021-06-03T19:13:36.574Z,1.54,-2.9850542545318604,-27.755434036254883,-76.39673614501953
1622747444254,2021-06-03T19:13:36.589Z,1.579,-5.1725544929504395,-27.442934036254883,-75.14673614501953
1622747444295,2021-06-03T19:13:36.603Z,1.62,-5.9225544929504395,-42.505435943603516,-75.95923614501953
1622747444335,2021-06-03T19:13:36.605Z,1.66,-4.0475544929504395,-35.130435943603516,-75.64673614501953
1622747444374,2021-06-03T19:13:36.635Z,1.699,-4.0475544929504395,-33.692935943603516,-73.95923614501953
1622747444414,2021-06-03T19:13:36.649Z,1.739,-3.3600542545318604,-37.692935943603516,-76.02173614501953
1622747444455,2021-06-03T19:13:36.664Z,1.78,-2.9850542545318604,-29.630434036254883,-76.39673614501953
1622747444494,2021-06-03T19:13:36.678Z,1.819,-4.4225544929504395,-27.067934036254883,-75.58423614501953
1622747444534,2021-06-03T19:13:36.693Z,1.859,-4.7975544929504395,-31.067934036254883,-75.58423614501953
1622747444573,2021-06-03T19:13:36.694Z,1.898,-5.9225544929504395,-27.442934036254883,-76.45923614501953
1622747444615,2021-06-03T19:13:36.708Z,1.94,-3.3600542545318604,-26.317934036254883,-75.20923614501953
1622747444654,2021-06-03T19:13:36.710Z,1.979,-5.1725544929504395,-27.442934036254883,-75.20923614501953
