epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613782062774,2021-02-20T00:49:11.785Z,0.289,99587.63899739583
1613782062852,2021-02-20T00:49:11.798Z,0.367,99588.13118489583
1613782062930,2021-02-20T00:49:11.811Z,0.445,99587.77962239583
1613782063007,2021-02-20T00:49:11.815Z,0.522,99588.27962239583
1613782063085,2021-02-20T00:49:11.829Z,0.6,99588.11555989583
1613782063163,2021-02-20T00:49:11.842Z,0.678,99587.95930989583
1613782063240,2021-02-20T00:49:11.855Z,0.755,99587.78743489583
1613782063318,2021-02-20T00:49:11.889Z,0.833,99588.95149739583
1613782063396,2021-02-20T00:49:11.902Z,0.911,99588.78743489583
1613782063475,2021-02-20T00:49:11.916Z,0.99,99587.92805989583
1613782063552,2021-02-20T00:49:11.919Z,1.067,99588.59993489583
1613782063630,2021-02-20T00:49:11.933Z,1.145,99588.42805989583
1613782063708,2021-02-20T00:49:11.945Z,1.223,99588.42805989583
1613782063785,2021-02-20T00:49:11.950Z,1.3,99588.27180989583
1613782063863,2021-02-20T00:49:11.963Z,1.378,99588.11555989583
1613782063940,2021-02-20T00:49:11.977Z,1.455,99588.77180989583
1613782064018,2021-02-20T00:49:11.981Z,1.533,99587.94368489583
1613782064096,2021-02-20T00:49:11.995Z,1.611,99588.61555989583
1613782064173,2021-02-20T00:49:12.008Z,1.688,99588.61555989583
1613782064251,2021-02-20T00:49:12.021Z,1.766,99587.78743489583
1613782064329,2021-02-20T00:49:12.025Z,1.844,99588.44368489583
1613782064406,2021-02-20T00:49:12.039Z,1.921,99588.44368489583
1613782064484,2021-02-20T00:49:12.051Z,1.999,99588.44368489583
1613782064562,2021-02-20T00:49:12.056Z,2.077,99587.62337239583
1613782064639,2021-02-20T00:49:12.069Z,2.154,99588.28743489583
1613782064717,2021-02-20T00:49:12.082Z,2.232,99588.28743489583
1613782064794,2021-02-20T00:49:12.095Z,2.309,99588.28743489583
1613782064872,2021-02-20T00:49:12.100Z,2.387,99588.94368489583
1613782064950,2021-02-20T00:49:12.113Z,2.465,99588.09212239583
1613782065027,2021-02-20T00:49:12.127Z,2.542,99588.09212239583
1613782065105,2021-02-20T00:49:12.131Z,2.62,99588.09212239583
1613782065183,2021-02-20T00:49:12.145Z,2.698,99588.09212239583
1613782065260,2021-02-20T00:49:12.158Z,2.775,99588.75618489583
1613782065338,2021-02-20T00:49:12.171Z,2.853,99588.75618489583
1613782065416,2021-02-20T00:49:12.175Z,2.931,99588.75618489583
1613782065493,2021-02-20T00:49:12.188Z,3.008,99588.75618489583
1613782065571,2021-02-20T00:49:12.201Z,3.086,99588.75618489583
1613782065648,2021-02-20T00:49:12.206Z,3.163,99588.75618489583
1613782065726,2021-02-20T00:49:12.218Z,3.241,99588.75618489583
1613782065804,2021-02-20T00:49:12.232Z,3.319,99588.09212239583
1613782065881,2021-02-20T00:49:12.236Z,3.396,99588.09212239583
1613782065959,2021-02-20T00:49:12.249Z,3.474,99588.09212239583
1613782066037,2021-02-20T00:49:12.262Z,3.552,99587.27180989583
1613782066114,2021-02-20T00:49:12.276Z,3.629,99587.27180989583
1613782066192,2021-02-20T00:49:12.280Z,3.707,99587.27180989583
1613782066271,2021-02-20T00:49:12.294Z,3.786,99587.27180989583
1613782066349,2021-02-20T00:49:12.306Z,3.864,99587.27180989583
1613782066426,2021-02-20T00:49:12.338Z,3.941,99587.27180989583
1613782066504,2021-02-20T00:49:12.352Z,4.019,99587.27180989583
1613782066582,2021-02-20T00:49:12.356Z,4.097,99587.27180989583
1613782066659,2021-02-20T00:49:12.369Z,4.174,99587.92805989583
1613782066737,2021-02-20T00:49:12.382Z,4.252,99587.27180989583
1613782066814,2021-02-20T00:49:12.396Z,4.329,99587.27180989583
1613782066892,2021-02-20T00:49:12.400Z,4.407,99587.27180989583
1613782066970,2021-02-20T00:49:12.414Z,4.485,99588.09212239583
1613782067047,2021-02-20T00:49:12.427Z,4.562,99588.09212239583
1613782067125,2021-02-20T00:49:12.440Z,4.64,99588.09212239583
1613782067203,2021-02-20T00:49:12.445Z,4.718,99588.09212239583
1613782067280,2021-02-20T00:49:12.457Z,4.795,99588.09212239583
1613782067358,2021-02-20T00:49:12.470Z,4.873,99588.09212239583
1613782067436,2021-02-20T00:49:12.475Z,4.951,99588.09212239583
1613782067513,2021-02-20T00:49:12.488Z,5.028,99588.09212239583
1613782067591,2021-02-20T00:49:12.502Z,5.106,99588.09212239583
1613782067668,2021-02-20T00:49:12.506Z,5.183,99588.09212239583
1613782067746,2021-02-20T00:49:12.519Z,5.261,99588.75618489583
1613782067824,2021-02-20T00:49:12.532Z,5.339,99588.09212239583
1613782067901,2021-02-20T00:49:12.545Z,5.416,99588.09212239583
1613782067979,2021-02-20T00:49:12.550Z,5.494,99588.94368489583
1613782068057,2021-02-20T00:49:12.563Z,5.572,99588.94368489583
1613782068134,2021-02-20T00:49:12.575Z,5.649,99588.94368489583
1613782068212,2021-02-20T00:49:12.580Z,5.727,99588.94368489583
1613782068290,2021-02-20T00:49:12.593Z,5.805,99588.94368489583
1613782068367,2021-02-20T00:49:12.607Z,5.882,99588.94368489583
1613782068445,2021-02-20T00:49:12.611Z,5.96,99588.94368489583
1613782068522,2021-02-20T00:49:12.624Z,6.037,99589.60774739583
1613782068600,2021-02-20T00:49:12.637Z,6.115,99589.60774739583
1613782068678,2021-02-20T00:49:12.651Z,6.193,99589.60774739583
1613782068755,2021-02-20T00:49:12.655Z,6.27,99589.60774739583
1613782068833,2021-02-20T00:49:12.669Z,6.348,99589.60774739583
1613782068911,2021-02-20T00:49:12.682Z,6.426,99589.60774739583
1613782068988,2021-02-20T00:49:12.695Z,6.503,99589.60774739583
1613782069066,2021-02-20T00:49:12.699Z,6.581,99589.60774739583
1613782069144,2021-02-20T00:49:12.712Z,6.659,99588.94368489583
1613782069221,2021-02-20T00:49:12.725Z,6.736,99588.94368489583
1613782069299,2021-02-20T00:49:12.730Z,6.814,99588.94368489583
1613782069377,2021-02-20T00:49:12.743Z,6.892,99589.60774739583
1613782069454,2021-02-20T00:49:12.757Z,6.969,99589.77180989583
1613782069532,2021-02-20T00:49:12.788Z,7.047,99589.77180989583
1613782069609,2021-02-20T00:49:12.807Z,7.124,99589.77180989583
1613782069687,2021-02-20T00:49:12.815Z,7.202,99589.77180989583
1613782069765,2021-02-20T00:49:12.819Z,7.28,99589.77180989583
1613782069842,2021-02-20T00:49:12.832Z,7.357,99589.77180989583
1613782069920,2021-02-20T00:49:12.845Z,7.435,99589.10774739583
1613782069998,2021-02-20T00:49:12.850Z,7.513,99589.10774739583
