epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613783207086,2021-02-20T01:07:48.456Z,38.546,99572.75813802084
1613783207127,2021-02-20T01:07:48.470Z,38.586999999999996,99572.75813802084
1613783207167,2021-02-20T01:07:48.472Z,38.626999999999995,99572.75813802084
1613783207206,2021-02-20T01:07:48.486Z,38.666,99572.75813802084
1613783207247,2021-02-20T01:07:48.502Z,38.707,99572.75813802084
1613783207297,2021-02-20T01:07:48.516Z,38.757,99572.75813802084
1613783207338,2021-02-20T01:07:48.530Z,38.798,99572.75813802084
1613783207377,2021-02-20T01:07:48.545Z,38.836999999999996,99572.75813802084
1613783207417,2021-02-20T01:07:48.560Z,38.876999999999995,99572.75813802084
1613783207458,2021-02-20T01:07:48.562Z,38.918,99572.75813802084
1613783207498,2021-02-20T01:07:48.577Z,38.958,99572.75813802084
1613783207539,2021-02-20T01:07:48.592Z,38.999,99573.54720052084
1613783207578,2021-02-20T01:07:48.607Z,39.038000000000004,99573.54720052084
1613783207618,2021-02-20T01:07:48.621Z,39.078,99573.54720052084
1613783207659,2021-02-20T01:07:48.635Z,39.119,99573.54720052084
1613783207698,2021-02-20T01:07:48.650Z,39.158,99573.54720052084
1613783207739,2021-02-20T01:07:48.652Z,39.199,99573.54720052084
1613783207779,2021-02-20T01:07:48.667Z,39.239000000000004,99573.54720052084
1613783207818,2021-02-20T01:07:48.681Z,39.278,99573.54720052084
1613783207859,2021-02-20T01:07:48.696Z,39.319,99572.85188802084
1613783207899,2021-02-20T01:07:48.710Z,39.359,99572.85188802084
1613783207940,2021-02-20T01:07:48.712Z,39.4,99572.85188802084
1613783207980,2021-02-20T01:07:48.727Z,39.44,99572.85188802084
1613783208019,2021-02-20T01:07:48.742Z,39.479,99572.85188802084
1613783208060,2021-02-20T01:07:48.756Z,39.52,99572.85188802084
1613783208100,2021-02-20T01:07:48.770Z,39.56,99572.85188802084
1613783208141,2021-02-20T01:07:48.772Z,39.601,99572.85188802084
1613783208180,2021-02-20T01:07:48.787Z,39.64,99572.85188802084
1613783208221,2021-02-20T01:07:48.802Z,39.681,99572.85188802084
1613783208261,2021-02-20T01:07:48.816Z,39.721,99572.85188802084
1613783208300,2021-02-20T01:07:48.830Z,39.76,99572.85188802084
1613783208341,2021-02-20T01:07:48.845Z,39.801,99572.85188802084
1613783208381,2021-02-20T01:07:48.847Z,39.841,99572.85188802084
1613783208422,2021-02-20T01:07:48.862Z,39.882,99572.85188802084
1613783208461,2021-02-20T01:07:48.876Z,39.921,99572.85188802084
1613783208501,2021-02-20T01:07:48.891Z,39.961,99572.85188802084
1613783208542,2021-02-20T01:07:48.892Z,40.001999999999995,99573.54720052084
1613783208582,2021-02-20T01:07:48.907Z,40.042,99573.54720052084
1613783208633,2021-02-20T01:07:48.922Z,40.093,99573.54720052084
1613783208672,2021-02-20T01:07:48.936Z,40.132,99573.54720052084
1613783208712,2021-02-20T01:07:48.950Z,40.172,99573.54720052084
1613783208753,2021-02-20T01:07:48.952Z,40.213,99573.54720052084
1613783208792,2021-02-20T01:07:48.968Z,40.251999999999995,99573.54720052084
1613783208834,2021-02-20T01:07:48.982Z,40.294000000000004,99573.54720052084
1613783208873,2021-02-20T01:07:48.996Z,40.333,99573.54720052084
1613783208913,2021-02-20T01:07:49.027Z,40.373000000000005,99573.54720052084
