epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613783358505,2021-02-20T01:11:03.785Z,0.051,
1613783358545,2021-02-20T01:11:03.787Z,0.091,
1613783358585,2021-02-20T01:11:03.789Z,0.131,
1613783358624,2021-02-20T01:11:03.800Z,0.17,
1613783358664,2021-02-20T01:11:03.802Z,0.21,
1613783358705,2021-02-20T01:11:03.804Z,0.251,
1613783358744,2021-02-20T01:11:03.815Z,0.29,
1613783358784,2021-02-20T01:11:03.817Z,0.33,
1613783358823,2021-02-20T01:11:03.819Z,0.369,99568.8037109375
1613783358863,2021-02-20T01:11:03.830Z,0.409,99568.8037109375
1613783358902,2021-02-20T01:11:03.832Z,0.44799999999999995,99569.8662109375
1613783358942,2021-02-20T01:11:03.834Z,0.488,99569.8662109375
1613783358982,2021-02-20T01:11:03.846Z,0.528,99571.0537109375
1613783359021,2021-02-20T01:11:03.848Z,0.5670000000000001,99571.0537109375
1613783359061,2021-02-20T01:11:03.859Z,0.607,99571.5771484375
1613783359100,2021-02-20T01:11:03.875Z,0.6459999999999999,99571.5771484375
1613783359141,2021-02-20T01:11:03.877Z,0.687,99573.5615234375
1613783359181,2021-02-20T01:11:03.880Z,0.727,99573.5615234375
1613783359220,2021-02-20T01:11:03.890Z,0.7659999999999999,99574.0537109375
1613783359260,2021-02-20T01:11:03.892Z,0.8059999999999999,99574.0537109375
1613783359299,2021-02-20T01:11:03.904Z,0.845,99574.5849609375
1613783359339,2021-02-20T01:11:03.906Z,0.885,99574.5849609375
1613783359378,2021-02-20T01:11:03.908Z,0.924,99575.9130859375
1613783359418,2021-02-20T01:11:03.920Z,0.9640000000000001,99575.9130859375
1613783359458,2021-02-20T01:11:03.922Z,1.004,99576.4443359375
1613783359497,2021-02-20T01:11:03.924Z,1.043,99576.4443359375
1613783359537,2021-02-20T01:11:03.935Z,1.083,99577.1005859375
1613783359576,2021-02-20T01:11:03.937Z,1.122,99577.1005859375
1613783359617,2021-02-20T01:11:03.949Z,1.163,99577.6318359375
1613783359657,2021-02-20T01:11:03.952Z,1.203,99577.6318359375
1613783359696,2021-02-20T01:11:03.954Z,1.242,99578.2880859375
1613783359736,2021-02-20T01:11:03.965Z,1.2819999999999998,99578.2880859375
1613783359775,2021-02-20T01:11:03.968Z,1.321,99578.9521484375
1613783359815,2021-02-20T01:11:03.979Z,1.361,99578.8193359375
1613783359855,2021-02-20T01:11:03.981Z,1.401,99578.8193359375
1613783359894,2021-02-20T01:11:03.984Z,1.44,99578.8193359375
1613783359934,2021-02-20T01:11:03.995Z,1.48,99578.8193359375
1613783359975,2021-02-20T01:11:03.997Z,1.521,99577.9912109375
1613783360013,2021-02-20T01:11:03.999Z,1.5590000000000002,99577.9912109375
1613783360054,2021-02-20T01:11:04.010Z,1.6,99579.3193359375
1613783360093,2021-02-20T01:11:04.012Z,1.639,99579.3193359375
1613783360133,2021-02-20T01:11:04.015Z,1.679,99579.1787109375
1613783360172,2021-02-20T01:11:04.025Z,1.7180000000000002,99579.1787109375
1613783360212,2021-02-20T01:11:04.029Z,1.758,99579.8427734375
1613783360252,2021-02-20T01:11:04.039Z,1.798,99579.8427734375
1613783360291,2021-02-20T01:11:04.041Z,1.837,99580.5068359375
1613783360331,2021-02-20T01:11:04.043Z,1.8769999999999998,99580.5068359375
1613783360370,2021-02-20T01:11:04.055Z,1.916,99580.5068359375
1613783360410,2021-02-20T01:11:04.057Z,1.956,99580.5068359375
1613783360449,2021-02-20T01:11:04.059Z,1.995,99580.3662109375
1613783360489,2021-02-20T01:11:04.070Z,2.035,99580.3662109375
