epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1613783785891,2021-02-20T01:18:00.457Z,0.01,-0.07256497001661867,-0.7760469320375066,0.06936926935969923,0.6226342336156617
1613783785932,2021-02-20T01:18:00.471Z,0.051,-0.07252884595738535,-0.7760603526173917,0.06940135350005583,0.622618139578201
1613783785972,2021-02-20T01:18:00.473Z,0.091,-0.07267772714390086,-0.7748933551483151,0.06928112200297197,0.6240659919096643
1613783786011,2021-02-20T01:18:00.487Z,0.13,-0.07278652120355028,-0.7738426321097105,0.0691524891188458,0.6253699995276945
1613783786052,2021-02-20T01:18:00.502Z,0.171,-0.07313841390300882,-0.7710466332812972,0.06886409254162161,0.6288048969877288
1613783786092,2021-02-20T01:18:00.517Z,0.21100000000000002,-0.07334334097629483,-0.7694947382308235,0.06871322330413522,0.6306957230810016
1613783786133,2021-02-20T01:18:00.531Z,0.252,-0.07344088041186354,-0.7687485928342351,0.06864019745716618,0.6316015843811308
1613783786183,2021-02-20T01:18:00.546Z,0.302,-0.07370590835705028,-0.7668618199297382,0.06847189950309925,0.6338785271530731
1613783786222,2021-02-20T01:18:00.562Z,0.341,-0.07383419841669668,-0.7658481476758671,0.06837010303433158,0.6350989331251329
1613783786263,2021-02-20T01:18:00.576Z,0.382,-0.07391953358066572,-0.7649381003460799,0.06825375677823586,0.6361973199250409
1613783786303,2021-02-20T01:18:00.578Z,0.42200000000000004,-0.07398533754268279,-0.7641078850163129,0.06813764869306127,0.6371990040130112
1613783786344,2021-02-20T01:18:00.592Z,0.46299999999999997,-0.07409522980065246,-0.7633305453714323,0.0680703873615061,0.6381244375419222
1613783786383,2021-02-20T01:18:00.607Z,0.502,-0.07414697214938744,-0.7626577248326513,0.06817190437586558,0.6389115844371034
1613783786423,2021-02-20T01:18:00.622Z,0.542,-0.07410030589177677,-0.762108257719913,0.06798169493150218,0.6395925557228631
1613783786464,2021-02-20T01:18:00.637Z,0.583,-0.07409285762887251,-0.7614547064520897,0.06793435243160315,0.64037637544654
1613783786503,2021-02-20T01:18:00.652Z,0.622,-0.07413301250058886,-0.7608414109026519,0.06792693808878142,0.6411010645718288
1613783786544,2021-02-20T01:18:00.666Z,0.6629999999999999,-0.07419603229446059,-0.7602963698310572,0.06786855686538901,0.6417462409726178
1613783786584,2021-02-20T01:18:00.668Z,0.703,-0.07426683015702666,-0.7598265600776604,0.06783256272835063,0.6422980460601457
1613783786624,2021-02-20T01:18:00.682Z,0.743,-0.07433892986603956,-0.7594174417428373,0.06777620040583986,0.6427793239842768
1613783786665,2021-02-20T01:18:00.698Z,0.784,-0.07440779291944134,-0.7589575552255554,0.06784092747221195,0.6433074834623141
1613783786704,2021-02-20T01:18:00.711Z,0.823,-0.07440694377200395,-0.7585620774422692,0.06775823559727072,0.6437825742389456
1613783786745,2021-02-20T01:18:00.726Z,0.8640000000000001,-0.07445211164911453,-0.7582111116452851,0.06779251946525447,0.6441870594424898
1613783786785,2021-02-20T01:18:00.728Z,0.904,-0.07454750656327894,-0.7579219222110781,0.06774035217955178,0.6445217403498911
1613783786824,2021-02-20T01:18:00.757Z,0.943,-0.07458158593706513,-0.7574815831737777,0.0678490932835861,0.6450238280344803
1613783786865,2021-02-20T01:18:00.771Z,0.9840000000000001,-0.07444569688536143,-0.7572834241358982,0.06754031994172734,0.6453045474242618
1613783786905,2021-02-20T01:18:00.773Z,1.024,-0.07483138059647902,-0.7567140292450438,0.06732589641992329,0.6459499718190331
1613783786946,2021-02-20T01:18:00.787Z,1.065,-0.07506091618414353,-0.7557813040196313,0.06660703911634965,0.647088851469515
1613783786985,2021-02-20T01:18:00.817Z,1.104,-0.0749315366225651,-0.7555579705172799,0.0664671544193327,0.6473789735468607
1613783787026,2021-02-20T01:18:00.832Z,1.145,-0.07438990379590785,-0.7552980602611817,0.06669408310404545,0.6477212993702172
1613783787066,2021-02-20T01:18:00.847Z,1.185,-0.07366449600545638,-0.7556699987157978,0.06655176659062205,0.6473849376011122
1613783787105,2021-02-20T01:18:00.862Z,1.224,-0.07339636606762459,-0.7558851217526505,0.0663815435201352,0.6471816953846365
1613783787146,2021-02-20T01:18:00.906Z,1.265,-0.07292230573580502,-0.7563520989452737,0.06621805340125281,0.6467062773400315
1613783787186,2021-02-20T01:18:00.908Z,1.305,-0.07248092047677883,-0.7568318457238273,0.06565405994843479,0.6462519770781295
1613783787227,2021-02-20T01:18:00.923Z,1.3459999999999999,-0.07221112651864718,-0.7569079052250546,0.06545277831580942,0.6462135173651733
1613783787267,2021-02-20T01:18:00.952Z,1.386,-0.07134478273826347,-0.7570898717857925,0.06472194067917496,0.6461701930684542
1613783787306,2021-02-20T01:18:00.967Z,1.425,-0.07057592529671806,-0.7571765038154553,0.06416329450190265,0.646208830392295
1613783787347,2021-02-20T01:18:00.982Z,1.466,-0.07016809666465303,-0.7573251534374525,0.06401892087708523,0.6460933585412659
1613783787387,2021-02-20T01:18:00.996Z,1.506,-0.06942724907496749,-0.7576900560954094,0.0644562096335232,0.6457019691929841
1613783787428,2021-02-20T01:18:00.998Z,1.547,-0.06898007553001513,-0.7583896680527877,0.06439033374256299,0.644934683120064
1613783787467,2021-02-20T01:18:01.013Z,1.5859999999999999,-0.06810639557662586,-0.7589181526635725,0.06378493039173028,0.6444658556465135
1613783787517,2021-02-20T01:18:01.028Z,1.636,-0.06639919415788549,-0.7596614686335806,0.06238496627884085,0.643905052062059
1613783787558,2021-02-20T01:18:01.042Z,1.6769999999999998,-0.06576703228408724,-0.7598163480016248,0.06220560353929455,0.6438045337385639
1613783787598,2021-02-20T01:18:01.057Z,1.7169999999999999,-0.06328153922156603,-0.7606234535104569,0.06265671542864862,0.6430564087039864
1613783787639,2021-02-20T01:18:01.072Z,1.758,-0.061408939436973765,-0.7614679873972221,0.06331657795941108,0.64217322996366
1613783787678,2021-02-20T01:18:01.087Z,1.797,-0.06059921036873753,-0.7618359621762328,0.06356542365061438,0.6417890146721248
1613783787718,2021-02-20T01:18:01.101Z,1.837,-0.05835587162658001,-0.7626926964120122,0.0639485025086415,0.6409407399388641
1613783787759,2021-02-20T01:18:01.117Z,1.8780000000000001,-0.05719682511891075,-0.762868924937198,0.06390860136076076,0.640839462918438
1613783787798,2021-02-20T01:18:01.131Z,1.9169999999999998,-0.0567879932948381,-0.7627984716365487,0.06401277918667984,0.6409492800427256
1613783787839,2021-02-20T01:18:01.133Z,1.9580000000000002,-0.0564222163554776,-0.7625550704210471,0.06370763565657589,0.6413015166329615
1613783787879,2021-02-20T01:18:01.147Z,1.9980000000000002,-0.05663758085157041,-0.7621751321214217,0.06339359120830672,0.6417651478576016
1613783787920,2021-02-20T01:18:01.162Z,2.039,-0.05679167798240078,-0.7619189419794423,0.06325074560406067,0.6420697581613706
1613783787959,2021-02-20T01:18:01.177Z,2.0780000000000003,-0.05765937281814525,-0.7612733539254084,0.06286548426992741,0.6427956193199247
1613783787999,2021-02-20T01:18:01.192Z,2.1180000000000003,-0.05805988725209973,-0.7606587831508873,0.06258242341213201,0.6435143396906934
1613783788040,2021-02-20T01:18:01.206Z,2.1590000000000003,-0.058209219564682564,-0.7602856032264684,0.06215052454228057,0.6439835406152513
1613783788080,2021-02-20T01:18:01.222Z,2.199,-0.05842592671835538,-0.7591089636225772,0.060751074560033626,0.6454837715812531
1613783788121,2021-02-20T01:18:01.236Z,2.24,-0.05880997220631023,-0.7581601682747892,0.06074129972898661,0.6465640269284005
1613783788160,2021-02-20T01:18:01.238Z,2.279,-0.05887668050121686,-0.7577327312672832,0.060960899523077726,0.6470381852632178
1613783788200,2021-02-20T01:18:01.252Z,2.319,-0.05902065773454021,-0.7569345893740325,0.06068775738843585,0.6479842478586263
1613783788241,2021-02-20T01:18:01.267Z,2.36,-0.06029947010451962,-0.7566885371348496,0.0608425413962656,0.648139349854859
1613783788280,2021-02-20T01:18:01.282Z,2.399,-0.06154443397977252,-0.7565457799571941,0.06158913505105972,0.6481184644173723
1613783788321,2021-02-20T01:18:01.297Z,2.44,-0.06437101130129247,-0.755768860752333,0.06549740782149542,0.648367096319542
1613783788361,2021-02-20T01:18:01.312Z,2.48,-0.06463926346331972,-0.7560176118710565,0.0650253353804388,0.6480978644605808
1613783788400,2021-02-20T01:18:01.327Z,2.519,-0.06492234216458577,-0.7560879044290707,0.06484337572368362,0.6480057923264873
1613783788441,2021-02-20T01:18:01.341Z,2.56,-0.06516844674895639,-0.7557821313764362,0.06406426068279518,0.6484151555474214
1613783788481,2021-02-20T01:18:01.343Z,2.6,-0.06578604011582333,-0.7553786955777029,0.06253686027717913,0.6489717746557858
1613783788522,2021-02-20T01:18:01.358Z,2.641,-0.0662603301087367,-0.7544594739170073,0.060384377182062035,0.6501955074153377
1613783788562,2021-02-20T01:18:01.373Z,2.681,-0.0661429962568061,-0.7536832763335588,0.0584832922962753,0.6512805290682908
1613783788603,2021-02-20T01:18:01.387Z,2.722,-0.06611588146271237,-0.7531413271650621,0.05680770313277943,0.6520580621380551
1613783788642,2021-02-20T01:18:01.402Z,2.761,-0.06627431294059548,-0.7526529232711513,0.05565222193973867,0.6527052341821786
1613783788682,2021-02-20T01:18:01.417Z,2.801,-0.06614625539978371,-0.7523692177560055,0.05528624175800723,0.6530763083607292
1613783788723,2021-02-20T01:18:01.432Z,2.842,-0.06522852217137225,-0.7514477695105731,0.05541818201529263,0.6542173298645056
1613783788762,2021-02-20T01:18:01.447Z,2.8810000000000002,-0.06478169150450674,-0.7513127374902958,0.05642374383217452,0.6543308521402715
1613783788803,2021-02-20T01:18:01.461Z,2.9219999999999997,-0.06472592471545023,-0.7515367278402796,0.05703091829404897,0.6540264335142679
1613783788853,2021-02-20T01:18:01.477Z,2.972,-0.06543768561825086,-0.7529144093111535,0.059761812320972475,0.6521244722755589
1613783788893,2021-02-20T01:18:01.508Z,3.012,-0.06665764694495316,-0.7540071055956824,0.06107865819304997,0.6506146634747176
1613783788934,2021-02-20T01:18:01.521Z,3.053,-0.06835741358932912,-0.7549976621380038,0.06125735656738503,0.6492713842761765
1613783788973,2021-02-20T01:18:01.523Z,3.092,-0.07019473094519599,-0.7542926509637032,0.06241136798669648,0.6497846701759821
1613783789014,2021-02-20T01:18:01.538Z,3.133,-0.07105840273843426,-0.7534459121221786,0.062105198190848726,0.6507018558943228
1613783789054,2021-02-20T01:18:01.552Z,3.173,-0.0712966390154596,-0.7523967281681008,0.061544113223773,0.6519419259677476
1613783789093,2021-02-20T01:18:01.567Z,3.2119999999999997,-0.07171240862271698,-0.7515390420161079,0.06031772014685295,0.6529993655520083
1613783789134,2021-02-20T01:18:01.582Z,3.253,-0.07189849030246999,-0.7511068275800404,0.05780803530206712,0.6537028160482318
1613783789174,2021-02-20T01:18:01.597Z,3.293,-0.07159296370023199,-0.7507150176963641,0.05476587360219032,0.6544479420414995
1613783789215,2021-02-20T01:18:01.611Z,3.3339999999999996,-0.0704092089160017,-0.7502883978194355,0.05256262687698893,0.655245781102906
1613783789254,2021-02-20T01:18:01.613Z,3.373,-0.06861309498818177,-0.7496458488487361,0.052046330780895794,0.6562122552591092
1613783789294,2021-02-20T01:18:01.627Z,3.4130000000000003,-0.06749663932085273,-0.7496049042219286,0.05192452373113157,0.6563844415295957
1613783789335,2021-02-20T01:18:01.642Z,3.4539999999999997,-0.067578992533258,-0.7499087513831298,0.05202311808972798,0.6560209901759295
1613783789375,2021-02-20T01:18:01.657Z,3.4939999999999998,-0.06771419772450643,-0.7503854739761617,0.051709122604257286,0.6554865326698903
1613783789416,2021-02-20T01:18:01.672Z,3.535,-0.06728218950465348,-0.7505494240363271,0.05173434017740692,0.6553413058098857
1613783789455,2021-02-20T01:18:01.687Z,3.574,-0.06687556361367343,-0.7505544905917154,0.052253520674698635,0.6553359331068784
1613783789495,2021-02-20T01:18:01.701Z,3.614,-0.06704365909714187,-0.7506912556087609,0.05257510423780835,0.6551363559914772
1613783789536,2021-02-20T01:18:01.703Z,3.655,-0.0678806540514519,-0.7507344932581805,0.05224638987827434,0.6550269095103021
1613783789575,2021-02-20T01:18:01.717Z,3.694,-0.06853242913595875,-0.7506539544070217,0.051247962555073634,0.6551302108922926
1613783789616,2021-02-20T01:18:01.733Z,3.735,-0.06851746317901843,-0.750234413388115,0.050220270526352466,0.6556917009052063
1613783789656,2021-02-20T01:18:01.747Z,3.775,-0.06827149283054637,-0.7501149733941357,0.050060816368112084,0.6558661788971603
1613783789697,2021-02-20T01:18:01.762Z,3.8160000000000003,-0.06762600843670141,-0.750182063417465,0.049915830692067134,0.6558673681133669
1613783789736,2021-02-20T01:18:01.777Z,3.855,-0.06702882122745965,-0.7506828339848134,0.04988216725667005,0.6553580618830931
1613783789776,2021-02-20T01:18:01.792Z,3.895,-0.06678182179935918,-0.7509358626287418,0.04965225178991131,0.6551108092432739
1613783789817,2021-02-20T01:18:01.807Z,3.9360000000000004,-0.0661253908446556,-0.7514307236195503,0.04866904933842428,0.6546836059675959
1613783789856,2021-02-20T01:18:01.821Z,3.975,-0.06486822184959941,-0.7518201516909694,0.045700007525442746,0.6545762618806255
1613783789897,2021-02-20T01:18:01.823Z,4.016,-0.06456308568551103,-0.7517662548908836,0.044769253837094784,0.6547326323660447
1613783789937,2021-02-20T01:18:01.838Z,4.056,-0.06446898257609346,-0.7514859999015865,0.043467526979437385,0.6551512163888639
1613783789977,2021-02-20T01:18:01.853Z,4.096,-0.06494214196355738,-0.7510794692491738,0.04231816618448544,0.6556457289423511
1613783790018,2021-02-20T01:18:01.869Z,4.137,-0.06530493423419538,-0.7507712939202066,0.041203773270026695,0.6560335196149342
1613783790067,2021-02-20T01:18:01.890Z,4.186,-0.06473402941813354,-0.7507393133548541,0.04072439505770584,0.6561566219020872
1613783790108,2021-02-20T01:18:01.898Z,4.227,-0.0644733748026708,-0.7508947050627485,0.04080904611272659,0.6559991978696708
1613783790148,2021-02-20T01:18:01.913Z,4.2669999999999995,-0.0637378044576594,-0.7515761191171163,0.041005225396046965,0.6552781096191073
1613783790188,2021-02-20T01:18:01.927Z,4.3069999999999995,-0.06343792034927588,-0.7520788848652264,0.040406558933092085,0.6547673565449206
