epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1613783800896,2021-02-20T01:18:07.961Z,15.011,5.456944465637207,-4.006944656372069,-89.24722290039062
1613783800935,2021-02-20T01:18:07.991Z,15.05,5.831944465637207,-2.1944444179534908,-88.05972290039062
1613783800975,2021-02-20T01:18:08.021Z,15.09,3.956944465637207,-3.631944417953491,-87.62222290039062
1613783801014,2021-02-20T01:18:08.035Z,15.129000000000001,5.456944465637207,-3.256944417953491,-88.12222290039062
1613783801054,2021-02-20T01:18:08.037Z,15.169,5.081944465637207,-6.56944465637207,-86.87222290039062
1613783801094,2021-02-20T01:18:08.080Z,15.209000000000001,5.456944465637207,-8.06944465637207,-88.93472290039062
1613783801133,2021-02-20T01:18:08.082Z,15.248,5.456944465637207,-3.631944417953491,-87.74722290039062
1613783801173,2021-02-20T01:18:08.096Z,15.288,5.831944465637207,-3.631944417953491,-86.55972290039062
1613783801212,2021-02-20T01:18:08.111Z,15.327,5.456944465637207,-2.944444417953491,-88.87222290039062
1613783801250,2021-02-20T01:18:08.126Z,15.365,5.081944465637207,-4.006944656372069,-87.37222290039062
1613783801290,2021-02-20T01:18:08.141Z,15.405,5.831944465637207,-3.631944417953491,-86.87222290039062
1613783801329,2021-02-20T01:18:08.142Z,15.444,5.831944465637207,-3.631944417953491,-86.87222290039062
1613783801369,2021-02-20T01:18:08.156Z,15.484000000000002,5.081944465637207,-3.256944417953491,-88.49722290039062
1613783801409,2021-02-20T01:18:08.186Z,15.524000000000001,5.831944465637207,-3.631944417953491,-87.62222290039062
1613783801448,2021-02-20T01:18:08.216Z,15.562999999999999,5.831944465637207,-2.5694444179534908,-87.30972290039062
1613783801488,2021-02-20T01:18:08.246Z,15.603,4.706944465637207,-3.256944417953491,-88.37222290039062
1613783801527,2021-02-20T01:18:08.260Z,15.642000000000001,5.831944465637207,-4.381944656372069,-88.12222290039062
1613783801567,2021-02-20T01:18:08.275Z,15.682,5.456944465637207,-5.88194465637207,-87.30972290039062
1613783801606,2021-02-20T01:18:08.291Z,15.720999999999998,4.706944465637207,-4.006944656372069,-88.49722290039062
1613783801646,2021-02-20T01:18:08.306Z,15.761,6.144444465637207,-1.8194444179534912,-88.12222290039062
1613783801684,2021-02-20T01:18:08.320Z,15.799000000000001,6.519444465637207,-12.81944465637207,-88.12222290039062
1613783801723,2021-02-20T01:18:08.350Z,15.838,5.831944465637207,-2.881944417953491,-89.55972290039062
1613783801763,2021-02-20T01:18:08.352Z,15.878,4.706944465637207,-2.944444417953491,-87.62222290039062
1613783801803,2021-02-20T01:18:08.367Z,15.918,5.831944465637207,-4.381944656372069,-88.43472290039062
1613783801842,2021-02-20T01:18:08.382Z,15.957,5.456944465637207,-2.5694444179534908,-88.87222290039062
1613783801882,2021-02-20T01:18:08.410Z,15.997,4.706944465637207,-2.944444417953491,-88.05972290039062
1613783801921,2021-02-20T01:18:08.440Z,16.035999999999998,5.081944465637207,-3.256944417953491,-88.05972290039062
1613783801961,2021-02-20T01:18:08.456Z,16.076,5.456944465637207,-3.256944417953491,-88.43472290039062
1613783802000,2021-02-20T01:18:08.485Z,16.115,6.144444465637207,-1.8194444179534912,-88.80972290039062
1613783802040,2021-02-20T01:18:08.487Z,16.155,5.831944465637207,-2.5694444179534908,-90.05972290039062
1613783802078,2021-02-20T01:18:08.516Z,16.192999999999998,5.456944465637207,-2.944444417953491,-88.80972290039062
1613783802118,2021-02-20T01:18:08.546Z,16.233,5.456944465637207,-2.944444417953491,-89.30972290039062
1613783802157,2021-02-20T01:18:08.576Z,16.272000000000002,5.831944465637207,-2.1944444179534908,-89.68472290039062
1613783802197,2021-02-20T01:18:08.590Z,16.312,6.144444465637207,-4.006944656372069,-88.05972290039062
1613783802236,2021-02-20T01:18:08.636Z,16.351,4.331944465637207,-12.06944465637207,-88.49722290039062
1613783802276,2021-02-20T01:18:08.650Z,16.391,6.144444465637207,-8.75694465637207,-88.80972290039062
1613783802315,2021-02-20T01:18:08.652Z,16.43,5.456944465637207,-2.881944417953491,-86.87222290039062
1613783802355,2021-02-20T01:18:08.681Z,16.47,5.456944465637207,-5.13194465637207,-86.87222290039062
1613783802394,2021-02-20T01:18:08.697Z,16.509,5.831944465637207,-4.381944656372069,-89.24722290039062
1613783802434,2021-02-20T01:18:08.711Z,16.549,5.081944465637207,-2.944444417953491,-88.05972290039062
1613783802472,2021-02-20T01:18:08.741Z,16.587,5.456944465637207,-19.44444465637207,-88.87222290039062
1613783802512,2021-02-20T01:18:08.771Z,16.627,5.456944465637207,-2.944444417953491,-89.24722290039062
1613783802551,2021-02-20T01:18:08.801Z,16.666,6.144444465637207,-3.631944417953491,-88.05972290039062
1613783802591,2021-02-20T01:18:08.815Z,16.706,4.331944465637207,-2.944444417953491,-89.68472290039062
1613783802630,2021-02-20T01:18:08.817Z,16.745,4.706944465637207,-3.256944417953491,-89.62222290039062
1613783802670,2021-02-20T01:18:08.832Z,16.785,6.144444465637207,-2.944444417953491,-88.49722290039062
1613783802709,2021-02-20T01:18:08.860Z,16.824,2.894444465637207,-2.1944444179534908,-89.24722290039062
1613783802749,2021-02-20T01:18:08.862Z,16.864,4.331944465637207,-3.256944417953491,-88.43472290039062
1613783802788,2021-02-20T01:18:08.876Z,16.903,4.706944465637207,-4.75694465637207,-87.24722290039062
1613783802828,2021-02-20T01:18:08.906Z,16.942999999999998,5.081944465637207,-6.56944465637207,-87.30972290039062
1613783802868,2021-02-20T01:18:08.921Z,16.983,3.956944465637207,-6.56944465637207,-84.05972290039062
1613783802906,2021-02-20T01:18:08.935Z,17.021,5.456944465637207,-8.44444465637207,-82.12222290039062
1613783802947,2021-02-20T01:18:08.937Z,17.062,5.081944465637207,-12.06944465637207,-80.12222290039062
1613783802985,2021-02-20T01:18:08.951Z,17.1,5.081944465637207,-13.56944465637207,-75.37222290039062
1613783803024,2021-02-20T01:18:08.981Z,17.139,5.831944465637207,-16.50694465637207,-71.37222290039062
1613783803064,2021-02-20T01:18:09.011Z,17.179000000000002,6.894444465637207,-18.69444465637207,-69.05972290039061
