epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613783831402,2021-02-20T01:18:10.942Z,45.493,99580.4130859375
1613783831442,2021-02-20T01:18:10.943Z,45.533,99580.4130859375
1613783831483,2021-02-20T01:18:10.954Z,45.574,99581.2099609375
1613783831523,2021-02-20T01:18:10.956Z,45.614,99581.2099609375
1613783831562,2021-02-20T01:18:10.959Z,45.653,99581.2099609375
1613783831602,2021-02-20T01:18:10.970Z,45.693000000000005,99581.2099609375
1613783831641,2021-02-20T01:18:10.973Z,45.732,99581.2099609375
1613783831681,2021-02-20T01:18:10.984Z,45.772,99581.2099609375
1613783831720,2021-02-20T01:18:10.987Z,45.81100000000001,99581.2099609375
1613783831760,2021-02-20T01:18:10.989Z,45.851000000000006,99581.2099609375
1613783831799,2021-02-20T01:18:11.000Z,45.89,99580.5380859375
1613783831839,2021-02-20T01:18:11.002Z,45.93,99580.5380859375
1613783831878,2021-02-20T01:18:11.014Z,45.968999999999994,99580.5380859375
1613783831919,2021-02-20T01:18:11.016Z,46.01,99580.5380859375
1613783831959,2021-02-20T01:18:11.018Z,46.05,99580.5380859375
1613783831999,2021-02-20T01:18:11.029Z,46.09,99580.5380859375
1613783832038,2021-02-20T01:18:11.032Z,46.129,99580.5380859375
1613783832078,2021-02-20T01:18:11.034Z,46.169,99580.5380859375
1613783832117,2021-02-20T01:18:11.045Z,46.208,99580.5380859375
1613783832157,2021-02-20T01:18:11.047Z,46.248000000000005,99580.5380859375
1613783832196,2021-02-20T01:18:11.059Z,46.287,99580.5380859375
1613783832236,2021-02-20T01:18:11.074Z,46.327,99580.5380859375
1613783832275,2021-02-20T01:18:11.089Z,46.36600000000001,99580.5380859375
1613783832315,2021-02-20T01:18:11.091Z,46.406000000000006,99580.5380859375
1613783832355,2021-02-20T01:18:11.093Z,46.446000000000005,99580.5380859375
1613783832396,2021-02-20T01:18:11.104Z,46.486999999999995,99580.5380859375
1613783832435,2021-02-20T01:18:11.134Z,46.526,99580.5380859375
1613783832475,2021-02-20T01:18:11.136Z,46.566,99580.5380859375
1613783832514,2021-02-20T01:18:11.139Z,46.605,99581.2099609375
1613783832554,2021-02-20T01:18:11.164Z,46.645,99581.2099609375
1613783832593,2021-02-20T01:18:11.194Z,46.684,99580.5380859375
