epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1613784503008,2021-02-20T01:31:15.098Z,0.113,-3.5529892444610596,-31.970108032226562,-22.58559799194336
1613784503049,2021-02-20T01:31:15.102Z,0.154,-2.8029892444610596,-31.220108032226562,-23.77309799194336
1613784503089,2021-02-20T01:31:15.103Z,0.194,-3.1779892444610596,-30.470108032226562,-22.58559799194336
1613784503128,2021-02-20T01:31:15.114Z,0.233,-4.3029890060424805,-51.22010803222656,-21.77309799194336
1613784503168,2021-02-20T01:31:15.127Z,0.273,-2.0529892444610596,-32.34510803222656,-22.58559799194336
1613784503189,2021-02-20T01:31:15.129Z,0.294,-2.4279892444610596,-30.845108032226562,-22.21059799194336
1613784503228,2021-02-20T01:31:15.132Z,0.333,-3.1779892444610596,-30.845108032226562,-23.83559799194336
1613784503269,2021-02-20T01:31:15.143Z,0.374,-3.1779892444610596,-30.845108032226562,-22.58559799194336
1613784503309,2021-02-20T01:31:15.146Z,0.414,-3.5529892444610596,-40.47010803222656,-21.77309799194336
1613784503348,2021-02-20T01:31:15.148Z,0.453,-2.8029892444610596,-30.845108032226562,-24.21059799194336
1613784503388,2021-02-20T01:31:15.159Z,0.493,-4.3029890060424805,-30.470108032226562,-23.39809799194336
1613784503427,2021-02-20T01:31:15.188Z,0.532,-3.5529892444610596,-29.782608032226562,-22.21059799194336
1613784503467,2021-02-20T01:31:15.190Z,0.572,-3.5529892444610596,-29.782608032226562,-23.02309799194336
1613784503506,2021-02-20T01:31:15.193Z,0.611,-3.5529892444610596,-29.782608032226562,-22.21059799194336
1613784503546,2021-02-20T01:31:15.204Z,0.651,-3.5529892444610596,-32.72010803222656,-22.58559799194336
1613784503586,2021-02-20T01:31:15.218Z,0.691,-3.5529892444610596,-30.470108032226562,-21.77309799194336
1613784503625,2021-02-20T01:31:15.221Z,0.73,-3.1779892444610596,-30.470108032226562,-20.96059799194336
1613784503665,2021-02-20T01:31:15.232Z,0.77,-3.5529892444610596,-29.782608032226562,-23.02309799194336
1613784503704,2021-02-20T01:31:15.234Z,0.809,-3.1779892444610596,-29.782608032226562,-20.96059799194336
1613784503744,2021-02-20T01:31:15.237Z,0.849,-2.8029892444610596,-30.845108032226562,-22.58559799194336
1613784503783,2021-02-20T01:31:15.248Z,0.888,-2.4279892444610596,-31.220108032226562,-23.02309799194336
1613784503823,2021-02-20T01:31:15.251Z,0.928,-3.1779892444610596,-28.282608032226562,-21.39809799194336
1613784503864,2021-02-20T01:31:15.253Z,0.969,-2.8029892444610596,-43.84510803222656,-22.21059799194336
1613784503903,2021-02-20T01:31:15.264Z,1.008,-3.5529892444610596,-31.595108032226562,-22.21059799194336
1613784503943,2021-02-20T01:31:15.279Z,1.048,-2.8029892444610596,-30.157608032226562,-22.58559799194336
1613784503982,2021-02-20T01:31:15.280Z,1.087,-4.3029890060424805,-30.845108032226562,-23.39809799194336
1613784504022,2021-02-20T01:31:15.308Z,1.127,-4.3029890060424805,-30.470108032226562,-22.21059799194336
1613784504062,2021-02-20T01:31:15.310Z,1.167,-4.3029890060424805,-30.470108032226562,-20.96059799194336
1613784504101,2021-02-20T01:31:15.313Z,1.206,-2.4279892444610596,-31.595108032226562,-22.21059799194336
1613784504141,2021-02-20T01:31:15.324Z,1.246,-3.9279892444610596,-30.157608032226562,-22.21059799194336
1613784504180,2021-02-20T01:31:15.326Z,1.285,-4.3029890060424805,-30.845108032226562,-20.96059799194336
