epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1613784814148,2021-02-20T01:33:34.148Z,0,0.42524485706505344,-0.17539377343749651,-0.1537485941576441,-0.8745085508865117
1613784814163,2021-02-20T01:33:34.163Z,0.015,0.42524485706505344,-0.17539377343749651,-0.1537485941576441,-0.8745085508865117
1613784814178,2021-02-20T01:33:34.178Z,0.03,0.4245487111048026,-0.1756299657897497,-0.1538522865015323,-0.8747811045937107
1613784814208,2021-02-20T01:33:34.208Z,0.06,0.4238377916768933,-0.17565553095512432,-0.15356918867009015,-0.8751703634621877
1613784814223,2021-02-20T01:33:34.224Z,0.075,0.42327541457152495,-0.1756028526358592,-0.15363711026859697,-0.8754411458880417
1613784814238,2021-02-20T01:33:34.238Z,0.09,0.4228476266338094,-0.1756589501505148,-0.15384515316559622,-0.8756000723673038
1613784814275,2021-02-20T01:33:34.275Z,0.127,0.42240467623305533,-0.17596591653160343,-0.15407360268788814,-0.8757120592240439
1613784814284,2021-02-20T01:33:34.284Z,0.136,0.4219616001580386,-0.17623351740978999,-0.15422370900655988,-0.8758454218146605
1613784814298,2021-02-20T01:33:34.298Z,0.15,0.42138035387578165,-0.1763188295102245,-0.15382690062523227,-0.8761778086505617
1613784814328,2021-02-20T01:33:34.328Z,0.18,0.4209170668410089,-0.17615357961398687,-0.1540224561533363,-0.8763993508849913
1613784814343,2021-02-20T01:33:34.343Z,0.195,0.42051253909780384,-0.17651700988976465,-0.1523379985254014,-0.8768147374938275
1613784814358,2021-02-20T01:33:34.358Z,0.21,0.42076258357182855,-0.17467678397910547,-0.149180807513883,-0.8776058090476514
1613784814388,2021-02-20T01:33:34.388Z,0.24,0.4215658945404742,-0.17092638382462863,-0.14743026423833389,-0.878254339618963
1613784814403,2021-02-20T01:33:34.404Z,0.255,0.4220781751748254,-0.16838772324405693,-0.1476968214843139,-0.8784538904377411
1613784814418,2021-02-20T01:33:34.418Z,0.27,0.4224626929396169,-0.16786566919935697,-0.1489983584527834,-0.8781491213665451
1613784814448,2021-02-20T01:33:34.448Z,0.3,0.42323623762384227,-0.16875493077009884,-0.15062249456269847,-0.8773287437639915
1613784814463,2021-02-20T01:33:34.463Z,0.315,0.4243611667096087,-0.17001494795506533,-0.15218774161066922,-0.8762713101341048
1613784814478,2021-02-20T01:33:34.478Z,0.33,0.42545352852302704,-0.17098284116902315,-0.1530422721952865,-0.8754040358682259
1613784814508,2021-02-20T01:33:34.508Z,0.36,0.4262133678903046,-0.17162984115778976,-0.1531440268723523,-0.8748898614620448
1613784814523,2021-02-20T01:33:34.523Z,0.375,0.42663123767906475,-0.17216036606747698,-0.15232022059629138,-0.8747257546165192
1613784814538,2021-02-20T01:33:34.538Z,0.39,0.42677247268495344,-0.17243810784155345,-0.1506737431936803,-0.8748872948182528
1613784814568,2021-02-20T01:33:34.568Z,0.42,0.42681054511458233,-0.1724446541682055,-0.14907561763391494,-0.8751411657869077
