epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1626649578550,2021-07-18T23:07:38.244Z,0.034,-2.6732990741729736,-0.18774063885211945,0.8231707811355591
1626649578590,2021-07-18T23:07:38.246Z,0.074,0.6193838119506836,0.1171373575925827,-0.09146341681480408
1626649578630,2021-07-18T23:07:38.257Z,0.114,0.37548139691352844,0.4220154285430908,-0.3353658616542816
1626649578669,2021-07-18T23:07:38.259Z,0.153,0.1925545632839203,0.23908858001232147,-0.09146341681480408
1626649578709,2021-07-18T23:07:38.261Z,0.193,-0.5391528010368347,0.05616174638271332,-0.030487805604934692
1626649578748,2021-07-18T23:07:38.272Z,0.232,-0.3562259376049042,-0.12676508724689484,0.030487805604934692
1626649578788,2021-07-18T23:07:38.274Z,0.272,-0.05134788155555725,0.36103981733322144,-0.030487805604934692
1626649578827,2021-07-18T23:07:38.276Z,0.311,-0.47817710041999817,0.1171373575925827,0.09146341681480408
1626649578867,2021-07-18T23:07:38.287Z,0.351,0.07060334086418152,0.1171373575925827,0.21341463923454285
1626649578906,2021-07-18T23:07:38.290Z,0.39,0.009627727791666985,0.36103981733322144,-0.030487805604934692
1626649578947,2021-07-18T23:07:38.291Z,0.431,0.1315789520740509,0.30006420612335205,-0.15243902802467346
1626649578987,2021-07-18T23:07:38.303Z,0.471,-0.2952503263950348,0.1171373575925827,-0.15243902802467346
1626649579027,2021-07-18T23:07:38.305Z,0.511,-0.7220795750617981,0.1781129688024521,-0.09146341681480408
1626649579066,2021-07-18T23:07:38.307Z,0.55,-0.8440307974815369,0.1781129688024521,-0.09146341681480408
1626649579106,2021-07-18T23:07:38.318Z,0.59,-0.5391528010368347,0.23908858001232147,-0.030487805604934692
1626649579145,2021-07-18T23:07:38.321Z,0.629,-0.2952503263950348,0.30006420612335205,0.030487805604934692
1626649579185,2021-07-18T23:07:38.332Z,0.669,-0.11232349276542664,0.5439666509628296,-0.030487805604934692
1626649579224,2021-07-18T23:07:38.334Z,0.708,0.1315789520740509,0.4220154285430908,0.030487805604934692
1626649579264,2021-07-18T23:07:38.336Z,0.748,0.07060334086418152,0.1781129688024521,0.15243902802467346
1626649579303,2021-07-18T23:07:38.347Z,0.787,-0.3562259376049042,0.1781129688024521,0.030487805604934692
1626649579343,2021-07-18T23:07:38.350Z,0.827,0.07060334086418152,0.30006420612335205,-0.15243902802467346
1626649579382,2021-07-18T23:07:38.351Z,0.866,-0.9659820199012756,0.4829910397529602,0.09146341681480408
1626649579423,2021-07-18T23:07:38.362Z,0.907,0.1925545632839203,1.1537227630615234,-0.09146341681480408
1626649579463,2021-07-18T23:07:38.365Z,0.947,-0.17329910397529602,-0.004813863895833492,0.4573170840740204
1626649579503,2021-07-18T23:07:38.367Z,0.987,0.07060334086418152,-0.12676508724689484,0.09146341681480408
1626649579542,2021-07-18T23:07:38.378Z,1.026,0.1315789520740509,0.36103981733322144,-0.21341463923454285
1626649579582,2021-07-18T23:07:38.380Z,1.066,-0.05134788155555725,0.30006420612335205,-0.21341463923454285
1626649579621,2021-07-18T23:07:38.392Z,1.105,-0.41720154881477356,0.1171373575925827,0.09146341681480408
1626649579661,2021-07-18T23:07:38.394Z,1.145,-0.905006468296051,-0.49261873960494995,0.09146341681480408
1626649579700,2021-07-18T23:07:38.396Z,1.184,-3.283055305480957,-1.5901798009872437,-0.030487805604934692
1626649579740,2021-07-18T23:07:38.407Z,1.224,-8.161104202270508,-4.029204368591309,0.4573170840740204
1626649579779,2021-07-18T23:07:38.410Z,1.263,-11.087933540344238,-5.492619037628174,1.737804889678955
1626649579819,2021-07-18T23:07:38.412Z,1.303,-11.6976900100708,-5.736521244049072,2.6524391174316406
1626649579859,2021-07-18T23:07:38.422Z,1.343,-8.77086067199707,-5.492619037628174,2.6524391174316406
1626649579900,2021-07-18T23:07:38.425Z,1.384,-7.673299312591553,-5.187740802764893,1.6158537864685059
1626649579939,2021-07-18T23:07:38.427Z,1.423,-7.3684210777282715,-2.809691905975342,1.1890244483947754
1626649579979,2021-07-18T23:07:38.438Z,1.463,-4.807445526123047,-2.3828625679016113,1.8597562313079834
1626649580018,2021-07-18T23:07:38.469Z,1.502,-1.941591739654541,-2.809691905975342,1.1890244483947754
1626649580058,2021-07-18T23:07:38.482Z,1.542,-1.758664846420288,-2.3828625679016113,1.1280487775802612
1626649580097,2021-07-18T23:07:38.484Z,1.581,-2.1854941844940186,-2.260911464691162,0.7012195587158203
1626649580137,2021-07-18T23:07:38.486Z,1.621,-2.1854941844940186,-1.8950577974319458,-0.030487805604934692
1626649580176,2021-07-18T23:07:38.498Z,1.66,-1.5147624015808105,-1.4072529077529907,-0.27439025044441223
1626649580216,2021-07-18T23:07:38.500Z,1.7,-1.758664846420288,-2.1999356746673584,-0.09146341681480408
1626649580256,2021-07-18T23:07:38.501Z,1.74,-0.2952503263950348,-0.6145699620246887,-0.396341472864151
1626649580295,2021-07-18T23:07:38.513Z,1.779,0.4364570081233978,-0.6145699620246887,0.030487805604934692
1626649580335,2021-07-18T23:07:38.515Z,1.819,-1.5147624015808105,-1.7121309041976929,0.4573170840740204
1626649580374,2021-07-18T23:07:38.517Z,1.858,-1.3928112983703613,-3.236521005630493,1.920731782913208
1626649580415,2021-07-18T23:07:38.528Z,1.899,-2.917201519012451,-6.163350582122803,6.189024448394775
1626649580455,2021-07-18T23:07:38.531Z,1.939,2.5096278190612793,-11.346277236938477,13.871952056884766
1626649580494,2021-07-18T23:07:38.542Z,1.978,4.4608473777771,-22.5657901763916,14.603658676147461
1626649580534,2021-07-18T23:07:38.544Z,2.018,1.7779204845428467,-24.21213150024414,3.8719513416290283
1626649580573,2021-07-18T23:07:38.546Z,2.057,-0.11232349276542664,-19.21213150024414,-2.9573171138763428
1626649580613,2021-07-18T23:07:38.557Z,2.097,-5.600128650665283,-15.248716354370117,-6.128048896789551
1626649580653,2021-07-18T23:07:38.560Z,2.137,-8.039153099060059,-10.614570617675781,-8.384146690368652
1626649580692,2021-07-18T23:07:38.572Z,2.176,-13.77086067199707,-4.456033706665039,-9.054878234863281
1626649580732,2021-07-18T23:07:38.575Z,2.216,-16.148908615112305,2.861039876937866,-9.84756088256836
1626649580771,2021-07-18T23:07:38.577Z,2.255,-15.661105155944824,3.2878692150115967,-7.530488014221191
1626649580811,2021-07-18T23:07:38.588Z,2.295,-11.148909568786621,2.068356990814209,-4.3597564697265625
1626649580850,2021-07-18T23:07:38.590Z,2.334,-9.4415922164917,0.5439666509628296,2.0426828861236572
1626649580891,2021-07-18T23:07:38.592Z,2.375,-3.770860195159912,-0.49261873960494995,6.128048896789551
1626649580931,2021-07-18T23:07:38.604Z,2.415,4.094993591308594,-8.175545692443848,5.152439117431641
1626649580970,2021-07-18T23:07:38.606Z,2.454,10.619383811950684,-14.33408260345459,6.189024448394775
1626649581010,2021-07-18T23:07:38.617Z,2.494,7.021822929382324,-12.992619514465332,3.8719513416290283
1626649581049,2021-07-18T23:07:38.619Z,2.533,8.180359840393066,-12.38286304473877,4.542682647705078
1626649581089,2021-07-18T23:07:38.621Z,2.573,0.8632862567901611,-8.724326133728027,4.6646342277526855
1626649581129,2021-07-18T23:07:38.633Z,2.613,3.1803596019744873,-8.480423927307129,4.72560977935791
1626649581168,2021-07-18T23:07:38.635Z,2.652,-1.2098844051361084,-10.18774127960205,2.77439022064209
1626649581208,2021-07-18T23:07:38.637Z,2.692,1.5949935913085938,-11.468229293823242,2.7134146690368652
1626649581247,2021-07-18T23:07:38.649Z,2.731,-0.8440307974815369,-10.248716354370117,1.6768293380737305
1626649581287,2021-07-18T23:07:38.651Z,2.771,4.643774032592773,-8.297496795654297,-0.6402438879013062
1626649581326,2021-07-18T23:07:38.662Z,2.81,8.180359840393066,-5.675545692443848,4.115853309631348
1626649581367,2021-07-18T23:07:38.664Z,2.851,9.521822929382324,-4.273106575012207,1.25
1626649581407,2021-07-18T23:07:38.666Z,2.891,5.375481605529785,-1.8340822458267212,1.9817073345184326
1626649581446,2021-07-18T23:07:38.677Z,2.93,6.83889627456665,-2.5657894611358643,1.0060975551605225
1626649581486,2021-07-18T23:07:38.680Z,2.97,5.070603370666504,-4.33408260345459,0.8841463327407837
1626649581526,2021-07-18T23:07:38.682Z,3.01,8.72913932800293,-4.8828630447387695,1.6768293380737305
1626649581565,2021-07-18T23:07:38.693Z,3.049,11.168164253234863,-4.151155471801758,0.8231707811355591
1626649581605,2021-07-18T23:07:38.695Z,3.089,5.3145060539245605,-3.419448137283325,0.7621951103210449
1626649581644,2021-07-18T23:07:38.708Z,3.128,3.241335153579712,-1.6511553525924683,-0.21341463923454285
