epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1626651126197,2021-07-18T23:32:06.197Z,0,0.7103209370692591,0.10726017935269556,-0.21977228041335894,0.6600299728407714
1626651126212,2021-07-18T23:32:06.212Z,0.015,0.7103209370692591,0.10726017935269556,-0.21977228041335894,0.6600299728407714
1626651126227,2021-07-18T23:32:06.227Z,0.03,0.710335941457605,0.10665754587506937,-0.2196583915818974,0.6601493839950917
1626651126257,2021-07-18T23:32:06.257Z,0.06,0.7101586625118802,0.10661997755962546,-0.2195455707559055,0.6603836739396167
1626651126272,2021-07-18T23:32:06.272Z,0.075,0.7097615913891331,0.1051901084845434,-0.21947026770830907,0.6610645400093841
1626651126287,2021-07-18T23:32:06.287Z,0.09,0.7090992925090108,0.10259119971799686,-0.21935202553702388,0.6622219627862301
1626651126317,2021-07-18T23:32:06.317Z,0.12,0.7082372408987998,0.10013680447774032,-0.21912111177931468,0.6635951848571832
1626651126332,2021-07-18T23:32:06.332Z,0.135,0.7072046056312633,0.09785649177153218,-0.21871585102456467,0.6651684969259277
1626651126347,2021-07-18T23:32:06.347Z,0.15,0.7059970503972489,0.09575833667843275,-0.2181013507684262,0.6669560004827548
1626651126377,2021-07-18T23:32:06.377Z,0.18,0.704616403337211,0.09400089589777505,-0.21729651778972858,0.6689258397423488
1626651126392,2021-07-18T23:32:06.392Z,0.195,0.703078167581681,0.0927585091082258,-0.2163785396546166,0.6710121286794599
1626651126407,2021-07-18T23:32:06.407Z,0.21,0.7013757254722547,0.09192534469375667,-0.21535628192160072,0.6732336106865926
1626651126437,2021-07-18T23:32:06.437Z,0.24,0.6995079068840944,0.09144211629242299,-0.21426527250115776,0.6755867232077617
1626651126452,2021-07-18T23:32:06.452Z,0.255,0.6975285684554702,0.09134739433050705,-0.2132057606974355,0.6779770300997793
1626651126467,2021-07-18T23:32:06.467Z,0.27,0.6954446732834133,0.09154946403259642,-0.2121368324198615,0.6804214623069574
1626651126497,2021-07-18T23:32:06.497Z,0.3,0.693263466212139,0.09195628468916492,-0.2110888439537887,0.6829138364976572
1626651126512,2021-07-18T23:32:06.512Z,0.315,0.6910481875685756,0.09249988314097334,-0.21006448444948272,0.6853970283347206
1626651126527,2021-07-18T23:32:06.527Z,0.33,0.6888166534461141,0.09309195611460373,-0.20901411536810513,0.6878797898026523
1626651126542,2021-07-18T23:32:06.542Z,0.345,0.6865929145782127,0.09369501064057405,-0.20796602924266147,0.6903343721075305
1626651126572,2021-07-18T23:32:06.572Z,0.375,0.6843914630813379,0.09422762375604024,-0.20695684248878352,0.6927469563482388
1626651126587,2021-07-18T23:32:06.587Z,0.39,0.6821868457582171,0.09481899148844358,-0.20601151190697145,0.6951184958619451
1626651126602,2021-07-18T23:32:06.602Z,0.405,0.6799872446831562,0.09542034931127207,-0.20514100781577224,0.6974449590597479
1626651126632,2021-07-18T23:32:06.632Z,0.435,0.6778454835696699,0.09612261239957781,-0.2043731869367989,0.6996553038825458
1626651126647,2021-07-18T23:32:06.647Z,0.45,0.6757866538674157,0.09674369852099887,-0.2037232501938209,0.7017477414154076
1626651126662,2021-07-18T23:32:06.662Z,0.465,0.6737161939735421,0.09741782399104622,-0.2032381877610382,0.7037829896937429
1626651126698,2021-07-18T23:32:06.699Z,0.501,0.6716562309583517,0.09809050599029388,-0.2028294311404881,0.7057736052819032
1626651126707,2021-07-18T23:32:06.707Z,0.51,0.6696131955437523,0.09869296449892163,-0.20249988059678983,0.7077228733553727
1626651126722,2021-07-18T23:32:06.722Z,0.525,0.6676670838030131,0.09918869209942119,-0.20230269618593305,0.7095462547864576
1626651126752,2021-07-18T23:32:06.752Z,0.555,0.6658385960626912,0.09950977515557881,-0.20223089362080512,0.7112379589891704
1626651126767,2021-07-18T23:32:06.767Z,0.57,0.6640476484702414,0.09988528823010506,-0.20224443878503687,0.7128540080106563
1626651126782,2021-07-18T23:32:06.782Z,0.585,0.6622813987033346,0.10038799705718073,-0.20237392857124212,0.7143881242105328
1626651126812,2021-07-18T23:32:06.812Z,0.615,0.6605717665845752,0.10095839181736893,-0.20252269168616166,0.7158469834155733
1626651126827,2021-07-18T23:32:06.827Z,0.63,0.658916029885791,0.10165240224931396,-0.20270723923282244,0.7172211861337465
1626651126842,2021-07-18T23:32:06.842Z,0.645,0.6572998027130023,0.10226154653312834,-0.20305540878416267,0.7185179513537556
1626651126872,2021-07-18T23:32:06.872Z,0.675,0.6557280984144616,0.10275565160543526,-0.20344963697166968,0.719770923439529
1626651126887,2021-07-18T23:32:06.887Z,0.69,0.6542282963666536,0.10325541706602262,-0.20393445924304876,0.7209260651502019
1626651126902,2021-07-18T23:32:06.902Z,0.705,0.6527811540962863,0.10369457832809414,-0.20447882469104522,0.722019812425565
1626651126932,2021-07-18T23:32:06.932Z,0.735,0.6513874627558283,0.10406862316956099,-0.20497682266393225,0.7230827042646749
1626651126947,2021-07-18T23:32:06.947Z,0.75,0.65005486624978,0.10433966361627663,-0.205438244616131,0.7241112021716455
1626651126962,2021-07-18T23:32:06.962Z,0.765,0.6487721131222084,0.10454110068610326,-0.20587999221040448,0.7251064282639663
1626651126992,2021-07-18T23:32:06.992Z,0.795,0.6476009150816457,0.10470361503621307,-0.20622720497628033,0.7260306795937997
1626651127007,2021-07-18T23:32:07.007Z,0.81,0.6466014648094544,0.1048328399111497,-0.20640096775762154,0.7268529850603549
1626651127022,2021-07-18T23:32:07.022Z,0.825,0.6457487214769434,0.10494417247769378,-0.20651995265313336,0.7275608692954924
1626651127052,2021-07-18T23:32:07.052Z,0.855,0.6450298356895006,0.10508430975658993,-0.20657712035626324,0.7281618585580207
1626651127067,2021-07-18T23:32:07.067Z,0.87,0.6444499369409018,0.10529062675311711,-0.20660593800765115,0.7286371861734634
1626651127082,2021-07-18T23:32:07.082Z,0.885,0.6440084546964695,0.10557837034128541,-0.20660929860087066,0.7289848528791253
1626651127112,2021-07-18T23:32:07.112Z,0.915,0.6437232942149942,0.10593809894301738,-0.20663475179498178,0.7291772891608473
1626651127127,2021-07-18T23:32:07.127Z,0.93,0.6436564010652915,0.10620332619647506,-0.2067777119895564,0.7291572318072734
1626651127142,2021-07-18T23:32:07.143Z,0.945,0.6438110287437293,0.10644760944317753,-0.2070760126582766,0.7289003983352752
1626651127157,2021-07-18T23:32:07.157Z,0.96,0.644107402497188,0.10660155258333878,-0.2074370369664806,0.7285133071740791
1626651127187,2021-07-18T23:32:07.187Z,0.99,0.64450962266902,0.10663722114504849,-0.20782281977799139,0.7280422549090294
1626651127202,2021-07-18T23:32:07.202Z,1.005,0.6449441141197568,0.10677833259340626,-0.2082584795232692,0.7275121188389304
1626651127217,2021-07-18T23:32:07.217Z,1.02,0.645410963222879,0.10695842944561135,-0.20875079718054518,0.7269303182552853
1626651127247,2021-07-18T23:32:07.247Z,1.05,0.6459403663428319,0.10696721443677785,-0.2092672815943378,0.7263100322993211
1626651127262,2021-07-18T23:32:07.262Z,1.065,0.6464951465226363,0.10694783433983061,-0.2098075794178537,0.7256631214768436
1626651127277,2021-07-18T23:32:07.277Z,1.08,0.6470479330246606,0.10684845646208525,-0.21038604569572694,0.7250173042739739
1626651127307,2021-07-18T23:32:07.307Z,1.11,0.6475995174081856,0.10669612800277276,-0.21092302664685025,0.7243909705069724
1626651127322,2021-07-18T23:32:07.322Z,1.125,0.6480786800014414,0.1067374813110144,-0.2113923155373646,0.7238193307329678
1626651127337,2021-07-18T23:32:07.337Z,1.14,0.6485116511436602,0.10703934625380399,-0.2118058341490111,0.7232658607351267
1626651127367,2021-07-18T23:32:07.367Z,1.17,0.6489540201995089,0.10740866235182417,-0.21208623108225363,0.722731962420379
