epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1626650058970,2021-07-18T23:15:48.276Z,0.308,99447.7890625
1626650059047,2021-07-18T23:15:48.289Z,0.385,99447.7890625
1626650059125,2021-07-18T23:15:48.303Z,0.463,99446.9375
1626650059203,2021-07-18T23:15:48.306Z,0.541,99446.9375
1626650059280,2021-07-18T23:15:48.320Z,0.618,99446.9375
1626650059358,2021-07-18T23:15:48.333Z,0.696,99446.9375
1626650059435,2021-07-18T23:15:48.338Z,0.773,99446.9375
1626650059513,2021-07-18T23:15:48.350Z,0.851,99446.9375
1626650059591,2021-07-18T23:15:48.363Z,0.929,99446.9375
1626650059668,2021-07-18T23:15:48.367Z,1.006,99447.7890625
1626650059746,2021-07-18T23:15:48.381Z,1.084,99447.125
1626650059824,2021-07-18T23:15:48.394Z,1.162,99447.125
1626650059901,2021-07-18T23:15:48.407Z,1.239,99447.125
1626650059979,2021-07-18T23:15:48.411Z,1.317,99446.4609375
1626650060057,2021-07-18T23:15:48.425Z,1.395,99446.4609375
1626650060134,2021-07-18T23:15:48.438Z,1.472,99446.4609375
1626650060212,2021-07-18T23:15:48.443Z,1.55,99447.3046875
1626650060289,2021-07-18T23:15:48.454Z,1.627,99446.640625
1626650060367,2021-07-18T23:15:48.468Z,1.705,99446.640625
1626650060445,2021-07-18T23:15:48.473Z,1.783,99446.640625
1626650060522,2021-07-18T23:15:48.486Z,1.86,99446.640625
1626650060600,2021-07-18T23:15:48.499Z,1.938,99446.640625
1626650060678,2021-07-18T23:15:48.513Z,2.016,99446.640625
1626650060755,2021-07-18T23:15:48.517Z,2.093,99446.640625
1626650060833,2021-07-18T23:15:48.531Z,2.171,99446.640625
1626650060911,2021-07-18T23:15:48.544Z,2.249,99446.859375
1626650060988,2021-07-18T23:15:48.557Z,2.326,99446.859375
1626650061066,2021-07-18T23:15:48.561Z,2.404,99447.5234375
1626650061143,2021-07-18T23:15:48.574Z,2.481,99447.5234375
1626650061221,2021-07-18T23:15:48.587Z,2.559,99447.5234375
1626650061299,2021-07-18T23:15:48.591Z,2.637,99446.859375
1626650061376,2021-07-18T23:15:48.604Z,2.714,99446.859375
1626650061454,2021-07-18T23:15:48.648Z,2.792,99446.859375
1626650061532,2021-07-18T23:15:48.653Z,2.87,99446.859375
1626650061609,2021-07-18T23:15:48.666Z,2.947,99446.1953125
1626650061687,2021-07-18T23:15:48.679Z,3.025,99446.1953125
1626650061765,2021-07-18T23:15:48.693Z,3.103,99446.1953125
1626650061842,2021-07-18T23:15:48.697Z,3.18,99446.1953125
1626650061920,2021-07-18T23:15:48.711Z,3.258,99446.1953125
1626650061997,2021-07-18T23:15:48.724Z,3.335,99446.1953125
1626650062075,2021-07-18T23:15:48.737Z,3.413,99446.1953125
1626650062153,2021-07-18T23:15:48.741Z,3.491,99446.1953125
1626650062230,2021-07-18T23:15:48.755Z,3.568,99446.1953125
1626650062309,2021-07-18T23:15:48.768Z,3.647,99446.1953125
1626650062386,2021-07-18T23:15:48.771Z,3.724,99446.1953125
1626650062463,2021-07-18T23:15:48.784Z,3.801,99446.1953125
1626650062541,2021-07-18T23:15:48.797Z,3.879,99446.1953125
1626650062619,2021-07-18T23:15:48.801Z,3.957,99446.1953125
1626650062696,2021-07-18T23:15:48.815Z,4.034,99446.1953125
1626650062774,2021-07-18T23:15:48.828Z,4.112,99446.1953125
1626650062851,2021-07-18T23:15:48.833Z,4.189,99446.1953125
1626650062929,2021-07-18T23:15:48.846Z,4.267,99446.1953125
1626650063007,2021-07-18T23:15:48.859Z,4.345,99446.1953125
1626650063086,2021-07-18T23:15:48.872Z,4.424,99446.1953125
1626650063163,2021-07-18T23:15:48.876Z,4.501,99446.375
1626650063241,2021-07-18T23:15:48.889Z,4.579,99446.375
1626650063319,2021-07-18T23:15:48.903Z,4.657,99446.375
1626650063396,2021-07-18T23:15:48.906Z,4.734,99446.375
1626650063474,2021-07-18T23:15:48.920Z,4.812,99446.375
1626650063552,2021-07-18T23:15:48.933Z,4.89,99446.375
1626650063629,2021-07-18T23:15:48.938Z,4.967,99446.375
1626650063707,2021-07-18T23:15:48.951Z,5.045,99446.375
1626650063785,2021-07-18T23:15:48.964Z,5.123,99446.375
1626650063862,2021-07-18T23:15:48.977Z,5.2,99446.375
1626650063940,2021-07-18T23:15:48.982Z,5.278,99446.375
1626650064017,2021-07-18T23:15:48.995Z,5.355,99445.7109375
1626650064095,2021-07-18T23:15:49.008Z,5.433,99445.7109375
1626650064173,2021-07-18T23:15:49.012Z,5.511,99445.7109375
1626650064250,2021-07-18T23:15:49.026Z,5.588,99445.7109375
1626650064328,2021-07-18T23:15:49.039Z,5.666,99445.7109375
1626650064406,2021-07-18T23:15:49.053Z,5.744,99446.375
1626650064483,2021-07-18T23:15:49.056Z,5.821,99447.2265625
1626650064561,2021-07-18T23:15:49.070Z,5.899,99447.2265625
1626650064639,2021-07-18T23:15:49.100Z,5.977,99447.2265625
1626650064716,2021-07-18T23:15:49.113Z,6.054,99447.2265625
1626650064794,2021-07-18T23:15:49.118Z,6.132,99447.2265625
1626650064871,2021-07-18T23:15:49.131Z,6.209,99447.2265625
1626650064949,2021-07-18T23:15:49.144Z,6.287,99447.2265625
1626650065027,2021-07-18T23:15:49.157Z,6.365,99447.2265625
1626650065104,2021-07-18T23:15:49.162Z,6.442,99447.8828125
1626650065183,2021-07-18T23:15:49.175Z,6.521,99447.8828125
1626650065261,2021-07-18T23:15:49.189Z,6.599,99447.8828125
1626650065339,2021-07-18T23:15:49.193Z,6.677,99447.2265625
1626650065416,2021-07-18T23:15:49.206Z,6.754,99447.2265625
1626650065494,2021-07-18T23:15:49.219Z,6.832,99447.2265625
1626650065572,2021-07-18T23:15:49.223Z,6.91,99447.2265625
1626650065649,2021-07-18T23:15:49.236Z,6.987,99447.2265625
1626650065727,2021-07-18T23:15:49.250Z,7.065,99447.2265625
1626650065805,2021-07-18T23:15:49.253Z,7.143,99447.2265625
1626650065882,2021-07-18T23:15:49.266Z,7.22,99447.2265625
1626650065960,2021-07-18T23:15:49.279Z,7.298,99447.2265625
1626650066037,2021-07-18T23:15:49.293Z,7.375,99447.2265625
1626650066115,2021-07-18T23:15:49.297Z,7.453,99447.2265625
1626650066193,2021-07-18T23:15:49.311Z,7.531,99448.0703125
1626650066270,2021-07-18T23:15:49.324Z,7.608,99448.0703125
1626650066348,2021-07-18T23:15:49.337Z,7.686,99448.0703125
1626650066426,2021-07-18T23:15:49.341Z,7.764,99448.0703125
1626650066503,2021-07-18T23:15:49.355Z,7.841,99448.0703125
1626650066581,2021-07-18T23:15:49.367Z,7.919,99448.0703125
1626650066659,2021-07-18T23:15:49.372Z,7.997,99448.0703125
1626650066736,2021-07-18T23:15:49.385Z,8.074,99448.0703125
1626650066814,2021-07-18T23:15:49.399Z,8.152,99448.0703125
1626650066891,2021-07-18T23:15:49.403Z,8.229,99448.0703125
1626650066969,2021-07-18T23:15:49.416Z,8.307,99448.0703125
1626650067047,2021-07-18T23:15:49.429Z,8.385,99448.0703125
1626650067124,2021-07-18T23:15:49.442Z,8.462,99447.3984375
1626650067202,2021-07-18T23:15:49.446Z,8.54,99447.3984375
1626650067280,2021-07-18T23:15:49.460Z,8.618,99448.0703125
1626650067357,2021-07-18T23:15:49.473Z,8.695,99448.0703125
1626650067435,2021-07-18T23:15:49.478Z,8.773,99448.0703125
1626650067513,2021-07-18T23:15:49.491Z,8.851,99448.0703125
1626650067590,2021-07-18T23:15:49.503Z,8.928,99448.0703125
1626650067669,2021-07-18T23:15:49.507Z,9.007,99448.0703125
1626650067745,2021-07-18T23:15:49.520Z,9.083,99448.0703125
1626650067825,2021-07-18T23:15:49.552Z,9.163,99448.0703125
1626650067901,2021-07-18T23:15:49.565Z,9.239,99448.0703125
1626650067978,2021-07-18T23:15:49.579Z,9.316,99448.0703125
1626650068056,2021-07-18T23:15:49.592Z,9.394,99448.0703125
1626650068134,2021-07-18T23:15:49.597Z,9.472,99448.9140625
1626650068211,2021-07-18T23:15:49.610Z,9.549,99448.9140625
1626650068289,2021-07-18T23:15:49.623Z,9.627,99448.9140625
1626650068367,2021-07-18T23:15:49.628Z,9.705,99448.9140625
1626650068444,2021-07-18T23:15:49.641Z,9.782,99448.9140625
1626650068522,2021-07-18T23:15:49.654Z,9.86,99449.578125
1626650068601,2021-07-18T23:15:49.667Z,9.939,99448.9140625
1626650068677,2021-07-18T23:15:49.670Z,10.015,99449.578125
1626650068755,2021-07-18T23:15:49.683Z,10.093,99449.578125
1626650068832,2021-07-18T23:15:49.688Z,10.17,99449.578125
1626650068910,2021-07-18T23:15:49.701Z,10.248,99449.578125
1626650068988,2021-07-18T23:15:49.714Z,10.326,99449.578125
1626650069065,2021-07-18T23:15:49.728Z,10.403,99448.9140625
1626650069143,2021-07-18T23:15:49.732Z,10.481,99448.9140625
1626650069221,2021-07-18T23:15:49.746Z,10.559,99449.578125
1626650069298,2021-07-18T23:15:49.759Z,10.636,99449.578125
1626650069377,2021-07-18T23:15:49.773Z,10.715,99449.578125
1626650069455,2021-07-18T23:15:49.777Z,10.793,99449.578125
1626650069533,2021-07-18T23:15:49.790Z,10.871,99449.578125
1626650069610,2021-07-18T23:15:49.803Z,10.948,99449.578125
1626650069688,2021-07-18T23:15:49.807Z,11.026,99449.578125
1626650069766,2021-07-18T23:15:49.820Z,11.104,99449.578125
1626650069843,2021-07-18T23:15:49.833Z,11.181,99449.578125
1626650069921,2021-07-18T23:15:49.838Z,11.259,99449.578125
1626650069998,2021-07-18T23:15:49.851Z,11.336,99449.578125
1626650070076,2021-07-18T23:15:49.864Z,11.414,99449.578125
1626650070154,2021-07-18T23:15:49.877Z,11.492,99449.578125
1626650070231,2021-07-18T23:15:49.881Z,11.569,99449.578125
1626650070309,2021-07-18T23:15:49.894Z,11.647,99449.578125
1626650070387,2021-07-18T23:15:49.907Z,11.725,99449.765625
1626650070464,2021-07-18T23:15:49.912Z,11.802,99449.765625
1626650070542,2021-07-18T23:15:49.925Z,11.88,99449.765625
1626650070620,2021-07-18T23:15:49.939Z,11.958,99449.765625
1626650070697,2021-07-18T23:15:49.943Z,12.035,99449.765625
1626650070775,2021-07-18T23:15:49.956Z,12.113,99449.765625
1626650070852,2021-07-18T23:15:49.969Z,12.19,99449.765625
1626650070930,2021-07-18T23:15:49.999Z,12.268,99449.765625
1626650071008,2021-07-18T23:15:50.013Z,12.346,99449.765625
1626650071085,2021-07-18T23:15:50.017Z,12.423,99449.765625
1626650071163,2021-07-18T23:15:50.031Z,12.501,99449.765625
1626650071242,2021-07-18T23:15:50.044Z,12.58,99449.765625
1626650071318,2021-07-18T23:15:50.048Z,12.656,99449.765625
1626650071396,2021-07-18T23:15:50.061Z,12.734,99449.765625
1626650071474,2021-07-18T23:15:50.074Z,12.812,99449.765625
1626650071551,2021-07-18T23:15:50.078Z,12.889,99450.6171875
1626650071629,2021-07-18T23:15:50.091Z,12.967,99450.6171875
1626650071706,2021-07-18T23:15:50.104Z,13.044,99450.6171875
1626650071784,2021-07-18T23:15:50.119Z,13.122,99450.6171875
1626650071862,2021-07-18T23:15:50.121Z,13.2,99451.2734375
1626650071939,2021-07-18T23:15:50.136Z,13.277,99451.2734375
1626650072018,2021-07-18T23:15:50.149Z,13.356,99451.2734375
1626650072096,2021-07-18T23:15:50.162Z,13.434,99451.2734375
1626650072174,2021-07-18T23:15:50.166Z,13.512,99451.2734375
1626650072251,2021-07-18T23:15:50.180Z,13.589,99451.2734375
1626650072329,2021-07-18T23:15:50.192Z,13.667,99450.6171875
1626650072407,2021-07-18T23:15:50.197Z,13.745,99450.6171875
1626650072484,2021-07-18T23:15:50.210Z,13.822,99450.6171875
1626650072562,2021-07-18T23:15:50.223Z,13.9,99450.6171875
1626650072640,2021-07-18T23:15:50.228Z,13.978,99449.9453125
1626650072717,2021-07-18T23:15:50.241Z,14.055,99450.6171875
1626650072795,2021-07-18T23:15:50.254Z,14.133,99449.9453125
1626650072872,2021-07-18T23:15:50.267Z,14.21,99450.6171875
1626650072950,2021-07-18T23:15:50.271Z,14.288,99450.6171875
1626650073028,2021-07-18T23:15:50.284Z,14.366,99449.9453125
1626650073105,2021-07-18T23:15:50.297Z,14.443,99449.9453125
1626650073183,2021-07-18T23:15:50.302Z,14.521,99449.9453125
1626650073261,2021-07-18T23:15:50.315Z,14.599,99449.9453125
1626650073338,2021-07-18T23:15:50.329Z,14.676,99449.9453125
1626650073416,2021-07-18T23:15:50.332Z,14.754,99449.9453125
1626650073494,2021-07-18T23:15:50.346Z,14.832,99449.9453125
1626650073571,2021-07-18T23:15:50.359Z,14.909,99450.1328125
1626650073649,2021-07-18T23:15:50.372Z,14.987,99450.7890625
1626650073726,2021-07-18T23:15:50.376Z,15.064,99450.7890625
1626650073804,2021-07-18T23:15:50.390Z,15.142,99450.1328125
1626650073882,2021-07-18T23:15:50.402Z,15.22,99450.1328125
1626650073959,2021-07-18T23:15:50.407Z,15.297,99450.1328125
1626650074037,2021-07-18T23:15:50.420Z,15.375,99450.1328125
1626650074115,2021-07-18T23:15:50.451Z,15.453,99450.1328125
1626650074192,2021-07-18T23:15:50.465Z,15.53,99450.1328125
1626650074270,2021-07-18T23:15:50.478Z,15.608,99450.1328125
1626650074348,2021-07-18T23:15:50.483Z,15.686,99450.1328125
1626650074425,2021-07-18T23:15:50.495Z,15.763,99450.1328125
1626650074503,2021-07-18T23:15:50.508Z,15.841,99450.1328125
1626650074580,2021-07-18T23:15:50.513Z,15.918,99450.1328125
1626650074658,2021-07-18T23:15:50.526Z,15.996,99450.1328125
1626650074736,2021-07-18T23:15:50.539Z,16.074,99450.1328125
1626650074813,2021-07-18T23:15:50.553Z,16.151,99450.1328125
1626650074891,2021-07-18T23:15:50.557Z,16.229,99450.1328125
1626650074969,2021-07-18T23:15:50.570Z,16.307,99449.4609375
1626650075046,2021-07-18T23:15:50.583Z,16.384,99449.4609375
1626650075124,2021-07-18T23:15:50.588Z,16.462,99449.4609375
1626650075202,2021-07-18T23:15:50.601Z,16.54,99449.4609375
1626650075279,2021-07-18T23:15:50.614Z,16.617,99449.4609375
1626650075357,2021-07-18T23:15:50.627Z,16.695,99449.4609375
1626650075436,2021-07-18T23:15:50.632Z,16.774,99449.4609375
1626650075514,2021-07-18T23:15:50.644Z,16.852,99448.796875
1626650075591,2021-07-18T23:15:50.658Z,16.929,99448.796875
1626650075669,2021-07-18T23:15:50.662Z,17.007,99448.796875
1626650075746,2021-07-18T23:15:50.676Z,17.084,99448.796875
1626650075824,2021-07-18T23:15:50.689Z,17.162,99448.796875
1626650075902,2021-07-18T23:15:50.702Z,17.24,99448.796875
1626650075979,2021-07-18T23:15:50.705Z,17.317,99448.1328125
1626650076057,2021-07-18T23:15:50.719Z,17.395,99448.1328125
1626650076135,2021-07-18T23:15:50.723Z,17.473,99448.796875
1626650076212,2021-07-18T23:15:50.736Z,17.55,99448.796875
1626650076290,2021-07-18T23:15:50.749Z,17.628,99448.796875
1626650076368,2021-07-18T23:15:50.763Z,17.706,99448.796875
1626650076445,2021-07-18T23:15:50.767Z,17.783,99448.1328125
1626650076523,2021-07-18T23:15:50.780Z,17.861,99448.1328125
1626650076600,2021-07-18T23:15:50.793Z,17.938,99448.9765625
1626650076678,2021-07-18T23:15:50.798Z,18.016,99449.6484375
1626650076756,2021-07-18T23:15:50.811Z,18.094,99448.9765625
1626650076833,2021-07-18T23:15:50.824Z,18.171,99449.6484375
1626650076911,2021-07-18T23:15:50.828Z,18.249,99449.6484375
1626650076989,2021-07-18T23:15:50.841Z,18.327,99449.6484375
1626650077066,2021-07-18T23:15:50.854Z,18.404,99449.6484375
1626650077144,2021-07-18T23:15:50.868Z,18.482,99450.3046875
1626650077222,2021-07-18T23:15:50.899Z,18.56,99450.3046875
1626650077299,2021-07-18T23:15:50.912Z,18.637,99450.3046875
1626650077377,2021-07-18T23:15:50.917Z,18.715,99450.3046875
1626650077454,2021-07-18T23:15:50.929Z,18.792,99450.3046875
1626650077532,2021-07-18T23:15:50.943Z,18.87,99450.3046875
1626650077610,2021-07-18T23:15:50.946Z,18.948,99450.3046875
1626650077687,2021-07-18T23:15:50.959Z,19.025,99450.3046875
1626650077765,2021-07-18T23:15:50.972Z,19.103,99450.3046875
1626650077843,2021-07-18T23:15:50.977Z,19.181,99450.9765625
1626650077920,2021-07-18T23:15:50.990Z,19.258,99450.9765625
1626650077998,2021-07-18T23:15:51.004Z,19.336,99450.3046875
1626650078076,2021-07-18T23:15:51.008Z,19.414,99450.3046875
1626650078153,2021-07-18T23:15:51.021Z,19.491,99450.3046875
1626650078231,2021-07-18T23:15:51.034Z,19.569,99450.3046875
1626650078308,2021-07-18T23:15:51.048Z,19.646,99450.4921875
1626650078386,2021-07-18T23:15:51.052Z,19.724,99451.15625
1626650078464,2021-07-18T23:15:51.065Z,19.802,99450.4921875
1626650078543,2021-07-18T23:15:51.078Z,19.881,99450.4921875
1626650078619,2021-07-18T23:15:51.082Z,19.957,99450.4921875
1626650078697,2021-07-18T23:15:51.095Z,20.035,99450.4921875
1626650078774,2021-07-18T23:15:51.109Z,20.112,99449.8203125
1626650078852,2021-07-18T23:15:51.122Z,20.19,99449.8203125
1626650078930,2021-07-18T23:15:51.126Z,20.268,99449.8203125
1626650079007,2021-07-18T23:15:51.139Z,20.345,99449.8203125
1626650079085,2021-07-18T23:15:51.153Z,20.423,99449.8203125
1626650079162,2021-07-18T23:15:51.157Z,20.5,99449.8203125
1626650079240,2021-07-18T23:15:51.171Z,20.578,99449.8203125
1626650079318,2021-07-18T23:15:51.183Z,20.656,99450.4921875
1626650079395,2021-07-18T23:15:51.188Z,20.733,99449.8203125
1626650079473,2021-07-18T23:15:51.201Z,20.811,99449.8203125
1626650079551,2021-07-18T23:15:51.214Z,20.889,99449.8203125
1626650079628,2021-07-18T23:15:51.218Z,20.966,99450.4921875
1626650079706,2021-07-18T23:15:51.231Z,21.044,99450.4921875
1626650079784,2021-07-18T23:15:51.245Z,21.122,99450.4921875
1626650079863,2021-07-18T23:15:51.259Z,21.201,99450.4921875
1626650079940,2021-07-18T23:15:51.272Z,21.278,99450.4921875
1626650080018,2021-07-18T23:15:51.277Z,21.356,99450.4921875
1626650080096,2021-07-18T23:15:51.290Z,21.434,99450.4921875
1626650080173,2021-07-18T23:15:51.303Z,21.511,99450.4921875
1626650080251,2021-07-18T23:15:51.307Z,21.589,99450.4921875
1626650080328,2021-07-18T23:15:51.321Z,21.666,99450.4921875
1626650080406,2021-07-18T23:15:51.350Z,21.744,99450.4921875
1626650080484,2021-07-18T23:15:51.363Z,21.822,99449.8203125
1626650080561,2021-07-18T23:15:51.368Z,21.899,99449.8203125
1626650080639,2021-07-18T23:15:51.381Z,21.977,99449.8203125
1626650080717,2021-07-18T23:15:51.394Z,22.055,99450.7109375
1626650080794,2021-07-18T23:15:51.398Z,22.132,99450.7109375
1626650080872,2021-07-18T23:15:51.411Z,22.21,99450.7109375
1626650080950,2021-07-18T23:15:51.424Z,22.288,99450.7109375
1626650081027,2021-07-18T23:15:51.438Z,22.365,99450.7109375
1626650081105,2021-07-18T23:15:51.443Z,22.443,99450.7109375
1626650081182,2021-07-18T23:15:51.455Z,22.52,99450.7109375
1626650081260,2021-07-18T23:15:51.468Z,22.598,99450.0390625
1626650081338,2021-07-18T23:15:51.473Z,22.676,99450.7109375
1626650081415,2021-07-18T23:15:51.486Z,22.753,99450.7109375
1626650081493,2021-07-18T23:15:51.499Z,22.831,99450.0390625
1626650081571,2021-07-18T23:15:51.512Z,22.909,99450.0390625
1626650081648,2021-07-18T23:15:51.517Z,22.986,99450.0390625
1626650081726,2021-07-18T23:15:51.530Z,23.064,99450.0390625
1626650081804,2021-07-18T23:15:51.543Z,23.142,99450.0390625
1626650081881,2021-07-18T23:15:51.546Z,23.219,99450.0390625
1626650081959,2021-07-18T23:15:51.560Z,23.297,99450.0390625
1626650082036,2021-07-18T23:15:51.573Z,23.374,99450.0390625
1626650082114,2021-07-18T23:15:51.578Z,23.452,99450.0390625
1626650082192,2021-07-18T23:15:51.591Z,23.53,99449.3828125
1626650082269,2021-07-18T23:15:51.604Z,23.607,99449.3828125
1626650082347,2021-07-18T23:15:51.608Z,23.685,99449.3828125
1626650082425,2021-07-18T23:15:51.622Z,23.763,99449.3828125
1626650082502,2021-07-18T23:15:51.635Z,23.84,99449.3828125
1626650082580,2021-07-18T23:15:51.649Z,23.918,99449.3828125
1626650082658,2021-07-18T23:15:51.653Z,23.996,99449.3828125
1626650082735,2021-07-18T23:15:51.666Z,24.073,99449.3828125
1626650082813,2021-07-18T23:15:51.679Z,24.151,99449.3828125
1626650082891,2021-07-18T23:15:51.692Z,24.229,99449.3828125
1626650082970,2021-07-18T23:15:51.696Z,24.308,99449.3828125
1626650083047,2021-07-18T23:15:51.710Z,24.385,99448.7109375
1626650083125,2021-07-18T23:15:51.723Z,24.463,99449.3828125
1626650083203,2021-07-18T23:15:51.728Z,24.541,99449.3828125
1626650083280,2021-07-18T23:15:51.739Z,24.618,99449.3828125
1626650083358,2021-07-18T23:15:51.753Z,24.696,99450.2265625
1626650083435,2021-07-18T23:15:51.757Z,24.773,99450.2265625
1626650083513,2021-07-18T23:15:51.771Z,24.851,99450.2265625
1626650083591,2021-07-18T23:15:51.802Z,24.929,99450.2265625
1626650083668,2021-07-18T23:15:51.815Z,25.006,99449.5546875
1626650083746,2021-07-18T23:15:51.829Z,25.084,99450.2265625
1626650083824,2021-07-18T23:15:51.832Z,25.162,99450.2265625
1626650083901,2021-07-18T23:15:51.846Z,25.239,99450.2265625
