epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1626650058698,2021-07-18T23:15:48.237Z,0.036,29.7131404876709,-39.61859130859375,91.00480651855469
1626650058738,2021-07-18T23:15:48.239Z,0.076,29.0256404876709,-37.74359130859375,88.87980651855469
1626650058778,2021-07-18T23:15:48.241Z,0.116,29.3381404876709,-37.36859130859375,88.19230651855469
1626650058817,2021-07-18T23:15:48.252Z,0.155,30.0881404876709,-41.49359130859375,87.69230651855469
1626650058858,2021-07-18T23:15:48.254Z,0.196,30.0881404876709,-39.61859130859375,84.19230651855469
1626650058879,2021-07-18T23:15:48.257Z,0.217,28.9631404876709,-35.86859130859375,82.56730651855469
1626650058918,2021-07-18T23:15:48.267Z,0.256,28.6506404876709,-33.30609130859375,77.31730651855469
1626650058958,2021-07-18T23:15:48.269Z,0.296,28.9631404876709,-31.056089401245117,72.44230651855469
1626650058997,2021-07-18T23:15:48.280Z,0.335,29.3381404876709,-29.931089401245117,67.19230651855469
1626650059037,2021-07-18T23:15:48.282Z,0.375,28.9631404876709,-31.431089401245117,59.87980651855469
1626650059078,2021-07-18T23:15:48.285Z,0.416,28.5881404876709,-28.868589401245117,64.00480651855469
1626650059117,2021-07-18T23:15:48.295Z,0.455,29.3381404876709,-29.931089401245117,59.87980651855469
1626650059157,2021-07-18T23:15:48.298Z,0.495,28.6506404876709,-25.493589401245117,57.44230651855469
1626650059196,2021-07-18T23:15:48.300Z,0.534,27.5256404876709,-23.618589401245117,52.69230651855469
1626650059236,2021-07-18T23:15:48.311Z,0.574,29.3381404876709,-25.868589401245117,51.06730651855469
1626650059276,2021-07-18T23:15:48.313Z,0.614,28.9631404876709,-24.368589401245117,49.06730651855469
1626650059315,2021-07-18T23:15:48.316Z,0.653,28.9631404876709,-23.243589401245117,48.25480651855469
1626650059355,2021-07-18T23:15:48.327Z,0.693,30.8381404876709,-24.368589401245117,45.81730651855469
1626650059394,2021-07-18T23:15:48.329Z,0.732,28.9631404876709,-22.181089401245117,46.56730651855469
1626650059434,2021-07-18T23:15:48.331Z,0.772,27.8381404876709,-22.118589401245117,47.87980651855469
1626650059473,2021-07-18T23:15:48.342Z,0.811,28.5881404876709,-22.868589401245117,45.44230651855469
1626650059513,2021-07-18T23:15:48.345Z,0.851,28.2131404876709,-22.493589401245117,47.87980651855469
1626650059552,2021-07-18T23:15:48.356Z,0.89,28.2131404876709,-23.993589401245117,47.87980651855469
1626650059592,2021-07-18T23:15:48.357Z,0.93,27.8381404876709,-26.993589401245117,48.69230651855469
1626650059632,2021-07-18T23:15:48.360Z,0.97,27.0881404876709,-24.743589401245117,49.12980651855469
1626650059673,2021-07-18T23:15:48.371Z,1.011,27.4631404876709,-27.368589401245117,48.75480651855469
