epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1626650338772,2021-07-18T23:20:23.563Z,-0.387,0.20002375543117523,-0.2523952126502991,0.9583839178085327
1626650338812,2021-07-18T23:20:23.565Z,-0.347,0.20368586480617523,-0.2519069314002991,0.9556983709335327
1626650338851,2021-07-18T23:20:23.567Z,-0.308,0.20661555230617523,-0.2506862282752991,0.9593604803085327
1626650338889,2021-07-18T23:20:23.578Z,-0.27,0.20319758355617523,-0.2543483376502991,0.9566749334335327
1626650338929,2021-07-18T23:20:23.580Z,-0.23,0.20368586480617523,-0.2536159157752991,0.9574073553085327
1626650338968,2021-07-18T23:20:23.582Z,-0.191,0.20368586480617523,-0.2526393532752991,0.9600929021835327
1626650339008,2021-07-18T23:20:23.593Z,-0.151,0.20295344293117523,-0.2543483376502991,0.9554542303085327
1626650339048,2021-07-18T23:20:23.595Z,-0.111,0.20344172418117523,-0.2531276345252991,0.9552100896835327
1626650339087,2021-07-18T23:20:23.597Z,-0.072,0.20197688043117523,-0.2531276345252991,0.9571632146835327
1626650339127,2021-07-18T23:20:23.609Z,-0.032,0.19977961480617523,-0.2501979470252991,0.9569190740585327
1626650339166,2021-07-18T23:20:23.640Z,0.007,0.20100031793117523,-0.2519069314002991,0.9571632146835327
1626650339204,2021-07-18T23:20:23.642Z,0.045,0.20270930230617523,-0.24995380640029907,0.9561866521835327
1626650339244,2021-07-18T23:20:23.653Z,0.085,0.20222102105617523,-0.2523952126502991,0.9576514959335327
1626650339283,2021-07-18T23:20:23.685Z,0.124,0.20466242730617523,-0.2541041970252991,0.9603370428085327
1626650339323,2021-07-18T23:20:23.687Z,0.164,0.20173273980617523,-0.2509303689002991,0.9535011053085327
1626650339362,2021-07-18T23:20:23.698Z,0.203,0.20344172418117523,-0.24995380640029907,0.9559425115585327
1626650339402,2021-07-18T23:20:23.701Z,0.243,0.20466242730617523,-0.2519069314002991,0.9566749334335327
1626650339442,2021-07-18T23:20:23.703Z,0.283,0.20319758355617523,-0.2541041970252991,0.9566749334335327
1626650339481,2021-07-18T23:20:23.714Z,0.322,0.20002375543117523,-0.2523952126502991,0.9591163396835327
1626650339519,2021-07-18T23:20:23.716Z,0.36,0.20124445855617523,-0.2509303689002991,0.9561866521835327
1626650339559,2021-07-18T23:20:23.719Z,0.4,0.20319758355617523,-0.2523952126502991,0.9544776678085327
1626650339598,2021-07-18T23:20:23.745Z,0.439,0.20222102105617523,-0.2528834939002991,0.9576514959335327
1626650339638,2021-07-18T23:20:23.747Z,0.479,0.20173273980617523,-0.2514186501502991,0.9600929021835327
1626650339677,2021-07-18T23:20:23.749Z,0.518,0.20270930230617523,-0.2521510720252991,0.9564307928085327
1626650339717,2021-07-18T23:20:23.775Z,0.558,0.20490656793117523,-0.2521510720252991,0.9581397771835327
1626650339757,2021-07-18T23:20:23.777Z,0.598,0.20515070855617523,-0.2526393532752991,0.9566749334335327
