epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1626651550443,2021-07-18T23:40:44.668Z,0.309,99446.1640625
1626651550521,2021-07-18T23:40:44.681Z,0.387,99446.9140625
1626651550599,2021-07-18T23:40:44.695Z,0.465,99446.8515625
1626651550676,2021-07-18T23:40:44.699Z,0.542,99447.1484375
1626651550754,2021-07-18T23:40:44.713Z,0.62,99446.5625
1626651550832,2021-07-18T23:40:44.726Z,0.698,99447.5234375
1626651550909,2021-07-18T23:40:44.739Z,0.775,99447.1640625
1626651550987,2021-07-18T23:40:44.742Z,0.853,99448.125
1626651551065,2021-07-18T23:40:44.755Z,0.931,99447.3671875
1626651551142,2021-07-18T23:40:44.759Z,1.008,99447.6640625
1626651551220,2021-07-18T23:40:44.773Z,1.086,99448.140625
1626651551297,2021-07-18T23:40:44.786Z,1.163,99447.7734375
1626651551375,2021-07-18T23:40:44.799Z,1.241,99448.2578125
1626651551454,2021-07-18T23:40:44.803Z,1.32,99448.7421875
1626651551532,2021-07-18T23:40:44.817Z,1.398,99448.5546875
1626651551610,2021-07-18T23:40:44.830Z,1.476,99449.0390625
1626651551687,2021-07-18T23:40:44.835Z,1.553,99449.3046875
1626651551765,2021-07-18T23:40:44.846Z,1.631,99449.78125
1626651551842,2021-07-18T23:40:44.860Z,1.708,99449.6015625
1626651551920,2021-07-18T23:40:44.864Z,1.786,99450.265625
1626651551998,2021-07-18T23:40:44.878Z,1.864,99450.7421875
1626651552075,2021-07-18T23:40:44.891Z,1.941,99450.5625
1626651552153,2021-07-18T23:40:44.904Z,2.019,99450.5625
1626651552231,2021-07-18T23:40:44.908Z,2.097,99450.3828125
1626651552308,2021-07-18T23:40:44.922Z,2.174,99450.8671875
1626651552386,2021-07-18T23:40:44.935Z,2.252,99450.8671875
1626651552464,2021-07-18T23:40:44.940Z,2.33,99450.6796875
1626651552541,2021-07-18T23:40:44.952Z,2.407,99451.3359375
1626651552619,2021-07-18T23:40:44.966Z,2.485,99450.4921875
1626651552696,2021-07-18T23:40:44.970Z,2.562,99451.15625
1626651552774,2021-07-18T23:40:44.982Z,2.64,99451.15625
1626651552852,2021-07-18T23:40:44.995Z,2.718,99450.9765625
1626651552929,2021-07-18T23:40:45.000Z,2.795,99450.0859375
1626651553007,2021-07-18T23:40:45.013Z,2.873,99450.0859375
1626651553085,2021-07-18T23:40:45.042Z,2.951,99450.7578125
1626651553162,2021-07-18T23:40:45.056Z,3.028,99450.7578125
1626651553240,2021-07-18T23:40:45.069Z,3.106,99450.7578125
1626651553318,2021-07-18T23:40:45.074Z,3.184,99450.5703125
1626651553395,2021-07-18T23:40:45.087Z,3.261,99450.5703125
1626651553473,2021-07-18T23:40:45.101Z,3.339,99450.5703125
1626651553550,2021-07-18T23:40:45.104Z,3.416,99451.2421875
1626651553628,2021-07-18T23:40:45.118Z,3.494,99451.2421875
1626651553706,2021-07-18T23:40:45.131Z,3.572,99451.0546875
1626651553783,2021-07-18T23:40:45.144Z,3.649,99451.0546875
1626651553861,2021-07-18T23:40:45.148Z,3.727,99451.0546875
1626651553939,2021-07-18T23:40:45.162Z,3.805,99451.0546875
1626651554016,2021-07-18T23:40:45.174Z,3.882,99451.0546875
1626651554094,2021-07-18T23:40:45.179Z,3.96,99451.71875
1626651554172,2021-07-18T23:40:45.192Z,4.038,99451.71875
1626651554249,2021-07-18T23:40:45.206Z,4.115,99451.71875
1626651554327,2021-07-18T23:40:45.210Z,4.193,99450.875
1626651554404,2021-07-18T23:40:45.223Z,4.27,99450.875
1626651554482,2021-07-18T23:40:45.236Z,4.348,99450.875
1626651554560,2021-07-18T23:40:45.250Z,4.426,99450.875
1626651554637,2021-07-18T23:40:45.253Z,4.503,99451.5390625
1626651554715,2021-07-18T23:40:45.267Z,4.581,99450.875
1626651554793,2021-07-18T23:40:45.280Z,4.659,99451.5390625
1626651554870,2021-07-18T23:40:45.284Z,4.736,99450.875
1626651554948,2021-07-18T23:40:45.297Z,4.814,99451.5390625
1626651555026,2021-07-18T23:40:45.311Z,4.892,99451.5390625
1626651555103,2021-07-18T23:40:45.315Z,4.969,99451.5390625
1626651555181,2021-07-18T23:40:45.328Z,5.047,99451.5390625
1626651555258,2021-07-18T23:40:45.341Z,5.124,99451.5390625
1626651555336,2021-07-18T23:40:45.355Z,5.202,99452.1953125
1626651555414,2021-07-18T23:40:45.358Z,5.28,99452.1953125
1626651555491,2021-07-18T23:40:45.372Z,5.357,99452.1953125
1626651555569,2021-07-18T23:40:45.385Z,5.435,99452.1953125
1626651555647,2021-07-18T23:40:45.388Z,5.513,99452.1953125
1626651555724,2021-07-18T23:40:45.401Z,5.59,99452.1953125
1626651555802,2021-07-18T23:40:45.415Z,5.668,99452.1953125
1626651555880,2021-07-18T23:40:45.419Z,5.746,99452.1953125
1626651555957,2021-07-18T23:40:45.433Z,5.823,99452.1953125
1626651556035,2021-07-18T23:40:45.446Z,5.901,99452.1953125
1626651556112,2021-07-18T23:40:45.459Z,5.978,99452.1953125
1626651556190,2021-07-18T23:40:45.490Z,6.056,99452.1953125
1626651556268,2021-07-18T23:40:45.495Z,6.134,99452.1953125
1626651556345,2021-07-18T23:40:45.508Z,6.211,99451.5390625
1626651556423,2021-07-18T23:40:45.521Z,6.289,99451.5390625
1626651556501,2021-07-18T23:40:45.535Z,6.367,99451.5390625
1626651556578,2021-07-18T23:40:45.539Z,6.444,99451.5390625
1626651556656,2021-07-18T23:40:45.553Z,6.522,99451.5390625
1626651556734,2021-07-18T23:40:45.564Z,6.6,99451.5390625
1626651556811,2021-07-18T23:40:45.569Z,6.677,99451.5390625
1626651556889,2021-07-18T23:40:45.581Z,6.755,99451.5390625
1626651556966,2021-07-18T23:40:45.595Z,6.832,99452.1953125
1626651557044,2021-07-18T23:40:45.599Z,6.91,99451.5390625
1626651557122,2021-07-18T23:40:45.613Z,6.988,99451.5390625
1626651557199,2021-07-18T23:40:45.626Z,7.065,99451.5390625
1626651557277,2021-07-18T23:40:45.639Z,7.143,99451.5390625
1626651557355,2021-07-18T23:40:45.643Z,7.221,99451.5390625
1626651557434,2021-07-18T23:40:45.657Z,7.3,99451.5390625
1626651557511,2021-07-18T23:40:45.670Z,7.377,99451.5390625
1626651557589,2021-07-18T23:40:45.675Z,7.455,99451.5390625
1626651557667,2021-07-18T23:40:45.688Z,7.533,99451.5390625
1626651557744,2021-07-18T23:40:45.701Z,7.61,99451.5390625
1626651557822,2021-07-18T23:40:45.705Z,7.688,99451.5390625
1626651557900,2021-07-18T23:40:45.718Z,7.766,99451.5390625
1626651557977,2021-07-18T23:40:45.731Z,7.843,99451.5390625
1626651558055,2021-07-18T23:40:45.745Z,7.921,99451.5390625
1626651558132,2021-07-18T23:40:45.749Z,7.998,99451.5390625
1626651558210,2021-07-18T23:40:45.763Z,8.076,99451.5390625
1626651558288,2021-07-18T23:40:45.776Z,8.154,99451.5390625
1626651558365,2021-07-18T23:40:45.780Z,8.231,99451.5390625
1626651558443,2021-07-18T23:40:45.793Z,8.309,99451.5390625
1626651558521,2021-07-18T23:40:45.806Z,8.387,99450.875
1626651558598,2021-07-18T23:40:45.819Z,8.464,99451.5390625
1626651558676,2021-07-18T23:40:45.824Z,8.542,99451.5390625
1626651558754,2021-07-18T23:40:45.837Z,8.62,99451.5390625
1626651558831,2021-07-18T23:40:45.849Z,8.697,99451.5390625
1626651558909,2021-07-18T23:40:45.853Z,8.775,99451.5390625
1626651558986,2021-07-18T23:40:45.867Z,8.852,99451.5390625
1626651559064,2021-07-18T23:40:45.880Z,8.93,99450.875
1626651559142,2021-07-18T23:40:45.885Z,9.008,99450.875
1626651559219,2021-07-18T23:40:45.898Z,9.085,99450.875
1626651559297,2021-07-18T23:40:45.911Z,9.163,99450.875
1626651559375,2021-07-18T23:40:45.942Z,9.241,99450.875
1626651559452,2021-07-18T23:40:45.956Z,9.318,99450.875
1626651559530,2021-07-18T23:40:45.969Z,9.396,99450.875
1626651559608,2021-07-18T23:40:45.973Z,9.474,99450.875
1626651559685,2021-07-18T23:40:45.986Z,9.551,99450.875
1626651559763,2021-07-18T23:40:45.999Z,9.629,99450.875
1626651559840,2021-07-18T23:40:46.003Z,9.706,99450.875
1626651559918,2021-07-18T23:40:46.016Z,9.784,99450.875
1626651559996,2021-07-18T23:40:46.029Z,9.862,99450.875
1626651560073,2021-07-18T23:40:46.033Z,9.939,99450.875
1626651560151,2021-07-18T23:40:46.047Z,10.017,99450.875
1626651560229,2021-07-18T23:40:46.060Z,10.095,99450.2109375
1626651560306,2021-07-18T23:40:46.065Z,10.172,99450.875
1626651560384,2021-07-18T23:40:46.078Z,10.25,99450.875
1626651560462,2021-07-18T23:40:46.091Z,10.328,99450.875
1626651560539,2021-07-18T23:40:46.104Z,10.405,99450.875
1626651560617,2021-07-18T23:40:46.108Z,10.483,99450.875
1626651560694,2021-07-18T23:40:46.121Z,10.56,99450.875
1626651560772,2021-07-18T23:40:46.135Z,10.638,99450.2109375
1626651560851,2021-07-18T23:40:46.139Z,10.717,99450.2109375
