epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1626651322823,2021-07-18T23:35:22.823Z,0,0.42516903127881445,-0.13844509914548933,-0.08408167572225883,0.8905023981841752
1626651322838,2021-07-18T23:35:22.839Z,0.015,0.42516903127881445,-0.13844509914548933,-0.08408167572225883,0.8905023981841752
1626651322853,2021-07-18T23:35:22.853Z,0.03,0.42516903127881445,-0.13844509914548933,-0.08408167572225883,0.8905023981841752
1626651322883,2021-07-18T23:35:22.883Z,0.06,0.42516903127881445,-0.13844509914548933,-0.08408167572225883,0.8905023981841752
1626651322898,2021-07-18T23:35:22.898Z,0.075,0.42516903127881445,-0.13844509914548933,-0.08408167572225883,0.8905023981841752
1626651322935,2021-07-18T23:35:22.935Z,0.112,0.424899972157386,-0.13601004942192882,-0.07749177504848372,0.8916032216836884
1626651322943,2021-07-18T23:35:22.943Z,0.12,0.4246368637602705,-0.13367558837100457,-0.07134027301369711,0.8925944972135099
1626651322958,2021-07-18T23:35:22.958Z,0.135,0.42437460089652124,-0.1314865150081473,-0.06559284125621744,0.8934847920702779
1626651322988,2021-07-18T23:35:22.988Z,0.165,0.42412293187824324,-0.12939293358101278,-0.06025433829726637,0.8942855372366597
1626651323003,2021-07-18T23:35:23.003Z,0.18,0.4238771256096468,-0.12735910240105863,-0.05520106154924737,0.8950199350988428
1626651323018,2021-07-18T23:35:23.018Z,0.195,0.42363093658488715,-0.12543942001243455,-0.05040812290968564,0.8956901264499222
1626651323048,2021-07-18T23:35:23.048Z,0.225,0.42339075884366995,-0.1236091520883876,-0.04589662132630599,0.8963004758431184
1626651323063,2021-07-18T23:35:23.063Z,0.24,0.4231475623862782,-0.121911654450954,-0.04159429680859776,0.8968576271786844
1626651323078,2021-07-18T23:35:23.079Z,0.255,0.4229117899256589,-0.12028299203412297,-0.03753368758785951,0.8973677295653391
1626651323108,2021-07-18T23:35:23.108Z,0.285,0.42268299163546535,-0.11877205502467682,-0.033739196392801554,0.8978273520861771
1626651323123,2021-07-18T23:35:23.123Z,0.3,0.422464132967866,-0.11736422797878611,-0.030212782487180158,0.8982409933425635
1626651323138,2021-07-18T23:35:23.138Z,0.315,0.422249621089079,-0.11602750556651409,-0.0268552861993277,0.8986220946790114
1626651323168,2021-07-18T23:35:23.168Z,0.345,0.42204375747788436,-0.11473882951891408,-0.023684145722125845,0.898973375031759
1626651323183,2021-07-18T23:35:23.183Z,0.36,0.42184516690106644,-0.11353546145778848,-0.020704539176316254,0.899292875659134
1626651323198,2021-07-18T23:35:23.198Z,0.375,0.4216558521955038,-0.11238728359781573,-0.017907158158370035,0.8995858905526914
1626651323228,2021-07-18T23:35:23.228Z,0.405,0.42147870371312773,-0.11127899154791776,-0.015304174265974954,0.8998546941625724
1626651323243,2021-07-18T23:35:23.243Z,0.42,0.42131042201335767,-0.11023499979573163,-0.012870353681413432,0.9001000650589228
1626651323258,2021-07-18T23:35:23.258Z,0.435,0.4211499098620242,-0.10923902840338855,-0.0105784437965078,0.9003264322586207
1626651323288,2021-07-18T23:35:23.288Z,0.465,0.42100407062904516,-0.1083616169311615,-0.008535957618882883,0.9005223317149701
1626651323303,2021-07-18T23:35:23.303Z,0.48,0.4208715781071866,-0.10764012372401567,-0.006742267820606327,0.900685994301499
1626651323318,2021-07-18T23:35:23.318Z,0.495,0.4207533269660284,-0.1070047205209636,-0.005160053957740272,0.9008273982713905
1626651323348,2021-07-18T23:35:23.348Z,0.525,0.4206456839238053,-0.10642405857767505,-0.0037300187124474043,0.9009535034132086
1626651323363,2021-07-18T23:35:23.363Z,0.54,0.42054546906187545,-0.10586600148832905,-0.0023994504967164232,0.9010705526304331
1626651323378,2021-07-18T23:35:23.378Z,0.555,0.42046076883278233,-0.10535413479770175,-0.0012624049849245666,0.9011723777875282
1626651323408,2021-07-18T23:35:23.408Z,0.585,0.42037364142939987,-0.10493098483657647,-0.00014940767586251578,0.9012632621437308
1626651323423,2021-07-18T23:35:23.423Z,0.6,0.42028897650520874,-0.10447914496548814,0.0010457846228380345,0.9013546420971089
1626651323438,2021-07-18T23:35:23.438Z,0.615,0.4201862422981719,-0.10406438845811142,0.00230432002719771,0.9014481765178703
1626651323468,2021-07-18T23:35:23.468Z,0.645,0.4201959778698954,-0.10372351463908579,0.0033941854090771243,0.9014794796323912
1626651323483,2021-07-18T23:35:23.483Z,0.66,0.42017053218497846,-0.10344081924708107,0.004176689170822987,0.9015205355755659
1626651323513,2021-07-18T23:35:23.513Z,0.69,0.42010957178763436,-0.10313378323875981,0.0046894060530342134,0.9015815991457128
1626651323534,2021-07-18T23:35:23.534Z,0.711,0.4200695085469118,-0.10285398169050626,0.005114948220902211,0.9016299150672976
1626651323543,2021-07-18T23:35:23.543Z,0.72,0.42003551449934645,-0.10260492464438922,0.005570112603313709,0.9016714312007311
1626651323573,2021-07-18T23:35:23.573Z,0.75,0.4200008823781549,-0.10235844494239114,0.006029642037633405,0.9017126210536509
1626651323588,2021-07-18T23:35:23.588Z,0.765,0.41996660647926287,-0.10214872159381244,0.00666232089832972,0.9017479146631221
1626651323603,2021-07-18T23:35:23.603Z,0.78,0.41992111884204747,-0.10194503554191667,0.007458508318512335,0.9017859138024186
1626651323633,2021-07-18T23:35:23.633Z,0.81,0.41985922156672945,-0.10171819200155903,0.008187585279132794,0.9018340240468923
1626651323648,2021-07-18T23:35:23.648Z,0.825,0.41980081584375084,-0.10149805122854488,0.008875354085178677,0.9018795089720087
1626651323663,2021-07-18T23:35:23.663Z,0.84,0.41974912573081086,-0.10131276722239678,0.009478706958582057,0.9019182605759537
1626651323693,2021-07-18T23:35:23.693Z,0.87,0.4197030775533322,-0.10110828525849822,0.009943551086875942,0.9019576304550732
1626651323708,2021-07-18T23:35:23.708Z,0.885,0.4196694079444385,-0.10094259172377613,0.01035069895197956,0.9019872749894298
1626651323723,2021-07-18T23:35:23.723Z,0.9,0.41964043830257114,-0.10079988152265895,0.010700328510931494,0.902012632614423
1626651323753,2021-07-18T23:35:23.753Z,0.93,0.41961320313566003,-0.10065062987778603,0.011033686407720069,0.9020379527623503
1626651323768,2021-07-18T23:35:23.768Z,0.945,0.4195861239981853,-0.10050387902592178,0.01136390002187576,0.9020628119068069
1626651323783,2021-07-18T23:35:23.783Z,0.96,0.41956094012503553,-0.10035033275639857,0.01167617461724945,0.9020876316541447
1626651323813,2021-07-18T23:35:23.813Z,0.99,0.41953416085814493,-0.10017710500091083,0.012010999930955593,0.9021149435561673
1626651323828,2021-07-18T23:35:23.828Z,1.005,0.4195046936953107,-0.10002148161677545,0.01236730954562246,0.9021411002927378
1626651323843,2021-07-18T23:35:23.843Z,1.02,0.4194773315481244,-0.09988045359239071,0.012696410327471633,0.902164876545435
1626651323873,2021-07-18T23:35:23.873Z,1.05,0.41945076661851727,-0.0997569911661929,0.013011080456761394,0.9021864047312806
1626651323888,2021-07-18T23:35:23.888Z,1.065,0.4194263307645033,-0.09964823077860048,0.013298565715086103,0.902205592597409
1626651323903,2021-07-18T23:35:23.903Z,1.08,0.4194050141018307,-0.09955847165416506,0.013547446197198791,0.9022217086557295
1626651323933,2021-07-18T23:35:23.933Z,1.11,0.4193858018946365,-0.099463900296749,0.013775698419328138,0.9022376138468241
