epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1631042287640,2021-09-07T19:19:12.037Z,0.03,-25.25,223.625,-329.9375
1631042287680,2021-09-07T19:19:12.066Z,0.07,-22.6875,222.875,-331.1875
1631042287719,2021-09-07T19:19:12.096Z,0.109,-23.8125,222.5,-330.0625
1631042287759,2021-09-07T19:19:12.125Z,0.149,-23.0625,223.625,-330.0625
1631042287798,2021-09-07T19:19:12.127Z,0.188,-24.5625,223.625,-330.125
1631042287819,2021-09-07T19:19:12.141Z,0.209,-26,224.375,-327.9375
1631042287860,2021-09-07T19:19:12.156Z,0.25,-24.1875,224.75,-328.25
1631042287899,2021-09-07T19:19:12.171Z,0.289,-24.5625,222.5625,-325.625
1631042287939,2021-09-07T19:19:12.201Z,0.329,-25.3125,222.5,-325.125
1631042287978,2021-09-07T19:19:12.216Z,0.368,-24.1875,222.875,-326.75
1631042288018,2021-09-07T19:19:12.231Z,0.408,-23.8125,221.4375,-324.375
1631042288059,2021-09-07T19:19:12.245Z,0.449,-24.1875,221.0625,-323.75
1631042288098,2021-09-07T19:19:12.291Z,0.488,-23.0625,220,-322.9375
1631042288138,2021-09-07T19:19:12.321Z,0.528,-22.375,220.3125,-320.625
1631042288178,2021-09-07T19:19:12.335Z,0.568,-22.375,205,-319.0625
1631042288217,2021-09-07T19:19:12.337Z,0.607,-21.25,211.9375,-319.0625
1631042288258,2021-09-07T19:19:12.352Z,0.648,-18.6875,207.875,-316
1631042288298,2021-09-07T19:19:12.366Z,0.688,-19.0625,208.625,-316.375
1631042288337,2021-09-07T19:19:12.381Z,0.727,-17.25,214.875,-314.875
1631042288377,2021-09-07T19:19:12.411Z,0.767,-16.875,212.6875,-313.625
1631042288416,2021-09-07T19:19:12.441Z,0.806,-14.6875,214.125,-314.8125
1631042288457,2021-09-07T19:19:12.470Z,0.847,-15.0625,215.25,-315.5625
1631042288497,2021-09-07T19:19:12.501Z,0.887,-14.6875,214.5,-313.625
1631042288536,2021-09-07T19:19:12.576Z,0.926,-15.0625,214.5,-315.1875
1631042288576,2021-09-07T19:19:12.621Z,0.966,-15.0625,214.125,-316.4375
1631042288616,2021-09-07T19:19:12.651Z,1.006,-14.3125,213.75,-316.875
1631042288657,2021-09-07T19:19:12.665Z,1.047,-13.9375,214.875,-318.3125
1631042288696,2021-09-07T19:19:12.681Z,1.086,-13.9375,215.25,-318.3125
1631042288736,2021-09-07T19:19:12.682Z,1.126,-13.1875,216.6875,-316.875
1631042288775,2021-09-07T19:19:12.696Z,1.165,-15.0625,215.625,-320
1631042288815,2021-09-07T19:19:12.711Z,1.205,-13.9375,215.9375,-319.125
1631042288856,2021-09-07T19:19:12.726Z,1.246,-12.8125,211.1875,-318.6875
1631042288895,2021-09-07T19:19:12.756Z,1.285,-14.6875,217.8125,-321.0625
1631042288935,2021-09-07T19:19:12.771Z,1.325,-14.3125,215.9375,-320
1631042288974,2021-09-07T19:19:12.785Z,1.364,-15.375,217.0625,-319.1875
1631042289014,2021-09-07T19:19:12.800Z,1.404,-14.3125,215.9375,-322.3125
1631042289055,2021-09-07T19:19:12.802Z,1.445,-15.0625,215.9375,-321.5
1631042289095,2021-09-07T19:19:12.847Z,1.485,-15.75,216.3125,-321.125
1631042289134,2021-09-07T19:19:12.891Z,1.524,-15.375,210.125,-323.3125
1631042289174,2021-09-07T19:19:12.951Z,1.564,-17.25,215.5625,-321.4375
1631042289213,2021-09-07T19:19:12.966Z,1.603,-16.875,215.25,-321.0625
1631042289254,2021-09-07T19:19:12.995Z,1.644,-17.625,217.0625,-323
1631042289294,2021-09-07T19:19:12.997Z,1.684,-17.9375,217.0625,-322.125
1631042289333,2021-09-07T19:19:13.057Z,1.723,-19.0625,212.3125,-322.625
1631042289373,2021-09-07T19:19:13.207Z,1.763,-18.6875,217.4375,-323.3125
1631042289412,2021-09-07T19:19:13.221Z,1.802,-19.0625,217.8125,-321.875
1631042289453,2021-09-07T19:19:13.236Z,1.843,-18.3125,203.125,-322.6875
1631042289493,2021-09-07T19:19:13.251Z,1.883,-19.8125,217.8125,-323
1631042289533,2021-09-07T19:19:13.280Z,1.923,-19.4375,218.1875,-322.3125
1631042289572,2021-09-07T19:19:13.282Z,1.962,-19.8125,214.875,-322.25
1631042289612,2021-09-07T19:19:13.312Z,2.002,-20.1875,218.125,-323.375
1631042289653,2021-09-07T19:19:13.340Z,2.043,-22.375,219.625,-321.125
1631042289692,2021-09-07T19:19:13.342Z,2.082,-23.0625,217.8125,-321.5
1631042289732,2021-09-07T19:19:13.356Z,2.122,-23.4375,218.5,-323.8125
1631042289771,2021-09-07T19:19:13.401Z,2.161,-22,219.25,-320.75
1631042289811,2021-09-07T19:19:13.447Z,2.201,-23.8125,218.5,-324.1875
1631042289852,2021-09-07T19:19:13.506Z,2.242,-22.375,218.125,-324.875
1631042289891,2021-09-07T19:19:13.521Z,2.281,-24.1875,220.6875,-325
1631042289931,2021-09-07T19:19:13.551Z,2.321,-24.5625,218.5,-325.8125
1631042289971,2021-09-07T19:19:13.610Z,2.361,-24.1875,220.6875,-324.625
1631042290010,2021-09-07T19:19:13.612Z,2.4,-24.1875,215.625,-324.25
1631042290051,2021-09-07T19:19:13.732Z,2.441,-24.9375,214.5,-325
1631042290091,2021-09-07T19:19:13.761Z,2.481,-24.1875,221.4375,-323.0625
1631042290130,2021-09-07T19:19:13.776Z,2.52,-24.1875,222.5625,-323.0625
1631042290170,2021-09-07T19:19:13.791Z,2.56,-24.1875,221.4375,-323.8125
1631042290209,2021-09-07T19:19:13.805Z,2.599,-23.8125,222.5625,-322.3125
1631042290250,2021-09-07T19:19:13.807Z,2.64,-24.5625,222.9375,-321.9375
1631042290290,2021-09-07T19:19:13.836Z,2.68,-26,222.1875,-322.3125
1631042290329,2021-09-07T19:19:13.851Z,2.719,-24.9375,221.0625,-321.5
1631042290369,2021-09-07T19:19:13.865Z,2.759,-25.625,222.9375,-318.8125
1631042290409,2021-09-07T19:19:13.867Z,2.799,-26,223.25,-319.5625
1631042290450,2021-09-07T19:19:13.896Z,2.84,-25.625,221.4375,-318
1631042290489,2021-09-07T19:19:13.911Z,2.879,-24.9375,222.9375,-318.75
1631042290529,2021-09-07T19:19:13.956Z,2.919,-24.9375,222.5625,-320
1631042290568,2021-09-07T19:19:14.001Z,2.958,-24.5625,222.5625,-319.1875
1631042290608,2021-09-07T19:19:14.060Z,2.998,-25.3125,214.875,-319.5625
1631042290649,2021-09-07T19:19:14.075Z,3.039,-26,219.25,-318.6875
1631042290688,2021-09-07T19:19:14.077Z,3.078,-26.375,222.5625,-319.1875
1631042290728,2021-09-07T19:19:14.106Z,3.118,-26,205.375,-318.8125
1631042290767,2021-09-07T19:19:14.166Z,3.157,-25.625,222.5625,-319.625
1631042290807,2021-09-07T19:19:14.241Z,3.197,-24.9375,221.8125,-318.8125
1631042290848,2021-09-07T19:19:14.286Z,3.238,-25.625,220,-318.375
1631042290888,2021-09-07T19:19:14.315Z,3.278,-25.3125,221.8125,-320.75
1631042290927,2021-09-07T19:19:14.317Z,3.317,-24.9375,217.0625,-319.1875
1631042290967,2021-09-07T19:19:14.332Z,3.357,-27.5,219.625,-320.4375
1631042291006,2021-09-07T19:19:14.346Z,3.396,-26,223.625,-320
1631042291047,2021-09-07T19:19:14.361Z,3.437,-24.9375,221.8125,-318.8125
1631042291087,2021-09-07T19:19:14.375Z,3.477,-24.9375,222.9375,-319.1875
1631042291126,2021-09-07T19:19:14.390Z,3.516,-25.3125,222.1875,-319.5625
1631042291166,2021-09-07T19:19:14.420Z,3.556,-25.625,223.25,-318.8125
1631042291205,2021-09-07T19:19:14.422Z,3.595,-25.625,222.9375,-319.1875
1631042291246,2021-09-07T19:19:14.436Z,3.636,-26.375,223.3125,-319.1875
1631042291286,2021-09-07T19:19:14.451Z,3.676,-24.9375,222.5625,-319.5625
1631042291326,2021-09-07T19:19:14.466Z,3.716,-25.3125,220.6875,-319.5625
1631042291365,2021-09-07T19:19:14.511Z,3.755,-25.3125,222.5625,-318.8125
1631042291405,2021-09-07T19:19:14.555Z,3.795,-26,222.9375,-318.4375
1631042291446,2021-09-07T19:19:14.600Z,3.836,-24.9375,222.9375,-320
1631042291485,2021-09-07T19:19:14.615Z,3.875,-24.9375,222.5625,-318.8125
1631042291525,2021-09-07T19:19:14.617Z,3.915,-27.125,221.8125,-319.25
1631042291564,2021-09-07T19:19:14.661Z,3.954,-26.75,223.25,-320.375
1631042291604,2021-09-07T19:19:14.707Z,3.994,-26,222.5625,-320
1631042291645,2021-09-07T19:19:14.721Z,4.035,-25.3125,222.1875,-318.8125
1631042291684,2021-09-07T19:19:14.796Z,4.074,-25.625,222.1875,-319.625
1631042291724,2021-09-07T19:19:14.841Z,4.114,-24.9375,222.9375,-319.625
1631042291764,2021-09-07T19:19:14.870Z,4.154,-25.3125,221.4375,-318
1631042291803,2021-09-07T19:19:14.872Z,4.193,-25.625,222.9375,-320
1631042291843,2021-09-07T19:19:14.886Z,4.233,-26.375,215.9375,-319.5625
1631042291884,2021-09-07T19:19:14.901Z,4.274,-24.9375,212.3125,-318.875
1631042291923,2021-09-07T19:19:14.916Z,4.313,-25.3125,220.6875,-319.5625
1631042291963,2021-09-07T19:19:14.931Z,4.353,-26,223.3125,-318.4375
