epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1631041935563,2021-09-07T19:13:23.194Z,0.004,-0.8536585569381714,-0.18292683362960815,0.6097561120986938
1631041935604,2021-09-07T19:13:23.196Z,0.045,-0.6707317233085632,-0.18292683362960815,0.3658536672592163
1631041935643,2021-09-07T19:13:23.207Z,0.084,-0.4878048896789551,-0.18292683362960815,0.3658536672592163
1631041935683,2021-09-07T19:13:23.209Z,0.124,-0.3658536672592163,-0.3048780560493469,0.3048780560493469
1631041935724,2021-09-07T19:13:23.211Z,0.165,-0.3048780560493469,-0.24390244483947754,0.3048780560493469
1631041935764,2021-09-07T19:13:23.222Z,0.205,-0.4268292784690857,-0.12195122241973877,0.3658536672592163
1631041935805,2021-09-07T19:13:23.224Z,0.246,-0.3658536672592163,-0.24390244483947754,0.24390244483947754
1631041935844,2021-09-07T19:13:23.226Z,0.285,-0.4268292784690857,-0.24390244483947754,0.3048780560493469
1631041935884,2021-09-07T19:13:23.237Z,0.325,-0.3658536672592163,-0.18292683362960815,0.24390244483947754
1631041935925,2021-09-07T19:13:23.240Z,0.366,-0.4268292784690857,-0.3048780560493469,0.3048780560493469
1631041935964,2021-09-07T19:13:23.241Z,0.405,-0.4268292784690857,-0.3048780560493469,0.3658536672592163
1631041936004,2021-09-07T19:13:23.253Z,0.445,-0.3658536672592163,-0.18292683362960815,0.3658536672592163
1631041936045,2021-09-07T19:13:23.255Z,0.486,-0.3658536672592163,-0.24390244483947754,0.3048780560493469
1631041936084,2021-09-07T19:13:23.257Z,0.525,-0.24390244483947754,-0.18292683362960815,0.3658536672592163
1631041936125,2021-09-07T19:13:23.268Z,0.566,-0.3658536672592163,-0.18292683362960815,0.3658536672592163
1631041936165,2021-09-07T19:13:23.271Z,0.606,-0.5487805008888245,-0.24390244483947754,0.3048780560493469
1631041936204,2021-09-07T19:13:23.282Z,0.645,-0.3658536672592163,-0.18292683362960815,0.3658536672592163
1631041936245,2021-09-07T19:13:23.284Z,0.686,-0.3658536672592163,-0.18292683362960815,0.3048780560493469
1631041936285,2021-09-07T19:13:23.286Z,0.726,-0.4878048896789551,-0.18292683362960815,0.3048780560493469
1631041936326,2021-09-07T19:13:23.297Z,0.767,-0.3658536672592163,-0.3048780560493469,0.3658536672592163
1631041936366,2021-09-07T19:13:23.299Z,0.807,-0.3658536672592163,-0.3658536672592163,0.3048780560493469
1631041936405,2021-09-07T19:13:23.301Z,0.846,-0.3658536672592163,-0.18292683362960815,0.3048780560493469
1631041936446,2021-09-07T19:13:23.312Z,0.887,-0.4878048896789551,-0.24390244483947754,0.3658536672592163
1631041936486,2021-09-07T19:13:23.315Z,0.927,-0.18292683362960815,-0.12195122241973877,0.3658536672592163
1631041936527,2021-09-07T19:13:23.317Z,0.968,-0.24390244483947754,-0.18292683362960815,0.3048780560493469
1631041936566,2021-09-07T19:13:23.328Z,1.007,-0.24390244483947754,-0.18292683362960815,0.3048780560493469
1631041936616,2021-09-07T19:13:23.358Z,1.057,-0.5487805008888245,-0.24390244483947754,0.3658536672592163
1631041936657,2021-09-07T19:13:23.361Z,1.098,-0.4878048896789551,-0.18292683362960815,0.3658536672592163
1631041936707,2021-09-07T19:13:23.372Z,1.148,-0.4268292784690857,-0.18292683362960815,0.3048780560493469
1631041936746,2021-09-07T19:13:23.375Z,1.187,-0.3048780560493469,-0.12195122241973877,0.3658536672592163
1631041936798,2021-09-07T19:13:23.377Z,1.239,-0.3048780560493469,-0.18292683362960815,0.3048780560493469
1631041936837,2021-09-07T19:13:23.388Z,1.278,-0.5487805008888245,-0.24390244483947754,0.3658536672592163
1631041936877,2021-09-07T19:13:23.390Z,1.318,-0.5487805008888245,-0.18292683362960815,0.3048780560493469
1631041936918,2021-09-07T19:13:23.392Z,1.359,-0.4878048896789551,-0.3048780560493469,0.3658536672592163
1631041936957,2021-09-07T19:13:23.404Z,1.398,-0.4878048896789551,-0.18292683362960815,0.3658536672592163
1631041936997,2021-09-07T19:13:23.406Z,1.438,-0.5487805008888245,-0.060975611209869385,0.3048780560493469
1631041937038,2021-09-07T19:13:23.417Z,1.479,-0.4878048896789551,-0.18292683362960815,0.3048780560493469
1631041937077,2021-09-07T19:13:23.419Z,1.518,-0.4268292784690857,-0.18292683362960815,0.3658536672592163
