epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1631044237185,2021-09-07T19:50:37.185Z,0,0.735382507666402,0.6125465221259958,0.20930014639109965,0.20048135666511605
1631044237215,2021-09-07T19:50:37.215Z,0.03,0.735382507666402,0.6125465221259958,0.20930014639109965,0.20048135666511605
1631044237230,2021-09-07T19:50:37.230Z,0.045,0.7354232520984807,0.6123531337619287,0.20949990626083098,0.20071389867556022
1631044237245,2021-09-07T19:50:37.245Z,0.06,0.7353579963894704,0.6121185293648408,0.21042916296584446,0.20069651349184475
1631044237275,2021-09-07T19:50:37.275Z,0.09,0.7352208864225516,0.611962955180346,0.21188313604973874,0.20014276482726906
1631044237290,2021-09-07T19:50:37.290Z,0.105,0.735034661707498,0.6119263414370538,0.2132478382069701,0.19948824086662378
1631044237305,2021-09-07T19:50:37.305Z,0.12,0.7348059474746207,0.6118779827551071,0.21468387716324314,0.19893814782897518
1631044237335,2021-09-07T19:50:37.335Z,0.15,0.7346854347871958,0.6117091393541488,0.2161764367739903,0.19828512028353676
1631044237349,2021-09-07T19:50:37.350Z,0.164,0.7344196028387455,0.6116904274536423,0.21756401932402142,0.19780941692279616
1631044237365,2021-09-07T19:50:37.365Z,0.18,0.7342826168566982,0.611764315169788,0.21851115049425643,0.19704400111801426
1631044237395,2021-09-07T19:50:37.395Z,0.21,0.7340792662545367,0.6119591798000559,0.21932759122969564,0.19628805577269193
1631044237410,2021-09-07T19:50:37.410Z,0.225,0.7337894846566052,0.6123115759853672,0.21997834471680636,0.19554297220141595
1631044237425,2021-09-07T19:50:37.425Z,0.24,0.7336103733994465,0.6127883639752892,0.22016500879972162,0.1945086371281022
1631044237455,2021-09-07T19:50:37.455Z,0.27,0.7334458988564622,0.6130990618052559,0.22052750172238997,0.19373764437566737
1631044237470,2021-09-07T19:50:37.470Z,0.285,0.7332276346583048,0.6132910452947229,0.22100112567652955,0.19341621437821707
1631044237485,2021-09-07T19:50:37.485Z,0.3,0.7331640978671687,0.6133998945906324,0.22120684856395828,0.19307642285691848
1631044237514,2021-09-07T19:50:37.515Z,0.329,0.7329867408808943,0.6138243613784391,0.22116376238200194,0.19244916544426327
1631044237529,2021-09-07T19:50:37.530Z,0.344,0.7328730604134214,0.6141249355230401,0.22123087286112117,0.19184509840544228
1631044237544,2021-09-07T19:50:37.545Z,0.359,0.7325512057537956,0.6145638036448712,0.22146266668285697,0.191401017405672
1631044237574,2021-09-07T19:50:37.575Z,0.389,0.7324789330041169,0.6147094506222853,0.22162053483969785,0.191026811097722
1631044237589,2021-09-07T19:50:37.590Z,0.404,0.7327604270343829,0.6143492440565622,0.22173219848156364,0.1909764253934289
1631044237604,2021-09-07T19:50:37.605Z,0.419,0.7331803317325369,0.6139005318998024,0.22172732277074508,0.19081334447733178
1631044237634,2021-09-07T19:50:37.635Z,0.449,0.7333246685518783,0.6137048880114951,0.22187391263815637,0.19071761275433285
1631044237649,2021-09-07T19:50:37.650Z,0.464,0.7332915362435749,0.6138857253791842,0.22186925409008046,0.19026789834000316
1631044237664,2021-09-07T19:50:37.665Z,0.479,0.7329752972088336,0.6144060434527209,0.22197884111706562,0.18967820524962817
1631044237694,2021-09-07T19:50:37.695Z,0.509,0.7329185056468415,0.6145792643294505,0.2220432623699792,0.1892606181242382
1631044237709,2021-09-07T19:50:37.710Z,0.524,0.732938355411762,0.6146020940976734,0.22229896672782348,0.18880890468618808
1631044237724,2021-09-07T19:50:37.725Z,0.539,0.7329293197953453,0.614688779623017,0.22262697846875715,0.18817424065947533
1631044237739,2021-09-07T19:50:37.740Z,0.554,0.7327726409443929,0.6150171098672637,0.22301561905536962,0.18724915196402997
1631044237769,2021-09-07T19:50:37.770Z,0.584,0.732676271103198,0.6151270895604892,0.2235504101401831,0.18662625639847905
1631044237784,2021-09-07T19:50:37.785Z,0.599,0.7330890662395579,0.6148229643230468,0.22372861990017898,0.18579194853005854
1631044237806,2021-09-07T19:50:37.806Z,0.621,0.7330689173728779,0.6150029682494221,0.2240135293300487,0.1849303925893527
1631044237829,2021-09-07T19:50:37.830Z,0.644,0.7331736801519497,0.6150220231270822,0.22414135960587514,0.18429573167913277
1631044237844,2021-09-07T19:50:37.845Z,0.659,0.7333714294196672,0.6149762212657592,0.22408024747447822,0.18373523472763367
1631044237860,2021-09-07T19:50:37.860Z,0.675,0.7332676438390151,0.6150568546942824,0.22438510607635656,0.18350736269549972
1631044237889,2021-09-07T19:50:37.890Z,0.704,0.7333171741779562,0.615028303131385,0.22442311859487707,0.1833585892265096
1631044237904,2021-09-07T19:50:37.905Z,0.719,0.7334218108416994,0.6149605678661189,0.22441868404913884,0.1831726005742009
1631044237920,2021-09-07T19:50:37.920Z,0.735,0.7337056180629499,0.6147820171042037,0.22417052914950886,0.18293909185567842
1631044237949,2021-09-07T19:50:37.950Z,0.764,0.7338559395581772,0.6146714493067085,0.2240968573788285,0.18279788810407155
1631044237964,2021-09-07T19:50:37.965Z,0.779,0.733806729070022,0.6147637961228284,0.2241462766370646,0.1826242207866893
1631044237980,2021-09-07T19:50:37.980Z,0.795,0.733831828075494,0.6147749467572148,0.2241605089107976,0.1824682963911668
1631044238009,2021-09-07T19:50:38.010Z,0.824,0.7341894531177402,0.6145303865300896,0.22385549617760925,0.1822277909456418
1631044238024,2021-09-07T19:50:38.025Z,0.839,0.7342572639430313,0.61447403429839,0.22388782909792007,0.18210483656887105
1631044238039,2021-09-07T19:50:38.040Z,0.854,0.734321253314489,0.6144601246418862,0.22381797942032586,0.18197957095212125
1631044238069,2021-09-07T19:50:38.070Z,0.884,0.734383521698903,0.6144024714959786,0.22382843440611747,0.18191008226059566
1631044238084,2021-09-07T19:50:38.085Z,0.899,0.734299675783269,0.6144882076121878,0.22396177215278879,0.18179481143401494
1631044238100,2021-09-07T19:50:38.100Z,0.915,0.7342431632785025,0.6145409516057133,0.22408273754282176,0.1816956871079702
1631044238129,2021-09-07T19:50:38.130Z,0.944,0.7343173961607619,0.6144420289086242,0.22409910667812186,0.18171005803862278
1631044238144,2021-09-07T19:50:38.145Z,0.959,0.7344733404943707,0.6142886817096589,0.2239801861833845,0.1817448866507837
1631044238159,2021-09-07T19:50:38.160Z,0.974,0.7345275590490129,0.6142626163568812,0.2240064205188831,0.1815814602601686
1631044238196,2021-09-07T19:50:38.197Z,1.011,0.7344808147502462,0.6143377658843326,0.22412620659786503,0.18136837014240587
1631044238204,2021-09-07T19:50:38.205Z,1.019,0.7344945018973261,0.6142641856680039,0.22427351607427695,0.1813800619580441
1631044238219,2021-09-07T19:50:38.220Z,1.034,0.7344999303581444,0.6142439834051164,0.22438022464460705,0.181294500586564
1631044238249,2021-09-07T19:50:38.250Z,1.064,0.7346310280175941,0.6141921499759838,0.22433639368747563,0.18099292264889666
1631044238264,2021-09-07T19:50:38.265Z,1.079,0.7347659541822016,0.6139648519856025,0.22470352610103894,0.18076083220315148
1631044238279,2021-09-07T19:50:38.280Z,1.094,0.7348755787682292,0.6138373175694618,0.22497681363761426,0.1804080503044528
