epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1631044237274,2021-09-07T19:50:37.274Z,0,0.32866328145964047,0.2834781040532043,0.5714637496519869,0.6964551635075102
1631044237289,2021-09-07T19:50:37.290Z,0.015,0.32866328145964047,0.2834781040532043,0.5714637496519869,0.6964551635075102
1631044237320,2021-09-07T19:50:37.320Z,0.046,0.32854454166184394,0.2833333776421316,0.571532043790162,0.6965140373166578
1631044237334,2021-09-07T19:50:37.334Z,0.06,0.3285020721260586,0.2833874677950451,0.5716773577696079,0.6963927988708368
1631044237349,2021-09-07T19:50:37.350Z,0.075,0.32837953374333223,0.2835412255329386,0.571983860097248,0.6961362790646977
1631044237379,2021-09-07T19:50:37.380Z,0.105,0.32824458964306985,0.2835403321649303,0.5722101207393545,0.6960143296867579
1631044237394,2021-09-07T19:50:37.394Z,0.12,0.32822575082956756,0.2837365474129126,0.5724728514740199,0.6957271465738355
1631044237410,2021-09-07T19:50:37.410Z,0.136,0.3282059693109004,0.28386363075829885,0.5726088222655273,0.6955727262516077
1631044237439,2021-09-07T19:50:37.440Z,0.165,0.3282464870191787,0.2839298100817237,0.5728236735364423,0.6953496571817231
1631044237454,2021-09-07T19:50:37.454Z,0.18,0.3282738353757479,0.28402769788612725,0.5728871867342681,0.6952444369550173
1631044237470,2021-09-07T19:50:37.470Z,0.196,0.3284443836581549,0.2841309539285568,0.5729501706847877,0.695069773314403
1631044237485,2021-09-07T19:50:37.485Z,0.211,0.3285296371822181,0.28407232332104376,0.5730684072520196,0.6949559649542824
1631044237514,2021-09-07T19:50:37.516Z,0.24,0.32866391180845034,0.284104165314142,0.5731536683466762,0.6948091311911998
1631044237530,2021-09-07T19:50:37.530Z,0.256,0.32879596575001196,0.2841745582713735,0.573294573468209,0.6946015875087609
1631044237544,2021-09-07T19:50:37.544Z,0.27,0.3289249748397972,0.28424402302295704,0.5734488808916948,0.6943846753107579
1631044237574,2021-09-07T19:50:37.574Z,0.3,0.3290023365353013,0.2842648206098534,0.5736087315983055,0.6942074598793528
1631044237589,2021-09-07T19:50:37.589Z,0.315,0.3290724698360893,0.2842255186373828,0.573800554052366,0.6940317631927843
1631044237604,2021-09-07T19:50:37.604Z,0.33,0.32931971412213784,0.2843736100220729,0.5739477848836864,0.6937320203368423
1631044237634,2021-09-07T19:50:37.634Z,0.36,0.32949553359786576,0.28450585637579306,0.5740756043806208,0.6934885085435512
1631044237649,2021-09-07T19:50:37.649Z,0.375,0.3295153971823161,0.28451555935698125,0.5742472403817471,0.693332969371508
1631044237664,2021-09-07T19:50:37.664Z,0.39,0.32946104417065153,0.2845827393407762,0.5743731961959807,0.6932268866214709
1631044237694,2021-09-07T19:50:37.694Z,0.42,0.32940560541265995,0.2846516963533109,0.5745303624195197,0.6930946699722894
1631044237709,2021-09-07T19:50:37.709Z,0.435,0.3293605142090112,0.2847080522942592,0.5746760952699536,0.6929721222127657
1631044237724,2021-09-07T19:50:37.724Z,0.45,0.32926719031241797,0.2847322664607142,0.5749096559099083,0.6928127751142165
1631044237754,2021-09-07T19:50:37.754Z,0.48,0.3291293980136007,0.2847160400210041,0.5751817228935008,0.692659080332617
1631044237769,2021-09-07T19:50:37.769Z,0.495,0.3290529884103359,0.2848081918757172,0.5754245584268081,0.6924557763626678
1631044237784,2021-09-07T19:50:37.784Z,0.51,0.3289711640914805,0.2849067632857468,0.5756463772696726,0.6922697146103083
1631044237821,2021-09-07T19:50:37.821Z,0.547,0.3289284536534598,0.284959867806503,0.5757798851712643,0.6921571136302868
1631044237829,2021-09-07T19:50:37.829Z,0.555,0.3288953025419097,0.2850014027698102,0.5759065258947544,0.6920503983214955
1631044237844,2021-09-07T19:50:37.844Z,0.57,0.3288643687230379,0.2850400234622343,0.5760171464337352,0.6919571222434113
1631044237874,2021-09-07T19:50:37.874Z,0.6,0.32883332522602754,0.2850791630348642,0.5761516329513106,0.6918437763481533
1631044237889,2021-09-07T19:50:37.889Z,0.615,0.32879382632827164,0.2851286851145199,0.5763074801403336,0.6917123253402228
1631044237904,2021-09-07T19:50:37.904Z,0.63,0.3287447062479794,0.28518929796154235,0.5764412823065925,0.6915991834110734
1631044237934,2021-09-07T19:50:37.934Z,0.66,0.3287061657247929,0.28523691676095375,0.5765551164411644,0.6915029686391267
1631044237949,2021-09-07T19:50:37.949Z,0.675,0.3286723093105109,0.28527908619790804,0.5766767081988083,0.6914002677838422
1631044237964,2021-09-07T19:50:37.964Z,0.69,0.328637224953296,0.2853228001044857,0.5768044882235561,0.6912923089986563
1631044237994,2021-09-07T19:50:37.994Z,0.72,0.32860057600442605,0.2853681959046956,0.5769181681550865,0.6911961237364097
1631044238009,2021-09-07T19:50:38.009Z,0.735,0.32857191106315325,0.2854032774864468,0.5769808212254905,0.6911429666850846
1631044238024,2021-09-07T19:50:38.025Z,0.75,0.32854831923562394,0.28543237464037396,0.5770455126579743,0.6910881548369204
1631044238054,2021-09-07T19:50:38.054Z,0.78,0.3285305506869852,0.28545472085297113,0.5771278154943699,0.6910186424335852
