epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1631043576937,2021-09-07T19:39:36.938Z,0,0.49196886983474186,-0.6489324958480843,-0.13175538971611717,-0.5652377944075014
1631043576952,2021-09-07T19:39:36.953Z,0.015,0.49196886983474186,-0.6489324958480843,-0.13175538971611717,-0.5652377944075014
1631043576982,2021-09-07T19:39:36.983Z,0.045,0.49196886983474186,-0.6489324958480843,-0.13175538971611717,-0.5652377944075014
1631043576997,2021-09-07T19:39:36.997Z,0.06,0.49196886983474186,-0.6489324958480843,-0.13175538971611717,-0.5652377944075014
1631043577012,2021-09-07T19:39:37.012Z,0.075,0.49196886983474186,-0.6489324958480843,-0.13175538971611717,-0.5652377944075014
1631043577027,2021-09-07T19:39:37.027Z,0.09,0.49199863920440884,-0.6489394261254012,-0.13172122742980982,-0.5652118881317244
1631043577057,2021-09-07T19:39:37.057Z,0.12,0.49819514575953533,-0.6303157263559938,-0.13389490657827197,-0.5801515628198783
1631043577072,2021-09-07T19:39:37.073Z,0.135,0.5039103067590758,-0.6119388386146374,-0.1358795026827992,-0.5942575378466968
1631043577087,2021-09-07T19:39:37.087Z,0.15,0.5091698995212249,-0.5939024954455671,-0.13768102849101427,-0.6075111305307339
1631043577117,2021-09-07T19:39:37.117Z,0.18,0.5139312310299139,-0.5762899103852918,-0.13938996635730305,-0.6199476318521584
1631043577132,2021-09-07T19:39:37.133Z,0.195,0.5182198898805344,-0.5591373461624675,-0.14102448568497186,-0.6316056271882711
1631043577147,2021-09-07T19:39:37.147Z,0.21,0.5220816533252204,-0.542494574455791,-0.14256184751982226,-0.6425001973376891
1631043577177,2021-09-07T19:39:37.177Z,0.24,0.5255840391583056,-0.5263658732794897,-0.14396081785017775,-0.6526681148582861
1631043577192,2021-09-07T19:39:37.193Z,0.255,0.5287682113434893,-0.5107615875461564,-0.14521090007508516,-0.6621484530370215
1631043577209,2021-09-07T19:39:37.209Z,0.272,0.5316059322614425,-0.4957204768145275,-0.14640518439654146,-0.6709857402605771
1631043577237,2021-09-07T19:39:37.237Z,0.3,0.5341306346731839,-0.48124823136008493,-0.14754121055140879,-0.6792173408456508
1631043577253,2021-09-07T19:39:37.253Z,0.316,0.5363958540165487,-0.4673881584952282,-0.14856170290102533,-0.686845846987113
1631043577267,2021-09-07T19:39:37.267Z,0.33,0.5384919336367042,-0.4541159813943515,-0.1494052490312298,-0.6938898935799284
1631043577297,2021-09-07T19:39:37.297Z,0.36,0.5403677103428383,-0.44147529203946145,-0.15010797639421783,-0.7004069528212463
1631043577312,2021-09-07T19:39:37.312Z,0.375,0.5420510743091769,-0.429415015322633,-0.15072725641515242,-0.7064450945609936
1631043577327,2021-09-07T19:39:37.327Z,0.39,0.543518857279954,-0.41796761379221503,-0.15139602400580082,-0.7120179558951935
1631043577342,2021-09-07T19:39:37.342Z,0.405,0.5447392794166479,-0.4070938329123103,-0.15218303355749943,-0.7171987541558004
1631043577372,2021-09-07T19:39:37.372Z,0.435,0.5457989617966228,-0.39673847283445324,-0.1529049885815184,-0.7220264136038238
1631043577387,2021-09-07T19:39:37.387Z,0.45,0.5467858607375263,-0.38690062449379087,-0.1534544460709988,-0.7264880331050747
1631043577402,2021-09-07T19:39:37.402Z,0.465,0.5477396445642704,-0.37750457087069533,-0.1537900324026809,-0.7306300066914316
