epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612901827320,2021-02-09T20:18:59.232Z,0.076,99601.39605978261
1612901827397,2021-02-09T20:18:59.260Z,0.153,99600.72418478261
1612901827475,2021-02-09T20:18:59.305Z,0.231,99600.72418478261
1612901827553,2021-02-09T20:18:59.335Z,0.309,99600.05230978261
1612901827630,2021-02-09T20:18:59.365Z,0.386,99599.38824728261
1612901827708,2021-02-09T20:18:59.486Z,0.464,99599.55230978261
1612901827786,2021-02-09T20:18:59.502Z,0.542,99598.88824728261
1612901827863,2021-02-09T20:18:59.532Z,0.619,99598.22418478261
1612901827941,2021-02-09T20:18:59.575Z,0.697,99597.55230978261
1612901828019,2021-02-09T20:18:59.590Z,0.775,99598.39605978261
1612901828096,2021-02-09T20:18:59.607Z,0.852,99597.72418478261
1612901828174,2021-02-09T20:18:59.665Z,0.93,99597.05230978261
1612901828251,2021-02-09T20:18:59.682Z,1.007,99597.25543478261
1612901828329,2021-02-09T20:18:59.711Z,1.085,99597.42730978261
1612901828407,2021-02-09T20:18:59.770Z,1.163,99596.75543478261
1612901828484,2021-02-09T20:18:59.787Z,1.24,99596.75543478261
1612901828562,2021-02-09T20:18:59.815Z,1.318,99596.92730978261
1612901828640,2021-02-09T20:18:59.845Z,1.396,99596.25543478261
1612901828717,2021-02-09T20:18:59.875Z,1.473,99596.25543478261
1612901828795,2021-02-09T20:18:59.905Z,1.551,99596.42730978261
1612901828873,2021-02-09T20:18:59.921Z,1.629,99596.42730978261
1612901828950,2021-02-09T20:18:59.995Z,1.706,99595.75543478261
1612901829028,2021-02-09T20:19:00.011Z,1.784,99596.59918478261
1612901829106,2021-02-09T20:19:00.041Z,1.862,99595.92730978261
1612901829183,2021-02-09T20:19:00.070Z,1.939,99596.77105978261
1612901829261,2021-02-09T20:19:00.117Z,2.017,99596.09918478261
1612901829338,2021-02-09T20:19:00.145Z,2.094,99596.09918478261
1612901829416,2021-02-09T20:19:00.175Z,2.172,99595.42730978261
1612901829494,2021-02-09T20:19:00.205Z,2.25,99595.42730978261
1612901829571,2021-02-09T20:19:00.236Z,2.327,99595.59918478261
1612901829649,2021-02-09T20:19:00.252Z,2.405,99595.59918478261
1612901829727,2021-02-09T20:19:00.281Z,2.483,99594.93512228261
1612901829804,2021-02-09T20:19:00.311Z,2.56,99595.59918478261
1612901829882,2021-02-09T20:19:00.340Z,2.638,99594.93512228261
1612901829960,2021-02-09T20:19:00.357Z,2.716,99595.77105978261
1612901830039,2021-02-09T20:19:00.386Z,2.795,99595.77105978261
1612901830116,2021-02-09T20:19:00.445Z,2.872,99595.09918478261
1612901830194,2021-02-09T20:19:00.462Z,2.95,99595.09918478261
1612901830272,2021-02-09T20:19:00.490Z,3.028,99595.27105978261
1612901830349,2021-02-09T20:19:00.551Z,3.105,99595.27105978261
1612901830427,2021-02-09T20:19:00.595Z,3.183,99595.27105978261
1612901830504,2021-02-09T20:19:00.627Z,3.26,99595.27105978261
1612901830582,2021-02-09T20:19:00.656Z,3.338,99594.59918478261
1612901830660,2021-02-09T20:19:00.700Z,3.416,99594.59918478261
1612901830737,2021-02-09T20:19:00.716Z,3.493,99596.10699728261
