epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612901827299,2021-02-09T20:18:59.103Z,0.078,99586.7744140625
1612901827375,2021-02-09T20:18:59.107Z,0.154,99586.1181640625
1612901827453,2021-02-09T20:18:59.121Z,0.232,99585.4462890625
1612901827532,2021-02-09T20:18:59.134Z,0.311,99586.2978515625
1612901827609,2021-02-09T20:18:59.165Z,0.388,99585.6337890625
1612901827687,2021-02-09T20:18:59.179Z,0.466,99585.8212890625
1612901827765,2021-02-09T20:18:59.192Z,0.544,99585.1494140625
1612901827842,2021-02-09T20:18:59.196Z,0.621,99584.4853515625
1612901827920,2021-02-09T20:18:59.209Z,0.699,99584.8525390625
1612901827998,2021-02-09T20:18:59.221Z,0.777,99584.1962890625
1612901828075,2021-02-09T20:18:59.226Z,0.854,99584.1962890625
1612901828153,2021-02-09T20:18:59.239Z,0.932,99584.4072265625
1612901828231,2021-02-09T20:18:59.253Z,1.01,99583.7431640625
1612901828308,2021-02-09T20:18:59.267Z,1.087,99583.9306640625
1612901828386,2021-02-09T20:18:59.270Z,1.165,99583.9306640625
1612901828463,2021-02-09T20:18:59.283Z,1.242,99583.2587890625
1612901828541,2021-02-09T20:18:59.298Z,1.32,99583.4462890625
1612901828619,2021-02-09T20:18:59.302Z,1.398,99582.7744140625
1612901828696,2021-02-09T20:18:59.316Z,1.475,99583.6337890625
1612901828774,2021-02-09T20:18:59.329Z,1.553,99582.9619140625
1612901828852,2021-02-09T20:18:59.343Z,1.631,99582.9619140625
1612901828929,2021-02-09T20:18:59.346Z,1.708,99582.3056640625
1612901829007,2021-02-09T20:18:59.360Z,1.786,99583.1494140625
1612901829085,2021-02-09T20:18:59.374Z,1.864,99582.4853515625
1612901829162,2021-02-09T20:18:59.387Z,1.941,99582.4853515625
1612901829240,2021-02-09T20:18:59.391Z,2.019,99582.4853515625
1612901829317,2021-02-09T20:18:59.405Z,2.096,99582.6728515625
1612901829395,2021-02-09T20:18:59.418Z,2.174,99582.6728515625
1612901829473,2021-02-09T20:18:59.422Z,2.252,99582.6728515625
1612901829550,2021-02-09T20:18:59.434Z,2.329,99582.0009765625
1612901829628,2021-02-09T20:18:59.448Z,2.407,99582.0009765625
1612901829706,2021-02-09T20:18:59.452Z,2.485,99582.1884765625
1612901829783,2021-02-09T20:18:59.465Z,2.562,99582.1884765625
1612901829861,2021-02-09T20:18:59.479Z,2.64,99582.1884765625
1612901829939,2021-02-09T20:18:59.492Z,2.718,99582.1884765625
1612901830016,2021-02-09T20:18:59.496Z,2.795,99581.5244140625
1612901830094,2021-02-09T20:18:59.510Z,2.873,99581.5244140625
1612901830171,2021-02-09T20:18:59.523Z,2.95,99582.3681640625
1612901830249,2021-02-09T20:18:59.536Z,3.028,99582.3681640625
1612901830327,2021-02-09T20:18:59.541Z,3.106,99581.7119140625
1612901830404,2021-02-09T20:18:59.555Z,3.183,99581.7119140625
1612901830482,2021-02-09T20:18:59.567Z,3.261,99581.7119140625
1612901830560,2021-02-09T20:18:59.572Z,3.339,99581.0400390625
1612901830637,2021-02-09T20:18:59.585Z,3.416,99581.0400390625
1612901830715,2021-02-09T20:18:59.628Z,3.494,99581.0400390625
1612901830793,2021-02-09T20:18:59.641Z,3.572,99581.8916015625
1612901830870,2021-02-09T20:18:59.645Z,3.649,99581.2275390625
1612901830948,2021-02-09T20:18:59.660Z,3.727,99581.2275390625
1612901831025,2021-02-09T20:18:59.672Z,3.804,99581.2275390625
1612901831103,2021-02-09T20:18:59.677Z,3.882,99581.2275390625
1612901831181,2021-02-09T20:18:59.690Z,3.96,99581.2275390625
1612901831258,2021-02-09T20:18:59.703Z,4.037,99581.2275390625
1612901831336,2021-02-09T20:18:59.716Z,4.115,99582.0712890625
1612901831414,2021-02-09T20:18:59.721Z,4.193,99582.0712890625
1612901831491,2021-02-09T20:18:59.734Z,4.27,99582.0712890625
1612901831569,2021-02-09T20:18:59.747Z,4.348,99582.0712890625
1612901831647,2021-02-09T20:18:59.751Z,4.426,99581.4150390625
1612901831724,2021-02-09T20:18:59.765Z,4.503,99581.4150390625
1612901831802,2021-02-09T20:18:59.777Z,4.581,99581.4150390625
1612901831879,2021-02-09T20:18:59.782Z,4.658,99581.4150390625
1612901831957,2021-02-09T20:18:59.795Z,4.736,99580.7431640625
1612901832035,2021-02-09T20:18:59.809Z,4.814,99581.6259765625
1612901832112,2021-02-09T20:18:59.822Z,4.891,99581.6259765625
1612901832190,2021-02-09T20:18:59.836Z,4.969,99580.9619140625
1612901832269,2021-02-09T20:18:59.841Z,5.048,99580.9619140625
1612901832345,2021-02-09T20:18:59.854Z,5.124,99580.9619140625
1612901832423,2021-02-09T20:18:59.867Z,5.202,99580.9619140625
1612901832501,2021-02-09T20:18:59.872Z,5.28,99580.2978515625
1612901832578,2021-02-09T20:18:59.883Z,5.357,99580.2978515625
1612901832656,2021-02-09T20:18:59.897Z,5.435,99580.2978515625
1612901832733,2021-02-09T20:18:59.901Z,5.512,99580.2978515625
1612901832811,2021-02-09T20:18:59.915Z,5.59,99579.6337890625
1612901832889,2021-02-09T20:18:59.928Z,5.668,99579.6337890625
1612901832966,2021-02-09T20:18:59.941Z,5.745,99579.6337890625
1612901833045,2021-02-09T20:18:59.946Z,5.824,99579.6337890625
1612901833123,2021-02-09T20:18:59.959Z,5.902,99579.8212890625
1612901833201,2021-02-09T20:18:59.972Z,5.98,99579.8212890625
1612901833278,2021-02-09T20:18:59.977Z,6.057,99579.8212890625
1612901833356,2021-02-09T20:18:59.990Z,6.135,99579.1494140625
1612901833434,2021-02-09T20:19:00.003Z,6.213,99579.1494140625
1612901833511,2021-02-09T20:19:00.016Z,6.29,99579.1494140625
1612901833589,2021-02-09T20:19:00.020Z,6.368,99579.1494140625
1612901833667,2021-02-09T20:19:00.034Z,6.446,99579.1494140625
1612901833744,2021-02-09T20:19:00.048Z,6.523,99579.1494140625
1612901833822,2021-02-09T20:19:00.052Z,6.601,99578.4853515625
1612901833899,2021-02-09T20:19:00.094Z,6.678,99578.4853515625
1612901833977,2021-02-09T20:19:00.109Z,6.756,99579.3369140625
1612901834055,2021-02-09T20:19:00.126Z,6.834,99579.3369140625
1612901834132,2021-02-09T20:19:00.128Z,6.911,99579.3369140625
1612901834210,2021-02-09T20:19:00.139Z,6.989,99578.6650390625
1612901834288,2021-02-09T20:19:00.152Z,7.067,99578.6650390625
1612901834365,2021-02-09T20:19:00.156Z,7.144,99578.6650390625
1612901834443,2021-02-09T20:19:00.170Z,7.222,99578.6650390625
1612901834521,2021-02-09T20:19:00.184Z,7.3,99578.6650390625
1612901834598,2021-02-09T20:19:00.197Z,7.377,99578.6650390625
1612901834676,2021-02-09T20:19:00.200Z,7.455,99578.6650390625
1612901834753,2021-02-09T20:19:00.215Z,7.532,99578.6650390625
1612901834831,2021-02-09T20:19:00.228Z,7.61,99578.6650390625
1612901834909,2021-02-09T20:19:00.241Z,7.688,99578.6650390625
1612901834986,2021-02-09T20:19:00.246Z,7.765,99578.6650390625
1612901835064,2021-02-09T20:19:00.260Z,7.843,99578.0009765625
1612901835142,2021-02-09T20:19:00.272Z,7.921,99578.0009765625
1612901835219,2021-02-09T20:19:00.277Z,7.998,99578.0009765625
1612901835297,2021-02-09T20:19:00.290Z,8.076,99578.0009765625
1612901835375,2021-02-09T20:19:00.303Z,8.154,99578.8525390625
1612901835452,2021-02-09T20:19:00.316Z,8.231,99578.8525390625
1612901835530,2021-02-09T20:19:00.321Z,8.309,99578.1884765625
1612901835607,2021-02-09T20:19:00.334Z,8.386,99577.3369140625
1612901835685,2021-02-09T20:19:00.337Z,8.464,99578.8525390625
1612901835763,2021-02-09T20:19:00.350Z,8.542,99578.8525390625
1612901835840,2021-02-09T20:19:00.364Z,8.619,99578.8525390625
1612901835918,2021-02-09T20:19:00.377Z,8.697,99578.8525390625
1612901835996,2021-02-09T20:19:00.382Z,8.775,99578.8525390625
1612901836073,2021-02-09T20:19:00.395Z,8.852,99578.8525390625
1612901836151,2021-02-09T20:19:00.408Z,8.93,99578.8525390625
1612901836229,2021-02-09T20:19:00.421Z,9.008,99578.8525390625
1612901836306,2021-02-09T20:19:00.426Z,9.085,99578.1884765625
1612901836384,2021-02-09T20:19:00.439Z,9.163,99578.1884765625
1612901836461,2021-02-09T20:19:00.452Z,9.24,99578.1884765625
1612901836539,2021-02-09T20:19:00.456Z,9.318,99578.1884765625
1612901836617,2021-02-09T20:19:00.470Z,9.396,99578.1884765625
1612901836694,2021-02-09T20:19:00.483Z,9.473,99578.1884765625
1612901836772,2021-02-09T20:19:00.496Z,9.551,99577.5244140625
1612901836850,2021-02-09T20:19:00.500Z,9.629,99578.1884765625
1612901836927,2021-02-09T20:19:00.514Z,9.706,99578.1884765625
1612901837005,2021-02-09T20:19:00.557Z,9.784,99578.1884765625
1612901837083,2021-02-09T20:19:00.561Z,9.862,99577.5244140625
1612901837160,2021-02-09T20:19:00.575Z,9.939,99577.5244140625
1612901837238,2021-02-09T20:19:00.587Z,10.017,99578.3681640625
1612901837315,2021-02-09T20:19:00.592Z,10.094,99578.3681640625
1612901837393,2021-02-09T20:19:00.605Z,10.172,99578.3681640625
1612901837471,2021-02-09T20:19:00.618Z,10.25,99578.3681640625
1612901837548,2021-02-09T20:19:00.632Z,10.327,99578.3681640625
1612901837626,2021-02-09T20:19:00.637Z,10.405,99578.3681640625
1612901837704,2021-02-09T20:19:00.650Z,10.483,99577.7119140625
1612901837781,2021-02-09T20:19:00.663Z,10.56,99577.7119140625
1612901837859,2021-02-09T20:19:00.676Z,10.638,99577.7119140625
1612901837937,2021-02-09T20:19:00.681Z,10.716,99577.7119140625
1612901838014,2021-02-09T20:19:00.694Z,10.793,99577.7119140625
1612901838092,2021-02-09T20:19:00.708Z,10.871,99577.7119140625
