epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1612902168653,2021-02-09T20:23:38.651Z,39.304,-0.3170942962169647,-0.4968428313732147,0.8720980286598206
1612902168692,2021-02-09T20:23:38.662Z,39.343,-0.2958540618419647,-0.4665693938732147,0.8662386536598206
1612902168732,2021-02-09T20:23:38.664Z,39.383,-0.2892622649669647,-0.4795088469982147,0.8869906067848206
1612902168772,2021-02-09T20:23:38.676Z,39.423,-0.2643599212169647,-0.4597334563732147,0.8838167786598206
1612902168811,2021-02-09T20:23:38.678Z,39.461999999999996,-0.2770552337169647,-0.4526533782482147,0.8786898255348206
1612902168852,2021-02-09T20:23:38.692Z,39.503,-0.2658247649669647,-0.4587568938732147,0.8720980286598206
1612902168892,2021-02-09T20:23:38.694Z,39.543,-0.2648482024669647,-0.4448408782482147,0.8706331849098206
1612902168931,2021-02-09T20:23:38.706Z,39.582,-0.2733931243419647,-0.4592451751232147,0.8840609192848206
1612902168971,2021-02-09T20:23:38.709Z,39.622,-0.2685103118419647,-0.4370283782482147,0.8796663880348206
1612902169010,2021-02-09T20:23:38.710Z,39.661,-0.2660689055919647,-0.4643721282482147,0.8952913880348206
1612902169050,2021-02-09T20:23:38.721Z,39.701,-0.2636274993419647,-0.4438643157482147,0.8926058411598206
1612902169089,2021-02-09T20:23:38.724Z,39.74,-0.2633833587169647,-0.4431318938732147,0.8816195130348206
1612902169129,2021-02-09T20:23:38.726Z,39.78,-0.2616743743419647,-0.4423994719982147,0.8835726380348206
1612902169169,2021-02-09T20:23:38.737Z,39.82,-0.2538618743419647,-0.4467940032482147,0.8945589661598206
1612902169208,2021-02-09T20:23:38.739Z,39.859,-0.2533735930919647,-0.4509443938732147,0.9136019349098206
1612902169248,2021-02-09T20:23:38.742Z,39.899,-0.22798295319080356,-0.4477705657482147,0.9013949036598206
1612902169289,2021-02-09T20:23:38.752Z,39.94,-0.23921342194080356,-0.4465498626232147,0.8894320130348206
1612902169328,2021-02-09T20:23:38.754Z,39.979,-0.24067826569080356,-0.4367842376232147,0.8987093567848206
1612902169368,2021-02-09T20:23:38.766Z,40.019,-0.24067826569080356,-0.4209150969982147,0.8899202942848206
1612902169407,2021-02-09T20:23:38.768Z,40.058,-0.24287553131580356,-0.4262861907482147,0.8967562317848206
1612902169447,2021-02-09T20:23:38.770Z,40.098,-0.2526411712169647,-0.4399580657482147,0.8948031067848206
1612902169486,2021-02-09T20:23:38.781Z,40.137,-0.24360795319080356,-0.4519209563732147,0.8916292786598206
1612902169526,2021-02-09T20:23:38.784Z,40.177,-0.23603959381580356,-0.4362959563732147,0.8862581849098206
1612902169566,2021-02-09T20:23:38.796Z,40.217,-0.23750443756580356,-0.4338545501232147,0.8984652161598206
1612902169605,2021-02-09T20:23:38.798Z,40.256,-0.23042435944080356,-0.4345869719982147,0.8972445130348206
1612902169645,2021-02-09T20:23:38.800Z,40.296,-0.22139115631580356,-0.4289717376232147,0.8948031067848206
1612902169684,2021-02-09T20:23:38.812Z,40.335,-0.22285600006580356,-0.4355635344982147,0.9028597474098206
1612902169724,2021-02-09T20:23:38.814Z,40.375,-0.22529740631580356,-0.4465498626232147,0.9011507630348206
1612902169765,2021-02-09T20:23:38.828Z,40.416,-0.22017045319080356,-0.4238447844982147,0.8967562317848206
1612902169804,2021-02-09T20:23:38.829Z,40.455,-0.22090287506580356,-0.4502119719982147,0.8994417786598206
1612902169844,2021-02-09T20:23:38.841Z,40.495,-0.23042435944080356,-0.4226240813732147,0.8899202942848206
1612902169883,2021-02-09T20:23:38.843Z,40.534,-0.22065873444080356,-0.4370283782482147,0.9055452942848206
1612902169923,2021-02-09T20:23:38.845Z,40.574,-0.23066850006580356,-0.4292158782482147,0.9028597474098206
1612902169962,2021-02-09T20:23:38.857Z,40.613,-0.21894975006580356,-0.4402022063732147,0.9055452942848206
1612902170002,2021-02-09T20:23:38.871Z,40.653,-0.22407670319080356,-0.4211592376232147,0.8996859192848206
1612902170042,2021-02-09T20:23:38.873Z,40.693000000000005,-0.23359818756580356,-0.4426436126232147,0.8982210755348206
1612902170081,2021-02-09T20:23:38.875Z,40.732,-0.22090287506580356,-0.4338545501232147,0.9162874817848206
1612902170121,2021-02-09T20:23:38.901Z,40.772,-0.20308060944080356,-0.4550947844982147,0.8979769349098206
1612902170160,2021-02-09T20:23:38.904Z,40.811,-0.20308060944080356,-0.4528975188732147,0.9072542786598206
1612902170201,2021-02-09T20:23:38.906Z,40.852,-0.20942826569080356,-0.4404463469982147,0.8982210755348206
1612902170241,2021-02-09T20:23:38.917Z,40.891999999999996,-0.20381303131580356,-0.4653486907482147,0.9116488099098206
1612902170280,2021-02-09T20:23:38.919Z,40.931,-0.20063920319080356,-0.4548506438732147,0.9219027161598206
1612902170320,2021-02-09T20:23:38.931Z,40.971000000000004,-0.22236771881580356,-0.4819502532482147,0.9189730286598206
1612902170359,2021-02-09T20:23:38.961Z,41.01,-0.21919389069080356,-0.4931807219982147,0.9123812317848206
1612902170399,2021-02-09T20:23:38.964Z,41.05,-0.21040482819080356,-0.4614424407482147,0.9192171692848206
1612902170439,2021-02-09T20:23:38.977Z,41.09,-0.20234818756580356,-0.4682783782482147,0.9219027161598206
1612902170478,2021-02-09T20:23:38.979Z,41.129,-0.20234818756580356,-0.4326338469982147,0.9204378724098206
1612902170518,2021-02-09T20:23:38.981Z,41.169,-0.21479935944080356,-0.4243330657482147,0.9167757630348206
1612902170557,2021-02-09T20:23:38.993Z,41.208,-0.20893998444080356,-0.4236006438732147,0.9287386536598206
1612902170597,2021-02-09T20:23:38.995Z,41.248000000000005,-0.20259232819080356,-0.4218916594982147,0.9194613099098206
1612902170636,2021-02-09T20:23:39.006Z,41.287,-0.23359818756580356,-0.4109053313732147,0.9363070130348206
1612902170677,2021-02-09T20:23:39.008Z,41.328,-0.23335404694080356,-0.4392256438732147,0.9492464661598206
1612902170717,2021-02-09T20:23:39.011Z,41.368,-0.2575239837169647,-0.4387373626232147,0.9519320130348206
1612902170756,2021-02-09T20:23:39.052Z,41.407,-0.23384232819080356,-0.4133467376232147,0.9309359192848206
1612902170796,2021-02-09T20:23:39.054Z,41.446999999999996,-0.22407670319080356,-0.4250654876232147,0.9411898255348206
1612902170836,2021-02-09T20:23:39.056Z,41.486999999999995,-0.2672896087169647,-0.4021162688732147,0.9511995911598206
1612902170875,2021-02-09T20:23:39.067Z,41.526,-0.24678178131580356,-0.3557295501232147,0.9245882630348206
1612902170915,2021-02-09T20:23:39.069Z,41.566,-0.22334428131580356,-0.3454756438732147,0.9592562317848206
1612902170954,2021-02-09T20:23:39.071Z,41.605,-0.23359818756580356,-0.3332686126232147,0.9687777161598206
1612902170994,2021-02-09T20:23:39.082Z,41.645,-0.3112349212169647,-0.3361983001232147,0.9353304505348206
1612902171033,2021-02-09T20:23:39.085Z,41.684,-0.24751420319080356,-0.3217940032482147,0.9284945130348206
1612902171073,2021-02-09T20:23:39.096Z,41.724,-0.23701615631580356,-0.3144697844982147,0.9614534974098206
1612902171114,2021-02-09T20:23:39.098Z,41.765,-0.2921919524669647,-0.2732100188732147,0.9282503724098206
1612902171153,2021-02-09T20:23:39.112Z,41.803999999999995,-0.2602095305919647,-0.2644209563732147,0.9795199036598206
1612902171193,2021-02-09T20:23:39.114Z,41.843999999999994,-0.23237748444080356,-0.23878617584705356,0.9397249817848206
1612902171233,2021-02-09T20:23:39.128Z,41.88399999999999,-0.2572798430919647,-0.16822953522205353,0.9599886536598206
1612902171272,2021-02-09T20:23:39.129Z,41.923,-0.2633833587169647,-0.16114945709705353,0.9631624817848206
1612902171312,2021-02-09T20:23:39.141Z,41.963,-0.24824662506580356,-0.12330766022205353,0.9626742005348206
1612902171351,2021-02-09T20:23:39.143Z,42.001999999999995,-0.23896928131580356,-0.11744828522205353,0.9602327942848206
1612902171391,2021-02-09T20:23:39.149Z,42.042,-0.21675248444080356,-0.07472367584705353,0.9856234192848206
1612902171430,2021-02-09T20:23:39.156Z,42.081,-0.15620560944080353,-0.06520219147205353,1.039090275764465
1612902171470,2021-02-09T20:23:39.159Z,42.121,-0.21260209381580356,-0.04103226959705353,0.9350863099098206
1612902171511,2021-02-09T20:23:39.161Z,42.162,-0.20723100006580356,0.03782515227794647,0.9648714661598206
1612902171550,2021-02-09T20:23:39.172Z,42.201,-0.21260209381580356,0.06126265227794647,0.9201937317848206
1612902171590,2021-02-09T20:23:39.174Z,42.24100000000001,-0.22602982819080356,0.14817671477794647,0.9365511536598206
1612902171629,2021-02-09T20:23:39.176Z,42.28,-0.18550248444080356,0.14256148040294647,0.9140902161598206
1612902171669,2021-02-09T20:23:39.187Z,42.32,-0.19160600006580356,0.19480757415294647,0.8901644349098206
1612902171709,2021-02-09T20:23:39.189Z,42.36,-0.21675248444080356,0.2697587311267853,0.9524202942848206
1612902171748,2021-02-09T20:23:39.191Z,42.398999999999994,-0.18135209381580356,0.19065718352794647,0.9350863099098206
1612902171788,2021-02-09T20:23:39.204Z,42.43899999999999,-0.22920365631580356,0.2682938873767853,0.9011507630348206
1612902171827,2021-02-09T20:23:39.205Z,42.478,-0.13838334381580353,0.2714677155017853,0.9170199036598206
1612902171867,2021-02-09T20:23:39.216Z,42.518,-0.22310014069080356,0.3232255280017853,0.9187288880348206
1612902171906,2021-02-09T20:23:39.218Z,42.556999999999995,-0.17353959381580353,0.2404618710279465,0.8845492005348206
1612902171946,2021-02-09T20:23:39.221Z,42.597,-0.17158646881580353,0.3442216217517853,0.9031038880348206
1612902171985,2021-02-09T20:23:39.232Z,42.636,-0.22529740631580356,0.3491044342517853,0.8852816224098206
1612902172026,2021-02-09T20:23:39.234Z,42.677,-0.17915482819080353,0.4062333405017853,0.8535433411598206
1612902172066,2021-02-09T20:23:39.247Z,42.717,-0.20527787506580356,0.3542313873767853,0.8506136536598206
1612902172106,2021-02-09T20:23:39.250Z,42.757,-0.2543501555919647,0.4511552155017853,0.8611117005348206
1612902172145,2021-02-09T20:23:39.261Z,42.79600000000001,-0.16816850006580353,0.3744950592517853,0.7688265442848206
1612902172185,2021-02-09T20:23:39.263Z,42.836000000000006,-0.22236771881580356,0.5085282921791077,0.8452425599098206
1612902172224,2021-02-09T20:23:39.265Z,42.875,-0.19990678131580356,0.4589677155017853,0.8550081849098206
1612902172264,2021-02-09T20:23:39.277Z,42.915,-0.22602982819080356,0.4321122467517853,0.7661409974098206
1612902172303,2021-02-09T20:23:39.279Z,42.95399999999999,-0.23164506256580356,0.5217118859291077,0.8515902161598206
1612902172343,2021-02-09T20:23:39.280Z,42.994,-0.2958540618419647,0.4592118561267853,0.7182894349098206
1612902172382,2021-02-09T20:23:39.292Z,43.033,-0.16987748444080353,0.5397782921791077,0.7588167786598206
1612902172422,2021-02-09T20:23:39.294Z,43.073,-0.2973189055919647,0.5385575890541077,0.7363558411598206
1612902172463,2021-02-09T20:23:39.296Z,43.114,-0.22114701569080356,0.5165849328041077,0.7712679505348206
1612902172503,2021-02-09T20:23:39.307Z,43.153999999999996,-0.2934126555919647,0.5063310265541077,0.6816683411598206
1612902172542,2021-02-09T20:23:39.309Z,43.193000000000005,-0.17671342194080353,0.6183915734291077,0.7497835755348206
1612902172582,2021-02-09T20:23:39.321Z,43.233000000000004,-0.21138139069080356,0.5180497765541077,0.7131624817848206
1612902172621,2021-02-09T20:23:39.323Z,43.272,-0.2702192962169647,0.5837236046791077,0.7033968567848206
1612902172661,2021-02-09T20:23:39.325Z,43.312,-0.18867631256580356,0.5739579796791077,0.7534456849098206
1612902172700,2021-02-09T20:23:39.336Z,43.351000000000006,-0.24238725006580356,0.5536943078041077,0.7148714661598206
1612902172740,2021-02-09T20:23:39.339Z,43.391000000000005,-0.2580122649669647,0.6247392296791077,0.7732210755348206
1612902172779,2021-02-09T20:23:39.351Z,43.43,-0.15986771881580353,0.5322099328041077,0.7431917786598206
1612902172819,2021-02-09T20:23:39.353Z,43.47,-0.3581099212169647,0.5715165734291077,0.7182894349098206
1612902172858,2021-02-09T20:23:39.356Z,43.50899999999999,-0.12178178131580353,0.5561357140541077,0.8005648255348206
1612902172900,2021-02-09T20:23:39.367Z,43.551,-0.3385786712169647,0.5876298546791077,0.7265902161598206
1612902172939,2021-02-09T20:23:39.369Z,43.59,-0.20845170319080356,0.5615068078041077,0.7405062317848206
1612902172979,2021-02-09T20:23:39.381Z,43.63,-0.2587446868419647,0.5666337609291077,0.7624788880348206
1612902173018,2021-02-09T20:23:39.384Z,43.669,-0.23579545319080356,0.5253739953041077,0.7109652161598206
1612902173058,2021-02-09T20:23:39.387Z,43.708999999999996,-0.2565474212169647,0.6076493859291077,0.7556429505348206
1612902173097,2021-02-09T20:23:39.397Z,43.748000000000005,-0.24849076569080356,0.5729814171791077,0.7590609192848206
1612902173137,2021-02-09T20:23:39.399Z,43.788000000000004,-0.2565474212169647,0.5475907921791077,0.7405062317848206
1612902173176,2021-02-09T20:23:39.412Z,43.827,-0.23774857819080356,0.5944657921791077,0.7597933411598206
1612902173216,2021-02-09T20:23:39.414Z,43.867,-0.2770552337169647,0.5593095421791077,0.7488070130348206
1612902173255,2021-02-09T20:23:39.416Z,43.906000000000006,-0.20332475006580356,0.5597978234291077,0.7593050599098206
1612902173295,2021-02-09T20:23:39.427Z,43.946000000000005,-0.2724165618419647,0.5627275109291077,0.7263460755348206
1612902173336,2021-02-09T20:23:39.429Z,43.986999999999995,-0.23506303131580356,0.5954423546791077,0.7707796692848206
1612902173376,2021-02-09T20:23:39.431Z,44.027,-0.24018998444080356,0.5593095421791077,0.7300081849098206
