epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612902422828,2021-02-09T20:28:31.793Z,15.843,99570.54211956523
1612902422869,2021-02-09T20:28:31.795Z,15.884,99570.54211956523
1612902422909,2021-02-09T20:28:31.807Z,15.924000000000001,99570.54211956523
1612902422948,2021-02-09T20:28:31.808Z,15.963,99570.54211956523
1612902422989,2021-02-09T20:28:31.820Z,16.004,99570.54211956523
1612902423029,2021-02-09T20:28:31.822Z,16.044,99570.54211956523
1612902423070,2021-02-09T20:28:31.824Z,16.085,99569.87805706523
1612902423109,2021-02-09T20:28:31.835Z,16.124000000000002,99569.87805706523
1612902423149,2021-02-09T20:28:31.838Z,16.164,99569.87805706523
1612902423190,2021-02-09T20:28:31.840Z,16.205,99569.87805706523
1612902423229,2021-02-09T20:28:31.850Z,16.244,99569.87805706523
1612902423269,2021-02-09T20:28:31.853Z,16.284000000000002,99569.87805706523
1612902423310,2021-02-09T20:28:31.855Z,16.325,99569.87805706523
1612902423350,2021-02-09T20:28:31.866Z,16.365,99569.87805706523
1612902423391,2021-02-09T20:28:31.868Z,16.406,99569.22180706523
1612902423430,2021-02-09T20:28:31.870Z,16.445,99569.22180706523
1612902423470,2021-02-09T20:28:31.882Z,16.485,99569.22180706523
1612902423511,2021-02-09T20:28:31.910Z,16.526,99569.22180706523
1612902423550,2021-02-09T20:28:31.913Z,16.565,99568.55774456523
1612902423600,2021-02-09T20:28:31.919Z,16.615,99568.55774456523
1612902423641,2021-02-09T20:28:31.926Z,16.656,99567.89368206523
1612902423681,2021-02-09T20:28:31.928Z,16.695999999999998,99567.89368206523
1612902423732,2021-02-09T20:28:31.940Z,16.747,99567.23743206523
1612902423782,2021-02-09T20:28:31.943Z,16.797,99568.04993206523
1612902423821,2021-02-09T20:28:31.944Z,16.836,99568.04993206523
1612902423861,2021-02-09T20:28:31.956Z,16.875999999999998,99568.04993206523
1612902423902,2021-02-09T20:28:31.958Z,16.917,99568.04993206523
1612902423941,2021-02-09T20:28:31.960Z,16.956,99567.39368206523
1612902423982,2021-02-09T20:28:31.971Z,16.997,99567.39368206523
1612902424022,2021-02-09T20:28:31.974Z,17.037,99566.72180706523
1612902424061,2021-02-09T20:28:31.985Z,17.076,99566.72180706523
1612902424102,2021-02-09T20:28:31.987Z,17.117,99564.59680706523
1612902424142,2021-02-09T20:28:31.989Z,17.157,99564.59680706523
1612902424183,2021-02-09T20:28:32.000Z,17.198,99564.59680706523
1612902424223,2021-02-09T20:28:32.003Z,17.238,99564.59680706523
1612902424262,2021-02-09T20:28:32.005Z,17.277,99563.93274456523
1612902424303,2021-02-09T20:28:32.016Z,17.317999999999998,99563.93274456523
1612902424343,2021-02-09T20:28:32.018Z,17.358,99563.93274456523
1612902424382,2021-02-09T20:28:32.020Z,17.397000000000002,99563.26868206523
1612902424423,2021-02-09T20:28:32.031Z,17.438,99563.26868206523
1612902424463,2021-02-09T20:28:32.034Z,17.477999999999998,99563.26868206523
1612902424504,2021-02-09T20:28:32.045Z,17.519000000000002,99563.26868206523
1612902424543,2021-02-09T20:28:32.047Z,17.558,99562.61243206523
1612902424583,2021-02-09T20:28:32.049Z,17.598,99562.61243206523
1612902424624,2021-02-09T20:28:32.060Z,17.639,99562.61243206523
