epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1612902435946,2021-02-09T20:28:33.742Z,28.964000000000002,-1.2155355215072632,-0.08881230652332306,-0.3632025420665741
1612902435987,2021-02-09T20:28:33.752Z,29.005,-0.17895017564296722,0.033138919621706016,0.1246023327112198
1612902436027,2021-02-09T20:28:33.755Z,29.045,-0.3009013831615448,0.0941145271062851,0.002651113551110029
1612902436066,2021-02-09T20:28:33.757Z,29.084,-0.3618769943714142,-0.27173912525176996,0.0636267215013504
1612902436106,2021-02-09T20:28:33.769Z,29.124000000000002,-1.4594379663467407,0.33801698684692383,-0.607105016708374
1612902436146,2021-02-09T20:28:33.771Z,29.164,0.1259278804063797,-0.027836691588163376,0.1246023327112198
1612902436185,2021-02-09T20:28:33.773Z,29.203000000000003,0.003976662643253803,0.0941145271062851,0.3685047924518585
1612902436225,2021-02-09T20:28:33.784Z,29.243000000000002,-0.7887063026428223,-0.21076352894306186,0.30752918124198914
1612902436264,2021-02-09T20:28:33.786Z,29.281999999999996,-0.6057794094085693,-0.027836691588163376,0.7343583703041077
1612902436304,2021-02-09T20:28:33.797Z,29.322,0.3698303401470184,-0.5156415104866028,0.30752918124198914
1612902436343,2021-02-09T20:28:33.799Z,29.361,-0.6667550802230835,-0.8814951777458191,-0.11930011212825775
1612902436383,2021-02-09T20:28:33.802Z,29.401,-0.6667550802230835,-0.8814951777458191,-0.11930011212825775
1612902436422,2021-02-09T20:28:33.813Z,29.44,-0.7277306318283081,-0.3327147364616394,-0.3022269308567047
1612902436463,2021-02-09T20:28:33.815Z,29.480999999999998,-1.4594379663467407,0.6428950428962708,0.4294804036617279
1612902436503,2021-02-09T20:28:33.817Z,29.521,-0.5448038578033447,0.5209438204765321,0.3685047924518585
1612902436543,2021-02-09T20:28:33.828Z,29.561,-0.4838281571865082,-0.027836691588163376,1.2831389904022217
1612902436582,2021-02-09T20:28:33.831Z,29.6,-1.520413517951965,-1.7351539134979248,1.466065764427185
1612902436622,2021-02-09T20:28:33.833Z,29.64,-1.4594379663467407,-1.2473489046096802,1.5270414352416992
1612902436661,2021-02-09T20:28:33.844Z,29.679000000000002,-0.3618769943714142,-2.710763692855835,1.5880169868469238
1612902436701,2021-02-09T20:28:33.846Z,29.719,-1.337486743927002,-2.8327147960662837,0.6733828186988831
1612902436740,2021-02-09T20:28:33.858Z,29.758000000000003,-1.8252917528152464,-1.552227020263672,0.30752918124198914
1612902436780,2021-02-09T20:28:33.859Z,29.798000000000002,-2.3740720748901367,-1.6741781234741209,-0.058324497193098075
1612902436819,2021-02-09T20:28:33.862Z,29.837,-2.496023178100586,-0.9424708485603333,-0.18027572333812714
1612902436859,2021-02-09T20:28:33.872Z,29.877,-2.496023178100586,-0.9424708485603333,-0.18027572333812714
1612902436899,2021-02-09T20:28:33.875Z,29.916999999999998,-1.7033404111862185,-1.0644221305847168,0.6733828186988831
1612902436940,2021-02-09T20:28:33.877Z,29.958000000000002,-2.0691940784454346,-0.9424708485603333,0.4294804036617279
1612902436979,2021-02-09T20:28:33.888Z,29.997,-1.7643159627914429,-1.6741781234741209,-0.3022269308567047
1612902437019,2021-02-09T20:28:33.890Z,30.037,-2.1911451816558842,-0.5156415104866028,-0.3022269308567047
1612902437058,2021-02-09T20:28:33.893Z,30.076,-2.6179745197296143,-2.040031909942627,-0.3022269308567047
1612902437098,2021-02-09T20:28:33.904Z,30.116,-2.983828067779541,-0.27173912525176996,0.0636267215013504
1612902437137,2021-02-09T20:28:33.906Z,30.155,-1.0935842990875244,-1.552227020263672,-1.094909906387329
1612902437177,2021-02-09T20:28:33.908Z,30.195,-3.776511192321777,-2.2839343547821045,-2.2534465789794917
1612902437216,2021-02-09T20:28:33.919Z,30.234,-1.1545599699020386,-1.1253976821899414,-1.033934235572815
1612902437256,2021-02-09T20:28:33.923Z,30.274,0.7356839776039124,-1.1253976821899414,-0.4851537644863129
1612902437295,2021-02-09T20:28:33.932Z,30.313000000000002,-0.8496818542480469,-1.4912514686584473,-1.826617121696472
1612902437335,2021-02-09T20:28:33.934Z,30.353,-0.8496818542480469,-1.4912514686584473,-1.826617121696472
1612902437376,2021-02-09T20:28:33.937Z,30.394000000000002,-1.2765111923217771,0.33801698684692383,-0.911983072757721
1612902437416,2021-02-09T20:28:33.952Z,30.434,-0.9106575250625609,0.8258218765258789,-1.033934235572815
1612902437455,2021-02-09T20:28:33.955Z,30.473000000000003,-2.2521207332611084,1.618504762649536,-1.033934235572815
1612902437495,2021-02-09T20:28:33.955Z,30.513,-1.398462414741516,1.8624072074890137,-1.033934235572815
1612902437534,2021-02-09T20:28:33.964Z,30.552,-0.5448038578033447,0.5209438204765321,-1.6436903476715088
1612902437574,2021-02-09T20:28:33.966Z,30.592,-1.520413517951965,-0.5766171813011169,-5.241251468658447
1612902437613,2021-02-09T20:28:33.968Z,30.631,-1.4594379663467407,-1.6132025718688965,-7.985153675079347
1612902437653,2021-02-09T20:28:33.979Z,30.671,-1.0326087474822998,-1.7961294651031494,-6.826617240905763
1612902437692,2021-02-09T20:28:33.982Z,30.71,-3.1057794094085693,0.033138919621706016,-6.887592792510986
1612902437732,2021-02-09T20:28:33.992Z,30.75,-2.4350476264953613,0.21606574952602384,-3.9607634544372563
1612902437772,2021-02-09T20:28:33.994Z,30.79,-2.4350476264953613,0.21606574952602384,-3.9607634544372563
1612902437811,2021-02-09T20:28:33.997Z,30.829,-1.947242856025696,1.8014315366744995,-2.9851536750793457
1612902437852,2021-02-09T20:28:34.008Z,30.87,-3.349681854248047,1.8014315366744995,-2.009544134140014
1612902437892,2021-02-09T20:28:34.010Z,30.91,-1.8252917528152464,0.6428950428962708,-0.11930011212825775
1612902437931,2021-02-09T20:28:34.012Z,30.949,-2.861876964569092,1.0087486505508425,-0.911983072757721
1612902437971,2021-02-09T20:28:34.024Z,30.989,-2.861876964569092,1.0697243213653564,-1.2778366804122925
1612902438010,2021-02-09T20:28:34.026Z,31.028000000000002,-2.008218288421631,1.313626766204834,-0.6680806279182434
1612902438050,2021-02-09T20:28:34.028Z,31.068,-1.520413517951965,0.7038706541061401,-1.460763454437256
1612902438089,2021-02-09T20:28:34.039Z,31.107,-0.8496818542480469,-0.027836691588163376,-1.216861128807068
1612902438129,2021-02-09T20:28:34.043Z,31.147,-2.0691940784454346,0.27704137563705444,-1.1558854579925537
