epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1612902963798,2021-02-09T20:37:38.590Z,0.023,0.44583332538604736,9.530555725097656,44.625
1612902963838,2021-02-09T20:37:38.604Z,0.063,-1.0541666746139526,10.655555725097656,44.25
1612902963877,2021-02-09T20:37:38.634Z,0.102,-1.0541666746139526,11.030555725097656,44.625
1612902963917,2021-02-09T20:37:38.636Z,0.142,-1.4291666746139526,10.280555725097656,45.0625
1612902963958,2021-02-09T20:37:38.650Z,0.183,-0.6791666746139526,9.530555725097656,43.875
1612902963979,2021-02-09T20:37:38.664Z,0.204,-0.30416667461395264,9.905555725097656,45.0625
1612902964018,2021-02-09T20:37:38.679Z,0.243,-1.4291666746139526,10.280555725097656,42.25
1612902964058,2021-02-09T20:37:38.681Z,0.283,-1.3666666746139526,10.280555725097656,44.6875
1612902964097,2021-02-09T20:37:38.696Z,0.322,0.07083333283662796,10.655555725097656,46.25
1612902964137,2021-02-09T20:37:38.710Z,0.362,-0.6791666746139526,11.718055725097656,45.0625
1612902964178,2021-02-09T20:37:38.724Z,0.403,-1.3666666746139526,10.280555725097656,45.0625
1612902964217,2021-02-09T20:37:38.739Z,0.442,-1.0541666746139526,2.593055486679077,45.4375
1612902964257,2021-02-09T20:37:38.754Z,0.482,0.07083333283662796,3.655555486679077,44.25
1612902964296,2021-02-09T20:37:38.769Z,0.521,0.07083333283662796,6.218055725097656,44.25
1612902964336,2021-02-09T20:37:38.771Z,0.561,-0.6791666746139526,2.593055486679077,45.0625
1612902964376,2021-02-09T20:37:38.785Z,0.601,-0.30416667461395264,10.280555725097656,45.4375
1612902964417,2021-02-09T20:37:38.800Z,0.642,-0.6791666746139526,10.655555725097656,45.875
1612902964456,2021-02-09T20:37:38.814Z,0.681,-0.30416667461395264,12.093055725097656,44.6875
1612902964496,2021-02-09T20:37:38.829Z,0.721,-1.0541666746139526,11.030555725097656,45.4375
1612902964535,2021-02-09T20:37:38.831Z,0.76,-0.6791666746139526,9.905555725097656,45.4375
1612902964575,2021-02-09T20:37:38.846Z,0.8,-0.30416667461395264,10.280555725097656,45.0625
1612902964616,2021-02-09T20:37:38.860Z,0.841,-0.30416667461395264,10.280555725097656,44.6875
1612902964655,2021-02-09T20:37:38.874Z,0.88,0.07083333283662796,11.718055725097656,45.875
1612902964695,2021-02-09T20:37:38.889Z,0.92,-0.6791666746139526,11.718055725097656,44.25
1612902964734,2021-02-09T20:37:38.904Z,0.959,0.44583332538604736,9.155555725097656,44.25
1612902964774,2021-02-09T20:37:38.906Z,0.999,-1.0541666746139526,9.155555725097656,45.4375
1612902964814,2021-02-09T20:37:38.926Z,1.039,-1.0541666746139526,9.905555725097656,43.875
1612902964855,2021-02-09T20:37:38.935Z,1.08,-0.6791666746139526,9.905555725097656,45.875
1612902964894,2021-02-09T20:37:38.949Z,1.119,-1.0541666746139526,9.905555725097656,45.875
1612902964934,2021-02-09T20:37:38.964Z,1.159,0.8208333253860474,10.655555725097656,43.5
1612902964973,2021-02-09T20:37:38.966Z,1.198,-0.6791666746139526,11.030555725097656,46.625
1612902965013,2021-02-09T20:37:38.981Z,1.238,-0.30416667461395264,8.780555725097656,46.25
1612902965054,2021-02-09T20:37:38.995Z,1.279,-0.6791666746139526,9.905555725097656,45.0625
1612902965093,2021-02-09T20:37:39.009Z,1.318,-0.6791666746139526,9.530555725097656,46.25
1612902965133,2021-02-09T20:37:39.024Z,1.358,0.8208333253860474,6.593055725097656,47.875
1612902965172,2021-02-09T20:37:39.042Z,1.397,0.8208333253860474,10.655555725097656,45.4375
1612902965212,2021-02-09T20:37:39.043Z,1.437,-0.30416667461395264,11.718055725097656,46.625
1612902965251,2021-02-09T20:37:39.055Z,1.476,0.07083333283662796,4.780555725097656,46.625
1612902965293,2021-02-09T20:37:39.069Z,1.518,-0.30416667461395264,9.530555725097656,46.25
1612902965332,2021-02-09T20:37:39.084Z,1.557,0.07083333283662796,9.155555725097656,47.875
1612902965372,2021-02-09T20:37:39.099Z,1.597,-0.30416667461395264,-2.219444513320923,47.4375
1612902965411,2021-02-09T20:37:39.101Z,1.636,-0.30416667461395264,10.280555725097656,45.0625
1612902965451,2021-02-09T20:37:39.115Z,1.676,-0.6791666746139526,10.280555725097656,47.4375
1612902965490,2021-02-09T20:37:39.130Z,1.715,-1.0541666746139526,9.155555725097656,45.875
1612902965531,2021-02-09T20:37:39.144Z,1.756,-0.6791666746139526,9.905555725097656,46.6875
1612902965571,2021-02-09T20:37:39.159Z,1.796,-0.30416667461395264,9.905555725097656,45.875
1612902965610,2021-02-09T20:37:39.161Z,1.835,-0.30416667461395264,9.155555725097656,47.0625
1612902965650,2021-02-09T20:37:39.176Z,1.875,-0.30416667461395264,10.280555725097656,46.25
1612902965689,2021-02-09T20:37:39.190Z,1.914,1.8833333253860474,10.280555725097656,47.875
1612902965731,2021-02-09T20:37:39.204Z,1.956,0.07083333283662796,9.905555725097656,47.0625
1612902965770,2021-02-09T20:37:39.219Z,1.995,0.44583332538604736,10.655555725097656,47.0625
1612902965810,2021-02-09T20:37:39.234Z,2.035,1.1958333253860474,10.280555725097656,47.0625
1612902965849,2021-02-09T20:37:39.236Z,2.074,0.44583332538604736,9.155555725097656,47.0625
1612902965889,2021-02-09T20:37:39.250Z,2.114,0.07083333283662796,9.155555725097656,47.5
1612902965928,2021-02-09T20:37:39.294Z,2.153,0.07083333283662796,10.655555725097656,48.25
1612902965969,2021-02-09T20:37:39.310Z,2.194,-0.30416667461395264,5.843055725097656,46.6875
1612902966009,2021-02-09T20:37:39.324Z,2.234,1.5708333253860474,3.280555486679077,47.875
