epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1612905221685,2021-02-09T21:15:41.530Z,0.036,0.5719184279441833,0.01637912355363369,0.8340494632720947
1612905221725,2021-02-09T21:15:41.531Z,0.076,0.5782660841941833,0.01833224855363369,0.8394205570220947
1612905221765,2021-02-09T21:15:41.561Z,0.116,0.5736274123191833,0.02052951417863369,0.8443033695220947
1612905221804,2021-02-09T21:15:41.575Z,0.155,0.5804633498191833,0.01930881105363369,0.8330729007720947
1612905221844,2021-02-09T21:15:41.589Z,0.195,0.5809516310691833,0.01833224855363369,0.8452799320220947
1612905221883,2021-02-09T21:15:41.592Z,0.234,0.5836371779441833,0.01808810792863369,0.8345377445220947
1612905221923,2021-02-09T21:15:41.605Z,0.274,0.5821723341941833,0.01564670167863369,0.8394205570220947
1612905221961,2021-02-09T21:15:41.620Z,0.312,0.5699653029441833,0.01808810792863369,0.8423502445220947
1612905222000,2021-02-09T21:15:41.665Z,0.351,0.5772895216941833,0.00905490480363369,0.8401529788970947
1612905222040,2021-02-09T21:15:41.679Z,0.391,0.5792426466941833,0.02345920167863369,0.8425943851470947
1612905222080,2021-02-09T21:15:41.681Z,0.431,0.5682563185691833,0.02101779542863369,0.8455240726470947
1612905222119,2021-02-09T21:15:41.695Z,0.47,0.5689887404441833,0.01418185792863369,0.8550455570220947
1612905222159,2021-02-09T21:15:41.710Z,0.51,0.5799750685691833,0.01686740480363369,0.8443033695220947
1612905222198,2021-02-09T21:15:41.725Z,0.549,0.5680121779441833,0.01442599855363369,0.8435709476470947
1612905222238,2021-02-09T21:15:41.739Z,0.589,0.5699653029441833,0.01686740480363369,0.8552896976470947
1612905222277,2021-02-09T21:15:41.741Z,0.628,0.5702094435691833,0.01076388917863369,0.8435709476470947
1612905222317,2021-02-09T21:15:41.756Z,0.668,0.5685004591941833,0.02223849855363369,0.8482096195220947
1612905222356,2021-02-09T21:15:41.770Z,0.707,0.5702094435691833,0.01222873292863369,0.8457682132720947
1612905222394,2021-02-09T21:15:41.785Z,0.745,0.5719184279441833,0.01979709230363369,0.8511393070220947
1612905222434,2021-02-09T21:15:41.799Z,0.785,0.5643500685691833,0.004660373087972403,0.8455240726470947
1612905222474,2021-02-09T21:15:41.818Z,0.825,0.5743598341941833,0.01808810792863369,0.8447916507720947
1612905222513,2021-02-09T21:15:41.819Z,0.864,0.5726508498191833,0.01637912355363369,0.8381998538970947
1612905222553,2021-02-09T21:15:41.830Z,0.904,0.5926703810691833,0.02809787355363369,0.8345377445220947
1612905222592,2021-02-09T21:15:41.861Z,0.943,0.5770453810691833,0.01320529542863369,0.8421061038970947
1612905222632,2021-02-09T21:15:41.875Z,0.983,0.5601996779441833,0.01515842042863369,0.8601725101470947
1612905222671,2021-02-09T21:15:41.889Z,1.022,0.5631293654441833,0.01711154542863369,0.8443033695220947
1612905222711,2021-02-09T21:15:41.891Z,1.062,0.5853461623191833,0.02004123292863369,0.8330729007720947
1612905222750,2021-02-09T21:15:41.905Z,1.101,0.5628852248191833,0.01564670167863369,0.8623697757720947
1612905222790,2021-02-09T21:15:41.920Z,1.141,0.5550727248191833,0.01003146730363369,0.8526041507720947
1612905222828,2021-02-09T21:15:41.935Z,1.179,0.5750922560691833,0.01979709230363369,0.8440592288970947
1612905222868,2021-02-09T21:15:41.949Z,1.219,0.5938910841941833,0.01296115480363369,0.8325846195220947
1612905222907,2021-02-09T21:15:41.951Z,1.258,0.5699653029441833,0.02565646730363369,0.8482096195220947
1612905222947,2021-02-09T21:15:41.966Z,1.298,0.5484809279441833,0.00978732667863369,0.8623697757720947
1612905222986,2021-02-09T21:15:41.981Z,1.337,0.5584906935691833,0.0034396701958030462,0.8557779788970947
1612905223026,2021-02-09T21:15:42.010Z,1.377,0.5694770216941833,0.02004123292863369,0.8523600101470947
1612905223065,2021-02-09T21:15:42.025Z,1.416,0.5724067091941833,0.01686740480363369,0.8528482913970947
1612905223105,2021-02-09T21:15:42.114Z,1.456,0.5631293654441833,0.01418185792863369,0.8589518070220947
1612905223144,2021-02-09T21:15:42.117Z,1.495,0.5575141310691833,0.00929904542863369,0.8545572757720947
1612905223184,2021-02-09T21:15:42.132Z,1.535,0.5655707716941833,0.03029513917863369,0.8518717288970947
1612905223224,2021-02-09T21:15:42.145Z,1.575,0.5655707716941833,0.01735568605363369,0.8413736820220947
1612905223262,2021-02-09T21:15:42.160Z,1.613,0.5768012404441833,0.01003146730363369,0.8425943851470947
1612905223301,2021-02-09T21:15:42.175Z,1.652,0.5672797560691833,0.0036838108208030462,0.8457682132720947
1612905223341,2021-02-09T21:15:42.219Z,1.692,0.5570258498191833,0.00832248292863369,0.8599283695220947
1612905223380,2021-02-09T21:15:42.222Z,1.731,0.5597113966941833,0.01296115480363369,0.8640787601470947
1612905223420,2021-02-09T21:15:42.238Z,1.771,0.5643500685691833,0.02565646730363369,0.8494303226470947
1612905223459,2021-02-09T21:15:42.250Z,1.81,0.5648383498191833,0.02467990480363369,0.8535807132720947
1612905223499,2021-02-09T21:15:42.279Z,1.85,0.5731391310691833,0.03298068419098854,0.8486979007720947
1612905223538,2021-02-09T21:15:42.281Z,1.889,0.5638617873191833,0.02760959230363369,0.8516275882720947
1612905223578,2021-02-09T21:15:42.297Z,1.929,0.5711860060691833,0.0014865451958030462,0.8638346195220947
1612905223618,2021-02-09T21:15:42.310Z,1.969,0.5577582716941833,0.01491427980363369,0.8460123538970947
1612905223657,2021-02-09T21:15:42.325Z,2.008,0.5641059279441833,0.02638888917863369,0.8374674320220947
1612905223695,2021-02-09T21:15:42.340Z,2.046,0.5728949904441833,0.01515842042863369,0.8360025882720947
1612905223735,2021-02-09T21:15:42.354Z,2.086,0.5702094435691833,0.02443576417863369,0.8477213382720947
1612905223774,2021-02-09T21:15:42.356Z,2.125,0.5558051466941833,0.04714084044098854,0.8504068851470947
1612905223814,2021-02-09T21:15:42.370Z,2.165,0.5716742873191833,0.01735568605363369,0.8511393070220947
1612905223853,2021-02-09T21:15:42.385Z,2.204,0.5565375685691833,0.0034396701958030462,0.8482096195220947
1612905223893,2021-02-09T21:15:42.415Z,2.244,0.5675238966941833,0.01076388917863369,0.8516275882720947
1612905223933,2021-02-09T21:15:42.429Z,2.284,0.5526313185691833,0.04567599669098854,0.8528482913970947
1612905223972,2021-02-09T21:15:42.431Z,2.323,0.5499457716941833,0.04567599669098854,0.8401529788970947
1612905224012,2021-02-09T21:15:42.447Z,2.363,0.5838813185691833,0.01833224855363369,0.8491861820220947
1612905224051,2021-02-09T21:15:42.461Z,2.402,0.5948676466941833,0.01711154542863369,0.8267252445220947
1612905224091,2021-02-09T21:15:42.475Z,2.442,0.5770453810691833,0.0036838108208030462,0.8484537601470947
1612905224129,2021-02-09T21:15:42.489Z,2.48,0.5775336623191833,-0.0016872829291969538,0.8657877445220947
1612905224168,2021-02-09T21:15:42.504Z,2.519,0.5763129591941833,0.03713107481598854,0.8306314945220947
1612905224208,2021-02-09T21:15:42.537Z,2.559,0.5882758498191833,0.01271701417863369,0.8403971195220947
1612905224247,2021-02-09T21:15:42.566Z,2.598,0.5963324904441833,0.02760959230363369,0.8350260257720947
1612905224287,2021-02-09T21:15:42.580Z,2.638,0.5570258498191833,-0.004861111287027597,0.8386881351470947
1612905224327,2021-02-09T21:15:42.625Z,2.678,0.5655707716941833,-0.01145290769636631,0.8618814945220947
1612905224366,2021-02-09T21:15:42.669Z,2.717,0.6034125685691833,0.03078342042863369,0.8455240726470947
1612905224406,2021-02-09T21:15:42.684Z,2.757,0.5963324904441833,0.01418185792863369,0.8230631351470947
1612905224445,2021-02-09T21:15:42.686Z,2.796,0.6114692091941833,0.005392794962972403,0.8445475101470947
1612905224485,2021-02-09T21:15:42.700Z,2.836,0.5916938185691833,0.01882052980363369,0.8352701663970947
1612905224523,2021-02-09T21:15:42.715Z,2.874,0.5916938185691833,-0.0026638454291969538,0.8482096195220947
1612905224562,2021-02-09T21:15:42.730Z,2.913,0.5750922560691833,0.04103732481598854,0.8394205570220947
1612905224602,2021-02-09T21:15:42.774Z,2.953,0.6229438185691833,0.02297092042863369,0.8137857913970947
1612905224642,2021-02-09T21:15:42.776Z,2.993,0.6517524123191833,0.03932834044098854,0.7769205570220947
1612905224681,2021-02-09T21:15:42.790Z,3.032,0.6644477248191833,0.0027072483208030462,0.7788736820220947
1612905224721,2021-02-09T21:15:42.805Z,3.072,0.6273383498191833,0.0029513889458030462,0.8130533695220947
1612905224760,2021-02-09T21:15:42.820Z,3.111,0.6248969435691833,0.01467013917863369,0.8037760257720947
1612905224800,2021-02-09T21:15:42.834Z,3.151,0.6493110060691833,0.02297092042863369,0.8081705570220947
1612905224839,2021-02-09T21:15:42.837Z,3.19,0.6165961623191833,0.006125216837972403,0.8047525882720947
1612905224879,2021-02-09T21:15:42.851Z,3.23,0.6329535841941833,0.03127169981598854,0.8189127445220947
1612905224918,2021-02-09T21:15:42.865Z,3.269,0.6283149123191833,0.02858615480363369,0.8106119632720947
1612905224956,2021-02-09T21:15:42.880Z,3.307,0.6473578810691833,0.0027072483208030462,0.7883951663970947
1612905224996,2021-02-09T21:15:42.894Z,3.347,0.6449164748191833,0.02565646730363369,0.7930338382720947
1612905225036,2021-02-09T21:15:42.909Z,3.387,0.6339301466941833,0.006857638712972403,0.8018229007720947
1612905225075,2021-02-09T21:15:42.911Z,3.426,0.6312445998191833,0.01784396730363369,0.7988932132720947
1612905225115,2021-02-09T21:15:42.925Z,3.466,0.6314887404441833,0.00929904542863369,0.8250162601470947
1612905225154,2021-02-09T21:15:42.940Z,3.505,0.6107367873191833,0.05226779356598854,0.8042643070220947
1612905225194,2021-02-09T21:15:42.970Z,3.545,0.6571235060691833,0.02858615480363369,0.7935221195220947
1612905225233,2021-02-09T21:15:42.985Z,3.584,0.6458930373191833,0.03078342042863369,0.8150064945220947
1612905225273,2021-02-09T21:15:42.987Z,3.624,0.6505317091941833,0.02712131105363369,0.8079264163970947
1612905225312,2021-02-09T21:15:43.000Z,3.663,0.6004828810691833,-0.01828884519636631,0.8201334476470947
1612905225352,2021-02-09T21:15:43.015Z,3.703,0.6739692091941833,0.00832248292863369,0.8040201663970947
1612905225390,2021-02-09T21:15:43.030Z,3.741,0.5443305373191833,0.04543185606598854,0.8262369632720947
1612905225430,2021-02-09T21:15:43.044Z,3.781,0.7498969435691833,-0.0038845485541969538,0.7942545413970947
1612905225469,2021-02-09T21:15:43.046Z,3.82,0.6671332716941833,0.0019748264458030462,0.7979166507720947
1612905225509,2021-02-09T21:15:43.061Z,3.86,0.8351020216941833,-0.01218532957136631,0.7261393070220947
1612905225548,2021-02-09T21:15:43.075Z,3.899,0.8539008498191833,0.01442599855363369,0.6560709476470947
1612905225588,2021-02-09T21:15:43.090Z,3.939,0.8265570998191833,0.00783420167863369,0.6069986820220947
1612905225627,2021-02-09T21:15:43.104Z,3.978,0.8448676466941833,0.01369357667863369,0.5628092288970947
1612905225667,2021-02-09T21:15:43.119Z,4.018,0.8956488966941833,0.02541232667863369,0.5161783695220947
1612905225706,2021-02-09T21:15:43.120Z,4.057,0.8126410841941833,0.02492404542863369,0.5366861820220947
1612905225746,2021-02-09T21:15:43.135Z,4.097,0.8153266310691833,0.05592990294098854,0.5747721195220947
1612905225784,2021-02-09T21:15:43.149Z,4.135,0.6932563185691833,0.06032443419098854,0.5425455570220947
1612905225824,2021-02-09T21:15:43.180Z,4.175,0.8277778029441833,0.11281467229127884,0.4954264461994171
1612905225863,2021-02-09T21:15:43.225Z,4.214,1.0528753995895386,0.07643771916627884,0.4053385555744171
1612905225903,2021-02-09T21:15:43.239Z,4.254,1.1073187589645386,0.07570529729127884,0.3408854305744171
1612905225942,2021-02-09T21:15:43.241Z,4.293,0.9459418654441833,0.10060764104127884,0.4021647274494171
1612905225982,2021-02-09T21:15:43.256Z,4.333,0.5965766310691833,0.16481661796569824,0.5039713382720947
1612905226021,2021-02-09T21:15:43.270Z,4.372,0.7186469435691833,0.13967013359069824,0.4607584774494171
1612905226061,2021-02-09T21:15:43.285Z,4.412,0.8746528029441833,0.14699435234069824,0.5654947757720947
1612905226100,2021-02-09T21:15:43.330Z,4.451,0.42323675751686096,0.09108615666627884,0.7534830570220947
1612905226140,2021-02-09T21:15:43.345Z,4.491,0.39906683564186096,0.22511935234069824,0.6624186038970947
1612905226180,2021-02-09T21:15:43.359Z,4.531,0.6107367873191833,0.15724825859069824,0.7708170413970947
1612905226218,2021-02-09T21:15:43.361Z,4.569,0.9708442091941833,0.11159396916627884,1.2227213382720947
1612905226257,2021-02-09T21:15:43.375Z,4.608,1.0125921964645386,0.10549045354127884,0.9292643070220947
1612905226297,2021-02-09T21:15:43.391Z,4.648,0.5677680373191833,0.18776583671569824,0.6814615726470947
1612905226336,2021-02-09T21:15:43.406Z,4.687,0.40834417939186096,0.21120333671569824,0.5391275882720947
1612905226376,2021-02-09T21:15:43.420Z,4.727,0.46889105439186096,0.19386935234069824,0.7127115726470947
1612905226415,2021-02-09T21:15:43.435Z,4.766,0.5577582716941833,0.14748263359069824,0.8428385257720947
1612905226455,2021-02-09T21:15:43.449Z,4.806,0.5497016310691833,0.14699435234069824,0.7984049320220947
1612905226495,2021-02-09T21:15:43.451Z,4.846,0.7122992873191833,0.13307833671569824,0.8733561038970947
1612905226534,2021-02-09T21:15:43.465Z,4.885,0.6576117873191833,0.12648653984069824,0.8381998538970947
1612905226574,2021-02-09T21:15:43.480Z,4.925,0.5672797560691833,0.08840060979127884,0.7832682132720947
1612905226613,2021-02-09T21:15:43.495Z,4.964,0.6146430373191833,0.08986545354127884,0.8941080570220947
1612905226651,2021-02-09T21:15:43.525Z,5.002,0.5172309279441833,0.11476779729127884,0.8677408695220947
1612905226691,2021-02-09T21:15:43.539Z,5.042,0.5377387404441833,0.08278537541627884,0.8618814945220947
1612905226730,2021-02-09T21:15:43.554Z,5.081,0.43300238251686096,0.06081271544098854,0.9138834476470947
1612905226770,2021-02-09T21:15:43.556Z,5.121,0.38441839814186096,0.09059787541627884,0.9458658695220947
1612905226809,2021-02-09T21:15:43.570Z,5.16,0.45253363251686096,0.05397677794098854,0.9277994632720947
1612905226849,2021-02-09T21:15:43.585Z,5.2,0.5089301466941833,0.08571506291627884,0.8845865726470947
1612905226889,2021-02-09T21:15:43.600Z,5.24,0.5450629591941833,0.07009006291627884,0.8049967288970947
1612905226928,2021-02-09T21:15:43.614Z,5.279,0.6068305373191833,0.05983615294098854,0.8723795413970947
1612905226968,2021-02-09T21:15:43.616Z,5.319,0.5609320998191833,0.04933810606598854,0.8809244632720947
1612905227007,2021-02-09T21:15:43.630Z,5.358,0.6214789748191833,0.03249240294098854,0.9075357913970947
1612905227045,2021-02-09T21:15:43.645Z,5.396,0.5660590529441833,0.05763888731598854,0.8714029788970947
1612905227085,2021-02-09T21:15:43.660Z,5.436,0.5213813185691833,0.08571506291627884,0.8272135257720947
1612905227124,2021-02-09T21:15:43.674Z,5.475,0.5958442091941833,0.03273654356598854,0.8145182132720947
1612905227164,2021-02-09T21:15:43.676Z,5.515,0.5599555373191833,0.05202365294098854,0.8660318851470947
1612905227204,2021-02-09T21:15:43.691Z,5.555,0.5667914748191833,0.06838107854127884,0.8604166507720947
1612905227243,2021-02-09T21:15:43.705Z,5.594,0.5379828810691833,0.03346896544098854,0.8872721195220947
1612905227283,2021-02-09T21:15:43.765Z,5.634,0.5269965529441833,0.05202365294098854,0.8928873538970947
1612905227322,2021-02-09T21:15:43.779Z,5.673,0.5106391310691833,0.04665255919098854,0.8665201663970947
1612905227362,2021-02-09T21:15:43.795Z,5.713,0.5030707716941833,0.06496310979127884,0.8867838382720947
1612905227401,2021-02-09T21:15:43.812Z,5.752,0.5435981154441833,0.09474826604127884,0.8294107913970947
1612905227441,2021-02-09T21:15:43.825Z,5.792,0.5526313185691833,0.05080294981598854,0.8601725101470947
1612905227479,2021-02-09T21:15:43.839Z,5.83,0.5538520216941833,0.06252170354127884,0.8699381351470947
1612905227518,2021-02-09T21:15:43.841Z,5.869,0.49013128876686096,0.07009006291627884,0.9163248538970947
1612905227558,2021-02-09T21:15:43.870Z,5.909,0.5206488966941833,0.07253146916627884,0.8635904788970947
1612905227598,2021-02-09T21:15:43.885Z,5.949,0.5409125685691833,0.04396701231598854,0.8386881351470947
1612905227637,2021-02-09T21:15:43.900Z,5.988,0.5638617873191833,0.07546115666627884,0.8462564945220947
