epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1612905146786,2021-02-09T21:13:18.179Z,81.883,99589.2007472826
1612905146826,2021-02-09T21:13:18.181Z,81.92299999999999,99589.2007472826
1612905146864,2021-02-09T21:13:18.196Z,81.961,99589.2007472826
1612905146904,2021-02-09T21:13:18.210Z,82.001,99589.2007472826
1612905146943,2021-02-09T21:13:18.225Z,82.04,99589.2007472826
1612905146983,2021-02-09T21:13:18.239Z,82.08,99589.2007472826
1612905147022,2021-02-09T21:13:18.254Z,82.119,99589.2007472826
1612905147062,2021-02-09T21:13:18.256Z,82.15899999999999,99589.2007472826
1612905147101,2021-02-09T21:13:18.270Z,82.198,99589.2007472826
1612905147141,2021-02-09T21:13:18.285Z,82.238,99589.2007472826
1612905147179,2021-02-09T21:13:18.315Z,82.27600000000001,99589.2007472826
1612905147219,2021-02-09T21:13:18.330Z,82.316,99589.2007472826
1612905147258,2021-02-09T21:13:18.344Z,82.355,99589.2007472826
1612905147298,2021-02-09T21:13:18.346Z,82.395,99589.2007472826
1612905147337,2021-02-09T21:13:18.361Z,82.434,99589.2007472826
1612905147377,2021-02-09T21:13:18.375Z,82.47399999999999,99589.2007472826
1612905147416,2021-02-09T21:13:18.390Z,82.51299999999999,99589.2007472826
1612905147456,2021-02-09T21:13:18.405Z,82.553,99588.3648097826
1612905147494,2021-02-09T21:13:18.419Z,82.59100000000001,99588.3648097826
1612905147534,2021-02-09T21:13:18.421Z,82.631,99589.0366847826
1612905147573,2021-02-09T21:13:18.435Z,82.67,99589.0366847826
1612905147613,2021-02-09T21:13:18.450Z,82.71,99589.0366847826
1612905147652,2021-02-09T21:13:18.465Z,82.749,99589.0366847826
1612905147692,2021-02-09T21:13:18.479Z,82.789,99589.0366847826
1612905147731,2021-02-09T21:13:18.481Z,82.82799999999999,99589.0366847826
1612905147771,2021-02-09T21:13:18.496Z,82.868,99589.0366847826
1612905147809,2021-02-09T21:13:18.510Z,82.906,99589.0366847826
1612905147849,2021-02-09T21:13:18.555Z,82.946,99589.0366847826
1612905147888,2021-02-09T21:13:18.569Z,82.985,99589.0366847826
1612905147928,2021-02-09T21:13:18.571Z,83.025,99589.0366847826
1612905147967,2021-02-09T21:13:18.585Z,83.064,99589.0366847826
1612905148007,2021-02-09T21:13:18.601Z,83.104,99589.0366847826
1612905148046,2021-02-09T21:13:18.615Z,83.14299999999999,99589.0366847826
1612905148086,2021-02-09T21:13:18.629Z,83.18299999999999,99589.0366847826
1612905148124,2021-02-09T21:13:18.631Z,83.221,99589.0366847826
1612905148163,2021-02-09T21:13:18.646Z,83.26,99589.0366847826
1612905148203,2021-02-09T21:13:18.660Z,83.3,99589.0366847826
1612905148243,2021-02-09T21:13:18.675Z,83.34,99589.0366847826
1612905148282,2021-02-09T21:13:18.689Z,83.37899999999999,99589.0366847826
