epoch (ms),time (-07:00),elapsed (s),W-Axis,X-Axis (i),Y-Axis (j),Z-Axis (k)
1612906477485,2021-02-09T21:34:37.485Z,0,0.9582426050863806,-0.19401432953776876,-0.09000662376485233,-0.18981137323598232
1612906477515,2021-02-09T21:34:37.515Z,0.03,0.9582426050863806,-0.19401432953776876,-0.09000662376485233,-0.18981137323598232
1612906477530,2021-02-09T21:34:37.530Z,0.045,0.9582111635030583,-0.1942909683429861,-0.09000603745788105,-0.18968737169245126
1612906477545,2021-02-09T21:34:37.545Z,0.06,0.9582124868016316,-0.194420018425875,-0.09001159674589358,-0.18954577026135422
1612906477575,2021-02-09T21:34:37.576Z,0.09,0.958247290281369,-0.19443661448560404,-0.08998132490564248,-0.18936709002362503
1612906477590,2021-02-09T21:34:37.590Z,0.105,0.9604545569745413,-0.18472513962976309,-0.08605692534702576,-0.18973105274419025
1612906477605,2021-02-09T21:34:37.605Z,0.12,0.962436010314441,-0.1755250415855023,-0.08235654924064137,-0.19006652683627054
1612906477635,2021-02-09T21:34:37.635Z,0.15,0.9642280716966836,-0.16680648190132494,-0.07880944883301404,-0.19033889282654465
1612906477649,2021-02-09T21:34:37.650Z,0.164,0.9658445638655746,-0.1585562849871673,-0.07544208403591678,-0.19055884891209843
1612906477665,2021-02-09T21:34:37.665Z,0.18,0.9673053252989984,-0.15071310180590405,-0.07228210678181607,-0.1907387365781372
1612906477695,2021-02-09T21:34:37.695Z,0.21,0.9686203722176739,-0.1432726052918268,-0.06935973716607814,-0.19088415847848564
1612906477710,2021-02-09T21:34:37.710Z,0.225,0.9697955740684707,-0.13627721023582862,-0.06660328598201042,-0.19102112130323143
1612906477725,2021-02-09T21:34:37.725Z,0.24,0.9708430050361833,-0.1297098590157151,-0.06401497004182845,-0.19115777686764607
1612906477755,2021-02-09T21:34:37.755Z,0.27,0.9717749856360067,-0.12354151073019266,-0.061664633852904965,-0.19128080235723485
1612906477770,2021-02-09T21:34:37.770Z,0.285,0.9726161936819392,-0.11774402818529273,-0.05935029142106214,-0.19139390408942583
1612906477785,2021-02-09T21:34:37.785Z,0.3,0.9733884779308024,-0.11228150270513212,-0.057142661365083974,-0.19142218114405837
1612906477814,2021-02-09T21:34:37.815Z,0.329,0.974073833503627,-0.10707958340504253,-0.055228278396688646,-0.19147837205984633
1612906477830,2021-02-09T21:34:37.830Z,0.345,0.9746945547689068,-0.10215843764206663,-0.05336414735238069,-0.19153706247023908
1612906477845,2021-02-09T21:34:37.845Z,0.36,0.9752711385811208,-0.0975987269232906,-0.05151121045393314,-0.19148704904303035
1612906477875,2021-02-09T21:34:37.875Z,0.39,0.9758109449622182,-0.09328737046576246,-0.049662039634432796,-0.19137436615930142
1612906477890,2021-02-09T21:34:37.890Z,0.405,0.976299064932656,-0.08913521548742367,-0.048234676059194036,-0.1912288294088969
1612906477905,2021-02-09T21:34:37.906Z,0.42,0.9766969793843561,-0.08528078685574661,-0.04698362165176501,-0.1912661421977847
1612906477935,2021-02-09T21:34:37.935Z,0.45,0.9770371644427427,-0.0817347849527283,-0.04568944965983951,-0.19139038224581018
1612906477949,2021-02-09T21:34:37.950Z,0.464,0.977372149530824,-0.07837850084557081,-0.044482604459100045,-0.1913682048492713
1612906477964,2021-02-09T21:34:37.965Z,0.479,0.9776650523537189,-0.07517072206806513,-0.04337412191627658,-0.1914134099219744
1612906477986,2021-02-09T21:34:37.986Z,0.501,0.9779202097560382,-0.07213878804389055,-0.04230569085534793,-0.1915157620967962
1612906478010,2021-02-09T21:34:38.010Z,0.525,0.9781526533687925,-0.06930402902051784,-0.041249060539918454,-0.1916059844412175
1612906478025,2021-02-09T21:34:38.025Z,0.54,0.978361618793614,-0.06669261221081142,-0.04022154928062564,-0.19168428553614786
1612906478039,2021-02-09T21:34:38.040Z,0.554,0.9785405336824351,-0.06435431654363286,-0.03933229131153507,-0.1917548349921893
1612906478069,2021-02-09T21:34:38.070Z,0.584,0.9786960513803565,-0.062220870044247235,-0.03856703373924284,-0.19182071382411098
1612906478084,2021-02-09T21:34:38.085Z,0.599,0.9788276688072834,-0.06032582016310065,-0.03793313522426367,-0.19188086786077985
1612906478100,2021-02-09T21:34:38.100Z,0.615,0.978948403135648,-0.058592498421480795,-0.03727434569596621,-0.1919311498424141
1612906478130,2021-02-09T21:34:38.130Z,0.645,0.9790525614549207,-0.05709316768331426,-0.03665267988337354,-0.19197143842199715
1612906478144,2021-02-09T21:34:38.145Z,0.659,0.979137902457686,-0.05579467214888543,-0.03617357308391712,-0.19200884130920645
1612906478159,2021-02-09T21:34:38.159Z,0.674,0.9792182218980396,-0.05456382961326573,-0.03567981870907351,-0.19204534083820785
1612906478189,2021-02-09T21:34:38.190Z,0.704,0.9792883125669323,-0.05343570890059004,-0.03528449364251118,-0.19207818822680933
1612906478204,2021-02-09T21:34:38.205Z,0.719,0.9793501329612389,-0.05241460489100569,-0.034935847454878086,-0.19210807589878376
1612906478219,2021-02-09T21:34:38.220Z,0.734,0.9794073737425635,-0.05143763665370864,-0.03462116196099396,-0.19213729710456048
1612906478256,2021-02-09T21:34:38.256Z,0.771,0.9794612668767351,-0.05050043289822627,-0.034320198112631414,-0.1921651814632995
1612906478264,2021-02-09T21:34:38.264Z,0.779,0.979515306731572,-0.04956243569610354,-0.03399447108242677,-0.19219184369335213
1612906478279,2021-02-09T21:34:38.279Z,0.794,0.9795651718759258,-0.0486840388754746,-0.03368612571252372,-0.19221650121916947
1612906478309,2021-02-09T21:34:38.310Z,0.824,0.9796119228814922,-0.04788053952803507,-0.033345904110714863,-0.19223939544736537
1612906478325,2021-02-09T21:34:38.325Z,0.84,0.9796443570192442,-0.04712245086853458,-0.032981335609295816,-0.19232430913933218
1612906478340,2021-02-09T21:34:38.340Z,0.855,0.9796553779999748,-0.0464232829493249,-0.03268232191413442,-0.19248918148881597
1612906478369,2021-02-09T21:34:38.370Z,0.884,0.9796560920282034,-0.04577766353551932,-0.032463755972258646,-0.19267706511526242
1612906478384,2021-02-09T21:34:38.385Z,0.899,0.9796587050217703,-0.045159092557099156,-0.0321626379536674,-0.19286016373100168
1612906478399,2021-02-09T21:34:38.400Z,0.914,0.9796538865270544,-0.04464625159050465,-0.031956309037416475,-0.19303825823929163
1612906478430,2021-02-09T21:34:38.430Z,0.945,0.9796692841523179,-0.044166629715387096,-0.031747811576590824,-0.19310483931835146
1612906478444,2021-02-09T21:34:38.445Z,0.959,0.979685142161415,-0.04367161947252542,-0.03155378391994865,-0.19316876197032537
1612906478459,2021-02-09T21:34:38.459Z,0.974,0.9797060701092193,-0.0432935947219401,-0.031334375593106555,-0.19318343032825586
1612906478489,2021-02-09T21:34:38.490Z,1.004,0.9797277526496803,-0.04289159084249868,-0.031132098107303944,-0.1931958451686882
1612906478504,2021-02-09T21:34:38.505Z,1.019,0.9797480277242955,-0.04248305090860563,-0.03098781678993943,-0.19320648996978163
1612906478520,2021-02-09T21:34:38.520Z,1.035,0.9797678935168777,-0.04206844691783934,-0.03085481643596335,-0.19321775516272835
1612906478550,2021-02-09T21:34:38.550Z,1.065,0.9797864382586089,-0.04168096561676549,-0.03072670566480802,-0.19322810889917452
1612906478565,2021-02-09T21:34:38.565Z,1.08,0.9798032097634735,-0.04132597891886041,-0.030611244073025255,-0.19323763955268716
1612906478579,2021-02-09T21:34:38.580Z,1.094,0.9798208439046041,-0.04096538267119971,-0.030474508965529536,-0.19324661853699174
1612906478594,2021-02-09T21:34:38.595Z,1.109,0.9798388211682214,-0.04059449916097638,-0.03033402036922461,-0.19325583659434178
1612906478624,2021-02-09T21:34:38.625Z,1.139,0.9798529840356534,-0.04027231025113405,-0.030247311532419767,-0.19326502748434007
1612906478639,2021-02-09T21:34:38.640Z,1.154,0.9798310444670617,-0.039985874923776546,-0.030054321066338405,-0.19346573828564134
1612906478654,2021-02-09T21:34:38.655Z,1.169,0.9798041507064202,-0.039706684287968065,-0.02976267368917651,-0.19370438491732123
1612906478684,2021-02-09T21:34:38.685Z,1.199,0.9797657847473114,-0.0392134833129539,-0.02931368660239152,-0.19406704393772412
1612906478699,2021-02-09T21:34:38.699Z,1.214,0.9797033990492411,-0.03875977857900221,-0.028923525298294228,-0.1945311264044635
1612906478715,2021-02-09T21:34:38.715Z,1.23,0.9796003759209078,-0.03817746027037787,-0.02844803964820659,-0.19523394700485322
1612906478745,2021-02-09T21:34:38.745Z,1.26,0.9794741032202374,-0.03754163081346678,-0.027759918343669875,-0.19608797518035054
1612906478760,2021-02-09T21:34:38.760Z,1.275,0.9794173782336272,-0.03656338406400053,-0.027457431835459935,-0.19659808645243151
1612906478775,2021-02-09T21:34:38.775Z,1.29,0.9793974761319335,-0.035536616613960244,-0.027224187132924065,-0.19691768905048346
1612906478805,2021-02-09T21:34:38.805Z,1.32,0.9793597713257735,-0.034703950171224886,-0.026920008455551234,-0.19729517808602126
1612906478820,2021-02-09T21:34:38.820Z,1.335,0.9793549224402626,-0.033830135073432084,-0.026733098217150843,-0.19749632733965658
1612906478835,2021-02-09T21:34:38.835Z,1.35,0.979363231504715,-0.033295138405228075,-0.026503605333338693,-0.19757695574017006
1612906478865,2021-02-09T21:34:38.865Z,1.38,0.9794024309899432,-0.03264258302139104,-0.026373879167546486,-0.1975088819327797
1612906478879,2021-02-09T21:34:38.879Z,1.394,0.9794478803153687,-0.032177867781503444,-0.02630061378561148,-0.19736948164614346
1612906478894,2021-02-09T21:34:38.895Z,1.409,0.9794883923197876,-0.03187779935805991,-0.026276869240521267,-0.19722023568032265
1612906478924,2021-02-09T21:34:38.925Z,1.439,0.979522056002571,-0.03169509415089498,-0.026294763901761154,-0.19708005531410905
1612906478939,2021-02-09T21:34:38.940Z,1.454,0.9795631544849037,-0.0318005357689761,-0.026396141771040566,-0.19684510661937618
1612906478955,2021-02-09T21:34:38.955Z,1.47,0.9796089938410314,-0.031919934191338886,-0.026502938353642792,-0.1965831407969814
1612906478984,2021-02-09T21:34:38.985Z,1.499,0.9796565729472785,-0.03201637038760901,-0.0263848105789779,-0.1963461048228579
1612906478999,2021-02-09T21:34:39.000Z,1.514,0.9796996992746803,-0.03206868393380339,-0.02627397701797624,-0.19613713795075574
1612906479014,2021-02-09T21:34:39.015Z,1.529,0.9797264601467602,-0.03210995781970706,-0.026187472062979434,-0.19600824014328025
1612906479045,2021-02-09T21:34:39.045Z,1.56,0.9797234657509335,-0.03220075274330612,-0.0261071771147167,-0.1960190232677543
1612906479060,2021-02-09T21:34:39.060Z,1.575,0.979723222671081,-0.03236253194354763,-0.02583971558234975,-0.19602903505301833
1612906479075,2021-02-09T21:34:39.075Z,1.59,0.9797240017216183,-0.03249452974878665,-0.025581736604602265,-0.1960371412239945
1612906479105,2021-02-09T21:34:39.105Z,1.62,0.9797158842297311,-0.03255345806259223,-0.025366558823385465,-0.19609588534587608
1612906479120,2021-02-09T21:34:39.120Z,1.635,0.9797078488773575,-0.032589580895481335,-0.025188106028643662,-0.19615302541599297
1612906479135,2021-02-09T21:34:39.135Z,1.65,0.9796896623910841,-0.03261699164043052,-0.024932406987123044,-0.19627193467788553
1612906479165,2021-02-09T21:34:39.165Z,1.68,0.9796835511948027,-0.032588212835524266,-0.02472250193876383,-0.19633376123431898
1612906479180,2021-02-09T21:34:39.180Z,1.695,0.9796799833802378,-0.03244894300612882,-0.024616081975518036,-0.1963879954835746
1612906479194,2021-02-09T21:34:39.194Z,1.709,0.9796860084467901,-0.03231354371468057,-0.024530391780598557,-0.19639098661925797
1612906479209,2021-02-09T21:34:39.210Z,1.724,0.9796810874827182,-0.03219845614384854,-0.024446120921650438,-0.19644493738072155
1612906479239,2021-02-09T21:34:39.240Z,1.754,0.9796850936698583,-0.03209288584119367,-0.02440708684343958,-0.196447087103071
1612906479254,2021-02-09T21:34:39.255Z,1.769,0.9796883335889858,-0.03200889918572736,-0.024373910444879233,-0.19644875131234352
1612906479269,2021-02-09T21:34:39.270Z,1.784,0.9796916539378626,-0.031923642084797435,-0.024338930878892537,-0.19645040270818914
1612906479299,2021-02-09T21:34:39.299Z,1.814,0.979697164214123,-0.03180840920021788,-0.024249683220910298,-0.1964526517984488
1612906479314,2021-02-09T21:34:39.315Z,1.829,0.9797013599416947,-0.03168996286959956,-0.024214003160494612,-0.1964552713282612
1612906479329,2021-02-09T21:34:39.330Z,1.844,0.9797056045490808,-0.031567491241469105,-0.02417974775484164,-0.19645804058462885
1612906479360,2021-02-09T21:34:39.360Z,1.875,0.9797092382484609,-0.031457023077346824,-0.02415488764158269,-0.19646069732329224
1612906479375,2021-02-09T21:34:39.375Z,1.89,0.9797124370055724,-0.0313622292181348,-0.024130468393239353,-0.19646290196928867
1612906479390,2021-02-09T21:34:39.390Z,1.905,0.9797151679919638,-0.03128296362764702,-0.024107919736553622,-0.19646468893703378
1612906479419,2021-02-09T21:34:39.420Z,1.934,0.9797195687891965,-0.03119986677510662,-0.024025123443463046,-0.19646609959036876
1612906479434,2021-02-09T21:34:39.435Z,1.949,0.9797224691695368,-0.03110859854973567,-0.024006910215308215,-0.19646833526686042
1612906479449,2021-02-09T21:34:39.450Z,1.964,0.9797133259368979,-0.031013296780412966,-0.023936106503316328,-0.19653762288664656
1612906479479,2021-02-09T21:34:39.480Z,1.994,0.9797097907581983,-0.030901224709723753,-0.02378658765707619,-0.19659104367086197
1612906479494,2021-02-09T21:34:39.495Z,2.009,0.9797177018616151,-0.030771759432138716,-0.02361257391912054,-0.19659290382249303
