epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1613058401976,2021-02-11T15:47:27.180Z,0.008,0.5097222328186035,4.606944561004639,13.01111125946045
1613058402016,2021-02-11T15:47:27.195Z,0.048,3.0097222328186035,4.606944561004639,13.38611125946045
1613058402057,2021-02-11T15:47:27.209Z,0.089,1.5722222328186035,4.231944561004639,12.63611125946045
1613058402096,2021-02-11T15:47:27.211Z,0.128,-0.24027778208255768,6.106944561004639,13.76111125946045
1613058402136,2021-02-11T15:47:27.225Z,0.168,1.1972222328186035,4.231944561004639,11.44861125946045
1613058402156,2021-02-11T15:47:27.240Z,0.188,1.1972222328186035,3.9194445610046387,13.82361125946045
1613058402196,2021-02-11T15:47:27.254Z,0.228,1.9472222328186035,3.9194445610046387,12.26111125946045
1613058402237,2021-02-11T15:47:27.256Z,0.269,0.13472221791744232,4.606944561004639,13.38611125946045
1613058402276,2021-02-11T15:47:27.271Z,0.308,2.3222222328186035,4.981944561004639,13.07361125946045
1613058402316,2021-02-11T15:47:27.285Z,0.348,1.5722222328186035,5.356944561004639,11.82361125946045
1613058402356,2021-02-11T15:47:27.300Z,0.388,2.3222222328186035,4.981944561004639,12.26111125946045
1613058402397,2021-02-11T15:47:27.315Z,0.429,-0.6152777671813965,4.294444561004639,13.44861125946045
1613058402436,2021-02-11T15:47:27.333Z,0.468,3.0097222328186035,5.356944561004639,11.82361125946045
1613058402476,2021-02-11T15:47:27.344Z,0.508,2.3222222328186035,3.9194445610046387,13.44861125946045
1613058402517,2021-02-11T15:47:27.346Z,0.549,1.1972222328186035,6.106944561004639,13.07361125946045
1613058402556,2021-02-11T15:47:27.360Z,0.588,0.4472222328186035,4.981944561004639,11.51111125946045
1613058402596,2021-02-11T15:47:27.375Z,0.628,0.8222222328186035,3.9194445610046387,13.07361125946045
1613058402637,2021-02-11T15:47:27.420Z,0.669,0.8222222328186035,4.294444561004639,13.82361125946045
1613058402676,2021-02-11T15:47:27.435Z,0.708,0.13472221791744232,4.981944561004639,11.51111125946045
1613058402716,2021-02-11T15:47:27.449Z,0.748,1.1972222328186035,3.9194445610046387,13.44861125946045
1613058402755,2021-02-11T15:47:27.479Z,0.787,1.9472222328186035,3.9194445610046387,13.07361125946045
1613058402796,2021-02-11T15:47:27.489Z,0.828,2.3222222328186035,6.106944561004639,12.26111125946045
1613058402836,2021-02-11T15:47:27.511Z,0.868,1.9472222328186035,3.9194445610046387,11.51111125946045
1613058402876,2021-02-11T15:47:27.525Z,0.908,1.5722222328186035,4.669444561004639,11.51111125946045
1613058402917,2021-02-11T15:47:27.540Z,0.949,1.5722222328186035,3.5444445610046387,11.51111125946045
1613058402956,2021-02-11T15:47:27.555Z,0.988,1.1972222328186035,5.356944561004639,11.88611125946045
1613058402996,2021-02-11T15:47:27.569Z,1.028,2.3222222328186035,4.669444561004639,12.26111125946045
1613058403035,2021-02-11T15:47:27.571Z,1.067,2.3222222328186035,4.606944561004639,12.26111125946045
1613058403076,2021-02-11T15:47:27.585Z,1.108,1.1972222328186035,5.731944561004639,12.69861125946045
1613058403116,2021-02-11T15:47:27.600Z,1.148,1.5722222328186035,6.106944561004639,12.69861125946045
1613058403155,2021-02-11T15:47:27.630Z,1.187,0.8222222328186035,5.356944561004639,11.88611125946045
1613058403196,2021-02-11T15:47:27.645Z,1.228,1.1972222328186035,4.294444561004639,12.69861125946045
1613058403236,2021-02-11T15:47:27.659Z,1.268,2.3222222328186035,4.294444561004639,12.26111125946045
1613058403275,2021-02-11T15:47:27.674Z,1.307,1.1972222328186035,4.981944561004639,11.51111125946045
1613058403316,2021-02-11T15:47:27.676Z,1.348,1.1972222328186035,4.294444561004639,12.26111125946045
1613058403356,2021-02-11T15:47:27.690Z,1.388,1.9472222328186035,5.044444561004639,13.44861125946045
1613058403396,2021-02-11T15:47:27.705Z,1.428,1.5722222328186035,5.044444561004639,12.26111125946045
1613058403435,2021-02-11T15:47:27.719Z,1.467,0.4472222328186035,2.7944445610046387,13.44861125946045
1613058403476,2021-02-11T15:47:27.734Z,1.508,0.8222222328186035,5.356944561004639,13.07361125946045
1613058403516,2021-02-11T15:47:27.736Z,1.548,1.9472222328186035,5.356944561004639,11.07361125946045
1613058403555,2021-02-11T15:47:27.750Z,1.587,1.5722222328186035,6.481944561004639,13.44861125946045
1613058403596,2021-02-11T15:47:27.765Z,1.628,1.5722222328186035,1.3569444417953491,13.07361125946045
1613058403636,2021-02-11T15:47:27.780Z,1.668,1.5722222328186035,-0.4555555582046509,11.88611125946045
1613058403675,2021-02-11T15:47:27.794Z,1.707,2.3222222328186035,-4.830555438995361,13.88611125946045
1613058403715,2021-02-11T15:47:27.796Z,1.747,3.3847222328186035,-2.2680554389953613,13.82361125946045
1613058403756,2021-02-11T15:47:27.811Z,1.788,1.1972222328186035,-1.2055555582046509,11.88611125946045
1613058403795,2021-02-11T15:47:27.825Z,1.827,1.9472222328186035,-1.2055555582046509,13.07361125946045
1613058403835,2021-02-11T15:47:27.840Z,1.867,1.9472222328186035,-1.5180555582046509,13.07361125946045
1613058403876,2021-02-11T15:47:27.854Z,1.908,3.0097222328186035,3.9194445610046387,12.26111125946045
1613058403916,2021-02-11T15:47:27.869Z,1.948,2.6347222328186035,5.356944561004639,14.26111125946045
1613058403955,2021-02-11T15:47:27.871Z,1.987,1.1972222328186035,3.1694445610046387,14.26111125946045
1613058403995,2021-02-11T15:47:27.885Z,2.027,1.1972222328186035,2.1069445610046387,11.13611125946045
1613058404036,2021-02-11T15:47:27.900Z,2.068,1.5722222328186035,4.294444561004639,12.69861125946045
1613058404075,2021-02-11T15:47:27.915Z,2.107,0.8222222328186035,3.5444445610046387,13.07361125946045
1613058404115,2021-02-11T15:47:27.929Z,2.147,0.8222222328186035,4.294444561004639,12.69861125946045
1613058404156,2021-02-11T15:47:27.945Z,2.188,1.5722222328186035,5.356944561004639,13.07361125946045
1613058404195,2021-02-11T15:47:27.975Z,2.227,2.3222222328186035,-1.5180555582046509,13.44861125946045
1613058404235,2021-02-11T15:47:27.989Z,2.267,1.1972222328186035,4.669444561004639,12.26111125946045
1613058404276,2021-02-11T15:47:27.991Z,2.308,1.1972222328186035,6.106944561004639,13.88611125946045
1613058404315,2021-02-11T15:47:28.035Z,2.347,1.5722222328186035,-1.8930555582046509,13.82361125946045
1613058404355,2021-02-11T15:47:28.065Z,2.387,1.5722222328186035,5.356944561004639,12.26111125946045
1613058404395,2021-02-11T15:47:28.080Z,2.427,1.5722222328186035,5.356944561004639,12.69861125946045
1613058404436,2021-02-11T15:47:28.094Z,2.468,0.4472222328186035,-5.205555438995361,13.88611125946045
1613058404475,2021-02-11T15:47:28.096Z,2.507,0.4472222328186035,4.294444561004639,11.07361125946045
1613058404515,2021-02-11T15:47:28.111Z,2.547,1.9472222328186035,4.669444561004639,12.32361125946045
1613058404556,2021-02-11T15:47:28.125Z,2.588,1.9472222328186035,-4.080555438995361,12.32361125946045
1613058404595,2021-02-11T15:47:28.140Z,2.627,3.0097222328186035,5.731944561004639,12.69861125946045
1613058404635,2021-02-11T15:47:28.154Z,2.667,2.3222222328186035,5.731944561004639,13.07361125946045
1613058404674,2021-02-11T15:47:28.169Z,2.706,1.5722222328186035,-6.268055438995361,13.07361125946045
1613058404715,2021-02-11T15:47:28.171Z,2.747,2.3222222328186035,3.5444445610046387,12.26111125946045
1613058404755,2021-02-11T15:47:28.185Z,2.787,1.9472222328186035,4.981944561004639,13.44861125946045
1613058404794,2021-02-11T15:47:28.200Z,2.826,1.5722222328186035,-9.95555591583252,13.07361125946045
1613058404835,2021-02-11T15:47:28.215Z,2.867,0.8222222328186035,2.7944445610046387,13.07361125946045
1613058404875,2021-02-11T15:47:28.244Z,2.907,0.4472222328186035,5.731944561004639,13.07361125946045
1613058404915,2021-02-11T15:47:28.246Z,2.947,1.5722222328186035,-11.76805591583252,13.44861125946045
1613058404956,2021-02-11T15:47:28.260Z,2.988,1.9472222328186035,4.294444561004639,11.88611125946045
1613058404995,2021-02-11T15:47:28.275Z,3.027,0.4472222328186035,4.669444561004639,13.51111125946045
1613058405035,2021-02-11T15:47:28.289Z,3.067,1.9472222328186035,-11.01805591583252,13.44861125946045
1613058405074,2021-02-11T15:47:28.304Z,3.106,3.0097222328186035,4.294444561004639,13.07361125946045
1613058405115,2021-02-11T15:47:28.306Z,3.147,1.5722222328186035,6.106944561004639,13.51111125946045
1613058405155,2021-02-11T15:47:28.321Z,3.187,0.4472222328186035,-12.83055591583252,12.69861125946045
1613058405194,2021-02-11T15:47:28.335Z,3.226,2.3222222328186035,4.294444561004639,13.07361125946045
1613058405235,2021-02-11T15:47:28.350Z,3.267,1.5722222328186035,6.481944561004639,12.69861125946045
1613058405275,2021-02-11T15:47:28.364Z,3.307,0.4472222328186035,-10.33055591583252,12.69861125946045
1613058405314,2021-02-11T15:47:28.379Z,3.346,1.9472222328186035,3.9194445610046387,11.13611125946045
1613058405354,2021-02-11T15:47:28.381Z,3.386,0.8222222328186035,4.294444561004639,13.51111125946045
1613058405395,2021-02-11T15:47:28.395Z,3.427,1.5722222328186035,-12.14305591583252,13.07361125946045
1613058405435,2021-02-11T15:47:28.410Z,3.467,1.5722222328186035,3.9194445610046387,12.26111125946045
1613058405474,2021-02-11T15:47:28.425Z,3.506,0.8222222328186035,3.9194445610046387,13.51111125946045
1613058405515,2021-02-11T15:47:28.439Z,3.547,0.4472222328186035,-9.20555591583252,13.88611125946045
1613058405555,2021-02-11T15:47:28.441Z,3.587,3.0097222328186035,5.731944561004639,11.51111125946045
1613058405594,2021-02-11T15:47:28.456Z,3.626,0.4472222328186035,5.044444561004639,12.32361125946045
1613058405634,2021-02-11T15:47:28.470Z,3.666,1.5722222328186035,-9.20555591583252,12.69861125946045
1613058405675,2021-02-11T15:47:28.485Z,3.707,1.1972222328186035,3.9194445610046387,11.88611125946045
1613058405714,2021-02-11T15:47:28.499Z,3.746,2.3222222328186035,3.5444445610046387,14.26111125946045
1613058405754,2021-02-11T15:47:28.545Z,3.786,0.8222222328186035,-4.830555438995361,11.51111125946045
1613058405795,2021-02-11T15:47:28.560Z,3.827,0.8222222328186035,4.669444561004639,13.07361125946045
1613058405835,2021-02-11T15:47:28.590Z,3.867,0.8222222328186035,6.481944561004639,13.88611125946045
1613058405874,2021-02-11T15:47:28.634Z,3.906,0.8222222328186035,-3.0180554389953613,12.69861125946045
1613058405914,2021-02-11T15:47:28.636Z,3.946,0.13472221791744232,4.669444561004639,12.69861125946045
1613058405955,2021-02-11T15:47:28.650Z,3.987,1.9472222328186035,4.669444561004639,12.69861125946045
1613058405994,2021-02-11T15:47:28.665Z,4.026,3.0097222328186035,1.3569444417953491,12.32361125946045
1613058406034,2021-02-11T15:47:28.680Z,4.066,1.5722222328186035,3.9194445610046387,12.69861125946045
1613058406075,2021-02-11T15:47:28.694Z,4.107,0.8222222328186035,2.4819445610046387,13.51111125946045
1613058406114,2021-02-11T15:47:28.696Z,4.146,1.5722222328186035,-4.830555438995361,12.69861125946045
1613058406154,2021-02-11T15:47:28.711Z,4.186,1.1972222328186035,-2.6430554389953613,12.69861125946045
1613058406195,2021-02-11T15:47:28.725Z,4.227,0.8222222328186035,1.0444444417953491,12.69861125946045
1613058406234,2021-02-11T15:47:28.739Z,4.266,1.1972222328186035,0.9819444417953491,12.69861125946045
1613058406274,2021-02-11T15:47:28.755Z,4.306,0.8222222328186035,5.731944561004639,12.69861125946045
1613058406314,2021-02-11T15:47:28.769Z,4.346,0.4472222328186035,4.294444561004639,12.32361125946045
1613058406355,2021-02-11T15:47:28.784Z,4.387,1.9472222328186035,3.9194445610046387,11.88611125946045
1613058406394,2021-02-11T15:47:28.786Z,4.426,1.9472222328186035,4.669444561004639,13.51111125946045
1613058406434,2021-02-11T15:47:28.800Z,4.466,1.1972222328186035,3.9194445610046387,13.51111125946045
1613058406475,2021-02-11T15:47:28.815Z,4.507,0.13472221791744232,3.2319445610046387,12.69861125946045
1613058406514,2021-02-11T15:47:28.830Z,4.546,2.3222222328186035,4.669444561004639,11.88611125946045
1613058406554,2021-02-11T15:47:28.844Z,4.586,0.8222222328186035,6.106944561004639,13.07361125946045
1613058406593,2021-02-11T15:47:28.846Z,4.625,1.9472222328186035,4.669444561004639,12.32361125946045
1613058406634,2021-02-11T15:47:28.861Z,4.666,4.1347222328186035,3.5444445610046387,13.07361125946045
1613058406674,2021-02-11T15:47:28.875Z,4.706,1.1972222328186035,6.856944561004639,13.13611125946045
1613058406713,2021-02-11T15:47:28.889Z,4.745,1.1972222328186035,5.044444561004639,12.69861125946045
1613058406754,2021-02-11T15:47:28.904Z,4.786,2.3222222328186035,3.5444445610046387,13.13611125946045
1613058406794,2021-02-11T15:47:28.919Z,4.826,0.8222222328186035,3.5444445610046387,13.88611125946045
1613058406834,2021-02-11T15:47:28.921Z,4.866,1.9472222328186035,4.294444561004639,13.13611125946045
1613058406875,2021-02-11T15:47:28.950Z,4.907,1.5722222328186035,6.106944561004639,12.69861125946045
1613058406914,2021-02-11T15:47:28.965Z,4.946,3.0097222328186035,5.044444561004639,12.32361125946045
1613058406954,2021-02-11T15:47:28.979Z,4.986,0.8222222328186035,4.294444561004639,13.51111125946045
1613058406993,2021-02-11T15:47:28.994Z,5.025,1.9472222328186035,3.5444445610046387,11.51111125946045
1613058407034,2021-02-11T15:47:28.996Z,5.066,1.5722222328186035,2.8569445610046387,12.69861125946045
1613058407074,2021-02-11T15:47:29.011Z,5.106,1.5722222328186035,5.419444561004639,11.51111125946045
1613058407113,2021-02-11T15:47:29.025Z,5.145,1.1972222328186035,3.9194445610046387,12.69861125946045
1613058407154,2021-02-11T15:47:29.040Z,5.186,2.3222222328186035,5.731944561004639,14.26111125946045
1613058407194,2021-02-11T15:47:29.054Z,5.226,2.3222222328186035,3.5444445610046387,11.13611125946045
1613058407233,2021-02-11T15:47:29.069Z,5.265,1.5722222328186035,4.669444561004639,13.07361125946045
1613058407273,2021-02-11T15:47:29.085Z,5.305,1.1972222328186035,4.669444561004639,12.32361125946045
1613058407314,2021-02-11T15:47:29.100Z,5.346,1.9472222328186035,5.731944561004639,11.51111125946045
1613058407354,2021-02-11T15:47:29.114Z,5.386,2.3222222328186035,2.8569445610046387,11.51111125946045
1613058407393,2021-02-11T15:47:29.144Z,5.425,1.1972222328186035,3.5444445610046387,12.32361125946045
1613058407434,2021-02-11T15:47:29.146Z,5.466,1.1972222328186035,4.669444561004639,12.69861125946045
1613058407474,2021-02-11T15:47:29.175Z,5.506,0.8222222328186035,4.294444561004639,12.69861125946045
1613058407513,2021-02-11T15:47:29.190Z,5.545,0.13472221791744232,4.294444561004639,12.69861125946045
1613058407554,2021-02-11T15:47:29.205Z,5.586,2.3222222328186035,3.5444445610046387,10.76111125946045
1613058407594,2021-02-11T15:47:29.219Z,5.626,1.5722222328186035,5.731944561004639,10.76111125946045
1613058407633,2021-02-11T15:47:29.221Z,5.665,1.1972222328186035,5.044444561004639,12.69861125946045
1613058407673,2021-02-11T15:47:29.250Z,5.705,0.13472221791744232,3.9194445610046387,11.94861125946045
1613058407714,2021-02-11T15:47:29.265Z,5.746,2.3222222328186035,5.044444561004639,11.94861125946045
1613058407753,2021-02-11T15:47:29.279Z,5.785,1.1972222328186035,5.731944561004639,13.07361125946045
1613058407793,2021-02-11T15:47:29.294Z,5.825,1.9472222328186035,4.669444561004639,13.07361125946045
1613058407834,2021-02-11T15:47:29.296Z,5.866,1.5722222328186035,3.2319445610046387,11.57361125946045
1613058407874,2021-02-11T15:47:29.311Z,5.906,0.8222222328186035,4.669444561004639,13.07361125946045
1613058407913,2021-02-11T15:47:29.325Z,5.945,1.5722222328186035,2.8569445610046387,12.69861125946045
1613058407954,2021-02-11T15:47:29.340Z,5.986,2.6347222328186035,5.044444561004639,11.88611125946045
1613058407994,2021-02-11T15:47:29.354Z,6.026,2.3222222328186035,5.044444561004639,13.07361125946045
1613058408033,2021-02-11T15:47:29.369Z,6.065,1.5722222328186035,5.044444561004639,12.32361125946045
1613058408073,2021-02-11T15:47:29.371Z,6.105,1.5722222328186035,5.419444561004639,11.94861125946045
1613058408114,2021-02-11T15:47:29.386Z,6.146,1.1972222328186035,4.294444561004639,13.13611125946045
1613058408153,2021-02-11T15:47:29.400Z,6.185,2.3222222328186035,4.669444561004639,11.51111125946045
1613058408193,2021-02-11T15:47:29.415Z,6.225,0.4472222328186035,4.669444561004639,11.51111125946045
1613058408234,2021-02-11T15:47:29.429Z,6.266,-0.24027778208255768,4.294444561004639,12.32361125946045
1613058408273,2021-02-11T15:47:29.431Z,6.305,1.9472222328186035,4.294444561004639,11.51111125946045
1613058408313,2021-02-11T15:47:29.446Z,6.345,3.0097222328186035,5.044444561004639,11.51111125946045
1613058408354,2021-02-11T15:47:29.460Z,6.386,3.0097222328186035,7.231944561004639,13.07361125946045
1613058408394,2021-02-11T15:47:29.474Z,6.426,1.9472222328186035,4.294444561004639,11.13611125946045
1613058408433,2021-02-11T15:47:29.490Z,6.465,1.5722222328186035,5.356944561004639,10.76111125946045
1613058408473,2021-02-11T15:47:29.504Z,6.505,1.1972222328186035,7.231944561004639,13.07361125946045
1613058408514,2021-02-11T15:47:29.506Z,6.546,1.1972222328186035,0.9819444417953491,11.51111125946045
1613058408553,2021-02-11T15:47:29.521Z,6.585,0.8222222328186035,-1.8930555582046509,11.94861125946045
1613058408593,2021-02-11T15:47:29.535Z,6.625,1.9472222328186035,-4.455555438995361,14.32361125946045
1613058408634,2021-02-11T15:47:29.565Z,6.666,1.1972222328186035,-2.2680554389953613,11.51111125946045
1613058408673,2021-02-11T15:47:29.579Z,6.705,1.5722222328186035,1.3569444417953491,12.32361125946045
1613058408713,2021-02-11T15:47:29.581Z,6.745,1.1972222328186035,6.106944561004639,13.13611125946045
1613058408754,2021-02-11T15:47:29.595Z,6.786,1.9472222328186035,3.9194445610046387,12.32361125946045
1613058408794,2021-02-11T15:47:29.610Z,6.826,2.3222222328186035,4.294444561004639,11.88611125946045
1613058408833,2021-02-11T15:47:29.625Z,6.865,0.4472222328186035,5.419444561004639,14.26111125946045
1613058408873,2021-02-11T15:47:29.670Z,6.905,1.5722222328186035,3.9194445610046387,13.88611125946045
1613058408914,2021-02-11T15:47:29.699Z,6.946,0.8222222328186035,5.731944561004639,11.88611125946045
1613058408953,2021-02-11T15:47:29.701Z,6.985,1.1972222328186035,4.669444561004639,13.88611125946045
1613058408993,2021-02-11T15:47:29.730Z,7.025,1.1972222328186035,5.044444561004639,13.88611125946045
1613058409034,2021-02-11T15:47:29.745Z,7.066,1.9472222328186035,5.356944561004639,12.32361125946045
1613058409073,2021-02-11T15:47:29.760Z,7.105,0.13472221791744232,5.731944561004639,13.88611125946045
1613058409113,2021-02-11T15:47:29.774Z,7.145,2.6347222328186035,4.294444561004639,11.94861125946045
1613058409154,2021-02-11T15:47:29.789Z,7.186,1.1972222328186035,4.294444561004639,12.32361125946045
1613058409193,2021-02-11T15:47:29.804Z,7.225,2.3222222328186035,6.856944561004639,13.88611125946045
1613058409233,2021-02-11T15:47:29.806Z,7.265,1.9472222328186035,3.9194445610046387,12.69861125946045
1613058409273,2021-02-11T15:47:29.820Z,7.305,1.9472222328186035,4.669444561004639,13.51111125946045
1613058409314,2021-02-11T15:47:29.835Z,7.346,0.8222222328186035,4.294444561004639,12.69861125946045
1613058409353,2021-02-11T15:47:29.850Z,7.385,1.5722222328186035,3.9194445610046387,12.32361125946045
1613058409393,2021-02-11T15:47:29.864Z,7.425,1.5722222328186035,4.294444561004639,11.88611125946045
1613058409434,2021-02-11T15:47:29.866Z,7.466,1.1972222328186035,5.731944561004639,13.51111125946045
1613058409473,2021-02-11T15:47:29.880Z,7.505,1.5722222328186035,4.294444561004639,11.57361125946045
1613058409513,2021-02-11T15:47:29.895Z,7.545,0.13472221791744232,4.669444561004639,11.88611125946045
1613058409552,2021-02-11T15:47:29.909Z,7.584,0.8222222328186035,5.731944561004639,13.13611125946045
1613058409593,2021-02-11T15:47:29.924Z,7.625,1.9472222328186035,4.669444561004639,11.51111125946045
1613058409633,2021-02-11T15:47:29.939Z,7.665,1.5722222328186035,4.294444561004639,11.94861125946045
1613058409672,2021-02-11T15:47:29.941Z,7.704,0.8222222328186035,5.044444561004639,13.13611125946045
1613058409713,2021-02-11T15:47:29.955Z,7.745,1.5722222328186035,3.9194445610046387,12.69861125946045
1613058409753,2021-02-11T15:47:29.970Z,7.785,1.5722222328186035,5.044444561004639,13.13611125946045
1613058409793,2021-02-11T15:47:29.984Z,7.825,1.5722222328186035,-2.6430554389953613,13.51111125946045
1613058409834,2021-02-11T15:47:29.999Z,7.866,-0.24027778208255768,2.1069445610046387,11.88611125946045
1613058409873,2021-02-11T15:47:30.001Z,7.905,3.3847222328186035,4.669444561004639,13.51111125946045
1613058409913,2021-02-11T15:47:30.016Z,7.945,0.4472222328186035,5.044444561004639,12.32361125946045
1613058409952,2021-02-11T15:47:30.030Z,7.984,2.3222222328186035,5.419444561004639,11.94861125946045
1613058409993,2021-02-11T15:47:30.044Z,8.025,1.9472222328186035,3.5444445610046387,13.07361125946045
1613058410033,2021-02-11T15:47:30.059Z,8.065,2.3222222328186035,6.481944561004639,12.32361125946045
1613058410072,2021-02-11T15:47:30.061Z,8.104,1.1972222328186035,3.9194445610046387,11.94861125946045
1613058410113,2021-02-11T15:47:30.076Z,8.145,2.3222222328186035,6.106944561004639,13.13611125946045
1613058410153,2021-02-11T15:47:30.090Z,8.185,1.1972222328186035,5.044444561004639,12.69861125946045
1613058410192,2021-02-11T15:47:30.105Z,8.224,1.9472222328186035,5.731944561004639,12.32361125946045
1613058410233,2021-02-11T15:47:30.119Z,8.265,1.1972222328186035,3.1694445610046387,12.69861125946045
1613058410273,2021-02-11T15:47:30.134Z,8.305,0.8222222328186035,3.9194445610046387,12.32361125946045
1613058410313,2021-02-11T15:47:30.136Z,8.345,0.8222222328186035,3.9194445610046387,11.57361125946045
1613058410354,2021-02-11T15:47:30.150Z,8.386,3.0097222328186035,6.481944561004639,12.69861125946045
1613058410393,2021-02-11T15:47:30.194Z,8.425,1.5722222328186035,4.294444561004639,13.13611125946045
1613058410433,2021-02-11T15:47:30.209Z,8.465,1.1972222328186035,3.2319445610046387,13.13611125946045
1613058410472,2021-02-11T15:47:30.211Z,8.504,0.8222222328186035,6.106944561004639,13.51111125946045
1613058410513,2021-02-11T15:47:30.225Z,8.545,2.3222222328186035,5.419444561004639,13.13611125946045
1613058410553,2021-02-11T15:47:30.255Z,8.585,1.9472222328186035,4.669444561004639,11.94861125946045
1613058410592,2021-02-11T15:47:30.286Z,8.624,1.1972222328186035,5.731944561004639,12.69861125946045
1613058410633,2021-02-11T15:47:30.300Z,8.665,0.4472222328186035,6.481944561004639,13.88611125946045
1613058410673,2021-02-11T15:47:30.315Z,8.705,0.8222222328186035,5.044444561004639,11.94861125946045
1613058410712,2021-02-11T15:47:30.329Z,8.744,1.5722222328186035,4.669444561004639,13.88611125946045
1613058410752,2021-02-11T15:47:30.353Z,8.784,1.5722222328186035,5.356944561004639,14.26111125946045
1613058410793,2021-02-11T15:47:30.359Z,8.825,0.8222222328186035,3.9194445610046387,11.94861125946045
1613058410833,2021-02-11T15:47:30.361Z,8.865,1.1972222328186035,5.419444561004639,13.88611125946045
1613058410872,2021-02-11T15:47:30.375Z,8.904,1.1972222328186035,4.294444561004639,12.32361125946045
1613058410913,2021-02-11T15:47:30.390Z,8.945,1.1972222328186035,3.1694445610046387,12.69861125946045
1613058410953,2021-02-11T15:47:30.405Z,8.985,1.5722222328186035,2.8569445610046387,13.51111125946045
