epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613058850538,2021-02-11T15:55:34.721Z,0.271,99594.27018229167
1613058850615,2021-02-11T15:55:34.749Z,0.348,99592.96549479167
1613058850693,2021-02-11T15:55:34.779Z,0.426,99593.17643229167
1613058850771,2021-02-11T15:55:34.795Z,0.504,99593.38736979167
1613058850848,2021-02-11T15:55:34.824Z,0.581,99592.94205729167
1613058850926,2021-02-11T15:55:34.841Z,0.659,99593.16080729167
1613058851003,2021-02-11T15:55:34.870Z,0.736,99591.84830729167
1613058851081,2021-02-11T15:55:34.899Z,0.814,99592.06705729167
1613058851159,2021-02-11T15:55:34.914Z,0.892,99592.27018229167
1613058851236,2021-02-11T15:55:34.931Z,0.969,99592.48893229167
1613058851314,2021-02-11T15:55:34.974Z,1.047,99591.83268229167
1613058851392,2021-02-11T15:55:34.991Z,1.125,99592.03580729167
1613058851469,2021-02-11T15:55:35.020Z,1.202,99592.22330729167
1613058851547,2021-02-11T15:55:35.038Z,1.28,99592.42643229167
1613058851625,2021-02-11T15:55:35.080Z,1.358,99592.64518229167
1613058851702,2021-02-11T15:55:35.124Z,1.435,99591.98893229167
1613058851780,2021-02-11T15:55:35.141Z,1.513,99592.84830729167
1613058851857,2021-02-11T15:55:35.184Z,1.59,99592.19986979167
1613058851935,2021-02-11T15:55:35.214Z,1.668,99592.19986979167
1613058852013,2021-02-11T15:55:35.230Z,1.746,99592.41080729167
1613058852090,2021-02-11T15:55:35.289Z,1.823,99592.41080729167
1613058852168,2021-02-11T15:55:35.305Z,1.901,99592.62174479167
1613058852246,2021-02-11T15:55:35.338Z,1.979,99591.97330729167
1613058852323,2021-02-11T15:55:35.364Z,2.056,99591.97330729167
1613058852401,2021-02-11T15:55:35.381Z,2.134,99592.17643229167
1613058852479,2021-02-11T15:55:35.454Z,2.212,99592.17643229167
1613058852556,2021-02-11T15:55:35.471Z,2.289,99590.87174479167
1613058852634,2021-02-11T15:55:35.514Z,2.367,99591.73893229167
1613058852711,2021-02-11T15:55:35.530Z,2.444,99591.73893229167
1613058852789,2021-02-11T15:55:35.559Z,2.522,99591.73893229167
1613058852867,2021-02-11T15:55:35.576Z,2.6,99591.08268229167
1613058852944,2021-02-11T15:55:35.620Z,2.677,99591.94986979167
1613058853022,2021-02-11T15:55:35.664Z,2.755,99591.94986979167
