epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613059466409,2021-02-11T16:06:12.009Z,47.312,99587.51313920453
1613059466449,2021-02-11T16:06:12.011Z,47.352,99587.51313920453
1613059466488,2021-02-11T16:06:12.026Z,47.391000000000005,99587.51313920453
1613059466528,2021-02-11T16:06:12.055Z,47.431000000000004,99587.51313920453
1613059466567,2021-02-11T16:06:12.070Z,47.47,99588.31001420453
1613059466607,2021-02-11T16:06:12.085Z,47.51,99588.31001420453
1613059466646,2021-02-11T16:06:12.100Z,47.549,99588.31001420453
1613059466686,2021-02-11T16:06:12.114Z,47.589,99588.31001420453
1613059466726,2021-02-11T16:06:12.116Z,47.629,99588.31001420453
1613059466765,2021-02-11T16:06:12.131Z,47.668,99588.31001420453
1613059466803,2021-02-11T16:06:12.146Z,47.706,99588.31001420453
1613059466843,2021-02-11T16:06:12.160Z,47.746,99588.31001420453
1613059466882,2021-02-11T16:06:12.175Z,47.785,99588.31001420453
1613059466922,2021-02-11T16:06:12.189Z,47.825,99588.31001420453
1613059466961,2021-02-11T16:06:12.204Z,47.864,99588.31001420453
1613059467001,2021-02-11T16:06:12.206Z,47.903999999999996,99588.31001420453
1613059467040,2021-02-11T16:06:12.220Z,47.943000000000005,99588.31001420453
1613059467080,2021-02-11T16:06:12.235Z,47.983000000000004,99588.31001420453
1613059467120,2021-02-11T16:06:12.250Z,48.023,99588.31001420453
1613059467159,2021-02-11T16:06:12.264Z,48.062,99588.31001420453
1613059467197,2021-02-11T16:06:12.310Z,48.1,99587.64595170453
1613059467237,2021-02-11T16:06:12.325Z,48.14,99587.64595170453
1613059467276,2021-02-11T16:06:12.384Z,48.178999999999995,99588.31001420453
1613059467316,2021-02-11T16:06:12.386Z,48.218999999999994,99588.31001420453
1613059467355,2021-02-11T16:06:12.401Z,48.258,99588.31001420453
1613059467395,2021-02-11T16:06:12.415Z,48.298,99588.31001420453
1613059467435,2021-02-11T16:06:12.430Z,48.338,99587.64595170453
1613059467474,2021-02-11T16:06:12.444Z,48.376999999999995,99587.64595170453
1613059467514,2021-02-11T16:06:12.460Z,48.417,99588.31001420453
1613059467553,2021-02-11T16:06:12.474Z,48.456,99588.31001420453
1613059467593,2021-02-11T16:06:12.476Z,48.496,99588.31001420453
1613059467631,2021-02-11T16:06:12.490Z,48.534,99588.31001420453
1613059467670,2021-02-11T16:06:12.506Z,48.573,99587.64595170453
1613059467710,2021-02-11T16:06:12.550Z,48.613,99587.64595170453
1613059467749,2021-02-11T16:06:12.564Z,48.652,99587.64595170453
1613059467789,2021-02-11T16:06:12.566Z,48.692,99587.64595170453
1613059467829,2021-02-11T16:06:12.581Z,48.732,99587.64595170453
1613059467868,2021-02-11T16:06:12.611Z,48.771,99587.64595170453
1613059467908,2021-02-11T16:06:12.625Z,48.81100000000001,99587.64595170453
1613059467947,2021-02-11T16:06:12.640Z,48.85,99587.64595170453
1613059467987,2021-02-11T16:06:12.655Z,48.89,99587.64595170453
1613059468026,2021-02-11T16:06:12.669Z,48.928999999999995,99587.64595170453
1613059468064,2021-02-11T16:06:12.671Z,48.967,99587.64595170453
1613059468104,2021-02-11T16:06:12.685Z,49.007,99587.64595170453
