epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1613060433644,2021-02-11T16:21:13.061Z,67.685,0.4608621895313263,2.939591646194458,8.363585472106934
1613060433682,2021-02-11T16:21:13.077Z,67.723,0.4608621895313263,2.939591646194458,8.363585472106934
1613060433722,2021-02-11T16:21:13.078Z,67.763,1.6803743839263916,9.707884788513184,11.534317016601562
1613060433761,2021-02-11T16:21:13.093Z,67.80199999999999,0.7657402157783508,9.037153244018556,13.241634368896484
1613060433801,2021-02-11T16:21:13.107Z,67.842,-0.941576898097992,6.72007942199707,14.217244148254395
1613060433840,2021-02-11T16:21:13.121Z,67.881,-2.709869623184204,-0.6579694151878357,12.936756134033205
1613060433880,2021-02-11T16:21:13.136Z,67.921,-0.5147476196289062,1.9030061960220337,11.90017032623291
1613060433919,2021-02-11T16:21:13.151Z,67.96,-2.4659671783447266,1.1103233098983765,9.461146354675293
1613060433959,2021-02-11T16:21:13.153Z,68.0,-2.404991626739502,3.854225873947144,8.485536575317383
1613060433997,2021-02-11T16:21:13.197Z,68.038,-2.404991626739502,3.854225873947144,8.485536575317383
1613060434037,2021-02-11T16:21:13.211Z,68.078,-1.0025523900985718,14.951787948608398,5.741633892059326
1613060434076,2021-02-11T16:21:13.226Z,68.117,0.034032899886369705,-17.060409545898438,-12.246170997619627
1613060434116,2021-02-11T16:21:13.228Z,68.157,-1.978162169456482,-24.56040954589844,-11.758366584777832
1613060434155,2021-02-11T16:21:13.243Z,68.196,-16.490358352661133,-21.38967704772949,-26.51446533203125
1613060434195,2021-02-11T16:21:13.257Z,68.236,-24.60011482238769,-11.75553035736084,-42.0632438659668
1613060434234,2021-02-11T16:21:13.271Z,68.275,-32.709869384765625,-18.40187263488769,-51.0876350402832
1613060434274,2021-02-11T16:21:13.286Z,68.315,-47.77084732055664,-46.08480072021485,-56.63641357421875
1613060434312,2021-02-11T16:21:13.301Z,68.35300000000001,-47.77084732055664,-46.08480072021485,-56.63641357421875
1613060434352,2021-02-11T16:21:13.303Z,68.393,-68.9903564453125,-62.85309219360352,-58.5876350402832
1613060434391,2021-02-11T16:21:13.318Z,68.432,-80.57572174072266,-69.31650543212889,-56.45348739624024
1613060434431,2021-02-11T16:21:13.332Z,68.472,-86.6123046875,-69.25553131103516,-57.00226974487305
1613060434470,2021-02-11T16:21:13.346Z,68.51100000000001,-76.6123046875,-54.6823616027832,-53.46568298339844
1613060434510,2021-02-11T16:21:13.361Z,68.551,-53.56352996826172,-47.73114013671875,-58.95348739624024
1613060434549,2021-02-11T16:21:13.363Z,68.59,-36.67328643798828,-41.08480072021485,-57.24617004394531
1613060434589,2021-02-11T16:21:13.377Z,68.63,-25.02694320678711,-15.840895652770994,-53.40470886230469
1613060434627,2021-02-11T16:21:13.392Z,68.668,-25.02694320678711,-15.840895652770994,-53.40470886230469
1613060434666,2021-02-11T16:21:13.406Z,68.707,-10.514748573303224,-10.3530912399292,-53.70958709716797
1613060434706,2021-02-11T16:21:13.421Z,68.747,-9.539138793945312,-6.20674991607666,-57.12422180175781
1613060434746,2021-02-11T16:21:13.436Z,68.78699999999999,-6.124503612518311,-6.389677047729492,-55.90470886230469
1613060434785,2021-02-11T16:21:13.438Z,68.82600000000001,-1.795235276222229,-9.865285873413086,-59.80714797973633
1613060434825,2021-02-11T16:21:13.452Z,68.866,8.082813262939451,-9.25553035736084,-61.02666091918945
1613060434864,2021-02-11T16:21:13.466Z,68.905,9.54622745513916,-7.609189033508301,-63.64860916137695
1613060434904,2021-02-11T16:21:13.483Z,68.945,12.290130615234375,-5.353091239929199,-63.46568298339844
1613060434942,2021-02-11T16:21:13.496Z,68.983,12.290130615234375,-5.353091239929199,-63.46568298339844
1613060434981,2021-02-11T16:21:13.498Z,69.02199999999999,14.058423042297365,-11.145773887634276,-58.46568298339844
1613060435021,2021-02-11T16:21:13.512Z,69.062,13.326715469360352,-16.755531311035153,-56.20958709716797
1613060435061,2021-02-11T16:21:13.527Z,69.102,17.899887084960938,-22.609189987182614,-57.91690444946289
1613060435100,2021-02-11T16:21:13.541Z,69.141,15.521838188171387,-25.048213958740234,-54.13641357421875
1613060435140,2021-02-11T16:21:13.556Z,69.181,8.753544807434082,-21.63357925415039,-53.28275680541992
1613060435179,2021-02-11T16:21:13.558Z,69.22,3.9974474906921382,-12.975042343139648,-47.73397445678711
1613060435219,2021-02-11T16:21:13.573Z,69.26,-1.6732841730117798,-11.694554328918455,-39.99007415771485
1613060435257,2021-02-11T16:21:13.587Z,69.298,-1.6732841730117798,-11.694554328918455,-39.99007415771485
1613060435296,2021-02-11T16:21:13.601Z,69.337,-5.941576957702638,-12.18235969543457,-23.40470886230469
1613060435336,2021-02-11T16:21:13.616Z,69.377,-7.2830400466918945,-6.023823261260986,-18.892513275146484
1613060435375,2021-02-11T16:21:13.631Z,69.416,-7.709869384765625,-5.596993923187256,-13.52665901184082
1613060435415,2021-02-11T16:21:13.633Z,69.456,-5.1488938331604,-6.6335792541503915,-7.916903018951416
1613060435455,2021-02-11T16:21:13.647Z,69.49600000000001,-2.8318209648132324,-4.072603702545166,-3.8315370082855225
1613060435494,2021-02-11T16:21:13.661Z,69.535,-0.5147476196289062,-1.6335791349411009,0.9245604276657104
1613060435534,2021-02-11T16:21:13.676Z,69.575,1.8023256063461304,-0.4750425517559052,4.278219223022462
1613060435572,2021-02-11T16:21:13.691Z,69.613,1.8023256063461304,-0.4750425517559052,4.278219223022462
1613060435611,2021-02-11T16:21:13.692Z,69.652,3.0218377113342285,4.829835414886475,8.668462753295897
1613060435651,2021-02-11T16:21:13.707Z,69.692,2.838910818099976,4.646908760070801,9.94895076751709
1613060435690,2021-02-11T16:21:13.722Z,69.73100000000001,2.2291548252105717,5.1956892013549805,11.22943878173828
1613060435730,2021-02-11T16:21:13.736Z,69.771,2.7169597148895264,4.220079421997069,12.144072532653807
1613060435770,2021-02-11T16:21:13.751Z,69.811,1.7413500547409058,3.79325008392334,11.22943878173828
1613060435809,2021-02-11T16:21:13.753Z,69.85,1.131593942642212,2.634713649749756,11.595292091369627
1613060435849,2021-02-11T16:21:13.768Z,69.89,1.9242768287658687,1.9030061960220337,10.314805030822754
1613060435887,2021-02-11T16:21:13.782Z,69.928,1.9242768287658687,1.9030061960220337,10.314805030822754
1613060435926,2021-02-11T16:21:13.796Z,69.967,3.265740156173706,1.963981866836548,8.119682312011719
1613060435966,2021-02-11T16:21:13.811Z,70.007,5.582813739776611,3.4883720874786377,2.6928532123565674
1613060436005,2021-02-11T16:21:13.826Z,70.046,6.131594181060791,2.1469087600708012,1.9611457586288448
1613060436045,2021-02-11T16:21:13.828Z,70.086,6.009643077850343,2.0859332084655757,1.7172433137893677
1613060436084,2021-02-11T16:21:13.842Z,70.125,4.180374622344972,3.3664209842681885,1.5343165397644043
1613060436124,2021-02-11T16:21:13.856Z,70.165,4.912081718444824,0.9883720874786376,2.936755657196045
1613060436164,2021-02-11T16:21:13.872Z,70.205,3.9364719390869136,1.781054973602295,2.144072771072388
1613060436202,2021-02-11T16:21:13.886Z,70.243,3.9364719390869136,1.781054973602295,2.144072771072388
1613060436241,2021-02-11T16:21:13.888Z,70.282,3.082813262939453,3.1225185394287114,0.2538287043571472
1613060436281,2021-02-11T16:21:13.902Z,70.322,2.412081718444824,3.1225185394287114,-0.23397618532180786
1613060436320,2021-02-11T16:21:13.917Z,70.361,1.9242768287658687,1.842030644416809,0.375779926776886
1613060436360,2021-02-11T16:21:13.932Z,70.40100000000001,2.2291548252105717,0.9273964762687684,1.7172433137893677
1613060436399,2021-02-11T16:21:13.946Z,70.44,1.5584231615066528,1.5371525287628174,1.5343165397644043
1613060436439,2021-02-11T16:21:13.961Z,70.48,0.9486670494079591,1.9030061960220337,1.7782189846038818
1613060436477,2021-02-11T16:21:13.976Z,70.518,0.9486670494079591,1.9030061960220337,1.7782189846038818
1613060436517,2021-02-11T16:21:13.978Z,70.558,1.0706182718276978,1.2932500839233398,1.3513896465301514
1613060436556,2021-02-11T16:21:13.992Z,70.597,0.8267158269882202,0.561542809009552,0.009926262311637402
1613060436596,2021-02-11T16:21:14.006Z,70.637,0.6437889933586121,-0.7189450263977051,0.7416335940361023
1613060436635,2021-02-11T16:21:14.022Z,70.676,1.1925694942474363,0.2566647827625275,-0.5998298525810242
1613060436675,2021-02-11T16:21:14.036Z,70.71600000000001,0.9486670494079591,-0.9628474712371826,-0.11202496290206908
1613060436714,2021-02-11T16:21:14.038Z,70.755,0.3389109671115875,0.1347135603427887,-0.416903018951416
1613060436754,2021-02-11T16:21:14.052Z,70.795,0.2779353559017181,-2.060408353805542,0.13187748193740845
1613060436792,2021-02-11T16:21:14.067Z,70.833,0.2779353559017181,-2.060408353805542,0.13187748193740845
1613060436832,2021-02-11T16:21:14.081Z,70.873,-2.6488940715789795,-2.8530914783477783,1.168462872505188
1613060436871,2021-02-11T16:21:14.096Z,70.91199999999999,-2.7708451747894287,-5.475042819976807,3.4855360984802246
1613060436911,2021-02-11T16:21:14.098Z,70.952,-3.6245038509368896,-4.3165059089660645,4.217243671417236
1613060436950,2021-02-11T16:21:14.113Z,70.991,-2.526942729949951,0.9273964762687684,5.131877899169922
1613060436990,2021-02-11T16:21:14.127Z,71.031,0.5218377709388733,0.37861600518226624,4.705048561096191
1613060437029,2021-02-11T16:21:14.141Z,71.07,-0.2708451449871063,3.67129898071289,6.290414333343506
1613060437069,2021-02-11T16:21:14.156Z,71.11,4.3633012771606445,7.26885986328125,3.4855360984802246
