epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613061129257,2021-02-11T16:34:26.722Z,0.328,99593.10688920454
1613061129335,2021-02-11T16:34:26.738Z,0.406,99592.95063920454
1613061129413,2021-02-11T16:34:26.782Z,0.484,99592.15376420454
1613061129490,2021-02-11T16:34:26.812Z,0.561,99592.82563920454
1613061129568,2021-02-11T16:34:26.871Z,0.639,99591.99751420454
1613061129645,2021-02-11T16:34:26.917Z,0.716,99591.99751420454
1613061129723,2021-02-11T16:34:26.949Z,0.794,99591.20063920454
1613061129801,2021-02-11T16:34:26.979Z,0.872,99591.20063920454
1613061129878,2021-02-11T16:34:27.037Z,0.949,99591.20063920454
1613061129956,2021-02-11T16:34:27.082Z,1.027,99591.20063920454
1613061130034,2021-02-11T16:34:27.098Z,1.105,99590.40376420454
1613061130111,2021-02-11T16:34:27.127Z,1.182,99590.40376420454
1613061130189,2021-02-11T16:34:27.187Z,1.26,99589.73188920454
1613061130267,2021-02-11T16:34:27.204Z,1.338,99590.40376420454
1613061130344,2021-02-11T16:34:27.262Z,1.415,99589.57563920454
1613061130422,2021-02-11T16:34:27.292Z,1.493,99589.57563920454
1613061130499,2021-02-11T16:34:27.308Z,1.57,99589.57563920454
1613061130577,2021-02-11T16:34:27.352Z,1.648,99588.90376420454
1613061130655,2021-02-11T16:34:27.412Z,1.726,99589.57563920454
1613061130732,2021-02-11T16:34:27.429Z,1.803,99588.90376420454
1613061130810,2021-02-11T16:34:27.457Z,1.881,99588.90376420454
1613061130888,2021-02-11T16:34:27.502Z,1.959,99588.90376420454
1613061130965,2021-02-11T16:34:27.518Z,2.036,99588.90376420454
1613061131043,2021-02-11T16:34:27.548Z,2.114,99588.90376420454
1613061131121,2021-02-11T16:34:27.592Z,2.192,99588.90376420454
1613061131198,2021-02-11T16:34:27.624Z,2.269,99588.90376420454
1613061131276,2021-02-11T16:34:27.667Z,2.347,99588.90376420454
1613061131353,2021-02-11T16:34:27.697Z,2.424,99588.90376420454
1613061131431,2021-02-11T16:34:27.744Z,2.502,99588.90376420454
1613061131509,2021-02-11T16:34:27.803Z,2.58,99588.90376420454
1613061131586,2021-02-11T16:34:27.832Z,2.657,99588.90376420454
1613061131664,2021-02-11T16:34:27.849Z,2.735,99588.90376420454
1613061131742,2021-02-11T16:34:27.892Z,2.813,99588.90376420454
1613061131819,2021-02-11T16:34:27.923Z,2.89,99588.90376420454
1613061131897,2021-02-11T16:34:27.982Z,2.968,99588.90376420454
1613061131975,2021-02-11T16:34:27.999Z,3.046,99588.23188920454
1613061132052,2021-02-11T16:34:28.027Z,3.123,99588.23188920454
1613061132130,2021-02-11T16:34:28.072Z,3.201,99588.23188920454
1613061132207,2021-02-11T16:34:28.089Z,3.278,99588.23188920454
1613061132285,2021-02-11T16:34:28.148Z,3.356,99588.23188920454
1613061132363,2021-02-11T16:34:28.193Z,3.434,99588.23188920454
1613061132440,2021-02-11T16:34:28.237Z,3.511,99588.23188920454
1613061132518,2021-02-11T16:34:28.297Z,3.589,99587.56001420454
1613061132596,2021-02-11T16:34:28.314Z,3.667,99587.56001420454
1613061132673,2021-02-11T16:34:28.372Z,3.744,99587.56001420454
1613061132751,2021-02-11T16:34:28.447Z,3.822,99587.56001420454
1613061132829,2021-02-11T16:34:28.478Z,3.9,99586.88813920454
1613061132906,2021-02-11T16:34:28.537Z,3.977,99587.56001420454
1613061132984,2021-02-11T16:34:28.554Z,4.055,99587.56001420454
1613061133063,2021-02-11T16:34:28.582Z,4.134,99586.88813920454
1613061133141,2021-02-11T16:34:28.627Z,4.212,99586.88813920454
1613061133218,2021-02-11T16:34:28.643Z,4.289,99587.56001420454
1613061133296,2021-02-11T16:34:28.702Z,4.367,99586.88813920454
1613061133373,2021-02-11T16:34:28.734Z,4.444,99586.88813920454
1613061133451,2021-02-11T16:34:28.779Z,4.522,99586.88813920454
1613061133529,2021-02-11T16:34:28.807Z,4.6,99586.88813920454
1613061133606,2021-02-11T16:34:28.867Z,4.677,99586.88813920454
1613061133684,2021-02-11T16:34:28.913Z,4.755,99586.22407670454
1613061133762,2021-02-11T16:34:28.943Z,4.833,99586.22407670454
1613061133839,2021-02-11T16:34:28.959Z,4.91,99586.22407670454
1613061133917,2021-02-11T16:34:29.003Z,4.988,99586.22407670454
1613061133995,2021-02-11T16:34:29.033Z,5.066,99586.22407670454
1613061134072,2021-02-11T16:34:29.092Z,5.143,99586.38032670454
1613061134150,2021-02-11T16:34:29.109Z,5.221,99586.38032670454
1613061134227,2021-02-11T16:34:29.138Z,5.298,99586.38032670454
1613061134305,2021-02-11T16:34:29.182Z,5.376,99587.04438920454
1613061134383,2021-02-11T16:34:29.242Z,5.454,99587.04438920454
1613061134460,2021-02-11T16:34:29.258Z,5.531,99586.38032670454
1613061134538,2021-02-11T16:34:29.303Z,5.609,99586.38032670454
1613061134616,2021-02-11T16:34:29.347Z,5.687,99586.38032670454
1613061134693,2021-02-11T16:34:29.392Z,5.764,99586.38032670454
1613061134771,2021-02-11T16:34:29.408Z,5.842,99586.38032670454
1613061134849,2021-02-11T16:34:29.467Z,5.92,99586.38032670454
1613061134926,2021-02-11T16:34:29.492Z,5.997,99586.38032670454
1613061135004,2021-02-11T16:34:29.513Z,6.075,99587.04438920454
1613061135081,2021-02-11T16:34:29.529Z,6.152,99586.38032670454
1613061135159,2021-02-11T16:34:29.587Z,6.23,99587.04438920454
1613061135237,2021-02-11T16:34:29.634Z,6.308,99587.04438920454
1613061135314,2021-02-11T16:34:29.664Z,6.385,99587.04438920454
1613061135392,2021-02-11T16:34:29.692Z,6.463,99587.04438920454
1613061135470,2021-02-11T16:34:29.737Z,6.541,99586.38032670454
1613061135547,2021-02-11T16:34:29.754Z,6.618,99586.38032670454
1613061135625,2021-02-11T16:34:29.813Z,6.696,99586.38032670454
1613061135703,2021-02-11T16:34:29.857Z,6.774,99587.84126420454
1613061135780,2021-02-11T16:34:29.889Z,6.851,99587.84126420454
1613061135858,2021-02-11T16:34:29.977Z,6.929,99587.84126420454
1613061135935,2021-02-11T16:34:30.037Z,7.006,99587.84126420454
1613061136013,2021-02-11T16:34:30.054Z,7.084,99587.84126420454
1613061136091,2021-02-11T16:34:30.082Z,7.162,99587.17720170454
1613061136168,2021-02-11T16:34:30.127Z,7.239,99587.17720170454
1613061136246,2021-02-11T16:34:30.187Z,7.317,99587.17720170454
1613061136324,2021-02-11T16:34:30.204Z,7.395,99587.17720170454
1613061136403,2021-02-11T16:34:30.233Z,7.474,99586.50532670454
1613061136480,2021-02-11T16:34:30.277Z,7.551,99586.50532670454
1613061136558,2021-02-11T16:34:30.307Z,7.629,99586.50532670454
1613061136636,2021-02-11T16:34:30.354Z,7.707,99586.50532670454
