epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613061129196,2021-02-11T16:34:26.604Z,0.252,99619.45182291667
1613061129274,2021-02-11T16:34:26.617Z,0.33,99617.89713541667
1613061129351,2021-02-11T16:34:26.649Z,0.407,99617.20182291667
1613061129429,2021-02-11T16:34:26.662Z,0.485,99617.01432291667
1613061129507,2021-02-11T16:34:26.676Z,0.563,99616.97526041667
1613061129584,2021-02-11T16:34:26.680Z,0.64,99616.12369791667
1613061129662,2021-02-11T16:34:26.693Z,0.718,99615.27994791667
1613061129740,2021-02-11T16:34:26.706Z,0.796,99614.06119791667
1613061129817,2021-02-11T16:34:26.711Z,0.873,99613.02994791667
1613061129895,2021-02-11T16:34:26.724Z,0.951,99613.50651041667
1613061129972,2021-02-11T16:34:26.736Z,1.028,99612.50651041667
1613061130050,2021-02-11T16:34:26.740Z,1.106,99612.13932291667
1613061130128,2021-02-11T16:34:26.753Z,1.184,99611.79557291667
1613061130205,2021-02-11T16:34:26.765Z,1.261,99611.43619791667
1613061130283,2021-02-11T16:34:26.770Z,1.339,99610.57682291667
1613061130361,2021-02-11T16:34:26.783Z,1.417,99610.88151041667
1613061130438,2021-02-11T16:34:26.798Z,1.494,99610.38932291667
1613061130516,2021-02-11T16:34:26.811Z,1.572,99609.90494791667
1613061130594,2021-02-11T16:34:26.816Z,1.65,99610.20182291667
1613061130671,2021-02-11T16:34:26.829Z,1.727,99609.72526041667
1613061130749,2021-02-11T16:34:26.842Z,1.805,99609.87369791667
1613061130826,2021-02-11T16:34:26.855Z,1.882,99609.53776041667
1613061130904,2021-02-11T16:34:26.860Z,1.96,99609.02213541667
1613061130982,2021-02-11T16:34:26.873Z,2.038,99608.49869791667
1613061131059,2021-02-11T16:34:26.886Z,2.115,99607.84244791667
1613061131137,2021-02-11T16:34:26.890Z,2.193,99607.98307291667
1613061131215,2021-02-11T16:34:26.903Z,2.271,99608.17057291667
1613061131292,2021-02-11T16:34:26.917Z,2.348,99608.31119791667
1613061131371,2021-02-11T16:34:26.930Z,2.427,99607.79557291667
1613061131448,2021-02-11T16:34:26.934Z,2.504,99607.13932291667
1613061131525,2021-02-11T16:34:26.946Z,2.581,99607.27994791667
1613061131603,2021-02-11T16:34:26.951Z,2.659,99606.62369791667
1613061131680,2021-02-11T16:34:26.964Z,2.736,99607.46744791667
1613061131758,2021-02-11T16:34:26.976Z,2.814,99606.79557291667
1613061131836,2021-02-11T16:34:26.981Z,2.892,99606.79557291667
1613061131913,2021-02-11T16:34:26.994Z,2.969,99606.95182291667
1613061131991,2021-02-11T16:34:27.009Z,3.047,99606.27994791667
1613061132069,2021-02-11T16:34:27.022Z,3.125,99606.42838541667
1613061132146,2021-02-11T16:34:27.035Z,3.202,99606.42838541667
1613061132224,2021-02-11T16:34:27.039Z,3.28,99606.42838541667
1613061132302,2021-02-11T16:34:27.052Z,3.358,99606.57682291667
1613061132379,2021-02-11T16:34:27.065Z,3.435,99606.57682291667
1613061132457,2021-02-11T16:34:27.080Z,3.513,99605.91276041667
1613061132534,2021-02-11T16:34:27.113Z,3.59,99606.76432291667
1613061132612,2021-02-11T16:34:27.127Z,3.668,99606.76432291667
1613061132691,2021-02-11T16:34:27.140Z,3.747,99606.76432291667
1613061132769,2021-02-11T16:34:27.144Z,3.825,99606.76432291667
1613061132846,2021-02-11T16:34:27.158Z,3.902,99606.76432291667
1613061132924,2021-02-11T16:34:27.171Z,3.98,99606.09244791667
1613061133002,2021-02-11T16:34:27.176Z,4.058,99606.09244791667
1613061133079,2021-02-11T16:34:27.189Z,4.135,99606.90494791667
1613061133157,2021-02-11T16:34:27.202Z,4.213,99606.90494791667
1613061133235,2021-02-11T16:34:27.204Z,4.291,99606.24869791667
1613061133312,2021-02-11T16:34:27.218Z,4.368,99606.24869791667
1613061133390,2021-02-11T16:34:27.231Z,4.446,99606.24869791667
1613061133468,2021-02-11T16:34:27.235Z,4.524,99606.24869791667
