epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1613061430592,2021-02-11T16:39:09.543Z,0.002,-5.143465995788574,16.492897033691406,-76.45028686523438
1613061430631,2021-02-11T16:39:09.557Z,0.041,-6.268465995788574,15.805397987365723,-76.82528686523438
1613061430671,2021-02-11T16:39:09.572Z,0.081,-5.518465995788574,16.492897033691406,-76.88778686523438
1613061430712,2021-02-11T16:39:09.574Z,0.122,-5.893465995788574,16.492897033691406,-78.07528686523438
1613061430751,2021-02-11T16:39:09.588Z,0.161,-5.893465995788574,16.117897033691406,-76.88778686523438
1613061430772,2021-02-11T16:39:09.602Z,0.182,-5.518465995788574,17.242897033691406,-77.32528686523438
1613061430811,2021-02-11T16:39:09.617Z,0.221,-5.518465995788574,16.492897033691406,-78.88778686523438
1613061430851,2021-02-11T16:39:09.619Z,0.261,-5.893465995788574,16.117897033691406,-77.38778686523438
1613061430891,2021-02-11T16:39:09.649Z,0.301,-6.580965995788574,15.805397987365723,-78.51278686523438
1613061430932,2021-02-11T16:39:09.663Z,0.342,-6.580965995788574,18.367897033691406,-77.70028686523438
1613061430971,2021-02-11T16:39:09.677Z,0.381,-5.518465995788574,15.742897987365723,-75.76278686523438
1613061431011,2021-02-11T16:39:09.692Z,0.421,-5.893465995788574,13.930397987365723,-76.95028686523438
1613061431050,2021-02-11T16:39:09.707Z,0.46,-6.205965995788574,9.555397987365723,-77.38778686523438
1613061431090,2021-02-11T16:39:09.709Z,0.5,-6.205965995788574,11.367897987365723,-75.76278686523438
1613061431131,2021-02-11T16:39:09.723Z,0.541,-5.518465995788574,2.9303977489471436,-75.76278686523438
1613061431170,2021-02-11T16:39:09.737Z,0.58,-5.518465995788574,17.242897033691406,-77.32528686523438
1613061431210,2021-02-11T16:39:09.752Z,0.62,-5.893465995788574,16.117897033691406,-77.32528686523438
1613061431249,2021-02-11T16:39:09.767Z,0.659,-6.205965995788574,17.617897033691406,-77.76278686523438
1613061431289,2021-02-11T16:39:09.769Z,0.699,-5.143465995788574,17.617897033691406,-77.76278686523438
1613061431330,2021-02-11T16:39:09.783Z,0.74,-6.205965995788574,16.492897033691406,-76.95028686523438
1613061431370,2021-02-11T16:39:09.798Z,0.78,-6.580965995788574,18.367897033691406,-77.76278686523438
1613061431409,2021-02-11T16:39:09.812Z,0.819,-5.518465995788574,15.055397987365723,-78.95028686523438
1613061431449,2021-02-11T16:39:09.827Z,0.859,-4.393465995788574,16.867897033691406,-75.76278686523438
1613061431488,2021-02-11T16:39:09.829Z,0.898,-6.205965995788574,13.930397987365723,-78.51278686523438
1613061431528,2021-02-11T16:39:09.844Z,0.938,-4.768465995788574,16.867897033691406,-77.38778686523438
1613061431569,2021-02-11T16:39:09.858Z,0.979,-6.955965995788574,15.742897987365723,-77.38778686523438
1613061431608,2021-02-11T16:39:09.872Z,1.018,-5.893465995788574,16.867897033691406,-76.13778686523438
1613061431648,2021-02-11T16:39:09.887Z,1.058,-5.518465995788574,18.367897033691406,-77.32528686523438
1613061431687,2021-02-11T16:39:09.902Z,1.097,-4.768465995788574,16.867897033691406,-77.32528686523438
1613061431727,2021-02-11T16:39:09.904Z,1.137,-5.143465995788574,17.242897033691406,-77.76278686523438
1613061431768,2021-02-11T16:39:09.918Z,1.178,-5.518465995788574,16.492897033691406,-76.57528686523438
1613061431808,2021-02-11T16:39:09.933Z,1.218,-6.955965995788574,15.742897987365723,-76.57528686523438
1613061431847,2021-02-11T16:39:09.947Z,1.257,-5.893465995788574,17.617897033691406,-78.57528686523438
1613061431887,2021-02-11T16:39:09.962Z,1.297,-5.518465995788574,10.242897987365723,-76.95028686523438
1613061431926,2021-02-11T16:39:09.964Z,1.336,-5.518465995788574,15.055397987365723,-76.57528686523438
1613061431967,2021-02-11T16:39:09.979Z,1.377,-6.205965995788574,16.867897033691406,-78.13778686523438
1613061432007,2021-02-11T16:39:09.993Z,1.417,-6.205965995788574,17.242897033691406,-75.76278686523438
1613061432046,2021-02-11T16:39:10.007Z,1.456,-5.518465995788574,16.492897033691406,-77.38778686523438
1613061432086,2021-02-11T16:39:10.022Z,1.496,-5.893465995788574,15.430397987365723,-76.57528686523438
1613061432125,2021-02-11T16:39:10.037Z,1.535,-6.205965995788574,15.742897987365723,-75.76278686523438
1613061432165,2021-02-11T16:39:10.039Z,1.575,-5.143465995788574,8.055397987365723,-75.76278686523438
1613061432206,2021-02-11T16:39:10.053Z,1.616,-5.518465995788574,15.430397987365723,-77.38778686523438
