epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1613060739591,2021-02-11T16:29:02.901Z,0.004,12.441666603088379,-11.501388549804688,30.344444274902344
1613060739631,2021-02-11T16:29:02.915Z,0.044,10.254166603088379,-10.813888549804688,30.344444274902344
1613060739670,2021-02-11T16:29:02.945Z,0.083,11.004166603088379,-11.501388549804688,31.094444274902344
1613060739711,2021-02-11T16:29:02.947Z,0.124,11.379166603088379,-11.188888549804688,30.344444274902344
1613060739751,2021-02-11T16:29:02.961Z,0.164,12.129166603088379,-11.501388549804688,29.906944274902344
1613060739771,2021-02-11T16:29:02.975Z,0.184,8.816666603088379,-11.188888549804688,30.719444274902344
1613060739811,2021-02-11T16:29:02.977Z,0.224,10.254166603088379,-11.501388549804688,30.719444274902344
1613060739850,2021-02-11T16:29:03.006Z,0.263,12.441666603088379,-11.188888549804688,30.281944274902344
1613060739890,2021-02-11T16:29:03.021Z,0.303,11.379166603088379,-10.063888549804688,30.719444274902344
1613060739931,2021-02-11T16:29:03.035Z,0.344,10.254166603088379,-11.501388549804688,30.719444274902344
1613060739970,2021-02-11T16:29:03.053Z,0.383,12.441666603088379,-11.188888549804688,32.719444274902344
1613060740010,2021-02-11T16:29:03.054Z,0.423,10.254166603088379,-11.501388549804688,31.906944274902344
1613060740050,2021-02-11T16:29:03.067Z,0.463,10.629166603088379,-11.876388549804688,29.094444274902344
1613060740091,2021-02-11T16:29:03.081Z,0.504,12.129166603088379,-10.438888549804688,30.719444274902344
1613060740130,2021-02-11T16:29:03.109Z,0.543,12.129166603088379,-21.813888549804688,31.469444274902344
1613060740170,2021-02-11T16:29:03.126Z,0.583,11.754166603088379,-12.626388549804688,30.281944274902344
1613060740209,2021-02-11T16:29:03.140Z,0.622,10.254166603088379,-11.501388549804688,31.469444274902344
1613060740249,2021-02-11T16:29:03.154Z,0.662,11.754166603088379,-27.688888549804688,31.094444274902344
1613060740290,2021-02-11T16:29:03.157Z,0.703,11.379166603088379,-11.188888549804688,29.906944274902344
1613060740329,2021-02-11T16:29:03.230Z,0.742,12.441666603088379,-11.876388549804688,32.281944274902344
1613060740369,2021-02-11T16:29:03.245Z,0.782,10.254166603088379,-15.563888549804688,30.281944274902344
1613060740408,2021-02-11T16:29:03.260Z,0.821,9.129166603088379,-11.563888549804688,29.469444274902344
1613060740449,2021-02-11T16:29:03.261Z,0.862,10.629166603088379,-12.626388549804688,29.906944274902344
1613060740489,2021-02-11T16:29:03.276Z,0.902,8.816666603088379,-12.626388549804688,30.281944274902344
1613060740529,2021-02-11T16:29:03.291Z,0.942,9.504166603088379,-11.501388549804688,28.281944274902344
1613060740570,2021-02-11T16:29:03.305Z,0.983,7.316666603088379,-13.001388549804688,28.656944274902344
1613060740608,2021-02-11T16:29:03.319Z,1.021,7.316666603088379,-12.251388549804688,26.656944274902344
1613060740649,2021-02-11T16:29:03.334Z,1.062,8.066666603088379,-11.188888549804688,27.906944274902344
1613060740688,2021-02-11T16:29:03.337Z,1.101,6.941666603088379,-12.251388549804688,29.094444274902344
1613060740728,2021-02-11T16:29:03.351Z,1.141,6.191666603088379,-14.126388549804688,27.906944274902344
1613060740767,2021-02-11T16:29:03.365Z,1.18,6.941666603088379,-13.001388549804688,27.094444274902344
1613060740808,2021-02-11T16:29:03.395Z,1.221,6.191666603088379,-11.188888549804688,28.281944274902344
1613060740848,2021-02-11T16:29:03.409Z,1.261,7.316666603088379,-15.188888549804688,27.094444274902344
1613060740887,2021-02-11T16:29:03.412Z,1.3,5.129166603088379,-17.813888549804688,26.281944274902344
1613060740927,2021-02-11T16:29:03.426Z,1.34,3.254166603088379,-22.938888549804688,27.094444274902344
1613060740967,2021-02-11T16:29:03.456Z,1.38,5.816666603088379,-17.063888549804688,25.469444274902344
1613060741008,2021-02-11T16:29:03.470Z,1.421,2.879166603088379,-13.376388549804688,25.469444274902344
1613060741047,2021-02-11T16:29:03.485Z,1.46,3.254166603088379,-13.001388549804688,26.281944274902344
1613060741087,2021-02-11T16:29:03.487Z,1.5,2.879166603088379,-11.876388549804688,23.094444274902344
1613060741126,2021-02-11T16:29:03.502Z,1.539,4.004166603088379,-13.376388549804688,26.656944274902344
1613060741167,2021-02-11T16:29:03.516Z,1.58,2.191666603088379,-13.001388549804688,27.469444274902344
1613060741207,2021-02-11T16:29:03.530Z,1.62,2.191666603088379,-13.001388549804688,25.469444274902344
1613060741246,2021-02-11T16:29:03.559Z,1.659,2.879166603088379,-13.001388549804688,27.094444274902344
1613060741286,2021-02-11T16:29:03.574Z,1.699,1.8166667222976685,-13.001388549804688,27.469444274902344
1613060741325,2021-02-11T16:29:03.577Z,1.738,1.8166667222976685,-14.126388549804688,25.469444274902344
1613060741366,2021-02-11T16:29:03.591Z,1.779,5.129166603088379,-13.001388549804688,27.844444274902344
1613060741406,2021-02-11T16:29:03.605Z,1.819,5.504166603088379,-13.001388549804688,26.656944274902344
1613060741446,2021-02-11T16:29:03.620Z,1.859,4.754166603088379,-13.001388549804688,27.094444274902344
1613060741485,2021-02-11T16:29:03.621Z,1.898,4.379166603088379,-12.251388549804688,29.031944274902344
1613060741526,2021-02-11T16:29:03.635Z,1.939,3.629166603088379,-13.001388549804688,26.656944274902344
1613060741566,2021-02-11T16:29:03.650Z,1.979,3.254166603088379,-13.001388549804688,26.281944274902344
1613060741605,2021-02-11T16:29:03.711Z,2.018,4.004166603088379,-13.376388549804688,27.094444274902344
1613060741645,2021-02-11T16:29:03.785Z,2.058,3.254166603088379,-25.126388549804688,27.031944274902344
1613060741686,2021-02-11T16:29:03.800Z,2.099,3.254166603088379,-12.251388549804688,26.281944274902344
1613060741725,2021-02-11T16:29:03.815Z,2.138,3.254166603088379,-13.751388549804688,25.844444274902344
1613060741765,2021-02-11T16:29:03.817Z,2.178,4.004166603088379,-18.876388549804688,27.469444274902344
1613060741804,2021-02-11T16:29:03.831Z,2.217,3.254166603088379,-15.188888549804688,26.656944274902344
1613060741844,2021-02-11T16:29:03.846Z,2.257,3.629166603088379,-13.751388549804688,27.844444274902344
1613060741885,2021-02-11T16:29:03.860Z,2.298,1.8166667222976685,-26.251388549804688,29.469444274902344
1613060741925,2021-02-11T16:29:03.874Z,2.338,3.629166603088379,-13.376388549804688,27.469444274902344
1613060741964,2021-02-11T16:29:03.890Z,2.377,2.879166603088379,-12.626388549804688,29.094444274902344
1613060742005,2021-02-11T16:29:03.892Z,2.418,1.8166667222976685,-20.751388549804688,29.469444274902344
1613060742045,2021-02-11T16:29:03.908Z,2.458,1.4416667222976685,-11.876388549804688,28.281944274902344
1613060742084,2021-02-11T16:29:03.921Z,2.497,2.504166603088379,-12.626388549804688,29.094444274902344
1613060742124,2021-02-11T16:29:03.950Z,2.537,1.8166667222976685,-13.751388549804688,28.656944274902344
1613060742163,2021-02-11T16:29:03.964Z,2.576,1.4416667222976685,-11.876388549804688,27.906944274902344
1613060742203,2021-02-11T16:29:03.967Z,2.616,1.8166667222976685,-12.626388549804688,28.281944274902344
1613060742244,2021-02-11T16:29:03.981Z,2.657,4.379166603088379,-15.938888549804688,28.281944274902344
1613060742283,2021-02-11T16:29:04.011Z,2.696,1.4416667222976685,-13.751388549804688,27.906944274902344
1613060742323,2021-02-11T16:29:04.025Z,2.736,2.879166603088379,-14.501388549804688,28.656944274902344
1613060742363,2021-02-11T16:29:04.039Z,2.776,2.504166603088379,-21.126388549804688,28.281944274902344
1613060742404,2021-02-11T16:29:04.042Z,2.817,2.879166603088379,-18.501388549804688,28.656944274902344
1613060742443,2021-02-11T16:29:04.057Z,2.856,2.879166603088379,-12.251388549804688,29.094444274902344
1613060742483,2021-02-11T16:29:04.072Z,2.896,4.379166603088379,-13.376388549804688,27.844444274902344
1613060742522,2021-02-11T16:29:04.085Z,2.935,3.254166603088379,-13.001388549804688,28.656944274902344
1613060742562,2021-02-11T16:29:04.114Z,2.975,3.254166603088379,-14.126388549804688,28.656944274902344
1613060742603,2021-02-11T16:29:04.129Z,3.016,3.254166603088379,-14.126388549804688,28.281944274902344
1613060742642,2021-02-11T16:29:04.132Z,3.055,2.879166603088379,-11.188888549804688,29.094444274902344
1613060742682,2021-02-11T16:29:04.152Z,3.095,3.629166603088379,-11.563888549804688,29.906944274902344
1613060742721,2021-02-11T16:29:04.160Z,3.134,4.754166603088379,-13.376388549804688,26.281944274902344
1613060742762,2021-02-11T16:29:04.175Z,3.175,3.629166603088379,-11.563888549804688,27.469444274902344
1613060742802,2021-02-11T16:29:04.189Z,3.215,3.629166603088379,-12.251388549804688,28.656944274902344
1613060742842,2021-02-11T16:29:04.192Z,3.255,2.879166603088379,-13.001388549804688,27.844444274902344
1613060742881,2021-02-11T16:29:04.234Z,3.294,4.004166603088379,-13.376388549804688,28.281944274902344
1613060742922,2021-02-11T16:29:04.250Z,3.335,3.629166603088379,-13.001388549804688,28.281944274902344
1613060742962,2021-02-11T16:29:04.252Z,3.375,2.504166603088379,-12.626388549804688,27.469444274902344
1613060743001,2021-02-11T16:29:04.266Z,3.414,4.004166603088379,-13.751388549804688,28.281944274902344
1613060743041,2021-02-11T16:29:04.340Z,3.454,2.504166603088379,-12.251388549804688,28.281944274902344
1613060743080,2021-02-11T16:29:04.355Z,3.493,2.879166603088379,-12.626388549804688,27.469444274902344
1613060743121,2021-02-11T16:29:04.369Z,3.534,2.879166603088379,-12.626388549804688,29.469444274902344
1613060743161,2021-02-11T16:29:04.372Z,3.574,1.8166667222976685,-12.626388549804688,29.031944274902344
1613060743200,2021-02-11T16:29:04.386Z,3.613,3.254166603088379,-13.001388549804688,28.281944274902344
1613060743240,2021-02-11T16:29:04.401Z,3.653,4.004166603088379,-12.251388549804688,27.844444274902344
1613060743281,2021-02-11T16:29:04.415Z,3.694,4.379166603088379,-13.751388549804688,27.844444274902344
1613060743321,2021-02-11T16:29:04.430Z,3.734,3.629166603088379,-11.563888549804688,27.844444274902344
1613060743360,2021-02-11T16:29:04.432Z,3.773,3.254166603088379,-11.876388549804688,29.469444274902344
1613060743400,2021-02-11T16:29:04.447Z,3.813,1.8166667222976685,-12.251388549804688,31.094444274902344
1613060743441,2021-02-11T16:29:04.461Z,3.854,3.254166603088379,-14.501388549804688,29.844444274902344
1613060743480,2021-02-11T16:29:04.475Z,3.893,2.504166603088379,-12.626388549804688,30.656944274902344
1613060743520,2021-02-11T16:29:04.512Z,3.933,2.129166603088379,-25.126388549804688,31.094444274902344
