epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613061605148,2021-02-11T16:45:19.551Z,0.41,99591.52207880435
1613061605225,2021-02-11T16:45:19.564Z,0.487,99592.68614130435
1613061605303,2021-02-11T16:45:19.578Z,0.565,99591.74082880435
1613061605381,2021-02-11T16:45:19.582Z,0.643,99592.26426630435
1613061605458,2021-02-11T16:45:19.610Z,0.72,99592.12364130435
1613061605536,2021-02-11T16:45:19.623Z,0.798,99591.95176630435
1613061605613,2021-02-11T16:45:19.637Z,0.875,99592.61582880435
1613061605691,2021-02-11T16:45:19.655Z,0.953,99592.48301630435
1613061605769,2021-02-11T16:45:19.668Z,1.031,99592.34239130435
1613061605846,2021-02-11T16:45:19.672Z,1.108,99592.99864130435
1613061605924,2021-02-11T16:45:19.685Z,1.186,99592.85801630435
1613061606002,2021-02-11T16:45:19.698Z,1.264,99593.52989130435
1613061606079,2021-02-11T16:45:19.712Z,1.341,99594.18614130435
1613061606158,2021-02-11T16:45:19.744Z,1.42,99593.38926630435
1613061606236,2021-02-11T16:45:19.757Z,1.498,99594.05332880435
1613061606314,2021-02-11T16:45:19.761Z,1.576,99593.21739130435
1613061606391,2021-02-11T16:45:19.774Z,1.653,99594.54551630435
1613061606469,2021-02-11T16:45:19.787Z,1.731,99593.74082880435
1613061606547,2021-02-11T16:45:19.792Z,1.809,99594.40489130435
1613061606624,2021-02-11T16:45:19.805Z,1.886,99595.06895380435
1613061606702,2021-02-11T16:45:19.818Z,1.964,99595.06895380435
1613061606779,2021-02-11T16:45:19.822Z,2.041,99594.26426630435
1613061606857,2021-02-11T16:45:19.836Z,2.119,99594.92051630435
1613061606935,2021-02-11T16:45:19.849Z,2.197,99595.59239130435
1613061607012,2021-02-11T16:45:19.862Z,2.274,99595.59239130435
1613061607090,2021-02-11T16:45:19.866Z,2.352,99596.24864130435
1613061607168,2021-02-11T16:45:19.881Z,2.43,99596.24864130435
1613061607245,2021-02-11T16:45:19.907Z,2.507,99595.45176630435
1613061607323,2021-02-11T16:45:19.912Z,2.585,99596.11582880435
1613061607401,2021-02-11T16:45:19.925Z,2.663,99596.11582880435
1613061607478,2021-02-11T16:45:19.938Z,2.74,99596.11582880435
1613061607556,2021-02-11T16:45:19.982Z,2.818,99596.11582880435
1613061607633,2021-02-11T16:45:19.986Z,2.895,99595.97520380435
1613061607711,2021-02-11T16:45:19.999Z,2.973,99595.97520380435
1613061607789,2021-02-11T16:45:20.012Z,3.051,99595.97520380435
1613061607866,2021-02-11T16:45:20.027Z,3.128,99595.97520380435
1613061607944,2021-02-11T16:45:20.042Z,3.206,99596.63926630435
1613061608022,2021-02-11T16:45:20.047Z,3.284,99596.63926630435
1613061608099,2021-02-11T16:45:20.059Z,3.361,99596.63926630435
1613061608177,2021-02-11T16:45:20.072Z,3.439,99596.63926630435
1613061608255,2021-02-11T16:45:20.076Z,3.517,99596.63926630435
1613061608332,2021-02-11T16:45:20.090Z,3.594,99596.63926630435
1613061608410,2021-02-11T16:45:20.103Z,3.672,99595.97520380435
1613061608487,2021-02-11T16:45:20.107Z,3.749,99596.63926630435
1613061608565,2021-02-11T16:45:20.121Z,3.827,99595.97520380435
1613061608643,2021-02-11T16:45:20.134Z,3.905,99595.97520380435
1613061608720,2021-02-11T16:45:20.162Z,3.982,99595.97520380435
1613061608798,2021-02-11T16:45:20.166Z,4.06,99596.63926630435
1613061608876,2021-02-11T16:45:20.179Z,4.138,99596.63926630435
1613061608953,2021-02-11T16:45:20.207Z,4.215,99596.63926630435
1613061609031,2021-02-11T16:45:20.211Z,4.293,99596.63926630435
1613061609109,2021-02-11T16:45:20.224Z,4.371,99596.63926630435
1613061609186,2021-02-11T16:45:20.237Z,4.448,99595.97520380435
1613061609264,2021-02-11T16:45:20.242Z,4.526,99595.97520380435
1613061609341,2021-02-11T16:45:20.255Z,4.603,99596.63926630435
1613061609419,2021-02-11T16:45:20.284Z,4.681,99595.97520380435
1613061609497,2021-02-11T16:45:20.297Z,4.759,99595.97520380435
1613061609574,2021-02-11T16:45:20.301Z,4.836,99595.97520380435
1613061609652,2021-02-11T16:45:20.314Z,4.914,99595.97520380435
1613061609731,2021-02-11T16:45:20.327Z,4.993,99595.97520380435
1613061609809,2021-02-11T16:45:20.331Z,5.071,99595.97520380435
1613061609886,2021-02-11T16:45:20.344Z,5.148,99595.13926630435
1613061609964,2021-02-11T16:45:20.358Z,5.226,99595.13926630435
1613061610042,2021-02-11T16:45:20.362Z,5.304,99595.13926630435
1613061610119,2021-02-11T16:45:20.375Z,5.381,99595.13926630435
1613061610197,2021-02-11T16:45:20.389Z,5.459,99595.13926630435
1613061610275,2021-02-11T16:45:20.402Z,5.537,99595.13926630435
1613061610352,2021-02-11T16:45:20.406Z,5.614,99595.13926630435
1613061610430,2021-02-11T16:45:20.419Z,5.692,99595.13926630435
1613061610508,2021-02-11T16:45:20.432Z,5.77,99595.97520380435
1613061610585,2021-02-11T16:45:20.436Z,5.847,99595.97520380435
1613061610663,2021-02-11T16:45:20.480Z,5.925,99595.97520380435
1613061610740,2021-02-11T16:45:20.494Z,6.002,99595.13926630435
1613061610818,2021-02-11T16:45:20.507Z,6.08,99595.13926630435
1613061610896,2021-02-11T16:45:20.526Z,6.158,99595.97520380435
1613061610973,2021-02-11T16:45:20.539Z,6.235,99595.13926630435
1613061611051,2021-02-11T16:45:20.552Z,6.313,99595.13926630435
1613061611129,2021-02-11T16:45:20.557Z,6.391,99595.31114130435
1613061611206,2021-02-11T16:45:20.571Z,6.468,99595.31114130435
1613061611284,2021-02-11T16:45:20.583Z,6.546,99595.31114130435
1613061611362,2021-02-11T16:45:20.599Z,6.624,99595.31114130435
1613061611439,2021-02-11T16:45:20.612Z,6.701,99594.65489130435
1613061611517,2021-02-11T16:45:20.616Z,6.779,99594.65489130435
1613061611594,2021-02-11T16:45:20.629Z,6.856,99594.65489130435
