epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1613072294680,2021-02-11T19:40:22.254Z,0.003,-0.06099541112780571,-0.004735192749649286,0.9940611124038696
1613072294719,2021-02-11T19:40:22.256Z,0.042,-0.06416924297809601,-0.007176598999649286,0.9984556436538696
1613072294760,2021-02-11T19:40:22.258Z,0.083,-0.06343682110309601,-0.007909020408987999,0.9982115030288696
1613072294800,2021-02-11T19:40:22.269Z,0.12300000000000001,-0.06538994610309601,-0.008885582908987999,0.9974790811538696
1613072294839,2021-02-11T19:40:22.271Z,0.162,-0.06319268047809601,-0.009129723533988,0.9986997842788696
1613072294880,2021-02-11T19:40:22.273Z,0.203,-0.06148369237780571,-0.008641442283987999,0.9996763467788696
1613072294920,2021-02-11T19:40:22.284Z,0.243,-0.06294853985309601,-0.010594567283988,0.9984556436538696
1613072294961,2021-02-11T19:40:22.286Z,0.284,-0.06368096172809601,-0.009373864158988,0.9977232217788696
1613072295000,2021-02-11T19:40:22.289Z,0.32299999999999995,-0.06465752422809601,-0.007664880249649286,0.9989439249038696
1613072295040,2021-02-11T19:40:22.300Z,0.363,-0.06368096172809601,-0.013280114158988,0.9974790811538696
1613072295081,2021-02-11T19:40:22.302Z,0.40399999999999997,-0.06319268047809601,-0.012547692283988,0.9979673624038696
1613072295120,2021-02-11T19:40:22.304Z,0.44299999999999995,-0.06368096172809601,-0.012791832908988,1.0016294717788696
1613072295161,2021-02-11T19:40:22.315Z,0.484,-0.06270439922809601,-0.010838707908988,0.9969907999038696
1613072295201,2021-02-11T19:40:22.318Z,0.524,-0.06221611425280571,-0.013280114158988,0.9986997842788696
1613072295241,2021-02-11T19:40:22.328Z,0.564,-0.06343682110309601,-0.013280114158988,0.9989439249038696
1613072295282,2021-02-11T19:40:22.330Z,0.605,-0.06148369237780571,-0.010838707908988,0.9984556436538696
1613072295321,2021-02-11T19:40:22.333Z,0.644,-0.06319268047809601,-0.012303551658988,0.9989439249038696
1613072295362,2021-02-11T19:40:22.344Z,0.685,-0.06343682110309601,-0.013280114158988,1.0011411905288696
1613072295412,2021-02-11T19:40:22.346Z,0.735,-0.06441338360309601,-0.012791832908988,1.0030943155288696
1613072295452,2021-02-11T19:40:22.349Z,0.775,-0.06612236797809601,-0.014500817283988,1.0030943155288696
1613072295501,2021-02-11T19:40:22.360Z,0.8240000000000001,-0.06392510235309601,-0.014256676658988,0.9984556436538696
1613072295542,2021-02-11T19:40:22.362Z,0.865,-0.06563408672809601,-0.015477379783988,1.0008970499038696
1613072295582,2021-02-11T19:40:22.364Z,0.905,-0.06905205547809601,-0.014012536033988,1.0060240030288696
1613072295623,2021-02-11T19:40:22.376Z,0.946,-0.06465752422809601,-0.011082848533988,0.9972349405288696
1613072295662,2021-02-11T19:40:22.378Z,0.985,-0.07076103985309601,-0.010838707908988,0.9984556436538696
1613072295702,2021-02-11T19:40:22.389Z,1.025,-0.07027275860309601,-0.011571129783988,0.9874693155288696
1613072295743,2021-02-11T19:40:22.391Z,1.0659999999999998,-0.07173760235309601,-0.016942223533988002,1.0016294717788696
1613072295783,2021-02-11T19:40:22.393Z,1.1059999999999999,-0.06587822735309601,-0.016453942283988002,0.9940611124038696
1613072295824,2021-02-11T19:40:22.404Z,1.147,-0.06587822735309601,-0.017674645408988,1.0038267374038696
1613072295863,2021-02-11T19:40:22.406Z,1.186,-0.06001884862780571,-0.017430504783988,0.9928404092788696
1613072295903,2021-02-11T19:40:22.409Z,1.226,-0.06490166485309601,-0.016942223533988002,0.9869810342788696
1613072295944,2021-02-11T19:40:22.420Z,1.2670000000000001,-0.06880791485309601,-0.015721520408988002,0.9908872842788696
1613072295983,2021-02-11T19:40:22.422Z,1.306,-0.06709893047809601,-0.011082848533988,1.0055357217788696
1613072296023,2021-02-11T19:40:22.424Z,1.3459999999999999,-0.06026298925280571,-0.017674645408988,1.0016294717788696
1613072296064,2021-02-11T19:40:22.435Z,1.3869999999999998,-0.05977470800280571,-0.012547692283988,1.0028501749038696
1613072296103,2021-02-11T19:40:22.438Z,1.426,-0.05269462987780571,-0.009373864158988,0.9950376749038696
1613072296144,2021-02-11T19:40:22.449Z,1.4669999999999999,-0.05879814550280571,-0.015233239158988,1.0013853311538696
1613072296184,2021-02-11T19:40:22.450Z,1.507,-0.06538994610309601,-0.014744957908988,0.9965025186538696
1613072296224,2021-02-11T19:40:22.453Z,1.547,-0.05928642675280571,-0.010350426658988,1.0030943155288696
1613072296265,2021-02-11T19:40:22.464Z,1.588,-0.05708916112780571,-0.010350426658988,1.0006529092788696
1613072296304,2021-02-11T19:40:22.466Z,1.6269999999999998,-0.07100518047809601,-0.016942223533988002,1.0023618936538696
1613072296345,2021-02-11T19:40:22.468Z,1.6680000000000001,-0.06929619610309601,-0.014256676658988,0.9947935342788696
1613072296385,2021-02-11T19:40:22.480Z,1.7080000000000002,-0.05562431737780571,-0.011082848533988,1.0021177530288696
1613072296424,2021-02-11T19:40:22.489Z,1.7469999999999999,-0.05342705175280571,-0.010106286033988,1.0048032999038696
1613072296465,2021-02-11T19:40:22.490Z,1.788,-0.05440361425280571,-0.011815270408988,1.0028501749038696
1613072296505,2021-02-11T19:40:22.495Z,1.828,-0.05513603612780571,-0.014989098533988,0.9955259561538696
1613072296546,2021-02-11T19:40:22.498Z,1.869,-0.05025322362780571,-0.0020496456418186426,0.9921079874038696
1613072296585,2021-02-11T19:40:22.509Z,1.9080000000000001,-0.05367119237780571,0.005030432250350714,0.9967466592788696
1613072296625,2021-02-11T19:40:22.510Z,1.9480000000000002,-0.05830986425280571,0.007960120216012001,1.0023618936538696
1613072296666,2021-02-11T19:40:22.513Z,1.989,-0.04341728612780571,0.007471838500350714,1.0018736124038696
1613072296705,2021-02-11T19:40:22.524Z,2.028,-0.04439384862780571,0.006251135375350714,0.9943052530288696
1613072296746,2021-02-11T19:40:22.527Z,2.069,-0.04390556737780571,0.007471838500350714,0.9991880655288696
1613072296786,2021-02-11T19:40:22.529Z,2.109,-0.05269462987780571,0.009424963966012,1.0040708780288696
1613072296826,2021-02-11T19:40:22.540Z,2.149,-0.03706962987780571,0.002589026233181357,0.9982115030288696
1613072296867,2021-02-11T19:40:22.543Z,2.19,-0.04341728612780571,0.0006359011749736965,0.9891782999038696
1613072296906,2021-02-11T19:40:22.553Z,2.229,-0.04390556737780571,-0.006932458374649286,0.9947935342788696
1613072296956,2021-02-11T19:40:22.556Z,2.279,-0.02120049111545086,-0.0030262081418186426,1.0001646280288696
1613072296997,2021-02-11T19:40:22.558Z,2.32,-0.03926689550280571,-0.023778161033988,0.9769712686538696
1613072297047,2021-02-11T19:40:22.569Z,2.37,-0.08565361797809601,-0.03989144414663315,1.0006529092788696
1613072297086,2021-02-11T19:40:22.571Z,2.4090000000000003,-0.08003838360309601,0.003809729358181357,1.0013853311538696
