epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1613073657818,2021-02-11T20:02:59.085Z,0.024,-1.4393080472946167,0.09784458577632904,5.073738098144531
1613073657867,2021-02-11T20:02:59.088Z,0.073,-1.5612592697143555,0.15882019698619843,4.829835414886475
1613073657907,2021-02-11T20:02:59.090Z,0.113,-1.9880884885787964,-0.8777651190757751,4.76885986328125
1613073657948,2021-02-11T20:02:59.101Z,0.154,-1.9880884885787964,-0.9387407898902893,4.403006076812744
1613073657987,2021-02-11T20:02:59.103Z,0.193,-2.5368688106536865,-1.1216676235198975,4.76885986328125
1613073658028,2021-02-11T20:02:59.105Z,0.234,-2.9027225971221924,-1.365570068359375,5.256664752960205
1613073658068,2021-02-11T20:02:59.116Z,0.274,-2.780771255493164,-1.3045945167541504,4.951786518096924
1613073658109,2021-02-11T20:02:59.119Z,0.315,-2.3539421558380127,-1.9143506288528442,3.79325008392334
1613073658150,2021-02-11T20:02:59.131Z,0.356,-2.5978446006774902,-2.6460578441619873,3.3664207458496094
1613073658200,2021-02-11T20:02:59.133Z,0.406,-2.8417470455169678,-3.499716281890869,2.8176403045654297
1613073658239,2021-02-11T20:02:59.135Z,0.445,-2.110039710998535,-3.682643175125122,2.756664752960205
1613073658280,2021-02-11T20:02:59.147Z,0.486,-1.9271129369735718,-5.511911869049072,2.0249574184417725
1613073658320,2021-02-11T20:02:59.149Z,0.526,-1.2563811540603638,-5.938741207122803,1.4152014255523682
1613073658361,2021-02-11T20:02:59.160Z,0.567,-2.110039710998535,-6.9753265380859375,1.4152014255523682
1613073658401,2021-02-11T20:02:59.163Z,0.607,-2.5368688106536865,-8.011911392211914,0.8054452538490295
1613073658442,2021-02-11T20:02:59.165Z,0.648,-3.5124785900115967,-9.963130950927734,-0.2311401069164276
1613073658483,2021-02-11T20:02:59.176Z,0.689,-3.0246737003326416,-10.450936317443848,-3.4628474712371826
1613073658522,2021-02-11T20:02:59.178Z,0.728,-3.2076005935668945,-8.865570068359375,-4.8043107986450195
1613073658563,2021-02-11T20:02:59.180Z,0.769,-1.805161714553833,-4.231423854827881,-4.4994330406188965
1613073658603,2021-02-11T20:02:59.206Z,0.809,-2.4149177074432373,-0.20703347027301788,-7.792116165161133
1613073658644,2021-02-11T20:02:59.208Z,0.85,1.9143506288528442,10.036869049072266,-12.548213958740234
1613073658683,2021-02-11T20:02:59.210Z,0.889,1.182643175125122,5.158820152282715,-18.58479881286621
1613073658724,2021-02-11T20:02:59.222Z,0.93,9.475325584411621,-4.597277641296387,-17.48723793029785
1613073658764,2021-02-11T20:02:59.224Z,0.97,10.999715805053711,-7.158253192901611,-15.840896606445312
1613073658805,2021-02-11T20:02:59.235Z,1.011,10.938740730285645,-6.609472751617432,-10.3530912399292
1613073658844,2021-02-11T20:02:59.237Z,1.05,11.487521171569824,-2.6460578441619873,-4.68235969543457
1613073658885,2021-02-11T20:02:59.240Z,1.091,6.365570068359375,-1.9143506288528442,-1.0847985744476318
1613073658926,2021-02-11T20:02:59.251Z,1.132,6.426546096801758,0.7076007127761841,3.79325008392334
1613073658966,2021-02-11T20:02:59.253Z,1.172,10.633862495422363,6.744185924530029,5.866420745849609
1613073659007,2021-02-11T20:02:59.255Z,1.213,8.316789627075195,11.561259269714355,5.622518539428711
1613073659047,2021-02-11T20:02:59.266Z,1.253,-1.7441860437393188,5.09784460067749,0.9883720874786377
1613073659088,2021-02-11T20:02:59.268Z,1.294,1.3045943975448608,-3.011911392211914,-5.8408966064453125
1613073659127,2021-02-11T20:02:59.270Z,1.333,3.6216678619384766,-6.182643413543701,-7.060408592224121
1613073659168,2021-02-11T20:02:59.281Z,1.374,0.02410663664340973,-4.963131427764893,-0.5969938039779663
1613073659208,2021-02-11T20:02:59.284Z,1.414,-2.8417470455169678,-2.6460578441619873,6.29325008392334
1613073659249,2021-02-11T20:02:59.295Z,1.455,-8.085649490356445,-2.4021553993225098,8.732275009155273
1613073659288,2021-02-11T20:02:59.297Z,1.494,-4.244185924530029,-1.2436188459396362,7.878615856170654
1613073659329,2021-02-11T20:02:59.300Z,1.535,-10.40272331237793,-1.4875212907791138,11.29325008392334
1613073659369,2021-02-11T20:02:59.311Z,1.575,-11.195405960083008,-2.889960289001465,13.000567436218262
1613073659410,2021-02-11T20:02:59.313Z,1.616,-5.951503276824951,-0.9387407898902893,9.159104347229004
1613073659449,2021-02-11T20:02:59.315Z,1.655,-2.1710152626037598,4.731990814208984,0.8664208650588989
1613073659490,2021-02-11T20:02:59.341Z,1.696,2.707033634185791,4.12223482131958,-6.450652599334717
1613073659531,2021-02-11T20:02:59.343Z,1.737,5.694838523864746,1.9880884885787964,-11.389677047729492
1613073659571,2021-02-11T20:02:59.349Z,1.777,2.1582531929016113,0.5246738791465759,-13.096994400024414
1613073659612,2021-02-11T20:02:59.371Z,1.818,-2.2319908142089844,1.1954056024551392,-12.243335723876953
1613073659651,2021-02-11T20:02:59.374Z,1.857,3.8045945167541504,-0.1460578590631485,-12.426262855529785
1613073659693,2021-02-11T20:02:59.385Z,1.899,-2.780771255493164,-3.9875214099884033,-8.645774841308594
1613073659732,2021-02-11T20:02:59.387Z,1.938,-6.0734543800354,-7.097277641296387,-5.353091716766357
1613073659773,2021-02-11T20:02:59.389Z,1.979,-7.17101526260376,-6.853375434875488,-4.68235969543457
1613073659813,2021-02-11T20:02:59.401Z,2.019,-6.805161476135254,-4.7802042961120605,-8.889677047729492
1613073659854,2021-02-11T20:02:59.403Z,2.06,-0.036868974566459656,-4.2923994064331055,-16.450653076171875
1613073659893,2021-02-11T20:02:59.405Z,2.099,4.170448303222656,-6.060692310333252,-21.87748146057129
1613073659934,2021-02-11T20:02:59.416Z,2.14,1.182643175125122,-9.414350509643555,-21.206750869750977
1613073659974,2021-02-11T20:02:59.418Z,2.18,-0.40272262692451477,-9.475326538085938,-17.36528778076172
1613073660015,2021-02-11T20:02:59.421Z,2.221,-9.488088607788086,-7.524106979370117,-10.840896606445312
1613073660056,2021-02-11T20:02:59.446Z,2.262,-8.817357063293457,-9.170448303222656,-9.438457489013672
1613073660095,2021-02-11T20:02:59.448Z,2.301,-6.744185924530029,-9.292399406433105,-6.023823261260986
1613073660136,2021-02-11T20:02:59.460Z,2.342,-13.32955265045166,-4.536302089691162,0.561542809009552
1613073660176,2021-02-11T20:02:59.463Z,2.382,-14.42711353302002,0.15882019698619843,4.951786518096924
1613073660217,2021-02-11T20:02:59.464Z,2.423,-12.292966842651367,0.3417470157146454,3.610323190689087
1613073660256,2021-02-11T20:02:59.476Z,2.462,-7.780771255493164,-3.37776517868042,1.0493477582931519
1613073660297,2021-02-11T20:02:59.478Z,2.503,-7.110039710998535,-3.499716281890869,1.9030063152313232
1613073660337,2021-02-11T20:02:59.480Z,2.543,-6.439308166503906,-2.5850822925567627,3.1834940910339355
1613073660378,2021-02-11T20:02:59.493Z,2.584,-4.853941917419434,-1.8533750772476196,2.146908760070801
1613073660418,2021-02-11T20:02:59.494Z,2.624,1.3045943975448608,-5.755814075469971,-2.8530914783477783
1613073660459,2021-02-11T20:02:59.507Z,2.665,4.536302089691162,-4.719228744506836,-2.3043110370635986
1613073660498,2021-02-11T20:02:59.508Z,2.704,7.707033634185791,-3.011911392211914,-3.1579694747924805
1613073660539,2021-02-11T20:02:59.509Z,2.745,3.2558140754699707,0.3417470157146454,-0.10918888449668884
1613073660580,2021-02-11T20:02:59.521Z,2.786,0.08508224785327911,1.9880884885787964,2.146908760070801
1613073660620,2021-02-11T20:02:59.523Z,2.826,8.499715805053711,-6.060692310333252,-2.426262140274048
1613073660661,2021-02-11T20:02:59.525Z,2.867,8.743618965148926,-8.011911392211914,-1.145774245262146
1613073660700,2021-02-11T20:02:59.536Z,2.906,-1.7441860437393188,-13.072887420654297,3.610323190689087
1613073660741,2021-02-11T20:02:59.539Z,2.947,3.682643413543701,-17.646059036254883,13.427396774291992
1613073660781,2021-02-11T20:02:59.550Z,2.987,-10.341747283935547,-10.572887420654297,16.781055450439453
1613073660832,2021-02-11T20:02:59.552Z,3.038,-0.280771404504776,-3.682643175125122,11.781055450439453
1613073660872,2021-02-11T20:02:59.554Z,3.078,-2.2319908142089844,-6.243618965148926,7.024957656860352
1613073660913,2021-02-11T20:02:59.565Z,3.119,-2.0490641593933105,-10.694838523864746,4.159103870391846
1613073660952,2021-02-11T20:02:59.568Z,3.158,-2.0490641593933105,-12.15825366973877,3.24446964263916
1613073660993,2021-02-11T20:02:59.611Z,3.199,10.0241060256958,-12.646058082580566,-3.096993923187256
1613073661033,2021-02-11T20:02:59.613Z,3.239,10.0241060256958,-4.963131427764893,-4.25553035736084
1613073661074,2021-02-11T20:02:59.615Z,3.28,4.90215539932251,-1.0606920719146729,-2.1213841438293457
1613073661113,2021-02-11T20:02:59.626Z,3.319,0.6948383450508118,7.110039710998535,3.5493476390838623
1613073661154,2021-02-11T20:02:59.629Z,3.36,-3.817356824874878,15.219796180725098,6.963982105255127
1613073661194,2021-02-11T20:02:59.655Z,3.4,0.6948383450508118,17.475893020629883,3.79325008392334
1613073661235,2021-02-11T20:02:59.657Z,3.441,0.38996031880378723,21.012479782104492,1.7200794219970703
1613073661276,2021-02-11T20:02:59.660Z,3.482,-7.475893497467041,14.427112579345703,5.378615856170654
1613073661316,2021-02-11T20:02:59.671Z,3.522,-13.268576622009277,16.134429931640625,5.256664752960205
1613073661357,2021-02-11T20:02:59.673Z,3.563,-8.45150375366211,14.549064636230469,5.805445194244385
1613073661396,2021-02-11T20:02:59.675Z,3.602,0.32898470759391785,9.731990814208984,5.6834940910339355
1613073661437,2021-02-11T20:02:59.686Z,3.643,-1.1954056024551392,6.256381034851074,3.610323190689087
1613073661477,2021-02-11T20:02:59.688Z,3.683,-2.963698148727417,3.2685763835906982,-1.145774245262146
1613073661518,2021-02-11T20:02:59.690Z,3.724,-2.8417470455169678,-2.1582529544830322,-5.718945026397705
1613073661557,2021-02-11T20:02:59.701Z,3.763,-0.5856494903564453,-0.8167895674705505,-6.694554805755615
1613073661598,2021-02-11T20:02:59.704Z,3.804,-1.6832104921340942,2.1710152626037598,-5.536018371582031
1613073661638,2021-02-11T20:02:59.715Z,3.844,7.219228744506836,0.5856494903564453,-4.8043107986450195
1613073661679,2021-02-11T20:02:59.717Z,3.885,4.414350509643555,6.5612592697143555,-0.6579694151878357
1613073661718,2021-02-11T20:02:59.719Z,3.924,-0.036868974566459656,10.341747283935547,2.939591646194458
1613073661759,2021-02-11T20:02:59.731Z,3.965,3.1338629722595215,9.914917945861816,1.2932502031326294
1613073661800,2021-02-11T20:02:59.733Z,4.006,2.6460580825805664,12.780771255493164,1.842030644416809
