epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1613074175179,2021-02-11T20:10:46.714Z,76.982,-8.884721755981445,-17.765277862548828,24.087499618530273
1613074175220,2021-02-11T20:10:46.729Z,77.023,-9.259721755981444,-18.515277862548828,24.149999618530273
1613074175260,2021-02-11T20:10:46.744Z,77.063,-8.509721755981445,-18.515277862548828,23.712499618530273
1613074175301,2021-02-11T20:10:46.759Z,77.104,-8.884721755981445,-18.140277862548828,22.962499618530273
1613074175340,2021-02-11T20:10:46.803Z,77.143,-9.259721755981444,-18.515277862548828,23.712499618530273
1613074175390,2021-02-11T20:10:46.805Z,77.193,-9.259721755981444,-19.265277862548828,23.712499618530273
1613074175431,2021-02-11T20:10:46.820Z,77.234,-9.634721755981444,-18.890277862548828,25.337499618530273
1613074175471,2021-02-11T20:10:46.834Z,77.274,-7.8222222328186035,-17.765277862548828,23.337499618530273
1613074175510,2021-02-11T20:10:46.849Z,77.313,-9.259721755981444,-17.077777862548828,24.899999618530273
1613074175551,2021-02-11T20:10:46.863Z,77.354,-8.572221755981445,-18.890277862548828,24.524999618530273
1613074175591,2021-02-11T20:10:46.865Z,77.39399999999999,-9.259721755981444,-18.515277862548828,23.337499618530273
1613074175632,2021-02-11T20:10:46.879Z,77.435,-10.009721755981444,-17.077777862548828,23.774999618530273
1613074175671,2021-02-11T20:10:46.894Z,77.47399999999999,-8.884721755981445,-18.140277862548828,24.899999618530273
1613074175712,2021-02-11T20:10:46.909Z,77.515,-8.509721755981445,-18.140277862548828,23.337499618530273
1613074175752,2021-02-11T20:10:46.924Z,77.555,-9.259721755981444,-18.515277862548828,24.524999618530273
1613074175792,2021-02-11T20:10:46.939Z,77.595,-8.884721755981445,-19.265277862548828,24.524999618530273
1613074175833,2021-02-11T20:10:46.953Z,77.63600000000001,-7.8222222328186035,-17.765277862548828,25.337499618530273
1613074175872,2021-02-11T20:10:46.955Z,77.675,-7.8222222328186035,-17.765277862548828,25.337499618530273
1613074175913,2021-02-11T20:10:46.969Z,77.71600000000001,-8.197221755981445,-18.140277862548828,24.149999618530273
1613074175953,2021-02-11T20:10:46.984Z,77.756,-8.197221755981445,-18.140277862548828,24.149999618530273
1613074175994,2021-02-11T20:10:46.999Z,77.797,-7.8222222328186035,-31.390277862548828,25.337499618530273
1613074176033,2021-02-11T20:10:47.014Z,77.836,-8.509721755981445,-20.015277862548828,23.337499618530273
1613074176073,2021-02-11T20:10:47.028Z,77.876,-8.884721755981445,-17.765277862548828,24.899999618530273
1613074176114,2021-02-11T20:10:47.043Z,77.917,-9.259721755981444,-28.452777862548828,24.962499618530273
1613074176153,2021-02-11T20:10:47.045Z,77.956,-8.509721755981445,-18.140277862548828,23.337499618530273
1613074176194,2021-02-11T20:10:47.059Z,77.997,-9.634721755981444,-21.827777862548828,23.337499618530273
1613074176234,2021-02-11T20:10:47.074Z,78.03699999999999,-8.509721755981445,-23.265277862548828,23.337499618530273
1613074176274,2021-02-11T20:10:47.089Z,78.077,-8.884721755981445,-17.390277862548828,22.962499618530273
1613074176315,2021-02-11T20:10:47.103Z,78.118,-8.197221755981445,-18.890277862548828,23.337499618530273
1613074176354,2021-02-11T20:10:47.105Z,78.157,-9.259721755981444,-22.952777862548828,22.962499618530273
1613074176395,2021-02-11T20:10:47.120Z,78.19800000000001,-10.009721755981444,-22.952777862548828,23.337499618530273
1613074176435,2021-02-11T20:10:47.150Z,78.238,-8.884721755981445,-21.077777862548828,24.899999618530273
1613074176474,2021-02-11T20:10:47.169Z,78.277,-8.884721755981445,-18.515277862548828,22.524999618530273
1613074176515,2021-02-11T20:10:47.178Z,78.318,-8.197221755981445,-17.390277862548828,20.962499618530273
1613074176555,2021-02-11T20:10:47.180Z,78.358,-9.259721755981444,-18.140277862548828,24.899999618530273
1613074176596,2021-02-11T20:10:47.195Z,78.399,-8.884721755981445,-19.640277862548828,21.774999618530273
1613074176635,2021-02-11T20:10:47.210Z,78.438,-7.8222222328186035,-18.515277862548828,22.962499618530273
1613074176676,2021-02-11T20:10:47.224Z,78.479,-9.259721755981444,-18.140277862548828,22.962499618530273
1613074176716,2021-02-11T20:10:47.239Z,78.51899999999999,-10.384721755981444,-19.265277862548828,23.337499618530273
1613074176755,2021-02-11T20:10:47.254Z,78.558,-9.259721755981444,-17.765277862548828,21.774999618530273
1613074176796,2021-02-11T20:10:47.269Z,78.59899999999999,-9.634721755981444,-17.765277862548828,23.337499618530273
1613074176836,2021-02-11T20:10:47.283Z,78.639,-7.8222222328186035,-18.515277862548828,21.774999618530273
1613074176877,2021-02-11T20:10:47.298Z,78.68,-7.8222222328186035,-18.515277862548828,22.149999618530273
1613074176917,2021-02-11T20:10:47.300Z,78.72,-8.884721755981445,-17.765277862548828,23.337499618530273
1613074176956,2021-02-11T20:10:47.314Z,78.759,-8.884721755981445,-18.140277862548828,22.149999618530273
1613074176997,2021-02-11T20:10:47.344Z,78.8,-8.197221755981445,-18.890277862548828,22.149999618530273
1613074177037,2021-02-11T20:10:47.359Z,78.84,-7.8222222328186035,-17.390277862548828,22.149999618530273
1613074177078,2021-02-11T20:10:47.373Z,78.881,-7.072222232818604,-18.140277862548828,20.524999618530273
1613074177117,2021-02-11T20:10:47.375Z,78.92,-8.197221755981445,-18.890277862548828,21.337499618530273
1613074177158,2021-02-11T20:10:47.390Z,78.961,-6.322222232818604,-18.890277862548828,20.962499618530273
1613074177198,2021-02-11T20:10:47.405Z,79.001,-7.8222222328186035,-19.640277862548828,20.962499618530273
1613074177237,2021-02-11T20:10:47.419Z,79.04,-6.697222232818604,-18.890277862548828,22.524999618530273
1613074177278,2021-02-11T20:10:47.433Z,79.081,-6.697222232818604,-20.327777862548828,20.587499618530273
1613074177318,2021-02-11T20:10:47.435Z,79.12100000000001,-7.8222222328186035,-19.640277862548828,20.962499618530273
1613074177359,2021-02-11T20:10:47.463Z,79.16199999999999,-7.4472222328186035,-19.640277862548828,20.524999618530273
1613074177399,2021-02-11T20:10:47.465Z,79.202,-7.4472222328186035,-20.015277862548828,21.774999618530273
1613074177438,2021-02-11T20:10:47.480Z,79.241,-6.322222232818604,-18.140277862548828,20.587499618530273
