epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1613075896869,2021-02-11T20:41:55.311Z,-0.029,-6.311079502105713,-10.982954978942871,-66.15341186523438
1613075896909,2021-02-11T20:41:55.313Z,0.011,-5.936079502105713,-10.232954978942871,-67.84091186523438
1613075896948,2021-02-11T20:41:55.315Z,0.05,-5.561079502105713,-10.232954978942871,-65.77841186523438
1613075896989,2021-02-11T20:41:55.326Z,0.091,-5.186079502105713,-10.232954978942871,-66.15341186523438
1613075897029,2021-02-11T20:41:55.328Z,0.131,-6.623579502105713,-9.170454978942871,-66.59091186523438
1613075897049,2021-02-11T20:41:55.329Z,0.151,-6.623579502105713,-8.420454978942871,-66.59091186523438
1613075897089,2021-02-11T20:41:55.355Z,0.191,-5.936079502105713,-10.607954978942871,-66.59091186523438
1613075897129,2021-02-11T20:41:55.357Z,0.231,-5.561079502105713,-9.857954978942871,-66.21591186523438
1613075897168,2021-02-11T20:41:55.360Z,0.27,-6.311079502105713,-10.232954978942871,-66.59091186523438
1613075897208,2021-02-11T20:41:55.400Z,0.31,-5.186079502105713,-10.982954978942871,-67.40341186523438
1613075897249,2021-02-11T20:41:55.403Z,0.351,-5.936079502105713,-20.732954025268555,-65.40341186523438
1613075897288,2021-02-11T20:41:55.405Z,0.39,-4.811079502105713,-11.670454978942871,-65.40341186523438
1613075897328,2021-02-11T20:41:55.416Z,0.43,-5.561079502105713,-11.295454978942871,-67.40341186523438
1613075897367,2021-02-11T20:41:55.418Z,0.469,-5.936079502105713,-9.857954978942871,-66.21591186523438
1613075897408,2021-02-11T20:41:55.429Z,0.51,-5.936079502105713,-27.232954025268555,-66.21591186523438
1613075897448,2021-02-11T20:41:55.431Z,0.55,-6.623579502105713,-12.045454978942871,-67.02841186523438
1613075897487,2021-02-11T20:41:55.434Z,0.589,-5.561079502105713,-9.857954978942871,-66.59091186523438
1613075897527,2021-02-11T20:41:55.444Z,0.629,-5.936079502105713,-16.732954025268555,-67.40341186523438
1613075897567,2021-02-11T20:41:55.447Z,0.669,-6.311079502105713,-9.857954978942871,-67.40341186523438
1613075897608,2021-02-11T20:41:55.449Z,0.71,-6.311079502105713,-10.232954978942871,-66.21591186523438
1613075897647,2021-02-11T20:41:55.460Z,0.749,-5.936079502105713,-10.607954978942871,-67.02841186523438
1613075897687,2021-02-11T20:41:55.462Z,0.789,-6.311079502105713,-10.232954978942871,-68.21591186523438
1613075897726,2021-02-11T20:41:55.465Z,0.828,-6.311079502105713,-9.107954978942871,-66.59091186523438
1613075897766,2021-02-11T20:41:55.476Z,0.868,-5.561079502105713,-11.295454978942871,-66.21591186523438
1613075897807,2021-02-11T20:41:55.478Z,0.909,-6.623579502105713,-9.857954978942871,-67.40341186523438
1613075897846,2021-02-11T20:41:55.497Z,0.948,-6.311079502105713,-10.232954978942871,-66.59091186523438
1613075897886,2021-02-11T20:41:55.500Z,0.988,-5.561079502105713,-9.482954978942871,-66.21591186523438
1613075897925,2021-02-11T20:41:55.505Z,1.027,-4.811079502105713,-9.482954978942871,-66.59091186523438
1613075897965,2021-02-11T20:41:55.507Z,1.067,-6.311079502105713,-9.857954978942871,-64.59091186523438
1613075898006,2021-02-11T20:41:55.507Z,1.108,-5.186079502105713,-12.732954978942871,-67.02841186523438
1613075898046,2021-02-11T20:41:55.509Z,1.148,-5.186079502105713,-14.232954978942871,-65.77841186523438
1613075898085,2021-02-11T20:41:55.520Z,1.187,-6.623579502105713,-18.920454025268555,-64.96591186523438
1613075898125,2021-02-11T20:41:55.522Z,1.227,-6.311079502105713,-10.607954978942871,-66.59091186523438
1613075898166,2021-02-11T20:41:55.525Z,1.268,-5.186079502105713,-9.857954978942871,-65.77841186523438
1613075898205,2021-02-11T20:41:55.536Z,1.307,-6.311079502105713,-10.920454978942871,-66.21591186523438
1613075898245,2021-02-11T20:41:55.538Z,1.347,-4.811079502105713,-11.295454978942871,-67.02841186523438
1613075898284,2021-02-11T20:41:55.540Z,1.386,-6.311079502105713,-11.670454978942871,-64.59091186523438
1613075898324,2021-02-11T20:41:55.551Z,1.426,-5.186079502105713,-10.920454978942871,-67.02841186523438
1613075898363,2021-02-11T20:41:55.554Z,1.465,-5.561079502105713,-9.107954978942871,-66.59091186523438
1613075898404,2021-02-11T20:41:55.565Z,1.506,-5.936079502105713,-11.295454978942871,-65.77841186523438
