epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1613178288179,2021-02-13T01:05:51.000Z,0,0.09849964827299118,-0.10822642594575882,-1.0198863744735718
1613178288218,2021-02-13T01:05:51.001Z,0.039,0.09752308577299118,-0.10895884782075882,-1.0240367650985718
1613178288258,2021-02-13T01:05:51.016Z,0.079,0.09825550764799118,-0.10944712907075882,-1.0264781713485718
1613178288296,2021-02-13T01:05:51.030Z,0.117,0.10045277327299118,-0.10822642594575882,-1.0245250463485718
1613178288336,2021-02-13T01:05:51.045Z,0.157,0.09679066389799118,-0.10871470719575882,-1.0262340307235718
1613178288375,2021-02-13T01:05:51.046Z,0.196,0.09752308577299118,-0.10700572282075882,-1.0259898900985718
1613178288415,2021-02-13T01:05:51.061Z,0.236,0.09752308577299118,-0.10920298844575882,-1.0257457494735718
1613178288454,2021-02-13T01:05:51.075Z,0.275,0.09849964827299118,-0.10920298844575882,-1.0262340307235718
1613178288494,2021-02-13T01:05:51.090Z,0.315,0.09801136702299118,-0.10871470719575882,-1.0240367650985718
1613178288533,2021-02-13T01:05:51.104Z,0.354,0.09849964827299118,-0.10920298844575882,-1.0259898900985718
1613178288573,2021-02-13T01:05:51.106Z,0.394,0.09972035139799118,-0.11066783219575882,-1.0264781713485718
1613178288611,2021-02-13T01:05:51.121Z,0.432,0.09776722639799118,-0.10969126969575882,-1.0250133275985718
1613178288651,2021-02-13T01:05:51.136Z,0.472,0.09679066389799118,-0.10773814469575882,-1.0262340307235718
1613178288690,2021-02-13T01:05:51.150Z,0.511,0.09801136702299118,-0.10798228532075882,-1.0240367650985718
1613178288730,2021-02-13T01:05:51.165Z,0.551,0.09605824202299118,-0.10578501969575882,-1.0240367650985718
1613178288769,2021-02-13T01:05:51.167Z,0.59,0.09923207014799118,-0.10773814469575882,-1.0259898900985718
1613178288809,2021-02-13T01:05:51.196Z,0.63,0.09679066389799118,-0.10920298844575882,-1.0267223119735718
1613178288848,2021-02-13T01:05:51.211Z,0.669,0.09874378889799118,-0.10798228532075882,-1.0276988744735718
1613178288888,2021-02-13T01:05:51.225Z,0.709,0.09679066389799118,-0.10871470719575882,-1.0284312963485718
1613178288926,2021-02-13T01:05:51.240Z,0.747,0.09776722639799118,-0.10773814469575882,-1.0255016088485718
1613178288965,2021-02-13T01:05:51.255Z,0.786,0.09874378889799118,-0.10847056657075882,-1.0247691869735718
1613178289005,2021-02-13T01:05:51.257Z,0.826,0.09849964827299118,-0.10895884782075882,-1.0259898900985718
1613178289045,2021-02-13T01:05:51.271Z,0.866,0.09654652327299118,-0.10798228532075882,-1.0233043432235718
1613178289084,2021-02-13T01:05:51.285Z,0.905,0.09679066389799118,-0.10700572282075882,-1.0245250463485718
1613178289124,2021-02-13T01:05:51.302Z,0.945,0.09801136702299118,-0.10969126969575882,-1.0247691869735718
