epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613179349546,2021-02-13T01:23:09.880Z,64.65100000000001,99591.58268229169
1613179349586,2021-02-13T01:23:09.895Z,64.691,99591.58268229169
1613179349625,2021-02-13T01:23:09.897Z,64.73,99591.58268229169
1613179349665,2021-02-13T01:23:09.912Z,64.77,99590.91080729169
1613179349704,2021-02-13T01:23:09.926Z,64.809,99590.91080729169
1613179349744,2021-02-13T01:23:09.940Z,64.84899999999999,99590.91080729169
1613179349783,2021-02-13T01:23:09.955Z,64.888,99590.91080729169
1613179349823,2021-02-13T01:23:09.970Z,64.928,99591.58268229169
1613179349862,2021-02-13T01:23:09.972Z,64.967,99591.58268229169
1613179349900,2021-02-13T01:23:09.986Z,65.005,99591.58268229169
1613179349940,2021-02-13T01:23:10.000Z,65.045,99591.58268229169
1613179349980,2021-02-13T01:23:10.015Z,65.085,99591.58268229169
1613179350019,2021-02-13T01:23:10.030Z,65.124,99591.58268229169
1613179350059,2021-02-13T01:23:10.032Z,65.164,99591.58268229169
1613179350098,2021-02-13T01:23:10.046Z,65.203,99591.58268229169
1613179350138,2021-02-13T01:23:10.061Z,65.243,99592.25455729169
1613179350177,2021-02-13T01:23:10.075Z,65.282,99592.25455729169
1613179350217,2021-02-13T01:23:10.090Z,65.322,99592.25455729169
1613179350256,2021-02-13T01:23:10.105Z,65.361,99592.25455729169
1613179350294,2021-02-13T01:23:10.120Z,65.399,99592.25455729169
1613179350334,2021-02-13T01:23:10.123Z,65.439,99592.25455729169
1613179350374,2021-02-13T01:23:10.136Z,65.479,99592.25455729169
1613179350413,2021-02-13T01:23:10.150Z,65.518,99592.25455729169
1613179350453,2021-02-13T01:23:10.165Z,65.558,99592.25455729169
1613179350492,2021-02-13T01:23:10.180Z,65.597,99592.25455729169
1613179350532,2021-02-13T01:23:10.182Z,65.637,99592.25455729169
1613179350571,2021-02-13T01:23:10.196Z,65.676,99592.25455729169
1613179350611,2021-02-13T01:23:10.211Z,65.71600000000001,99592.25455729169
1613179350650,2021-02-13T01:23:10.225Z,65.755,99592.25455729169
1613179350690,2021-02-13T01:23:10.240Z,65.795,99592.25455729169
1613179350730,2021-02-13T01:23:10.242Z,65.835,99592.25455729169
1613179350768,2021-02-13T01:23:10.257Z,65.873,99593.08268229169
1613179350807,2021-02-13T01:23:10.271Z,65.91199999999999,99593.08268229169
1613179350847,2021-02-13T01:23:10.285Z,65.952,99593.08268229169
