epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1613180468871,2021-02-13T01:43:06.459Z,0.044,-0.3658536672592163,-0.12195122241973877,-0.4878048896789551
1613180468912,2021-02-13T01:43:06.473Z,0.085,-0.4878048896789551,-0.3048780560493469,-0.3048780560493469
1613180468952,2021-02-13T01:43:06.488Z,0.125,0,-0.3658536672592163,-0.18292683362960815
1613180468993,2021-02-13T01:43:06.502Z,0.166,-0.4268292784690857,-0.6097561120986938,-0.4268292784690857
1613180469032,2021-02-13T01:43:06.504Z,0.205,-0.3048780560493469,-0.6097561120986938,-0.060975611209869385
1613180469072,2021-02-13T01:43:06.518Z,0.245,-0.18292683362960815,-0.5487805008888245,0.18292683362960815
1613180469113,2021-02-13T01:43:06.533Z,0.286,0.12195122241973877,-0.7317073345184326,0
1613180469163,2021-02-13T01:43:06.548Z,0.336,-0.3048780560493469,-1.0365853309631348,-0.8536585569381714
1613180469204,2021-02-13T01:43:06.563Z,0.377,-0.4878048896789551,-1.402438998222351,-1.5243902206420898
1613180469254,2021-02-13T01:43:06.578Z,0.427,-0.5487805008888245,-1.8292683362960815,-2.012195110321045
1613180469293,2021-02-13T01:43:06.592Z,0.466,-0.7317073345184326,-2.2560975551605225,-2.2560975551605225
1613180469343,2021-02-13T01:43:06.607Z,0.516,-0.8536585569381714,-2.804877996444702,-2.0731706619262695
1613180469384,2021-02-13T01:43:06.609Z,0.557,-1.402438998222351,-2.195122003555298,-1.4634146690368652
1613180469424,2021-02-13T01:43:06.623Z,0.597,0,-3.1097562313079834,-1.402438998222351
1613180469465,2021-02-13T01:43:06.638Z,0.638,-0.9146341681480408,-3.170731782913208,-2.1341464519500732
1613180469504,2021-02-13T01:43:06.653Z,0.677,-1.1585365533828735,-3.9634146690368652,-1.8902438879013062
1613180469544,2021-02-13T01:43:06.668Z,0.717,-1.7682926654815674,-3.7195122241973877,-1.7073171138763428
1613180469585,2021-02-13T01:43:06.669Z,0.758,-0.9146341681480408,-4.146341323852539,-1.9512195587158203
1613180469624,2021-02-13T01:43:06.684Z,0.797,-1.2804877758026123,-4.207317352294922,-2.012195110321045
1613180469665,2021-02-13T01:43:06.698Z,0.838,-0.9146341681480408,-5.304878234863281,-1.402438998222351
1613180469705,2021-02-13T01:43:06.714Z,0.878,-1.7073171138763428,-5.54878044128418,-1.4634146690368652
1613180469746,2021-02-13T01:43:06.727Z,0.919,-1.9512195587158203,-5.792683124542236,-1.2195122241973877
1613180469785,2021-02-13T01:43:06.742Z,0.958,-2.195122003555298,-5.97560977935791,-0.7317073345184326
1613180469825,2021-02-13T01:43:06.745Z,0.998,-2.6219513416290283,-6.158536911010742,0.12195122241973877
1613180469866,2021-02-13T01:43:06.759Z,1.039,-3.4146342277526855,-5.9146342277526855,0.6707317233085632
1613180469905,2021-02-13T01:43:06.773Z,1.078,-4.0853657722473145,-5.97560977935791,0.9756097793579102
1613180469957,2021-02-13T01:43:06.788Z,1.13,-4.146341323852539,-5.792683124542236,0.9146341681480408
1613180469996,2021-02-13T01:43:06.802Z,1.169,-3.4146342277526855,-4.939024448394775,0.4268292784690857
1613180470036,2021-02-13T01:43:06.804Z,1.209,-2.1341464519500732,-3.5365853309631348,0.3658536672592163
1613180470077,2021-02-13T01:43:06.819Z,1.25,-2.6219513416290283,-1.2195122241973877,0.7317073345184326
1613180470116,2021-02-13T01:43:06.833Z,1.289,-2.1341464519500732,-1.402438998222351,-0.12195122241973877
1613180470157,2021-02-13T01:43:06.848Z,1.33,-2.865853786468506,-0.6707317233085632,-1.1585365533828735
1613180470197,2021-02-13T01:43:06.862Z,1.37,-2.195122003555298,-0.792682945728302,-1.3414634466171265
1613180470236,2021-02-13T01:43:06.864Z,1.409,-2.7439024448394775,-0.4268292784690857,-1.2804877758026123
1613180470278,2021-02-13T01:43:06.879Z,1.451,-2.0731706619262695,-0.5487805008888245,-1.3414634466171265
1613180470317,2021-02-13T01:43:06.893Z,1.49,-2.378048896789551,-0.24390244483947754,-1.8902438879013062
1613180470358,2021-02-13T01:43:06.908Z,1.531,-1.3414634466171265,-0.7317073345184326,-1.4634146690368652
1613180470398,2021-02-13T01:43:06.922Z,1.571,-1.0365853309631348,-1.097561001777649,-1.097561001777649
1613180470437,2021-02-13T01:43:06.937Z,1.61,-0.9756097793579102,-1.2195122241973877,-0.6097561120986938
1613180470478,2021-02-13T01:43:06.939Z,1.651,-0.3658536672592163,-1.7073171138763428,0.4878048896789551
1613180470518,2021-02-13T01:43:06.953Z,1.691,-0.4268292784690857,-1.3414634466171265,0.3658536672592163
1613180470559,2021-02-13T01:43:06.968Z,1.732,-0.3048780560493469,-1.7073171138763428,0.5487805008888245
1613180470598,2021-02-13T01:43:06.983Z,1.771,-0.6707317233085632,-2.6219513416290283,-0.060975611209869385
1613180470639,2021-02-13T01:43:06.997Z,1.812,-1.585365891456604,-3.7195122241973877,-0.3658536672592163
1613180470679,2021-02-13T01:43:06.999Z,1.852,-1.097561001777649,-4.2682929039001465,0
1613180470718,2021-02-13T01:43:07.014Z,1.891,-0.9756097793579102,-5.4268293380737305,-0.3048780560493469
1613180470759,2021-02-13T01:43:07.028Z,1.932,-0.9756097793579102,-5.731707572937012,0.12195122241973877
1613180470799,2021-02-13T01:43:07.043Z,1.972,-1.1585365533828735,-7.5,-0.18292683362960815
1613180470840,2021-02-13T01:43:07.057Z,2.013,-1.402438998222351,-8.841464042663574,-0.4878048896789551
1613180470880,2021-02-13T01:43:07.072Z,2.053,-2.2560975551605225,-7.439024448394775,-1.4634146690368652
1613180470921,2021-02-13T01:43:07.074Z,2.094,-1.6463414430618286,-9.512195587158203,-2.5609755516052246
1613180470960,2021-02-13T01:43:07.088Z,2.133,-1.7682926654815674,-13.04878044128418,-2.682926893234253
1613180471000,2021-02-13T01:43:07.103Z,2.173,-0.9146341681480408,-14.085366249084473,0
1613180471041,2021-02-13T01:43:07.118Z,2.214,0.4878048896789551,-14.329268455505371,1.585365891456604
1613180471080,2021-02-13T01:43:07.132Z,2.253,0.792682945728302,-11.707317352294922,3.2317073345184326
1613180471121,2021-02-13T01:43:07.134Z,2.294,0.4268292784690857,-8.841464042663574,3.658536672592163
1613180471161,2021-02-13T01:43:07.148Z,2.334,-2.0731706619262695,-8.536585807800293,1.585365891456604
1613180471202,2021-02-13T01:43:07.163Z,2.375,-5.792683124542236,-6.036585330963135,0.24390244483947754
1613180471252,2021-02-13T01:43:07.179Z,2.425,-7.317073345184326,-4.512195110321045,-1.9512195587158203
1613180471291,2021-02-13T01:43:07.194Z,2.464,-7.621951580047607,-5.060975551605225,-3.47560977935791
1613180471332,2021-02-13T01:43:07.207Z,2.505,-8.90243911743164,-2.9268293380737305,-3.5975611209869385
1613180471372,2021-02-13T01:43:07.222Z,2.545,-8.59756088256836,0.5487805008888245,-5.121951103210449
1613180471411,2021-02-13T01:43:07.224Z,2.584,-7.134146690368652,4.817073345184326,-6.280488014221191
1613180471452,2021-02-13T01:43:07.239Z,2.625,-7.560975551605225,9.817073822021484,-7.317073345184326
1613180471492,2021-02-13T01:43:07.254Z,2.665,-4.45121955871582,10.304878234863281,-9.02439022064209
1613180471533,2021-02-13T01:43:07.268Z,2.706,-1.7073171138763428,11.219511985778809,-9.146341323852539
1613180471572,2021-02-13T01:43:07.282Z,2.745,0.9756097793579102,13.963415145874023,-6.158536911010742
1613180471612,2021-02-13T01:43:07.284Z,2.785,1.4634146690368652,17.378049850463867,-4.756097793579102
1613180471653,2021-02-13T01:43:07.299Z,2.826,-1.6463414430618286,21.341463088989258,-6.219512462615967
1613180471693,2021-02-13T01:43:07.313Z,2.866,-5.792683124542236,18.109756469726562,-10.12195110321045
1613180471744,2021-02-13T01:43:07.328Z,2.917,-10.365854263305664,17.560976028442383,-9.329268455505371
1613180471783,2021-02-13T01:43:07.342Z,2.956,-9.45121955871582,14.939024925231934,-9.87804889678955
1613180471823,2021-02-13T01:43:07.357Z,2.996,-6.95121955871582,9.02439022064209,-11.585366249084473
1613180471864,2021-02-13T01:43:07.389Z,3.037,-7.9268293380737305,6.341463565826416,-12.987805366516113
1613180471903,2021-02-13T01:43:07.403Z,3.076,-8.658536911010742,9.817073822021484,-10.060976028442383
1613180471944,2021-02-13T01:43:07.418Z,3.117,-9.512195587158203,16.036584854125977,-4.329268455505371
1613180471984,2021-02-13T01:43:07.433Z,3.157,-9.390244483947754,15.792683601379395,0.4268292784690857
1613180472024,2021-02-13T01:43:07.447Z,3.197,-8.231707572937012,12.134146690368652,3.7195122241973877
