epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613665072227,2021-02-18T16:19:33.206Z,15.394,99469.90828804347
1613665072267,2021-02-18T16:19:33.208Z,15.434000000000001,99469.90828804347
1613665072306,2021-02-18T16:19:33.220Z,15.472999999999999,99469.90828804347
1613665072346,2021-02-18T16:19:33.222Z,15.513,99469.90828804347
1613665072387,2021-02-18T16:19:33.233Z,15.554,99469.90828804347
1613665072426,2021-02-18T16:19:33.236Z,15.593,99469.90828804347
1613665072466,2021-02-18T16:19:33.237Z,15.633,99469.90828804347
1613665072505,2021-02-18T16:19:33.248Z,15.672,99469.90828804347
1613665072545,2021-02-18T16:19:33.251Z,15.712,99469.90828804347
1613665072585,2021-02-18T16:19:33.263Z,15.752,99469.90828804347
1613665072624,2021-02-18T16:19:33.264Z,15.790999999999999,99469.90828804347
1613665072664,2021-02-18T16:19:33.267Z,15.831,99469.25203804347
1613665072703,2021-02-18T16:19:33.278Z,15.87,99469.25203804347
1613665072743,2021-02-18T16:19:33.280Z,15.91,99469.90828804347
1613665072782,2021-02-18T16:19:33.282Z,15.949000000000002,99469.90828804347
1613665072822,2021-02-18T16:19:33.293Z,15.989,99469.90828804347
1613665072863,2021-02-18T16:19:33.309Z,16.03,99469.90828804347
1613665072902,2021-02-18T16:19:33.312Z,16.069000000000003,99469.90828804347
1613665072942,2021-02-18T16:19:33.322Z,16.109,99469.90828804347
1613665072981,2021-02-18T16:19:33.325Z,16.148,99469.90828804347
1613665073021,2021-02-18T16:19:33.327Z,16.188,99469.90828804347
1613665073061,2021-02-18T16:19:33.338Z,16.227999999999998,99469.25203804347
1613665073100,2021-02-18T16:19:33.340Z,16.267,99469.25203804347
1613665073140,2021-02-18T16:19:33.342Z,16.307000000000002,99469.90828804347
1613665073179,2021-02-18T16:19:33.353Z,16.346,99469.90828804347
1613665073219,2021-02-18T16:19:33.356Z,16.386,99470.73641304347
1613665073258,2021-02-18T16:19:33.358Z,16.425,99470.73641304347
1613665073299,2021-02-18T16:19:33.369Z,16.465999999999998,99470.73641304347
1613665073339,2021-02-18T16:19:33.371Z,16.506,99470.73641304347
1613665073378,2021-02-18T16:19:33.383Z,16.545,99470.73641304347
1613665073418,2021-02-18T16:19:33.398Z,16.585,99470.73641304347
1613665073458,2021-02-18T16:19:33.401Z,16.625,99470.73641304347
1613665073497,2021-02-18T16:19:33.402Z,16.664,99470.73641304347
1613665073537,2021-02-18T16:19:33.414Z,16.704,99470.73641304347
1613665073576,2021-02-18T16:19:33.416Z,16.743,99470.73641304347
1613665073616,2021-02-18T16:19:33.418Z,16.783,99470.73641304347
1613665073655,2021-02-18T16:19:33.429Z,16.822,99470.73641304347
1613665073695,2021-02-18T16:19:33.432Z,16.862000000000002,99470.73641304347
1613665073734,2021-02-18T16:19:33.443Z,16.901,99470.73641304347
1613665073775,2021-02-18T16:19:33.458Z,16.942,99470.73641304347
1613665073815,2021-02-18T16:19:33.461Z,16.982,99470.73641304347
1613665073855,2021-02-18T16:19:33.463Z,17.022000000000002,99470.73641304347
1613665073894,2021-02-18T16:19:33.474Z,17.061,99470.73641304347
1613665073934,2021-02-18T16:19:33.476Z,17.101,99470.73641304347
1613665073973,2021-02-18T16:19:33.478Z,17.14,99470.73641304347
1613665074013,2021-02-18T16:19:33.490Z,17.18,99470.73641304347
1613665074052,2021-02-18T16:19:33.492Z,17.219,99470.73641304347
1613665074092,2021-02-18T16:19:33.503Z,17.259,99470.73641304347
1613665074131,2021-02-18T16:19:33.505Z,17.298,99470.73641304347
1613665074171,2021-02-18T16:19:33.507Z,17.338,99470.73641304347
1613665074210,2021-02-18T16:19:33.518Z,17.377,99470.73641304347
1613665074252,2021-02-18T16:19:33.521Z,17.419,99470.73641304347
1613665074291,2021-02-18T16:19:33.523Z,17.458,99470.73641304347
1613665074331,2021-02-18T16:19:33.548Z,17.498,99470.73641304347
1613665074370,2021-02-18T16:19:33.550Z,17.537,99470.73641304347
1613665074410,2021-02-18T16:19:33.552Z,17.577,99470.73641304347
1613665074449,2021-02-18T16:19:33.593Z,17.616,99470.73641304347
1613665074489,2021-02-18T16:19:33.595Z,17.656,99470.73641304347
1613665074528,2021-02-18T16:19:33.598Z,17.695,99470.73641304347
1613665074568,2021-02-18T16:19:33.609Z,17.735,99470.73641304347
1613665074607,2021-02-18T16:19:33.611Z,17.774,99470.73641304347
1613665074647,2021-02-18T16:19:33.613Z,17.814,99470.73641304347
1613665074687,2021-02-18T16:19:33.625Z,17.854,99470.08016304347
1613665074726,2021-02-18T16:19:33.627Z,17.893,99470.08016304347
1613665074767,2021-02-18T16:19:33.638Z,17.934,99470.73641304347
1613665074807,2021-02-18T16:19:33.640Z,17.974,99470.73641304347
1613665074846,2021-02-18T16:19:33.642Z,18.012999999999998,99470.73641304347
1613665074886,2021-02-18T16:19:33.653Z,18.053,99470.73641304347
1613665074925,2021-02-18T16:19:33.669Z,18.092,99470.73641304347
1613665074965,2021-02-18T16:19:33.672Z,18.132,99470.73641304347
1613665075004,2021-02-18T16:19:33.683Z,18.171,99470.90828804347
1613665075044,2021-02-18T16:19:33.685Z,18.211,99470.90828804347
1613665075084,2021-02-18T16:19:33.687Z,18.250999999999998,99470.90828804347
1613665075123,2021-02-18T16:19:33.698Z,18.29,99470.90828804347
1613665075163,2021-02-18T16:19:33.701Z,18.33,99470.90828804347
1613665075202,2021-02-18T16:19:33.703Z,18.369,99470.90828804347
1613665075243,2021-02-18T16:19:33.714Z,18.41,99470.90828804347
1613665075283,2021-02-18T16:19:33.716Z,18.45,99470.90828804347
1613665075322,2021-02-18T16:19:33.728Z,18.489,99470.90828804347
1613665075362,2021-02-18T16:19:33.731Z,18.529,99470.90828804347
1613665075401,2021-02-18T16:19:33.732Z,18.567999999999998,99470.90828804347
1613665075441,2021-02-18T16:19:33.743Z,18.608,99470.90828804347
1613665075481,2021-02-18T16:19:33.760Z,18.648,99470.90828804347
1613665075520,2021-02-18T16:19:33.762Z,18.687,99470.90828804347
1613665075560,2021-02-18T16:19:33.773Z,18.727,99470.90828804347
1613665075599,2021-02-18T16:19:33.775Z,18.766,99470.90828804347
1613665075639,2021-02-18T16:19:33.777Z,18.805999999999997,99470.23641304347
1613665075678,2021-02-18T16:19:33.788Z,18.845,99470.23641304347
1613665075719,2021-02-18T16:19:33.791Z,18.886,99470.23641304347
1613665075759,2021-02-18T16:19:33.792Z,18.926,99470.23641304347
1613665075798,2021-02-18T16:19:33.804Z,18.965,99470.23641304347
1613665075838,2021-02-18T16:19:33.806Z,19.005,99470.23641304347
1613665075877,2021-02-18T16:19:33.808Z,19.044,99470.23641304347
1613665075917,2021-02-18T16:19:33.819Z,19.084,99470.23641304347
1613665075957,2021-02-18T16:19:33.822Z,19.124000000000002,99469.58016304347
1613665075996,2021-02-18T16:19:33.833Z,19.163,99469.58016304347
1613665076036,2021-02-18T16:19:33.835Z,19.203,99469.58016304347
1613665076075,2021-02-18T16:19:33.837Z,19.242,99469.58016304347
1613665076115,2021-02-18T16:19:33.848Z,19.282,99469.58016304347
1613665076154,2021-02-18T16:19:33.864Z,19.320999999999998,99469.58016304347
1613665076194,2021-02-18T16:19:33.866Z,19.361,99469.58016304347
1613665076235,2021-02-18T16:19:33.878Z,19.402,99469.58016304347
1613665076274,2021-02-18T16:19:33.880Z,19.441,99469.58016304347
1613665076314,2021-02-18T16:19:33.882Z,19.480999999999998,99470.40828804347
1613665076354,2021-02-18T16:19:33.893Z,19.521,99470.40828804347
1613665076393,2021-02-18T16:19:33.895Z,19.56,99470.40828804347
1613665076433,2021-02-18T16:19:33.897Z,19.6,99470.40828804347
1613665076472,2021-02-18T16:19:33.908Z,19.639,99469.74422554347
1613665076512,2021-02-18T16:19:33.911Z,19.679000000000002,99469.74422554347
1613665076551,2021-02-18T16:19:33.913Z,19.718,99469.74422554347
1613665076591,2021-02-18T16:19:33.953Z,19.758,99469.74422554347
1613665076630,2021-02-18T16:19:33.955Z,19.797,99469.08016304347
1613665076670,2021-02-18T16:19:33.957Z,19.837,99469.08016304347
1613665076711,2021-02-18T16:19:33.968Z,19.878,99469.08016304347
1613665076751,2021-02-18T16:19:33.971Z,19.918,99469.08016304347
1613665076790,2021-02-18T16:19:33.972Z,19.957,99469.08016304347
1613665076830,2021-02-18T16:19:33.983Z,19.997,99469.08016304347
1613665076869,2021-02-18T16:19:33.986Z,20.035999999999998,99469.08016304347
1613665076909,2021-02-18T16:19:33.988Z,20.076,99469.08016304347
1613665076948,2021-02-18T16:19:34.013Z,20.115,99469.08016304347
1613665076988,2021-02-18T16:19:34.015Z,20.155,99469.08016304347
1613665077027,2021-02-18T16:19:34.018Z,20.194000000000003,99469.08016304347
1613665077067,2021-02-18T16:19:34.028Z,20.234,99469.08016304347
1613665077106,2021-02-18T16:19:34.030Z,20.273,99469.08016304347
1613665077146,2021-02-18T16:19:34.032Z,20.313,99469.08016304347
1613665077187,2021-02-18T16:19:34.044Z,20.354,99469.08016304347
1613665077227,2021-02-18T16:19:34.046Z,20.394000000000002,99469.08016304347
1613665077266,2021-02-18T16:19:34.048Z,20.433,99469.08016304347
1613665077306,2021-02-18T16:19:34.059Z,20.473,99469.08016304347
1613665077345,2021-02-18T16:19:34.062Z,20.511999999999997,99468.41610054347
1613665077385,2021-02-18T16:19:34.073Z,20.552,99468.41610054347
1613665077424,2021-02-18T16:19:34.075Z,20.590999999999998,99468.41610054347
1613665077464,2021-02-18T16:19:34.077Z,20.631,99468.41610054347
