epoch (ms),time (-07:00),elapsed (s),Pressure (Pa)
1613665915780,2021-02-18T16:34:04.161Z,-0.158,99444.58138020833
1613665915858,2021-02-18T16:34:04.190Z,-0.08,99445.24544270833
1613665915937,2021-02-18T16:34:04.219Z,-0.001,99445.24544270833
1613665916015,2021-02-18T16:34:04.251Z,0.077,99445.24544270833
1613665916092,2021-02-18T16:34:04.325Z,0.154,99444.45638020833
1613665916170,2021-02-18T16:34:04.341Z,0.232,99444.45638020833
1613665916248,2021-02-18T16:34:04.371Z,0.31,99444.58138020833
1613665916325,2021-02-18T16:34:04.399Z,0.387,99444.58138020833
1613665916403,2021-02-18T16:34:04.416Z,0.465,99443.90169270833
1613665916481,2021-02-18T16:34:04.445Z,0.543,99443.90169270833
1613665916558,2021-02-18T16:34:04.462Z,0.62,99443.90169270833
1613665916636,2021-02-18T16:34:04.505Z,0.698,99443.90169270833
1613665916714,2021-02-18T16:34:04.549Z,0.776,99443.22981770833
1613665916791,2021-02-18T16:34:04.566Z,0.853,99442.56575520833
1613665916869,2021-02-18T16:34:04.610Z,0.931,99442.56575520833
1613665916946,2021-02-18T16:34:04.627Z,1.008,99442.56575520833
1613665917024,2021-02-18T16:34:04.686Z,1.086,99443.35481770833
1613665917102,2021-02-18T16:34:04.729Z,1.164,99443.35481770833
1613665917179,2021-02-18T16:34:04.746Z,1.241,99442.69075520833
1613665917257,2021-02-18T16:34:04.775Z,1.319,99442.69075520833
1613665917335,2021-02-18T16:34:04.867Z,1.397,99442.01106770833
1613665917412,2021-02-18T16:34:04.895Z,1.474,99442.01106770833
1613665917490,2021-02-18T16:34:04.939Z,1.552,99442.01106770833
1613665917568,2021-02-18T16:34:04.956Z,1.63,99442.83919270833
1613665917645,2021-02-18T16:34:04.985Z,1.707,99442.17513020833
1613665917723,2021-02-18T16:34:05.002Z,1.785,99442.17513020833
1613665917800,2021-02-18T16:34:05.031Z,1.862,99442.17513020833
1613665917878,2021-02-18T16:34:05.105Z,1.94,99442.17513020833
1613665917957,2021-02-18T16:34:05.134Z,2.019,99442.17513020833
1613665918033,2021-02-18T16:34:05.166Z,2.095,99442.17513020833
1613665918111,2021-02-18T16:34:05.210Z,2.173,99442.83919270833
1613665918189,2021-02-18T16:34:05.242Z,2.251,99442.83919270833
1613665918266,2021-02-18T16:34:05.270Z,2.328,99442.17513020833
1613665918344,2021-02-18T16:34:05.287Z,2.406,99442.17513020833
1613665918422,2021-02-18T16:34:05.316Z,2.484,99442.83919270833
1613665918499,2021-02-18T16:34:05.359Z,2.561,99442.17513020833
1613665918577,2021-02-18T16:34:05.421Z,2.639,99442.17513020833
1613665918654,2021-02-18T16:34:05.449Z,2.716,99442.83919270833
1613665918732,2021-02-18T16:34:05.466Z,2.794,99442.83919270833
1613665918810,2021-02-18T16:34:05.495Z,2.872,99442.83919270833
1613665918887,2021-02-18T16:34:05.524Z,2.949,99444.30794270833
1613665918965,2021-02-18T16:34:05.541Z,3.027,99444.30794270833
1613665919043,2021-02-18T16:34:05.571Z,3.105,99444.97981770833
1613665919120,2021-02-18T16:34:05.614Z,3.182,99444.97981770833
1613665919198,2021-02-18T16:34:05.631Z,3.26,99444.97981770833
1613665919277,2021-02-18T16:34:05.675Z,3.339,99444.97981770833
1613665919355,2021-02-18T16:34:05.719Z,3.417,99444.97981770833
1613665919432,2021-02-18T16:34:05.736Z,3.494,99445.65169270833
1613665919510,2021-02-18T16:34:05.795Z,3.572,99445.65169270833
1613665919588,2021-02-18T16:34:05.811Z,3.65,99445.65169270833
1613665919665,2021-02-18T16:34:05.841Z,3.727,99445.65169270833
1613665919743,2021-02-18T16:34:05.869Z,3.805,99445.65169270833
1613665919821,2021-02-18T16:34:05.887Z,3.883,99446.32356770833
1613665919898,2021-02-18T16:34:05.975Z,3.96,99446.32356770833
1613665919976,2021-02-18T16:34:05.991Z,4.038,99446.32356770833
1613665920053,2021-02-18T16:34:06.019Z,4.115,99446.32356770833
1613665920131,2021-02-18T16:34:06.036Z,4.193,99447.15169270833
1613665920209,2021-02-18T16:34:06.065Z,4.271,99447.15169270833
1613665920286,2021-02-18T16:34:06.094Z,4.348,99447.15169270833
1613665920364,2021-02-18T16:34:06.111Z,4.426,99447.82356770833
1613665920442,2021-02-18T16:34:06.140Z,4.504,99447.15169270833
1613665920519,2021-02-18T16:34:06.171Z,4.581,99447.15169270833
1613665920597,2021-02-18T16:34:06.216Z,4.659,99447.15169270833
