epoch (ms),time (-07:00),elapsed (s),X-Axis (deg/s),Y-Axis (deg/s),Z-Axis (deg/s)
1613666402056,2021-02-18T16:42:54.114Z,-0.411,-3.0162601470947266,-109.65312194824219,5.490514755249023
1613666402095,2021-02-18T16:42:54.145Z,-0.372,-3.0162601470947266,-102.94580078125,4.697832107543945
1613666402125,2021-02-18T16:42:54.159Z,-0.342,-4.357723712921143,-75.44580078125,8.722223281860352
1613666402164,2021-02-18T16:42:54.173Z,-0.303,-0.577235758304596,-9.409214973449707,11.953929901123047
1613666402204,2021-02-18T16:42:54.187Z,-0.263,5.032520294189453,109.98103332519531,3.722222328186035
1613666402242,2021-02-18T16:42:54.189Z,-0.225,9.666666984558105,234.12738037109375,-7.802168369293213
1613666402281,2021-02-18T16:42:54.204Z,-0.186,10.825203895568848,305.1639404296875,-12.863143920898438
1613666402321,2021-02-18T16:42:54.219Z,-0.146,18.386178970336914,362.785888671875,-8.350948333740234
1613666402361,2021-02-18T16:42:54.234Z,-0.106,23.447154998779297,353.1517639160156,-8.107046127319336
1613666402400,2021-02-18T16:42:54.249Z,-0.067,35.642276763916016,348.8834533691406,-5.119241237640381
1613666402440,2021-02-18T16:42:54.278Z,-0.027,34.91056823730469,302.9688415527344,-6.5216803550720215
1613666402479,2021-02-18T16:42:54.293Z,0.012,19.056909561157227,187.78591918945312,-10.424118995666504
1613666402519,2021-02-18T16:42:54.308Z,0.052,10.276423454284668,58.57859420776367,-5.424119472503662
1613666402558,2021-02-18T16:42:54.323Z,0.091,6.739837169647217,-13.250678062438965,2.868563652038574
1613666402596,2021-02-18T16:42:54.337Z,0.129,6.373983860015869,10.89566421508789,7.441734313964844
1613666402637,2021-02-18T16:42:54.339Z,0.17,3.4471545219421387,-13.372629165649414,6.588076114654541
1613666402675,2021-02-18T16:42:54.355Z,0.208,-2.0406503677368164,-33.189701080322266,-0.3021680414676666
1613666402715,2021-02-18T16:42:54.369Z,0.248,-7.52845573425293,-58.73848342895508,-5.1802167892456055
1613666402755,2021-02-18T16:42:54.382Z,0.288,-10.943089485168457,-104.22628784179688,-6.21680212020874
1613666402794,2021-02-18T16:42:54.384Z,0.327,-10.699187278747559,-119.89701843261719,-1.4607046842575073
1613666402834,2021-02-18T16:42:54.400Z,0.367,-10.333333015441895,-95.62873077392578,-0.6070460677146912
1613666402873,2021-02-18T16:42:54.414Z,0.406,-10.882113456726074,-103.43360900878906,1.405148983001709
1613666402913,2021-02-18T16:42:54.428Z,0.446,-8.321138381958008,-79.83604431152344,-1.9485095739364624
1613666402952,2021-02-18T16:42:54.442Z,0.485,-11.247967720031738,-76.05555725097656,-6.643631458282471
1613666402990,2021-02-18T16:42:54.458Z,0.523,-11.126016616821289,-77.21409606933594,-5.911924362182617
1613666403030,2021-02-18T16:42:54.472Z,0.563,-10.882113456726074,-76.36043548583984,-5.1802167892456055
1613666403070,2021-02-18T16:42:54.474Z,0.603,-7.8943095207214355,-75.07994842529297,-0.4850948750972748
1613666403109,2021-02-18T16:42:54.503Z,0.642,-4.174797058105469,-97.33604431152344,1.7710026502609253
