epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1613666402089,2021-02-18T16:42:54.091Z,-0.408,0.23788174986839294,0.6912342309951782,0.6381614208221436
1613666402129,2021-02-18T16:42:54.093Z,-0.368,0.23226651549339294,0.6944080591201782,0.6384055614471436
1613666402168,2021-02-18T16:42:54.095Z,-0.329,0.22469815611839294,0.6931873559951782,0.6454856395721436
1613666402208,2021-02-18T16:42:54.106Z,-0.289,0.23837003111839294,0.6963611841201782,0.6403586864471436
1613666402247,2021-02-18T16:42:54.108Z,-0.25,0.23226651549339294,0.7014881372451782,0.6428000926971436
1613666402288,2021-02-18T16:42:54.110Z,-0.209,0.23226651549339294,0.6939197778701782,0.6425559520721436
1613666402328,2021-02-18T16:42:54.121Z,-0.169,0.23397549986839294,0.6997791528701782,0.6388938426971436
1613666402367,2021-02-18T16:42:54.123Z,-0.13,0.23251065611839294,0.7014881372451782,0.6388938426971436
1613666402407,2021-02-18T16:42:54.126Z,-0.09,0.23128995299339294,0.6970936059951782,0.6437766551971436
1613666402447,2021-02-18T16:42:54.137Z,-0.05,0.22811612486839294,0.6951404809951782,0.6447532176971436
1613666402486,2021-02-18T16:42:54.139Z,-0.011,0.23251065611839294,0.6990467309951782,0.6388938426971436
1613666402526,2021-02-18T16:42:54.141Z,0.029,0.23104581236839294,0.6978260278701782,0.6393821239471436
1613666402565,2021-02-18T16:42:54.152Z,0.068,0.23885831236839294,0.6934314966201782,0.6410911083221436
1613666402605,2021-02-18T16:42:54.154Z,0.108,0.23153409361839294,0.6973377466201782,0.6437766551971436
1613666402644,2021-02-18T16:42:54.165Z,0.147,0.23714932799339294,0.6973377466201782,0.6396262645721436
1613666402684,2021-02-18T16:42:54.167Z,0.187,0.22738370299339294,0.7002674341201782,0.6369407176971436
1613666402725,2021-02-18T16:42:54.170Z,0.228,0.22738370299339294,0.7014881372451782,0.6408469676971436
1613666402764,2021-02-18T16:42:54.181Z,0.267,0.23177823424339294,0.6958729028701782,0.6388938426971436
1613666402804,2021-02-18T16:42:54.183Z,0.307,0.22494229674339294,0.6946521997451782,0.6388938426971436
1613666402844,2021-02-18T16:42:54.185Z,0.347,0.23080167174339294,0.6973377466201782,0.6393821239471436
1613666402883,2021-02-18T16:42:54.212Z,0.386,0.23299893736839294,0.6995350122451782,0.6364524364471436
1613666402923,2021-02-18T16:42:54.214Z,0.426,0.23763760924339294,0.7019764184951782,0.6393821239471436
1613666402962,2021-02-18T16:42:54.226Z,0.465,0.23177823424339294,0.6988025903701782,0.6415793895721436
1613666403002,2021-02-18T16:42:54.228Z,0.505,0.23641690611839294,0.6948963403701782,0.6369407176971436
1613666403041,2021-02-18T16:42:54.240Z,0.544,0.24105557799339294,0.6973377466201782,0.6388938426971436
1613666403081,2021-02-18T16:42:54.242Z,0.584,0.24178799986839294,0.6975818872451782,0.6420676708221436
1613666403120,2021-02-18T16:42:54.244Z,0.623,0.24227628111839294,0.6963611841201782,0.6406028270721436
1613666403161,2021-02-18T16:42:54.270Z,0.664,0.24007901549339294,0.6963611841201782,0.6413352489471436
1613666403201,2021-02-18T16:42:54.273Z,0.704,0.24374112486839294,0.6905018091201782,0.6396262645721436
1613666403240,2021-02-18T16:42:54.275Z,0.743,0.22201260924339294,0.6924549341201782,0.6420676708221436
1613666403280,2021-02-18T16:42:54.286Z,0.783,0.23910245299339294,0.6948963403701782,0.6413352489471436
1613666403320,2021-02-18T16:42:54.288Z,0.823,0.23690518736839294,0.6936756372451782,0.6406028270721436
1613666403359,2021-02-18T16:42:54.291Z,0.862,0.23373135924339294,0.6983143091201782,0.6432883739471436
1613666403399,2021-02-18T16:42:54.301Z,0.902,0.24935635924339294,0.6953846216201782,0.6386497020721436
1613666403438,2021-02-18T16:42:54.332Z,0.941,0.23910245299339294,0.6926990747451782,0.6425559520721436
1613666403478,2021-02-18T16:42:54.334Z,0.981,0.23934659361839294,0.6939197778701782,0.6396262645721436
1613666403517,2021-02-18T16:42:54.345Z,1.02,0.23934659361839294,0.6963611841201782,0.6428000926971436
1613666403557,2021-02-18T16:42:54.348Z,1.06,0.23837003111839294,0.6988025903701782,0.6391379833221436
1613666403596,2021-02-18T16:42:54.350Z,1.099,0.23446378111839294,0.6953846216201782,0.6396262645721436
1613666403637,2021-02-18T16:42:54.375Z,1.14,0.23885831236839294,0.6980701684951782,0.6410911083221436
1613666403677,2021-02-18T16:42:54.377Z,1.18,0.22787198424339294,0.6985584497451782,0.6362082958221436
1613666403717,2021-02-18T16:42:54.380Z,1.22,0.23714932799339294,0.6985584497451782,0.6398704051971436
1613666403756,2021-02-18T16:42:54.391Z,1.259,0.24032315611839294,0.6988025903701782,0.6403586864471436
1613666403796,2021-02-18T16:42:54.393Z,1.299,0.23788174986839294,0.6944080591201782,0.6381614208221436
1613666403835,2021-02-18T16:42:54.395Z,1.338,0.23470792174339294,0.6992908716201782,0.6386497020721436
1613666403875,2021-02-18T16:42:54.407Z,1.378,0.23055753111839294,0.6956287622451782,0.6393821239471436
1613666403914,2021-02-18T16:42:54.409Z,1.417,0.24105557799339294,0.7017322778701782,0.6384055614471436
1613666403954,2021-02-18T16:42:54.410Z,1.457,0.22933682799339294,0.6961170434951782,0.6408469676971436
1613666403993,2021-02-18T16:42:54.421Z,1.496,0.23568448424339294,0.7027088403701782,0.6440207958221436
1613666404033,2021-02-18T16:42:54.424Z,1.536,0.24081143736839294,0.6912342309951782,0.6447532176971436
1613666404074,2021-02-18T16:42:54.435Z,1.577,0.23470792174339294,0.6907459497451782,0.6454856395721436
1613666404114,2021-02-18T16:42:54.437Z,1.617,0.23885831236839294,0.6885486841201782,0.6454856395721436
1613666404153,2021-02-18T16:42:54.439Z,1.656,0.23348721861839294,0.6995350122451782,0.6403586864471436
1613666404193,2021-02-18T16:42:54.451Z,1.696,0.24789151549339294,0.6873279809951782,0.6457297801971436
1613666404232,2021-02-18T16:42:54.453Z,1.735,0.23641690611839294,0.6897693872451782,0.6511008739471436
1613666404272,2021-02-18T16:42:54.455Z,1.775,0.24349698424339294,0.6878162622451782,0.6484153270721436
1613666404311,2021-02-18T16:42:54.481Z,1.814,0.22469815611839294,0.6931873559951782,0.6479270458221436
1613666404351,2021-02-18T16:42:54.483Z,1.854,0.22616299986839294,0.6909900903701782,0.6496360301971436
1613666404390,2021-02-18T16:42:54.486Z,1.893,0.23837003111839294,0.6887928247451782,0.6520774364471436
1613666404430,2021-02-18T16:42:54.497Z,1.933,0.23251065611839294,0.6892811059951782,0.6535422801971436
1613666404471,2021-02-18T16:42:54.499Z,1.974,0.23421964049339294,0.6929432153701782,0.6542747020721436
1613666404510,2021-02-18T16:42:54.511Z,2.013,0.22836026549339294,0.6873279809951782,0.6545188426971436
1613666404550,2021-02-18T16:42:54.513Z,2.053,0.23568448424339294,0.6902576684951782,0.6474387645721436
1613666404590,2021-02-18T16:42:54.515Z,2.093,0.22445401549339294,0.6751209497451782,0.6506125926971436
1613666404629,2021-02-18T16:42:54.526Z,2.132,0.23324307799339294,0.6897693872451782,0.6572043895721436
1613666404669,2021-02-18T16:42:54.529Z,2.172,0.23006924986839294,0.6822010278701782,0.6520774364471436
1613666404708,2021-02-18T16:42:54.531Z,2.211,0.22933682799339294,0.6790271997451782,0.6567161083221436
1613666404748,2021-02-18T16:42:54.543Z,2.251,0.22323331236839294,0.6892811059951782,0.6498801708221436
1613666404787,2021-02-18T16:42:54.544Z,2.29,0.23885831236839294,0.6831775903701782,0.6484153270721436
1613666404827,2021-02-18T16:42:54.555Z,2.33,0.22494229674339294,0.6924549341201782,0.6547629833221436
1613666404866,2021-02-18T16:42:54.557Z,2.369,0.22591885924339294,0.6856189966201782,0.6552512645721436
1613666404907,2021-02-18T16:42:54.559Z,2.41,0.23275479674339294,0.6843982934951782,0.6532981395721436
1613666404947,2021-02-18T16:42:54.570Z,2.45,0.22982510924339294,0.6880604028701782,0.6530539989471436
