epoch (ms),time (-07:00),elapsed (s),X-Axis (T),Y-Axis (T),Z-Axis (T)
1613666219044,2021-02-18T16:38:46.412Z,-0.371,-8.971467018127441,-34.994564056396484,-21.842391967773438
1613666219083,2021-02-18T16:38:46.414Z,-0.332,-9.283967018127441,-34.682064056396484,-24.342391967773438
1613666219123,2021-02-18T16:38:46.425Z,-0.292,-9.658967018127441,-34.682064056396484,-21.467391967773438
1613666219162,2021-02-18T16:38:46.427Z,-0.253,-8.596467018127441,-53.182064056396484,-22.279891967773438
1613666219202,2021-02-18T16:38:46.429Z,-0.213,-9.283967018127441,-37.619564056396484,-23.092391967773438
1613666219224,2021-02-18T16:38:46.430Z,-0.191,-9.658967018127441,-33.932064056396484,-20.654891967773438
1613666219263,2021-02-18T16:38:46.441Z,-0.152,-8.221467018127441,-35.057064056396484,-22.717391967773438
1613666219303,2021-02-18T16:38:46.443Z,-0.112,-8.971467018127441,-34.307064056396484,-20.654891967773438
1613666219343,2021-02-18T16:38:46.455Z,-0.072,-9.283967018127441,-46.869564056396484,-21.029891967773438
1613666219382,2021-02-18T16:38:46.457Z,-0.033,-8.971467018127441,-35.432064056396484,-21.467391967773438
1613666219422,2021-02-18T16:38:46.459Z,0.007,-8.971467018127441,-34.307064056396484,-19.842391967773438
1613666219461,2021-02-18T16:38:46.485Z,0.046,-8.596467018127441,-35.432064056396484,-21.092391967773438
1613666219501,2021-02-18T16:38:46.488Z,0.086,-8.971467018127441,-34.307064056396484,-21.467391967773438
1613666219540,2021-02-18T16:38:46.490Z,0.125,-8.596467018127441,-34.682064056396484,-20.654891967773438
1613666219580,2021-02-18T16:38:46.501Z,0.165,-9.658967018127441,-36.494564056396484,-21.904891967773438
1613666219619,2021-02-18T16:38:46.503Z,0.204,-9.283967018127441,-35.057064056396484,-21.092391967773438
1613666219659,2021-02-18T16:38:46.505Z,0.244,-8.971467018127441,-34.307064056396484,-21.467391967773438
1613666219698,2021-02-18T16:38:46.516Z,0.283,-10.408967018127441,-35.432064056396484,-23.529891967773438
1613666219738,2021-02-18T16:38:46.518Z,0.323,-9.283967018127441,-35.057064056396484,-21.467391967773438
1613666219778,2021-02-18T16:38:46.520Z,0.363,-8.596467018127441,-36.119564056396484,-21.904891967773438
1613666219819,2021-02-18T16:38:46.607Z,0.404,-9.283967018127441,-36.119564056396484,-23.967391967773438
1613666219858,2021-02-18T16:38:46.609Z,0.443,-9.658967018127441,-35.807064056396484,-20.654891967773438
1613666219898,2021-02-18T16:38:46.635Z,0.483,-10.408967018127441,-47.619564056396484,-22.717391967773438
1613666219937,2021-02-18T16:38:46.637Z,0.522,-9.283967018127441,-33.932064056396484,-23.529891967773438
