epoch (ms),time (-07:00),elapsed (s),X-Axis (g),Y-Axis (g),Z-Axis (g)
1613666218879,2021-02-18T16:38:46.413Z,-0.552,0.31601449847221375,0.8729446530342102,-0.061858419328927994
1613666218919,2021-02-18T16:38:46.427Z,-0.512,0.31552621722221375,0.8785598874092102,-0.062346700578927994
1613666218958,2021-02-18T16:38:46.429Z,-0.473,0.31332895159721375,0.8812454342842102,-0.060637716203927994
1613666218998,2021-02-18T16:38:46.443Z,-0.433,0.31479379534721375,0.8778274655342102,-0.06259084492921829
1613666219039,2021-02-18T16:38:46.458Z,-0.392,0.31406137347221375,0.8788040280342102,-0.06307912617921829
1613666219078,2021-02-18T16:38:46.473Z,-0.353,0.31601449847221375,0.8792923092842102,-0.06307912617921829
1613666219118,2021-02-18T16:38:46.487Z,-0.313,0.31699106097221375,0.8788040280342102,-0.06405568867921829
1613666219157,2021-02-18T16:38:46.489Z,-0.274,0.31577035784721375,0.8814895749092102,-0.06625295430421829
1613666219197,2021-02-18T16:38:46.504Z,-0.234,0.31528207659721375,0.8770950436592102,-0.06259084492921829
1613666219238,2021-02-18T16:38:46.519Z,-0.193,0.31650277972221375,0.8807571530342102,-0.061858419328927994
1613666219277,2021-02-18T16:38:46.533Z,-0.154,0.31381723284721375,0.8795364499092102,-0.06283498555421829
1613666219317,2021-02-18T16:38:46.547Z,-0.114,0.31870004534721375,0.8814895749092102,-0.06381154805421829
1613666219357,2021-02-18T16:38:46.565Z,-0.074,0.31772348284721375,0.8780716061592102,-0.06356740742921829
1613666219396,2021-02-18T16:38:46.566Z,-0.035,0.31454965472221375,0.8780716061592102,-0.062346700578927994
1613666219436,2021-02-18T16:38:46.578Z,0.005,0.31747934222221375,0.8800247311592102,-0.061125997453927994
1613666219477,2021-02-18T16:38:46.593Z,0.046,0.31601449847221375,0.8792923092842102,-0.059172872453927994
1613666219516,2021-02-18T16:38:46.607Z,0.085,0.31772348284721375,0.8775833249092102,-0.06307912617921829
1613666219556,2021-02-18T16:38:46.609Z,0.125,0.31674692034721375,0.8812454342842102,-0.06478811055421829
1613666219595,2021-02-18T16:38:46.623Z,0.164,0.31870004534721375,0.8768509030342102,-0.060393575578927994
1613666219635,2021-02-18T16:38:46.638Z,0.204,0.31577035784721375,0.8773391842842102,-0.062346700578927994
1613666219676,2021-02-18T16:38:46.653Z,0.245,0.31577035784721375,0.8797805905342102,-0.061370138078927994
1613666219715,2021-02-18T16:38:46.683Z,0.284,0.31552621722221375,0.8766067624092102,-0.062102559953927994
1613666219755,2021-02-18T16:38:46.698Z,0.324,0.31796762347221375,0.8812454342842102,-0.06454396992921829
1613666219794,2021-02-18T16:38:46.713Z,0.363,0.31479379534721375,0.8778274655342102,-0.06527639180421829
1613666219834,2021-02-18T16:38:46.727Z,0.403,0.31845590472221375,0.8795364499092102,-0.06356740742921829
1613666219875,2021-02-18T16:38:46.729Z,0.444,0.31479379534721375,0.8795364499092102,-0.06454396992921829
